"A diagnosis algorithm for constant degree structures and its application to VLSI circuit testing,""Kaiyuan Huang"; V. K. Agarwal; L. LaForge;" K. Thulasiraman"",""Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada"; Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada; Department of Electrical Engineering, University of Nevada, Reno, NV, USA;" Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""363"",""372"",""A simple diagnosis algorithm is presented for constant degree systems such as rectangular grids connected as tori. The algorithm determines the status of a unit according to the size of its faction, a cluster of units that call each other fault-free but outsiders faulty. Almost all units are correctly identified with this algorithm under a binomial failure distribution even when the probability of failure is rather high. The complexity of the algorithm is O(n), where n is the number of units in a constant degree system. The application of the algorithm to production testing of VLSI chips is also considered. With a test board that houses a large number of chips to be tested, all the chips can be tested in parallel in a way that they test each other and the test outcomes, not necessarily correct, are reported to a host system for analysis. The actual status of each chip is determined by using this new diagnosis algorithm. The above chip screening process can be repeated for higher accuracy. It is shown that no more than two steps are needed in most real situations. Compared with testing by test equipment that usually tests only one chip at a time, the saving of test time and the test equipment cost could be significant with our approach.<>"",""1558-2183"","""",""10.1109/71.372790"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372790"","""",""Very large scale integration";Circuit testing;System testing;Clustering algorithms;Fault diagnosis;Microelectronics;Circuit faults;Test equipment;Production;"Costs"","""",""19"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Efficient placement of parity and data to tolerate two disk failures in disk array systems,""Chan-Ik Park"",""Department of Computer Science and Engineering, Pohang University of Science and Technology, Pohang, Gyeongbuk, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1177"",""1184"",""In this paper, we deal with the data/parity placement problem which is described as follows: how to place data and parity evenly across disks in order to tolerate two disk failures, given the number of disks N and the redundancy rate p which represents the amount of disk spaces to store parity information. To begin with, we transform the data/parity placement problem into the problem of constructing an N/spl times/N matrix such that the matrix will correspond to a solution to the problem. The method to construct a matrix has been proposed and we have shown how our method works through several illustrative examples. It is also shown that any matrix constructed by our proposed method can be mapped into a solution to the placement problem if a certain condition holds between N and p where N is the number of disks and p is a redundancy rate."",""1558-2183"","""",""10.1109/71.476189"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476189"","""",""Error correction codes";Redundancy;Power system protection;Parallel processing;Concurrent computing;Application software;Bandwidth;Encoding;Computer science;"Reliability engineering"","""",""36"",""10"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Establishment of isolated failure immune real-time channels in HARTS,""Qin Zheng";" K. G. Shin"",""Mitsubishi Electric Research Laboratories, Inc., Cambridge, MA, USA";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""113"",""119"",""Fault-tolerant, real-time communication in distributed systems is very important yet difficult to achieve. Traditional protocols like the TCP/IP achieve reliable communication through acknowledgment and retransmission schemes, where one achieves the reliability at the cost of performance, In this paper, we discuss how both the timeliness and fault-tolerance of communication can be achieved by using the concept of real-time channel and exploring the inherent spatial redundancy of a given network topology, Specifically, we show how isolated failure immune real-time channels can be established in wrapped hexagonal mesh networks, thus ensuring timely delivery of messages in the presence of network component failures as long as the failures are isolated. This kind of fault-tolerance cannot be achieved with other commonly-known topologies like rings, rectangular meshes, and hypercubes. The proposed approach is to be implemented in an experimental distributed real-time system, called HARTS, whose construction is underway.<>"",""1558-2183"","""",""10.1109/71.342122"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342122"","""",""Real time systems";Telecommunication network reliability;Fault tolerance;Network topology;Fault tolerant systems;Protocols;TCPIP;Costs;Redundancy;"Mesh networks"","""",""5"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Evaluating performance tradeoffs between fine-grained and coarse-grained alternatives,""P. K. Dubey"; G. B. Adams;" M. J. Flynn"",""T. J. Watson Research Center, IBM, Yorktown Heights, NY, USA"; School of Electrical Engineering, Purdue University, West Lafayette, IN, USA;" Department of Electrical Engineering, University of Stanford, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""1"",""17"",""27"",""Recent simulation based studies suggest that while superpipelines and superscalars are equally capable of exploiting fine grained concurrency, multiprocessors are better at exploiting coarse grained parallelism. An analytical model that is more flexible and less costly in terms of run time than simulation, is proposed as a tool for analyzing the tradeoff between superpipelined processors, superscalar processors, and multiprocessors. The duality of superpipelines and superscalars is examined in detail. The performance limit for these systems has been derived and it supports the fetch bottleneck observation of previous researchers. Common characteristics of utilization curves for such systems are examined. Combined systems, such as superpipelined multiprocessors and superscalar multiprocessors, are also analyzed. The model shows that the number of pipelines (or processors) at which the maximum throughput is obtained is, as memory access time increases, increasingly sensitive to the ratio of memory access time to network access delay. Further, as a function of interiteration dependence distance, optimum throughput is shown to vary nonlinearly, whereas the corresponding optimum number of processors varies linearly. The predictions from the analytical model agree with similar results published using simulation based techniques.<>"",""1558-2183"","""",""10.1109/71.363414"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363414"","""",""Analytical models";Concurrent computing;Pipelines;Predictive models;Throughput;Assembly;Delay effects;Microprocessors;Clocks;"NASA"","""",""2"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Exact convergence of a parallel textured algorithm for data network optimal routing problems,""G. M. Huang";" Wen-Lin Hsieh"",""Department of Electrical Engineering, Texas A and M University, College Station, TX, USA";" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1132"",""1146"",""In our earlier paper (1991), a textured decomposition based algorithm is developed to solve the optimal routing problem in data networks";" a few examples were used to illustrate the speedup advantage and the convergence conditions for the textured algorithm to converge to a global minimum. The speedup advantage is investigated in Huang et al. (1993). However, the theoretical foundation is not provided. In this paper, we provide the foundation. First, we show that for any textured decomposition, the algorithm always converges to a stationary point, which may not be a global minimum. And then, we prove that if the conditions of the exact convergence theorem are satisfied, the textured algorithm will converge to a global minimum."",""1558-2183"","""",""10.1109/71.476185"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476185"","""",""Convergence";Routing;Concurrent computing;Parallel processing;Data communication;Protocols;Reactive power control;Equations;"Power system reliability"","""",""6"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Executing algorithms with hypercube topology on torus multicomputers,""A. Gonzalez"; M. Valero-Garcia;" L. Diaz de Cerio"",""Department ďArquitectura de Computadors, Universitat Poliltècnica de Catalunya, Barcelona, Spain"; Department ďArquitectura de Computadors, Universitat Poliltècnica de Catalunya, Barcelona, Spain;" Department ďArquitectura de Computadors, Universitat Poliltècnica de Catalunya, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""803"",""814"",""Many parallel algorithms use hypercubes as the communication topology among their processes. When such algorithms are executed on hypercube multicomputers the communication cost is kept minimum since processes can be allocated to processors in such a way that only communication between neighbor processors is required. However, the scalability of hypercube multicomputers is constrained by the fact that the interconnection cost-per-node increases with the total number of nodes. From scalability point of view, meshes and toruses are more interesting classes of interconnection topologies. This paper focuses on the execution of algorithms with hypercube communication topology on multicomputers with mesh or torus interconnection topologies. The proposed approach is based on looking at different embeddings of hypercube graphs onto mesh or torus graphs. The paper concentrates on toruses since an already known embedding, which is called standard embedding, is optimal for meshes. In this paper, an embedding of hypercubes onto toruses of any given dimension is proposed. This novel embedding is called xor embedding. The paper presents a set of performance figures for both the standard and the xor embeddings and shows that the latter outperforms the former for any torus. In addition, it is proven that for a one-dimensional torus (a ring) the xor embedding is optimal in the sense that it minimizes the execution time of a class of parallel algorithms with hypercube topology. This class of algorithms is frequently found in real applications, such as FFT and some class of sorting algorithms.<>"",""1558-2183"","""",""10.1109/71.406957"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406957"","""",""Hypercubes";Topology;Parallel algorithms;Costs;Scalability;Sorting;"Hardware"","""",""13"",""1"",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"FDDI-M: a scheme to double FDDI's ability of supporting synchronous traffic,""K. G. Shin";" Qin Zheng"",""Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Cambridge Research Center, Mitsubishi Electric Research Laboratories, Inc., Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1125"",""1131"",""Synchronous messages are usually generated periodically and each of them is required to be transmitted before the generation of the next message. Due to the inherent deficiency in its medium access control (MAC) protocol, an FDDI token ring can use at most one half of its ring bandwidth to transmit such synchronous traffic. This deficiency greatly reduces the FDDI's capability of supporting multimedia applications like real-time voice/video transmissions. In this paper, we show how a few simple modifications to the FDDI's MAC protocol can remove this deficiency and double a ring's ability of supporting synchronous traffic. The modified protocol, called FDDI-M, can also achieve a higher throughput for asynchronous traffic than the standard FDDI and the FDDI-II, thus making it useful even for those networks without heavy synchronous traffic."",""1558-2183"","""",""10.1109/71.476184"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476184"","""",""FDDI";Bandwidth;Media Access Protocol;Telecommunication traffic;Token networks;Delay;Synchronous generators;Optical fiber networks;Laboratories;"Access protocols"","""",""9"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Generalized algorithms for systematic synthesis of Branch-and-Combine clock networks for meshes, tori, and hypercubes,""M. Umasankar";" A. El-Amawy"",""Alliance Semiconductor Corporation, San Jose, CA, USA";" Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1283"",""1300"",""Branch-and-Combine (BaC) clock distribution has recently been introduced. The most interesting aspect of the new scheme is its ability to bound skew by a constant irrespective of network size. In this paper, we introduce algorithms for systematic synthesis of BaC networks for clocking meshes, tori, and hypercubes of different dimensionalities. For meshes our approach relies on filing techniques. We start with the identification of basic proper tiles satisfying certain criteria. We define a set of valid transformations on tiles. By appropriately applying a sequence of transformations on a basic proper tile, one could synthesize a valid BaC network. We formally introduce methods and procedures for applying the above steps to systematically construct different valid BaC network designs for 2D and 3D meshes. To construct BaC networks for clocking hypercubes of any dimensionality we describe a formal methodology. In this case, we utilize an approach called replication which is based on constructing larger hypercube clocking networks from smaller ones. We combine the techniques for 2D, 3D meshes with replication techniques to formulate a methodology applicable to meshes and tori of dimensionality greater than three. We provide proofs of correctness for the algorithms we introduce. Besides, we formally define an optimality criterion based on link costs which is utilized to check the optimality of the synthesized network designs. In the case of meshes, we show that the majority of synthesized networks are optimal with respect to our defined criterion. For those suboptimal networks, we describe a procedure for identifying and removing unnecessary (redundant) links. The procedure is guaranteed to optimize the network without changing its behavioral parameters."",""1558-2183"","""",""10.1109/71.476169"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476169"","""",""Network synthesis";Clocks;Hypercubes;Tiles;Concurrent computing;Control systems;Cost function;Parallel processing;"Application software"","""",""1"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Generalized multiway branch unit for VLIW microprocessors,""Soo-Mook Moon";" S. D. Carson"",""Department of Electronics Engineering, Seoul National University, Seoul, South Korea";" Tracer Technologies, Inc., Gaithersburg, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""850"",""862"",""VLIW processors use multiway branch instructions to achieve high-speed, parallel evaluation of control structures. This paper introduces a new multiway branch mechanism that allows constant-time branch-target resolution based on an arbitrary condition tree. The unique feature of this mechanism is its target selection unit, which yields a branch-target based on a set of condition bit values and a condition tree description. A representation of condition trees that results in a compact target selection unit is described, and the logic diagram of a target selection unit that provides a four-way branching is shown. Our experimental results on nontrivial integer benchmarks indicate that the proposed multiway branch unit can improve the performance of VLIW machines substantially (i.e., as much as a geometric mean of 35%), compared to using the conventional two-way branching.<>"",""1558-2183"","""",""10.1109/71.406961"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406961"","""",""VLIW";Microprocessors;Moon;Counting circuits;Frequency;Logic;Mirrors;Clocks;Instruction sets;"Hardware"","""",""11"",""3"",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Generating and approximating nondominated coteries,""J. C. Bioch";" T. Ibaraki"",""Department of Computer Science, Erasmus University, Rotterdam, Netherlands";" Department of Applied Mathematics and Physics, Kyoto University, Kyoto, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""9"",""905"",""914"",""A coterie, which is used to realize mutual exclusion in a distributed system is a family C of incomparable subsets such that every pair of subsets in C has at least one element in common. Associate with a family of subsets C a positive (i.e., monotone) Boolean function f/sub c/ such that f/sub c/(x)=1 if the Boolean vector x is equal to or greater than the characteristic vector of some subset in C, and 0 otherwise. It is known that C is a coterie if and only if f/sub c/ is dual-minor, and is a nondominated (ND) coterie if and only if f/sub c/ is self-dual. We introduce an operator /spl rho/, which transforms a positive self-dual function into another positive self-dual function, and the concept of almost-self-duality, which is a close approximation to self-duality and can be checked in polynomial time (the complexity of checking positive self-duality is currently unknown). After proving several interesting properties of them, we propose a simple algorithm to check whether a given positive function is self-dual or not. Although this is not a polynomial algorithm, it is practically efficient in most cases. Finally, we present an incrementally polynomial algorithm that generates all positive self-dual functions (ND coteries) by repeatedly applying p operations. Based on this algorithm, all ND coteries of up to seven variables are computed.<>"",""1558-2183"","""",""10.1109/71.466629"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466629"","""",""Neodymium";Boolean functions;"Polynomials"","""",""17"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Going beyond integer programming with the Omega test to eliminate false data dependences,""W. Pugh";" D. Wonnacott"",""Department of Computer Science, Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA";" Department of Computer Science, Institute for Advanced Computer Studies, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""204"",""211"",""Array data dependence analysis methods currently in use generate false dependences that can prevent useful program transformations. These false dependences arise because the questions asked are conservative approximations to the questions we really should be asking. Unfortunately, the questions we really should be asking go beyond integer programming and require decision procedures for a subclass of Presburger formulas. In this paper, we describe how to extend the Omega test so that it can answer these queries and allow us to eliminate these false data dependences. We have implemented the techniques described here and believe they are suitable for use in production compilers.<>"",""1558-2183"","""",""10.1109/71.342135"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342135"","""",""Linear programming";Testing;Data analysis;Production;Computer science;Algorithm design and analysis;Privatization;Program processors;"Arithmetic"","""",""17"","""",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Hierarchical cubic networks,""K. Ghose";" K. R. Desai"",""Department of Computer Science, State University of New York, Binghamton, Binghamton, NY, USA";" Department of Computer Science, State University of New York, Binghamton, Binghamton, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""427"",""435"",""We introduce a new interconnection network for large-scale distributed memory multiprocessors called the hierarchical cubic network (HCN). We establish that the number of routing steps needed by several data parallel applications running on a HCN-based system and a hypercube-based system are about identical. Further, hypercube connections can be emulated on the HCN in constant time. Simulation of uniform and localized traffic patterns reveal that the normalized average internode distances in a HCN are better than in a comparable hypercube. Additionally, the HCN also has about three-fourths the diameter of a comparable hypercube, although it uses about half as many links per node-a fact that has positive ramifications on the implementation of HCN-connected systems.<>"",""1558-2183"","""",""10.1109/71.372797"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372797"","""",""Hypercubes";Multiprocessor interconnection networks;Computer science;Synchronization;Fault tolerance;Routing;Voting;Distributed databases;Computer network reliability;"Telecommunication network reliability"","""",""144"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Hot-potato algorithms for permutation routing,""I. Newman";" A. Schuster"",""Department of Mathematics and Computer Science, Haifa University, Haifa, Israel";" Department of Computer Science, Technion-Israel Institute of Technology, Haifa, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1168"",""1176"",""We develop a methodology for the design of hot-potato algorithms for routing permutations. The basic idea is to convert existing store-and-forward routing algorithms to hot-potato algorithms. Using it, we obtain the following complexity bounds for permutation routing: n/spl times/n Mesh: 7n+o(n) steps"; 2/sup n/ hypercube: O(n/sup 2/) steps;" n/spl times/n Torus: 4n+o(n) steps. The algorithm for the two-dimensional grid is the first to be both deterministic and asymptotically optimal. The algorithm for the 2/sup n/-nodes Boolean cube is the first deterministic algorithm that achieves a complexity of o(2/sup n/) steps."",""1558-2183"","""",""10.1109/71.476188"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476188"","""",""Routing";Hypercubes;Buffer storage;Design methodology;Algorithm design and analysis;Delay;Optical buffering;Computer science;Parallel algorithms;"Parallel machines"","""",""18"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Integer programming for array subscript analysis,""J. Subhlok";" K. Kennedy"",""School of Computer Science, Camegie Mellon University, Pittsburgh, PA, USA";" Department of Computer Science, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""662"",""668"",""We present a new method to determine whether a convex region contains any integer points. The method is designed for array subscript analysis in parallel programs. The general problem is whether a system of linear equalities and inequalities has an integer solution. A set of known techniques is used to transform the problem to that of finding whether a convex region contains any integer points. The main result of the paper is a set of new search procedures that identify an integer solution in a convex region, or prove that no integer solutions exist. They are based on the geometrical properties of convex regions that are not empty, but also do not contain any integer points. The results contribute to exact and efficient dependence and synchronization analysis of parallel programs.<>"",""1558-2183"","""",""10.1109/71.388048"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388048"","""",""Linear programming";Equations;Program processors;Computer science;Design methodology;Testing;Protection;"Computerized monitoring"","""",""8"",""1"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Inverted file partitioning schemes in multiple disk systems,""Byeong-Soo Jeong";" E. Omiecinski"",""College of Computing, Georgia Institute of Technology, Atlanta, USA";" College of Computing, Georgia Institute of Technology, Atlanta, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""142"",""153"",""Multiple-disk I/O systems (disk arrays) have been an attractive approach to meet high performance I/O demands in data intensive applications such as information retrieval systems. When we partition and distribute files across multiple disks to exploit the potential for I/O parallelism, a balanced I/O workload distribution becomes important for good performance. Naturally, the performance of a parallel information retrieval system using an inverted file structure is affected by the partitioning scheme of the inverted file. In this paper, we propose two different partitioning schemes for an inverted file system for a shared-everything multiprocessor machine with multiple disks. We study the performance of these schemes by simulation under a number of workloads where the term frequencies in the documents are varied, the term frequencies in the queries are varied, the number of disks are varied and the multiprogramming level is varied.<>"",""1558-2183"","""",""10.1109/71.342125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342125"","""",""Information retrieval";File systems;Frequency;Parallel architectures;Spatial databases;Message passing;Scalability;Load management;Multiprocessing systems;"System performance"","""",""55"",""15"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Loop transformation using nonunimodular matrices,""A. Fernandez"; J. M. Llaberia;" M. Valero-Garcia"",""Department d Arquitectura de Computadors, Universitat Politecnica de Catalunya, Barcelona, Spain"; Department d Arquitectura de Computadors, Universitat Politecnica de Catalunya, Barcelona, Spain;" Department d Arquitectura de Computadors, Universitat Politecnica de Catalunya, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""832"",""840"",""Linear transformations are widely used to vectorize and parallelize loops. A subset of these transformations are unimodular transformations. When a unimodular transformation is used, the exact bounds of the transformed loop nest are easily computed and the steps of the loops are equal to 1. Unimodular loop transformations have been widely used since they permit the implementation of many useful loop transformations. Recently, nonunimodular transformations have been proposed to reduce communication requirements or to use the memory hierarchy efficiently. The methods used for unimodular transformations do not work in the case of nonunimodular transformations, since they do not produce the exact bounds of the transformed loop nest. In this paper, we present a method for nested loop transformation which gives the exact bounds for both unimodular and nonunimodular transformations. The basic idea is to use the Hermite Normal Form (HNF) of the transformation matrix.<>"",""1558-2183"","""",""10.1109/71.406959"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406959"","""",""Ear"","""",""12"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Message complexity of the tree quorum algorithm,""Shyan-Ming Yuan";" Her-Kun Chang"",""Dept. of Comput. & Inf. Sci., Nat. Chiao Tung Univ., Hsinchu, Taiwan";" Dept. of Comput. & Inf. Sci., Nat. Chiao Tung Univ., Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""887"",""890"",""The tree quorum algorithm (TQA) uses a tree structure to generate intersecting (tree) quorums for distributed mutual exclusion. This paper analyzes the number of messages required to acquire a quorum in TQA. Let i be the depth of the complete binary tree used in TQA, and let M/sub i/ be the number of messages required to acquire a quorum or to determine that no quorum is accessible. We discuss M/sub i/ as a function of i and p, where p ( 1/2 <p<1) is the probability that each site is operational. Let C/sub i/ denote the average number of sites in the quorum that TQA finds. The analysis shows that, although both M/sub i/ and C/sub i/ increase without bound as i increases, M/sub i//C/sub i/ approaches to 1+p/p as i increases. According to the result, an approximate close form for M/sub i/ is derived.<<ETX>>"",""1558-2183"","""",""10.1109/71.406969"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406969"","""",""Permission";Costs;Tree data structures;Centralized control;Size measurement;Binary trees;Computer networks;Resource management;Clocks;"Synchronization"","""",""1"","""",""7"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Modulo reduction in residue number systems,""K. C. Posch";" R. Posch"",""Institute for Applied Information Processing, Graz University of Technology, Graz, Austria";" Institute for Applied Information Processing, Graz University of Technology, Graz, Austria"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""449"",""454"",""Residue number systems provide a good means for extremely long integer arithmetic. Their carry-free operations make parallel implementations feasible. Some applications involving very long integers, such as public key encryption, rely heavily on fast modulo reductions. This paper shows a new combination of residue number systems with efficient modulo reduction methods. Two methods are compared, and the faster one is scrutinized in detail. Both methods have the same order of complexity, O(log n), with n denoting the amount of registers involved.<>"",""1558-2183"","""",""10.1109/71.382314"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382314"","""",""Arithmetic";Public key;Public key cryptography;Hardware;Parallel algorithms;"Information processing"","""",""94"",""10"",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Multicoloring of grid-structured PDE solvers on shared-memory multiprocessors,""Hwang-Cheng Wang";" Kai Hwang"",""Department of Information Management and Engineering, Wu Feng Institute of Technology, Taiwan";" Department of Electrical Engineering, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1195"",""1205"",""In order to execute a parallel PDE (partial differential equation) solver on a shared-memory multiprocessor, we have to avoid memory conflicts in accessing multidimensional data grids. A new multicoloring technique is proposed for speeding sparse matrix operations. The new technique enables parallel access of grid-structured data elements in the shared memory without causing conflicts. The coloring scheme is formulated as an algebraic mapping which can be easily implemented with low overhead on commercial multiprocessors. The proposed multicoloring scheme bas been tested on an Alliant FX/80 multiprocessor for solving 2D and 3D problems using the CGNR method. Compared to the results reported by Saad (1989) on an identical Alliant system, our results show a factor of 30 times higher performance in Mflops. Multicoloring transforms sparse matrices into ones with a diagonal diagonal block (DDB) structure, enabling parallel LU decomposition in solving PDE problems. The multicoloring technique can also be extended to solve other scientific problems characterized by sparse matrices."",""1558-2183"","""",""10.1109/71.476191"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476191"","""",""Sparse matrices";Multiprocessing systems;Parallel processing;Computer Society;Multidimensional systems;Testing;Partial differential equations;Costs;Information management;"Timing"","""",""13"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Necessary and sufficient conditions for consistent global snapshots,""R. H. B. Netzer";" Jian Xu"",""Department of Computer Science, Brown University, Providence, RI, USA";" Department of Computer Science, Brown University, Providence, RI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""165"",""169"",""Consistent global snapshots are important in many distributed applications. We prove the exact conditions for an arbitrary checkpoint, or a set of checkpoints, to belong to a consistent global snapshot, a previously open problem. To describe the conditions, we introduce a generalization of Lamport's (1978) happened-before relation called a zigzag path.<>"",""1558-2183"","""",""10.1109/71.342127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342127"","""",""Sufficient conditions";Distributed computing;Debugging;Computational modeling;Fault tolerance;Concurrent computing;Contracts;"Computer science"","""",""160"",""3"",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"On multistage interconnection networks with small clock cycles,""Hee Yong Youn";" Youngsong Mun"",""Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA";" Department of Computer Science, Soongsil University, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""1"",""86"",""93"",""In packet switching using multistage interconnection networks (MIN's), it is generally assumed that the packet movements successively propagate from the last stage to the first stage in one network cycle. Ding and Bhuyan (1994), however, have shown that the network performance can be significantly improved if the packet movements are confined within each pair of adjacent stages using small clock cycles. In this short note, we present a model for estimating the performance of multibuffered MIN's employing the approach. Using the model, the relative effectiveness of the approach is identified compared to the traditional design.<>"",""1558-2183"","""",""10.1109/71.363408"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363408"","""",""Multiprocessor interconnection networks";Clocks;Packet switching;Computer science;Availability;Analytical models;Throughput;Costs;Computer networks;"Concurrent computing"","""",""5"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
