"(ε, δ)-Approximate Aggregation Algorithms in Dynamic Sensor Networks,""J. Li";" S. Cheng"",""School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China";" School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""385"",""396"",""Aggregation operations are important in WSN applications. Since large numbers of applications only require approximate aggregation results rather than the exact ones, some approximate aggregation algorithms have been proposed to save energy. However, the error bounds of these algorithms are fixed and it is impossible to adjust the error bounds automatically, so they cannot meet the requirement of arbitrary precision required by various users. Thus, a uniform sampling-based algorithm was proposed by the authors of this paper to satisfy arbitrary precision requirement. Unfortunately, this uniform sampling-based algorithm is only suitable for static sensor networks. To overcome the shortcoming of the uniform sampling-based algorithm, this paper proposes four Bernoulli sampling-based and distributed approximate aggregation algorithms to process the snapshot and continuous aggregation queries in dynamic sensor networks. Theoretical analysis and experimental results show that the proposed algorithms have high performance in terms of accuracy and energy consumption."",""1558-2183"","""",""10.1109/TPDS.2011.193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953593"",""Wireless sensor network";approximate aggregation;"Bernoulli sampling."",""Approximation algorithms";Clustering algorithms;Entropy;Heuristic algorithms;Monitoring;Wireless sensor networks;"Algorithm design and analysis"","""",""30"","""",""25"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Exploring Peer-to-Peer Locality in Multiple Torrent Environment,""H. Wang";" J. Liu"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2012"",""2012"",""23"",""7"",""1216"",""1226"",""The fast-growing traffic of Peer-to-Peer (P2P) applications, most notably BitTorrent (BT), is putting unprecedented pressure to Internet Service Providers (ISPs). P2P locality has, therefore, been widely suggested to mitigate the costly inter-ISP traffic. In this paper, we for the first time examine the existence and distribution of the locality through a large-scale hybrid PlanetLab-Internet measurement. We find that even in the most popular Autonomous Systems (ASes), very few individual torrents are able to form large enough local clusters of peers, making state-of-the-art locality mechanisms for individual torrents quite inefficient. Inspired by peers' multiple torrent behavior, we develop a novel framework that traces and recovers the available contents at peers across multiple torrents, and thus effectively amplifies the possibilities of local sharing. We address the key design issues in this framework, in particular, the detection of peer migration across the torrents. We develop a smart detection mechanism with shared trackers, which achieves 45 percent success rate without any tracker-level communication overhead. We further demonstrate strong evidence that the migrations are not random, but follow certain patterns with correlations. This leads to torrent clustering, a practical enhancement that can increase the detection rate to 75 percent, thus greatly facilitating locality across multiple torrents. The simulation results indicate that our framework can successfully reduce the cross-ISP traffic and minimize the possible degradation of peers' downloading experiences."",""1558-2183"","""",""10.1109/TPDS.2011.253"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035701"",""BitTorrent";traffic locality;"measurement."",""Peer to peer computing";Extraterrestrial measurements;Internet;Availability;Educational institutions;Collaboration;"Particle measurements"","""",""6"","""",""36"",""IEEE"",""6 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Exploring the Optimal Replication Strategy in P2P-VoD Systems: Characterization and Evaluation,""W. Wu";" J. C. S. Lui"",""Department of Computer Science and Engineering, Chinese University of Hong Kong, Sha Tin, Hong Kong, China";" Department of Computer Science and Engineering, Chinese University of Hong Kong, Sha Tin, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2012"",""2012"",""23"",""8"",""1492"",""1503"",""P2P-Video-on-Demand (P2P-VoD) is a popular Internet service which aims to provide a scalable and high-quality service to users. At the same time, content providers of P2P-VoD services also need to make sure that the service is operated with a manageable operating cost. Given the volume-based charging model by ISPs, P2P-VoD content providers would like to reduce peers' access to the content server so as to reduce the operating cost. In this paper, we address an important open problem: what is the “optimal replication ratio” in a P2P-VoD system such that peers will receive service from each other and at the same time, reduce the access to the content server? We address two fundamental issues: 1) what is the optimal replication ratio of a movie if we know its popularity, and 2) how to achieve these optimal ratios in a distributed and dynamic fashion. We first formally show how movie popularities can impact server's workload, and formulate the video replication as an optimization problem. We show that the conventional wisdom of using the proportional replication strategy is “suboptimal,” and expand the design space to both “passive replacement policy” and “active push policy” to achieve the optimal replication ratios. We consider practical implementation issues, evaluate the performance of P2P-VoD systems and show how to greatly reduce server's workload and improve streaming quality via our distributed algorithms."",""1558-2183"","""",""10.1109/TPDS.2011.295"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095536"",""Distributed applications";protocols;modeling;"performance."",""Motion pictures";Bandwidth;Servers;Peer to peer computing;Software;Computer architecture;"Streaming media"","""",""34"",""1"",""22"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Extrema Propagation: Fast Distributed Estimation of Sums and Network Sizes,""C. Baquero"; P. S. Almeida; R. Menezes;" P. Jesus"",""Departamento de Informática, Universidade do Minho, Braga, Portugal"; Departamento de Informática, Universidade do Minho, Braga, Portugal; Departamento de Matemática e Aplicações, Universidade do Minho, Guimaraes, Portugal;" Departamento de Informática, Universidade do Minho, Braga, Portugal"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""668"",""675"",""Aggregation of data values plays an important role on distributed computations, in particular, over peer-to-peer and sensor networks, as it can provide a summary of some global system property and direct the actions of self-adaptive distributed algorithms. Examples include using estimates of the network size to dimension distributed hash tables or estimates of the average system load to direct load balancing. Distributed aggregation using nonidempotent functions, like sums, is not trivial as it is not easy to prevent a given value from being accounted for multiple times"; this is especially the case if no centralized algorithms or global identifiers can be used. This paper introduces Extrema Propagation, a probabilistic technique for distributed estimation of the sum of positive real numbers. The technique relies on the exchange of duplicate insensitive messages and can be applied in flood and/or epidemic settings, where multipath routing occurs; it is tolerant of message loss; it is fast, as the number of message exchange steps can be made just slightly above the theoretical minimum;" and it is fully distributed, with no single point of failure and the result produced at every node."",""1558-2183"","""",""10.1109/TPDS.2011.209"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963654"",""Aggregation";network size estimation;distributed sums;probabilistic estimation;"self-configuration."",""Estimation";Encoding;Exponential distribution;Measurement;Reactive power;Protocols;"Convergence"","""",""40"","""",""38"",""IEEE"",""28 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Fast and Accurate Simulation of the Cray XMT Multithreaded Supercomputer,""O. Villa"; A. Tumeo; S. Secchi;" J. B. Manzano"",""High Performance Computing Group, Pacific Northwest National Laboratory, Richland, WA, USA"; High Performance Computing Group, Pacific Northwest National Laboratory, Richland, WA, USA; Department of Electrical and Electronic Engineering, University of Calgary, Cagliari, Italy;" High Performance Computing Group, Pacific Northwest National Laboratory, Richland, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Oct 2012"",""2012"",""23"",""12"",""2266"",""2279"",""Irregular applications, such as data mining or graph-based computations, show unpredictable memory/network access patterns and control structures. Massively multithreaded architectures with large processor counts, like the Cray MTA-1, MTA-2, and XMT, appear to address irregular application requirements better than commodity clusters. However, the research on massively multithreaded systems is currently limited by the lack of adequate architectural simulation infrastructures due to issues such as size of the machines, memory footprint, simulation speed, accuracy, and customization. At the same time, Shared Memory MultiProcessors (SMPs) with multicore processors have become an attractive platform to simulate large-scale systems. This paper introduces a cycle-level simulator of the massively multithreaded Cray XMT supercomputer. The simulator runs unmodified XMT applications. We discuss how we tackled the challenges posed by its development, detailing the techniques implemented to obtain high-simulation speed while maintaining a high accuracy. By mapping XMT processors (ThreadStorm with 128 hardware threads) to host computing cores, the simulation speed remains constant as the number of simulated processors increases, up to the number of available host cores. The simulator supports zero-overhead switching among different accuracy levels at runtime and includes a parametric network and memory model that takes into account contention and hot spotting. On a modern 48-core SMP host, the proposed infrastructure simulates a large set of irregular applications 500 to 2,000 times slower than real time when compared to a 128-processor XMT, with an accuracy error under 10 percent. Emulation is only from 25 to 200 times slower than real time. The paper also presents a case study, where the simulation infrastructure is used to identify bottlenecks in the current XMT architecture and to estimate the performance scaling of a possible multicore design with next generation memory and network interconnect."",""1558-2183"","""",""10.1109/TPDS.2012.70"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6152097"",""Modeling of computer architecture";multithreaded processors;system architectures;integration and modeling;measurement;evaluation;modeling;"simulation of multiple-processor systems"",""Instruction sets";Multiprocessing systems;Multithreading;Synchronization;Multicore processing;"Computational modeling"","""",""5"","""",""27"",""IEEE"",""14 Feb 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Fat versus Thin Threading Approach on GPUs: Application to Stochastic Simulation of Chemical Reactions,""G. Klingbeil"; R. Erban; M. Giles;" P. K. Maini"",""Centre for Mathematical Biology, Mathematical Institute, University of Oxford, Oxford, UK"; Oxford Centre for Collaborative Applied Mathematics and the Centre for Mathematical Biology, Mathematical Institute, University of Oxford, Oxford, UK; Oxford-Man Institute of Quantitative Finance, and the Mathematical Institute, University of Oxford, Oxford, UK;" Centre for Mathematical Biology and the Oxford Centre for Integrative Systems Biology, University of Oxford, Oxford, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Dec 2011"",""2012"",""23"",""2"",""280"",""287"",""We explore two different threading approaches on a graphics processing unit (GPU) exploiting two different characteristics of the current GPU architecture. The fat thread approach tries to minimize data access time by relying on shared memory and registers potentially sacrificing parallelism. The thin thread approach maximizes parallelism and tries to hide access latencies. We apply these two approaches to the parallel stochastic simulation of chemical reaction systems using the stochastic simulation algorithm (SSA) by Gillespie [14]. In these cases, the proposed thin thread approach shows comparable performance while eliminating the limitation of the reaction system's size."",""1558-2183"","""",""10.1109/TPDS.2011.157"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871595"",""Parallel processing";compute unified device architecture (CUDA);"graphics processing unit (GPU)."",""Instruction sets";Graphics processing unit;Computational modeling;Registers;Chemicals;Stochastic processes;"Biological system modeling"","""",""17"","""",""28"",""IEEE"",""9 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Fidelity-Aware Utilization Control for Cyber-Physical Surveillance Systems,""J. Chen"; R. Tan; G. Xing; X. Wang;" X. Fu"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Electrical and Computer Engineering, 508 Dreese Laboratories, Ohio State University, Columbus, OH, USA;" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2012"",""2012"",""23"",""9"",""1739"",""1751"",""Recent years have seen the growing deployments of Cyber-Physical Systems (CPSs) in many mission-critical applications such as security, civil infrastructure, and transportation. These applications often impose stringent requirements on system sensing fidelity and timeliness. However, existing approaches treat these two concerns in isolation and hence are not suitable for CPSs where system fidelity and timeliness are dependent on each other because of the tight integration of computational and physical resources. In this paper, we propose a holistic approach called Fidelity-Aware Utilization Controller (FAUC) for Wireless Cyber-physical Surveillance (WCS) systems that combine low-end sensors with cameras for large-scale ad hoc surveillance in unplanned environments. By integrating data fusion with feedback control, FAUC can enforce a CPU utilization upper bound to ensure the system's real-time schedulability although CPU workloads vary significantly at runtime because of stochastic detection results. At the same time, FAUC optimizes system fidelity and adjusts the control objective of CPU utilization adaptively in the presence of variations of target/noise characteristics. We have implemented FAUC on a small-scale WCS testbed consisting of TelosB/Iris motes and cameras. Moreover, we conduct extensive simulations based on real acoustic data traces collected in a vehicle surveillance experiment. The testbed experiments and the trace-driven simulations show that FAUC can achieve robust fidelity and real-time guarantees in dynamic environments."",""1558-2183"","""",""10.1109/TPDS.2012.74"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6155714"",""Sensor systems";Cameras;Real time systems;Sensor fusion;Surveillance;Noise;cyber-physical systems.;Real-time detection;data fusion;"CPU utilization control"",""Sensor systems";Cameras;Real time systems;Sensor fusion;Surveillance;"Noise"","""",""16"","""",""24"",""IEEE"",""21 Feb 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Fingerprinting Mobile User Positions in Sensor Networks: Attacks and Countermeasures,""M. Li"; X. Jiang;" L. Guibas"",""School of Computer Engineering, Nanyang Technological University, Singapore"; Computer Science Department, University of Stanford, Stanford, CA, USA;" Computer Science Department, University of Stanford, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""676"",""683"",""We demonstrate that the network flux over the sensor network provides fingerprint information about the mobile users within the field. Such information is exoteric in the physical space and easy to access through passive sniffing. We present a theoretical model to abstract the network flux according to the statuses of mobile users. We fit the theoretical model with the network flux measurements through Nonlinear Least Squares (NLS) and develop an algorithm that iteratively approaches the NLS solution by Sequential Monte Carlo Estimation. With sparse measurements of the flux information at individual sensor nodes, we show that it is easy to identify the mobile users within the network and instantly track their movements without breaking into the details of the communicational packets. Our study indicates that most of existing systems are vulnerable to such attack against the privacy of mobile users. We further propose a set of countermeasures that redistribute and reshape the network traffic to preserve the location privacy of mobile users. With a trace driven simulation, we demonstrate the substantial threats of the attacks and the effectiveness of the proposed countermeasures."",""1558-2183"","""",""10.1109/TPDS.2011.213"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963658"",""Sensor networks";network flux;mobile user;"fingerprint."",""Mobile communication";Mobile computing;Fingerprint recognition;Privacy;Estimation;Fitting;"Monte Carlo methods"","""",""5"","""",""18"",""IEEE"",""28 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Flash Crowd in P2P Live Streaming Systems: Fundamental Characteristics and Design Implications,""F. Liu"; B. Li; L. Zhong; B. Li; H. Jin;" X. Liao"",""Services Computing Technology and System Lab, Cluster and Grid Computing Laboratory in the School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ONT, Canada; Services Computing Technology and System Lab, Cluster and Grid Computing Laboratory in the School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China;" Services Computing Technology and System Lab, Cluster and Grid Computing Laboratory in the School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2012"",""2012"",""23"",""7"",""1227"",""1239"",""Peer-to-peer (P2P) live video streaming systems have recently received substantial attention, with commercial deployment gaining increased popularity in the internet. It is evident from our practical experiences with real-world systems that, it is not uncommon for hundreds of thousands of users to choose to join a program in the first few minutes of a live broadcast. Such a severe flash crowd phenomenon in live streaming poses significant challenges in the system design. In this paper, for the first time, we develop a mathematical model to: 1) capture the fundamental relationship between time and scale in P2P live streaming systems under a flash crowd, and 2) explore the design principle of population control to alleviate the impact of the flash crowd. We carry out rigorous analysis that brings forth an in-depth understanding on effects of the gossip protocol and peer dynamics. In particular, we demonstrate that there exists an upper bound on the system scale with respect to a time constraint. By trading peer startup delays in the initial stage of a flash crowd for system scale, we design a simple and flexible population control framework that can alleviate the flash crowd without the requirement of otherwise costly server deployment."",""1558-2183"","""",""10.1109/TPDS.2011.283"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095525"",""Live video streaming";peer-to-peer;flash crowds;"population control."",""Ash";Bandwidth;Servers;Peer to peer computing;Delay;Streaming media;"Upper bound"","""",""50"","""",""26"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Footprint: Detecting Sybil Attacks in Urban Vehicular Networks,""S. Chang"; Y. Qi; H. Zhu; J. Zhao;" X. Shen"",""School of Computer Science and Technology, Xi'an Jiaotong University, Xi'an, Shaanxi, China"; School of Computer Science and Technology, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Department of Computer Science and Engineering, Shanghai Jiaotong University, Minhang, Shanghai, China; School of Computer Science and Technology, Xi'an Jiaotong University, Xi'an, Shaanxi, China;" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""1103"",""1114"",""In urban vehicular networks, where privacy, especially the location privacy of anonymous vehicles is highly concerned, anonymous verification of vehicles is indispensable. Consequently, an attacker who succeeds in forging multiple hostile identifies can easily launch a Sybil attack, gaining a disproportionately large influence. In this paper, we propose a novel Sybil attack detection mechanism, Footprint, using the trajectories of vehicles for identification while still preserving their location privacy. More specifically, when a vehicle approaches a road-side unit (RSU), it actively demands an authorized message from the RSU as the proof of the appearance time at this RSU. We design a location-hidden authorized message generation scheme for two objectives: first, RSU signatures on messages are signer ambiguous so that the RSU location information is concealed from the resulted authorized message";" second, two authorized messages signed by the same RSU within the same given period of time (temporarily linkable) are recognizable so that they can be used for identification. With the temporal limitation on the linkability of two authorized messages, authorized messages used for long-term identification are prohibited. With this scheme, vehicles can generate a location-hidden trajectory for location-privacy-preserved identification by collecting a consecutive series of authorized messages. Utilizing social relationship among trajectories according to the similarity definition of two trajectories, Footprint can recognize and therefore dismiss “communities” of Sybil trajectories. Rigorous security analysis and extensive trace-driven simulations demonstrate the efficacy of Footprint."",""1558-2183"","""",""10.1109/TPDS.2011.263"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060810"",""Sybil attack";location privacy;signer-ambiguous signature;urban vehicular networks;"location-hidden trajectory."",""Vehicles";Trajectory;Privacy;Wireless communication;Global Positioning System;Communities;"Testing"","""",""92"","""",""25"",""IEEE"",""25 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Formal Semantics, Compilation and Execution of the GALS Programming Language DSystemJ,""A. Malik"; A. Girault;" Z. Salcic"",""IBM Research Dublin and the Department of Computer Science and Statistics, Trinity College Dublin, Ireland"; LIG laboratory, POP ART team, INRIA Grenoble Rhône-Alpes, Grenoble, France;" University of Auckland, New Zealand"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2012"",""2012"",""23"",""7"",""1240"",""1254"",""The paper presents a programming language, DSystemJ, for dynamic distributed Globally Asynchronous Locally Synchronous (GALS) systems, its formal model of computation, formal syntax and semantics, its compilation and implementation. The language is aimed at dynamic distributed systems, which use socket based communication protocols for communicating between components. DSystemJ allows the creation and control at runtime of asynchronous processes called clock-domains, their mobility on a distributed execution platform, as well as the runtime reconfiguration of the system's functionality and topology. As DSystemJ is based on a GALS model of computation and has a formal semantics, it offers very safe mechanisms for implementation of distributed systems, as well as potential for their formal verification. The details and principles of its compilation, as well as its required runtime support are described. The runtime support is implemented in the SystemJ GALS language that can be considered as a static subset of DSystemJ."",""1558-2183"","""",""10.1109/TPDS.2011.258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060805"",""GALS systems";distributed programming;dynamic reconfiguration;weak mobility;formal model of computation;semantics;CSP;\pi-calculus;SystemJ;"DSystemJ."",""Runtime";Semantics;Cameras;Java;Kernel;"Synchronization"","""",""2"","""",""32"",""IEEE"",""25 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Generalized Recursive Circulant Graphs,""S. -M. Tang"; Y. -L. Wang;" C. -Y. Li"",""Fu Hsing Kang School, National Defense University, Taipei, Taiwan"; Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan;" Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Nov 2011"",""2012"",""23"",""1"",""87"",""93"",""In this paper, we propose a new class of graphs called generalized recursive circulant graphs which is an extension of recursive circulant graphs. While retaining attractive properties of recursive circulant graphs, the new class of graphs achieve more flexibility in varying the number of vertices. Some network properties of recursive circulant graphs, like degree, connectivity and diameter, are adapted to the new graph class with more concise expression. In particular, we use a multidimensional vertex labeling scheme in generalized recursive circulant graphs. Based on the labeling scheme, a shortest path routing algorithm for the graph class is proposed. The correctness of the routing algorithm is also proved in this paper."",""1558-2183"","""",""10.1109/TPDS.2011.109"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740870"",""Circulant graphs";recursive circulant graphs;generalized recursive circulant graphs;shortest path;routing algorithms;diameter;"bipartite graphs."",""Routing";Labeling;Indexes;Electronic mail;Cities and towns;Transforms;"Hypercubes"","""",""10"","""",""26"",""IEEE"",""5 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"GPU Acceleration of Runge-Kutta Integrators,""L. Murray"",""CSIRO Mathematics, Informatics and Statistics, Wembley, WA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Nov 2011"",""2012"",""23"",""1"",""94"",""101"",""We consider the use of commodity graphics processing units (GPUs) for the common task of numerically integrating ordinary differential equations (ODEs), achieving speedups of up to 115-fold over comparable serial CPU implementations, and 15-fold over multithreaded CPU code with SIMD intrinsics. Using Lorenz '96 models as a case study, single and double precision benchmarks are established for both the widely used DOPRI5 method and computationally tailored low-storage RK4(3)5[2R+]C. A range of configurations are assessed on each, including multithreading and SIMD intrinsics on the CPU, and GPU kernels parallelized over both the dimensionality of the ODE system and number of trajectories. On the GPU, we draw particular attention to the problem of variable task-length among threads of the same warp, proposing a lightweight strategy of assigning multiple data items to each thread to reduce the prevalence of redundant operations. A simple analysis suggests that the strategy can draw performance close to that of ideal parallelism, while empirical results demonstrate up to a 10 percent improvement over the standard approach."",""1558-2183"","""",""10.1109/TPDS.2011.61"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5710898"",""Ordinary differential equations";initial value problems;Runge-Kutta integration;graphics hardware;"GPGPU."",""Graphics processing unit";Instruction sets;Trajectory;Registers;Benchmark testing;Memory management;"Runtime"","""",""52"","""",""19"",""IEEE"",""10 Feb 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Grouping-Enhanced Resilient Probabilistic En-Route Filtering of Injected False Data in WSNs,""J. Li"; L. Yu; H. Gao;" S. Xiong"",""School of Computer Science and Technology, Harbin Institute of Technology, Harbin, Heilongjiang, China"; Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, Heilongjiang, China;" IBM China Research Laboratory, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2012"",""2012"",""23"",""5"",""881"",""889"",""In wireless sensor networks, the adversary may inject false reports to exhaust network energy or trigger false alarms with compromised sensor nodes. In response to the problems of existing schemes on the security resiliency, applicability and filtering effectiveness, this paper proposes a scheme, referred to as Grouping-enhanced Resilient Probabilistic En-route Filtering (GRPEF). In GRPEF, an efficient distributed algorithm is proposed to group nodes without incurring extra groups, and a multiaxis division based approach for deriving location-aware keys is used to overcome the threshold problem and remove the dependence on the sink immobility and routing protocols. Compared to the existing schemes, GRPEF significantly improves the effectiveness of the en-route filtering and can be applied to the sensor networks with mobile sinks while reserving the resiliency."",""1558-2183"","""",""10.1109/TPDS.2011.217"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5989800"",""Wireless sensor networks";network security;node compromise;false data injection;en-route filtering;"mobile sink."",""Sensors";Authentication;Wireless sensor networks;Routing;Shape;Mobile communication;"Probabilistic logic"","""",""4"","""",""14"",""IEEE"",""18 Aug 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Hamiltonian Decomposition of the Rectangular Twisted Torus,""P. K. Jha";" R. Prasad"",""Department of Computer Science, Saint Cloud State University, Saint Cloud, MN, USA";" Department of Computer Science, Saint Cloud State University, Saint Cloud, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2012"",""2012"",""23"",""8"",""1504"",""1507"",""We show that the 2a\times a rectangular twisted torus introduced by Cámara et al. [5] is edge decomposable into two Hamiltonian cycles. In the process, the 2a × a × a prismatic twisted torus is edge decomposable into three Hamiltonian cycles, and the 2a × a × a prismatic doubly twisted torus admits two edge-disjoint Hamiltonian cycles."",""1558-2183"","""",""10.1109/TPDS.2011.288"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095529"",""Graphs and networks";rectangular twisted torus;Hamiltonian decomposition;multiprocessor interconnection;"fault tolerance."",""Computers";Topology;Hypercubes;Color;"Publishing"","""",""7"","""",""15"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Hamiltonian Embedding in Crossed Cubes with Failed Links,""D. Wang"",""Department of Computer Science, Montclair State University, Montclair, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Sep 2012"",""2012"",""23"",""11"",""2117"",""2124"",""The crossed cube is a prominent variant of the well known, highly regular-structured hypercube. In [24], it is shown that due to the loss of regularity in link topology, generating Hamiltonian cycles, even in a healthy crossed cube, is a more complicated procedure than in the hypercube, and fewer Hamiltonian cycles can be generated in the crossed cube. Because of the importance of fault-tolerance in interconnection networks, in this paper, we treat the problem of embedding Hamiltonian cycles into a crossed cube with failed links. We establish a relationship between the faulty link distribution and the crossed cube's tolerability. A succinct algorithm is proposed to find a Hamiltonian cycle in a CQn tolerating up to n-2 failed links."",""1558-2183"","""",""10.1109/TPDS.2012.30"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6133282"",""Crossed cube";embedding;fault tolerance;faulty links;Hamiltonian cycle;"interconnection networks"",""Hypercubes";Fault tolerance;Fault tolerant systems;Lead;Joining processes;"Proposals"","""",""21"","""",""26"",""IEEE"",""17 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"High-Performance Energy-Efficient Multicore Embedded Computing,""A. Munir"; S. Ranka;" A. Gordon-Ross"",""Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA;" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""684"",""700"",""With Moore's law supplying billions of transistors on-chip, embedded systems are undergoing a transition from single-core to multicore to exploit this high-transistor density for high performance. Embedded systems differ from traditional high-performance supercomputers in that power is a first-order constraint for embedded systems";" whereas, performance is the major benchmark for supercomputers. The increase in on-chip transistor density exacerbates power/thermal issues in embedded systems, which necessitates novel hardware/software power/thermal management techniques to meet the ever-increasing high-performance embedded computing demands in an energy-efficient manner. This paper outlines typical requirements of embedded applications and discusses state-of-the-art hardware/software high-performance energy-efficient embedded computing (HPEEC) techniques that help meeting these requirements. We also discuss modern multicore processors that leverage these HPEEC techniques to deliver high performance per watt. Finally, we present design challenges and future research directions for HPEEC system development."",""1558-2183"","""",""10.1109/TPDS.2011.214"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5963659"",""High-performance computing (HPC)";multicore;energy-efficient computing;green computing;low power;"embedded systems."",""Embedded systems";Multicore processing;Supercomputers;Software reliability;"Layout"","""",""40"",""1"",""69"",""IEEE"",""28 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
