"A novel channel-adaptive uplink access control protocol for nomadic computing,""Yu-Kwong Kwok";" V. K. N. Lau"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China";" Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1150"",""1165"",""We consider the uplink access control problem in a mobile nomadic computing system, which is based on a cellular phone network in that a user can use the mobile device to transmit voice or file data. This resource management problem is important because an efficient solution to uplink access control is critical for supporting a large user population with a reasonable level of quality of service (QoS). While there are a number of recently proposed protocols for uplink access control, these protocols possess a common drawback in that they do not adapt well to the burst error properties, which are inevitable in using wireless communication channels. We propose a novel TDMA-based uplink access protocol, which employs a channel state dependent allocation strategy. Our protocol is motivated by two observations: (1) when channel state is bad, the throughput is low due to the large amount of FEC (forward error correction) or excessive ARQ (automatic repeated request) that is needed and (2) because of item 1, much of the mobile device's energy is wasted. The proposed protocol works closely with the underlying physical layer in that, through observing the channel state information (CSI) of each mobile device, the MAC protocol first segregates a set of users with good CSI from requests gathered in the request contention phase of an uplink frame. The protocol then judiciously allocates channel bandwidth to contending users based on their channel conditions. Simulation results indicate that the proposed protocol considerably outperforms five state-of-the-art protocols in terms of packet loss, delay, and throughput."",""1558-2183"","""",""10.1109/TPDS.2002.1058098"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058098"","""",""Access control";Access protocols;Mobile computing;Quality of service;Wireless application protocol;Throughput;Forward error correction;Computer networks;Cellular networks;"Resource management"","""",""18"","""",""23"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Hypercube algorithms on mesh connected multicomputers,""L. D. de Cerio"; M. Valero-Garcia;" A. Gonzalez"",""Computer Architecture Department, Universitat Politecnica de Catalunya, Barcelona, Spain"; Computer Architecture Department, Universitat Politecnica de Catalunya, Barcelona, Spain;" Computer Architecture Department, Universitat Politecnica de Catalunya, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1247"",""1260"",""A new methodology named CALMANT (CC-cube Algorithms on Meshes and Tori) for mapping a type of algorithm that we call CC-cube algorithm onto multicomputers with hypercube, mesh, or torus interconnection topology is proposed. This methodology is suitable when the initial problem can be expressed as a set of processes that communicate through a hypercube topology (a CC-cube algorithm). There are many important algorithms that fit into the CC-cube type. CALMANT is based on three different techniques: (a) the standard embedding to assign the processes of the algorithm to the nodes of the mesh multicomputer"; (b) the communication pipelining technique to increase the level of communication parallelism inherent in the CC-cube algorithms;" and (c) optimal message-scheduling algorithms proposed in this work in order to avoid conflicts and minimizing in this way the communication time. Although CALMANT is proposed for multicomputers with different interconnection network topologies, the paper only focuses on the particular case of meshes."",""1558-2183"","""",""10.1109/TPDS.2002.1158263"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158263"","""",""Hypercubes";Network topology;Pipeline processing;Partitioning algorithms;Communication standards;Multiprocessor interconnection networks;Computer architecture;Parallel processing;Computer Society;"Computer networks"","""",""4"","""",""14"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;
"Integrated Network Barriers,""J. Stamatopoulos";" J. A. Solworth"",""Lucent Technologies, Inc., Naperville, IL, USA";" Department of Computer Science, University of Illinois, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""4"",""337"",""348"",""Integrated network barriers (INBs) are network protocols for parallel processors. INBs are both pipelinable and have low latency. In this paper, we show that INBs implement barriers-which ensure that all prebarrier operations of any processor appear to complete before any post-barrier operations-and we show how to construct efficient, deadlock-free barriers for any interconnection network and routing function which has an acyclic queue dependency graph. As a special case, INBs can be implemented for any network and routing function for which there exists an acyclic channel dependency graph."",""1558-2183"","""",""10.1109/71.995814"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995814"","""",""Routing";Protocols;Delay;System recovery;"Multiprocessor interconnection networks"","""",""1"","""",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Integrated performance models for SPMD applications and MIMD architectures,""P. Cremonesi";" C. Gennaro"",""Dipartimento di Elettronica e Informazione, Politecnico di Milano, Milan, Italy";" Istituto di Elaborazione della Informazione, CNR, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1320"",""1332"",""This paper introduces queuing network models for the performance analysis of SPMD applications executed on general-purpose parallel architectures such as MIMD and clusters of workstations. The models are based on the pattern of computation, communication, and I/O operations of typical parallel applications. Analysis of the models leads to the definition of speedup surfaces which capture the relative influence of processors and I/O parallelism and show the effects of different hardware and software components on the performance. Since the parameters of the models correspond to measurable program and hardware characteristics, the models can be used to anticipate the performance behavior of a parallel application as a function of the target architecture (i.e., number of processors, number of disks, I/O topology, etc)."",""1558-2183"","""",""10.1109/TPDS.2002.1158268"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158268"","""",""Computer architecture";Performance analysis;Application software;Hardware;Queueing analysis;Parallel architectures;Workstations;Concurrent computing;Parallel processing;"Software performance"","""",""5"","""",""50"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Integrated performance models for SPMD applications and MIMD architectures,""P. Cremonesi";" C. Gennaro"",""Dipartimento Elettronica, Politecnico di Milano, Milan, Italy";" Politecnico di Milano, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""745"",""757"",""Introduces queuing network models for the performance analysis of SPMD (single-program, multiple-data) applications executed on general-purpose parallel architectures such as MIMD (multiple-input, multiple data) and clusters of workstations. The models are based on the pattern of computation, communication and I/O operations of typical parallel applications. Analysis of the models leads to the definition of speedup surfaces which capture the relative influence of processors and I/O parallelism and show the effects of different hardware and software components on the performance. Since the parameters of the models correspond to measurable program and hardware characteristics, the models can be used to anticipate the performance behavior of a parallel application as a function of the target architecture (i.e. the number of processors, number of disks, I/O topology, etc.)."",""1558-2183"","""",""10.1109/TPDS.2002.1019862"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019862"","""",""Performance analysis";Application software;Hardware;Queueing analysis;Parallel architectures;Workstations;Concurrent computing;Parallel processing;Software performance;"Computer architecture"","""",""5"","""",""50"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Integration of pricing with call admission control to meet QoS requirements in cellular networks,""Jiongkuan Hou"; Jie Yang;" S. Papavassiliou"",""Broadband, Mobile and Wireless Networking Laboratory, Department of Electrical and Computer Engineering, New Jersey Center for Wireless Telecommunications, Newark, NJ, USA"; Broadband, Mobile and Wireless Networking Laboratory, Department of Electrical and Computer Engineering, New Jersey Center for Wireless Telecommunications, Newark, NJ, USA;" Broadband, Mobile and Wireless Networking Laboratory, Department of Electrical and Computer Engineering, New Jersey Center for Wireless Telecommunications, Newark, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""898"",""910"",""Call admission control (CAC) plays a significant role in providing the desired quality of service (QoS) in cellular networks. We investigate the role of pricing as an additional dimension of the call admission control process in order to efficiently and effectively control the use of wireless network resources. First, we prove that, for a given wireless network, there exists a new call arrival rate which can maximize the total utility of users while maintaining the required QoS. Based on this result and observation, we propose an integrated pricing and call admission control scheme where the price is adjusted dynamically based on the current network conditions in order to alleviate the problem of congestion. Our proposed integrated approach implicitly implements a distributed user-based prioritization mechanism by providing negative incentives according to the current network conditions and therefore shaping the aggregate traffic in the network. We compare the performance of our approach in terms of congestion prevention, achievable total user utility, and obtained revenue, with the corresponding results of conventional systems where pricing is not taken into consideration in the call admission control process. These performance results verify the considerable improvement that can be achieved by the integration of pricing in the call admission control process in cellular networks."",""1558-2183"","""",""10.1109/TPDS.2002.1036064"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036064"","""",""Pricing";Call admission control;Intelligent networks;Land mobile radio cellular systems;Quality of service;Wireless networks;Admission control;Resource management;Aggregates;"Communication system traffic control"","""",""107"","""",""20"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Lazy garbage collection of recovery state for fault-tolerant distributed shared memory,""F. Sultan"; T. D. Nguyen;" L. Iftode"",""The Department of Computer Science, Rutgers University, Piscataway, NJ, USA"; The Department of Computer Science, Rutgers University, Piscataway, NJ, USA;" The Department of Computer Science, Rutgers University, Piscataway, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""10"",""1085"",""1098"",""We address the problem of garbage collection in a single-failure fault-tolerant home-based lazy release consistency (HLRC) distributed shared-memory (DSM) system based on independent checkpointing and logging. Our solution uses laziness in garbage collection and exploits consistency constraints of the HLRC memory model for low overhead and scalability. We prove safe bounds on the state that must be retained in the system to guarantee correct recovery after a failure. We devise two algorithms for garbage collection of checkpoints and logs, checkpoint garbage collection (CGC), and lazy log trimming (LLT). The proposed approach targets large-scale distributed shared-memory computing on local-area clusters of computers. The challenge lies in controlling the size of the logs and the number of checkpoints without global synchronization while tolerating transient disruptions in communication. Evaluation results for real applications show that it effectively bounds the number of past checkpoints to be retained and the size of the logs in stable storage."",""1558-2183"","""",""10.1109/TPDS.2002.1041885"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041885"","""",""Fault tolerance";Distributed computing;Fault tolerant systems;Checkpointing;Scalability;Clustering algorithms;Large-scale systems;Size control;Communication system control;"Application software"","""",""1"",""1"",""37"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Lazy garbage collection of recovery state for fault-tolerant distributed shared memory,""F. Sultan"; T. D. Nguyen;" L. Iftode"",""Department of Computer Science, Rutgers University, Piscataway, NJ, USA"; Department of Computer Science, Rutgers University, Piscataway, NJ, USA;" Department of Computer Science, Rutgers University, Piscataway, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""673"",""686"",""In this paper, we address the problem of garbage collection in a single-failure fault-tolerant home-based lazy release consistency (HLRC) distributed shared-memory (DSM) system based on independent checkpointing and logging. Our solution uses laziness in garbage collection and exploits consistency constraints of the HLRC memory model for low overhead and scalability. We prove safe bounds on the state that must be retained in the system to guarantee correct recovery after a failure. We devise two algorithms for garbage collection of checkpoints and logs, checkpoint garbage collection (CGC), and lazy log trimming (LLT). The proposed approach targets large-scale distributed shared-memory computing on local-area clusters of computers. In such systems, using global synchronization or extra communication for garbage collection is inefficient or simply impractical due to system scale and temporary disconnections in communication. The challenge lies in controlling the size of the logs and the number of checkpoints without global synchronization while tolerating transient disruptions in communication. Our garbage collection scheme is completely distributed, does not force processes to synchronize, does not add extra messages to the base DSM protocol, and uses only the available DSM protocol information. Evaluation results for real applications show that it effectively bounds the number of past checkpoints to be retained and the size of the logs in stable storage."",""1558-2183"","""",""10.1109/TPDS.2002.1019857"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019857"","""",""Fault tolerance";Distributed computing;Protocols;Fault tolerant systems;Checkpointing;Scalability;Clustering algorithms;Large-scale systems;Size control;"Communication system control"","""",""2"",""1"",""37"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Learning to classify parallel input/output access patterns,""T. M. Madhyastha";" D. A. Reed"",""Department of Computer Engineering, University of California, Santa Cruz, CA, USA";" Department of Computer science, University of Illinois, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""8"",""802"",""813"",""Input/output performance on current parallel file systems is sensitive to a good match of application access patterns to file system capabilities. Automatic input/output access pattern classification can determine application access patterns at execution time, guiding adaptive file system policies. In this paper, we examine and compare two novel input/output access pattern classification methods based on learning algorithms. The first approach uses a feedforward neural network previously trained on access pattern benchmarks to generate qualitative classifications. The second approach uses hidden Markov models trained on access patterns from previous executions to create a probabilistic model of input/output accesses. In a parallel application, access patterns can be recognized at the level of each local thread or as the global interleaving of all application threads. Classification of patterns at both levels is important for parallel file system performance";" we propose a method for forming global classifications from local classifications. We present results from parallel and sequential benchmarks and applications that demonstrate the viability of this approach."",""1558-2183"","""",""10.1109/TPDS.2002.1028437"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1028437"","""",""File systems";Pattern classification;Hidden Markov models;Pattern matching;Adaptive systems;Neural networks;Feedforward neural networks;Pattern recognition;"Interleaved codes"","""",""42"",""1"",""23"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Load balanced and optimal disk allocation strategy for partial match queries on multidimensional files,""S. K. Das";" C. M. Pinotti"",""The Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA";" The Department of Computer Science and Telecommunications, University of Trento, Povo, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1211"",""1219"",""A multidimensional file is one whose data are characterized by several attributes, each specified in a given domain. A partial match query on a multidimensional file extracts all data whose attributes match the values of one or more attributes specified in the query. The disk allocation problem of a multidimensional file F on a database system with multiple disks accessible in parallel is the problem of distributing F among the disks such that the data qualifying for each partial match query are distributed as evenly as possible among the disks of the system. We propose an optimal solution to this problem for multidimensional files with pairwise prime domains based on a large and flexible class of maximum distance separable codes, namely, the redundant residue codes. We also introduce a new family of residue codes, called the redundant nonpairwise prime residue codes, to deal with files whose attribute domains are nonpairwise prime."",""1558-2183"","""",""10.1109/TPDS.2002.1158260"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158260"","""",""Multidimensional systems";Database systems;Information retrieval;Spatial databases;Data mining;Web sites;Time factors;"Terminology"","""",""1"","""",""11"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Locating mobile agents in a wide distributed environment,""A. Di Stefano";" C. Santoro"",""Facoltà di Ingegneria, Dipartimento di Ingegneria Informatica e delle Telecomunicazioni, Università Catania, Catania, Italy";" Facoltà di Ingegneria, Dipartimento di Ingegneria Informatica e delle Telecomunicazioni, Università Catania, Catania, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""8"",""844"",""864"",""Finding the position of a mobile agent in a wide distributed system still represents an open research issue. The paper proposes a naming scheme and a location protocol of general validity for mobile agents able to effectively meet all the typical requirements of mobile agent environments and, thus, easy to integrate into different platforms. The paper identifies the main characteristics which an agent naming scheme and a location protocol of general validity should have, and suggests some properties and parameters to be taken into account to evaluate the effectiveness of naming schemes and location protocols. Then, we propose a """"human readable"""" agent naming scheme based on the distributed environment outlined in MASIF, and a suitable location finding protocol called the Search-By-Path-Chase. Both of them are compared with some of the solutions already provided, using the properties and the parameters suggested. The performances are finally evaluated by means of a set of measurements."",""1558-2183"","""",""10.1109/TPDS.2002.1028440"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1028440"","""",""Mobile agents";Protocols;Programming profession;Performance evaluation;Power system modeling;Scalability;"Humans"","""",""20"","""",""46"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Low-cost task scheduling for distributed-memory machines,""A. Radulescu";" A. J. C. van Gemund"",""Philips Research Laboratories, Eindhoven, Netherlands";" Delft University of Technnology, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""648"",""658"",""In compile-time task scheduling for distributed-memory systems, list scheduling is generally accepted as an attractive approach, since it pairs low cost with good results. List-scheduling algorithms schedule tasks in order of their priority. This priority can be computed either (1) statically, before the scheduling, or (2) dynamically, during the scheduling. In this paper, we show that list scheduling with statically-computed priorities (LSSP) can be performed at a significantly lower cost than existing approaches, without sacrificing performance. Our approach is general, i.e. it can be applied to any LSSP algorithm. The low complexity is achieved by using low-complexity methods for the most time-consuming parts in list-scheduling algorithms, i.e. processor selection and task selection, preserving the criteria used in the original algorithms. We exemplify our method by applying it to the MCP (Modified Critical Path) algorithm. Using an extension of this method, we can also reduce the time complexity of a particular class of list scheduling with dynamic priorities (LSDP) [including algorithms such as DLS (Dynamic Level Scheduling), ETF (Earliest Task First) and ERT (Earliest Ready Task)]. Our results confirm that the modified versions of the list-scheduling algorithms obtain a performance comparable to their original versions, yet at a significantly lower cost. We also show that the modified versions of the list-scheduling algorithms consistently outperform multi-step algorithms, such as DSC-LLB (Dynamic Sequence Clustering with List Load Balancing), which also have higher complexity and clearly outperform algorithms in the same class of complexity, such as CPM (Critical Path Method)."",""1558-2183"","""",""10.1109/TPDS.2002.1011417"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011417"","""",""Processor scheduling";Scheduling algorithm;Costs;Dynamic scheduling;Computer Society;"Heuristic algorithms"","""",""64"",""1"",""33"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Matching and scheduling algorithms for minimizing execution time and failure probability of applications in heterogeneous computing,""A. Dogan";" F. Ozguner"",""Department of Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA";" Department of Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""308"",""323"",""In a heterogeneous distributed computing system, machine and network failures are inevitable and can have an adverse effect on applications executing on the system. To reduce the effect of failures on an application executing on a failure-prone system, matching and scheduling algorithms which minimize not only the execution time but also the probability of failure of the application must be devised. However, because of the conflicting requirements, it is not possible to minimize both of the objectives at the same time. Thus, the goal of this paper is to develop matching and scheduling algorithms which account for both the execution time and the reliability of the application. This goal is achieved by modifying an existing matching and scheduling algorithm. The reliability of resources is taken into account using an incremental cost function proposed in this paper and the new algorithm is referred to as the reliable dynamic level scheduling algorithm. The incremental cost function can be defined based on one of the three cost functions developed here. These cost functions are unique in the sense that they are not restricted to tree-based networks and a specific matching and scheduling algorithm. The simulation results confirm that the proposed incremental cost function can be incorporated into matching and scheduling algorithms to produce schedules where the effect of failures of machines and network resources on the execution of the application is reduced and the execution time of the application is minimized as well."",""1558-2183"","""",""10.1109/71.993209"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993209"","""",""Scheduling algorithm"","""",""144"",""7"",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"MediaWorm: a QoS capable router architecture for clusters,""Ki Hwan Yum"; Eun Jung Kim; C. R. Das;" A. S. Vaidya"",""Department of Comuter Science and Engineering, Pennsylvania State University, PA, USA"; Department of Comuter Science and Engineering, Pennsylvania State University, PA, USA; Department of Comuter Science and Engineering, Pennsylvania State University, PA, USA;" Intel Corporation, Santa Clara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1261"",""1274"",""With the increasing use of clusters in real-time applications, it has become essential to design high-performance networks with quality-of-service (QoS) guarantees. We explore the feasibility of providing QoS in wormhole switched routers, which are widely used in designing scalable, high-performance cluster interconnects. In particular, we are interested in supporting multimedia video streams with CBR and VBR traffic, in addition to the conventional best-effort traffic. The proposed MediaWorm router uses a rate-based bandwidth allocation mechanism, called Fine-Grained VirtualClock (FGVC), to schedule network resources for different traffic classes. Our simulation results on an 8-port router indicate that it is possible to provide jitter-free delivery to VBR/CBR traffic up to an input load of 70-80 percent of link bandwidth and the presence of best-effort traffic has no adverse effect on real-time traffic. Although the MediaWorm router shows a slightly lower performance than a pipelined circuit switched (PCS) router, commercial success of wormhole switching, coupled with simpler and cheaper design, makes it an attractive alternative. Simulation of a (2/spl times/2) fat-mesh using this router shows performance comparable to that of a single switch and suggests that clusters designed with appropriate bandwidth balance between links can provide required performance for different types of traffic."",""1558-2183"","""",""10.1109/TPDS.2002.1158264"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158264"","""",""Traffic control";Telecommunication traffic;Streaming media;Bandwidth;Switching circuits;Switches;Quality of service;Integrated circuit interconnections;Channel allocation;"Personal communication networks"","""",""10"",""1"",""46"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;
"Mesh partitioning for efficient use of distributed systems,""J. Chen";" V. E. Taylor"",""Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA";" Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""67"",""79"",""Mesh partitioning for homogeneous systems has been studied extensively"; however, mesh partitioning for distributed systems is a relatively new area of research. To ensure efficient execution on a distributed system, the heterogeneities in the processor and network performance must be taken into consideration in the partitioning process; equal size subdomains and small cut set size, which results from conventional mesh partitioning, are no longer the primary goals. In this paper, we address various issues related to mesh partitioning for distributed systems. These issues include the metric used to compare different partitions, efficiency of the application executing on a distributed system, and the advantage of exploiting heterogeneity in network performance. We present a tool called PART, for automatic mesh partitioning for distributed systems. The novel feature of PART is that it considers heterogeneities in the application and the distributed system. Simulated annealing is used in PART to perform the backtracking search for desired partitions. While it is well-known that simulated annealing is computationally intensive, we describe the parallel version of simulated annealing that is used with PART. The results of the parallelization exhibit superlinear speedup in most cases and nearly perfect speedup for the remaining cases. Experimental results are also presented for partitioning regular and irregular finite element meshes for an explicit, nonlinear finite element application, called WHAMS2D, executing on a distributed system consisting of two IBM SPs with different processors. The results from the regular problems indicate a 33 to 46 percent increase in efficiency when processor performance is considered as compared to the conventional even partitioning. The results indicate a 5 to 15 percent increase in efficiency when network performance is considered as compared to considering only processor performance;" this is significant given that the optimal improvement is 15 percent for this application. The results from the irregular problem indicate up to 36 percent increase in efficiency when processor and network performance are considered as compared to even partitioning."",""1558-2183"","""",""10.1109/71.980027"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980027"","""",""Computational modeling";Simulated annealing;Finite element methods;"Concurrent computing"","""",""21"","""",""39"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Native data representation: An efficient wire format for high-performance distributed computing,""G. Eisenhauer"; F. E. Bustamante;" K. Schwan"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA;" College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1234"",""1246"",""New trends in high-performance software development such as tool- and component-based approaches have increased the need for flexible and high-performance communication systems. When trying to reap the well-known benefits of these approaches, the question of what communication infrastructure should be used to link the various components arises. In this context, flexibility and high-performance seem to be incompatible goals. Traditional HPC-style communication libraries, such as MPI, offer good performance, but are not intended for loosely-coupled systems. Object- and metadata-based approaches like XML offer the needed plug-and-play flexibility, but with significantly lower performance. We observe that the flexibility and baseline performance of data exchange systems are strongly determined by their wire formats, or by how they represent data for transmission in heterogeneous environments. After examining the performance implications of using a number of different wire formats, we propose an alternative approach for flexible high-performance data exchange, Native Data Representation, and evaluate its current implementation in the portable binary I/O library."",""1558-2183"","""",""10.1109/TPDS.2002.1158262"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158262"","""",""Wire";Distributed computing;XML;Context;Software tools;Costs;Programming;Software libraries;Communication system software;"Computer applications"","""",""13"",""13"",""29"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Near-optimal all-to-all broadcast in multidimensional all-port meshes and tori,""Yuanyuan Yang";" Jianchao Wang"",""Department of Electrical & Computer Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA";" Data Treasury Corporation, Melville, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""2"",""128"",""141"",""All-to-all communication is one of the most dense collective communication patterns and occurs in many important applications in parallel and distributed computing. In this paper, we present a new all-to-all broadcast algorithm in multidimensional all-port mesh and torus networks. We propose a broadcast pattern which ensures a balanced traffic load in all dimensions in the network so that the all-to-all broadcast algorithm can achieve a very tight near-optimal transmission time. The algorithm also takes advantage of overlapping of message switching time and transmission time, and the total communication delay asymptotically matches the lower bound of all-to-all broadcast. Finally, the algorithm is conceptually simple and symmetrical for every message and every node so that it can be easily implemented in hardware and achieves the near-optimum in practice."",""1558-2183"","""",""10.1109/71.983941"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983941"","""",""Broadcasting";Multidimensional systems;Distributed computing;Senior members;Computer Society;Application software;Telecommunication traffic;Communication switching;Delay effects;"Hardware"","""",""25"","""",""22"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Observations on using genetic-algorithms for channel allocation in mobile computing,""A. Y. Zomaya";" M. Wright"",""School of Information Technologies, University of Sydney, Sydney, Australia";" Motorola, Inc., Perth, WA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""948"",""962"",""This paper highlights the potential of using genetic algorithms to solve cellular resource allocation problems. The objective in this work is to gauge how well a GA-based channel borrower performs when compared to a greedy borrowing heuristic. This is needed to establish how suited GA-like (stochastic search) algorithms are for the solution of optimization problems in mobile computing environments. This involves the creation of a simple mobile networking resource environment and design of a GA-based channel borrower that works within this environment. A simulation environment is also built to compare the performance of the GA-based channel-borrowing method with the heuristic. To enhance the performance of the GA, extra attention is paid to developing an improved mutation operator. The performance of the new operator is evaluated against the heuristic borrowing scheme. For a real-time implementation, the GA needs to have the properties of a micro GA strategy. This involves making improvements to the crossover operator and evaluation procedure so the GA can converge to a """"good"""" solution rapidly."",""1558-2183"","""",""10.1109/TPDS.2002.1036068"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036068"","""",""Channel allocation";Mobile computing;Resource management;Availability;Bandwidth;Radio frequency;Radio spectrum management;Microcell networks;Genetic algorithms;"Land mobile radio cellular systems"","""",""29"","""",""20"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"On computing the upper envelope of segments in parallel,""Wei Chen";" Koichi Wada"",""The Deaartment of Information and Telecommunication Engineering, Nanzan University, Seto, Aichi, Japan";" The Department of and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""5"",""13"",""Given a collection of segments in the plane, if we regard the segments as opaque barriers, their upper envelope consists of the portions of the segments visible from point (0, +/spl infin/). In this paper, we present deterministic parallel methods for constructing the upper envelope of segments on the weakest shared-memory model, the EREW PRAM. We show that we can find the upper envelope of n line segments optimally in 0(logn) time using 0(n) processors. Furthermore, if the segments are nonintersecting and their endpoints are sorted in x-coordinate, then we can reduce the number of processors to 0(n/ logn). Our method implies that we can find the upper envelope sequentially in 0(n log log n) time, which improves previous results. We also show that we can find the upper envelope of n k-intersecting segments (any pair of the segments intersects at most k times) with a slightly larger time and processor bound."",""1558-2183"","""",""10.1109/71.980023"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980023"","""",""Concurrent computing"","""",""1"","""",""21"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
