"A dynamic information-structure mutual exclusion algorithm for distributed systems,""M. Singhal"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""121"",""125"",""A dynamic information-structure mutual exclusion algorithm is presented for distributed systems whose information-structure evolves with time as sites learn about the state of the system through messages. An interesting feature of the algorithm is that it adapts itself to heterogeneous or fluctuating traffic conditions to optimize the performance (the number of messages exchanged). The performance of the algorithm is studied by simulation technique and compared to the performance of a well-known mutual exclusion algorithm. The impact message loss and site failures on the algorithm is discussed and methods to tolerate these failures are proposed.<>"",""1558-2183"","""",""10.1109/71.113087"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113087"","""",""Communication networks";Algorithm design and analysis;Traffic control;Performance loss;Message passing;Propagation delay;Telecommunication network reliability;Computer crashes;Fault tolerance;"Permission"","""",""55"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Efficient processor assignment algorithms and loop transformations for executing nested parallel loops on multiprocessors,""Chien-Min Wang";" Sheng-De Wang"",""Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan";" Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""71"",""82"",""An important issue for the efficient use of multiprocessor systems is the assignment of parallel processors to nested parallel loops. It is desirable for a processor assignment algorithm to be fast and always generate an optimal processor assignment. The paper proposes two efficient algorithms to decide the optimal number of processors assigned to each individual loop. Efficient parallel counterparts of these two algorithms are also presented. These algorithms not only always generate an optimal processor assignment, but also are much faster than the exiting optimal algorithm in the literature. The paper discusses improving the performance of parallel execution by transforming a nested parallel loop into a semantically equivalent one. Three loop transformations are investigated. It is observed that, in most cases, the parallel execution time is improved after applying these transformations.<>"",""1558-2183"","""",""10.1109/71.113083"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113083"","""",""Parallel processing";Multiprocessing systems;Dynamic scheduling;Runtime;Logic;Concurrent computing;Processor scheduling;Councils;Memory management;"Scheduling algorithm"","""",""12"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Efficient task migration algorithm for distributed systems,""T. T. Y. Suen";" J. S. K. Wong"",""Department of Computer Science, Iowa State University, Ames, IA, USA";" Department of Computer Science, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""488"",""499"",""The objective of the study was to achieve balanced load among processors, reduce the communication overhead of the load balancing algorithm, and improve respource utilization, which results in better average resonse time. A communication protocol and a fully distributed algorithm for dynamic load balancing through task migration in a connected N-processor network are presented. Each processor communicates its load directly with only a subset (of the size square root N) of processors, reducing communication traffic and average response time. It is proved that the given algorithm will perform task migration even if there is only one light load processor and one heavy load processor in the system. Simulation results show that the proposed scheme can save up to 60% of the protocol messages used by the broadcast algorithms and can reduce the average response time.<>"",""1558-2183"","""",""10.1109/71.149966"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149966"","""",""Load management";Protocols;Delay;Distributed algorithms;Distributed control;Distributed computing;Resource management;Broadcasting;Computer networks;"Processor scheduling"","""",""42"",""1"",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Evaluation of NUMA memory management through modeling and measurements,""R. P. LaRowe"; C. S. Ellis;" M. A. Holliday"",""Center for High Performance Computing, Worcester Polytechnic Institute, Marlborough, MA, USA"; Department of Computer Science, Duke University, Durham, NC, USA;" Department of Computer Science, Duke University, Durham, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""686"",""701"",""Dynamic page placement policies for NUMA (nonuniform memory access time) shared-memory architectures are explored using two approaches that complement each other in important ways. The authors measure the performance of parallel programs running on the experimental DUnX operating system kernel for the BBN GP1000, which supports a highly parameterized dynamic page placement policy. They also develop and apply an analytic model of memory system performance of a local/remote NUMA architecture based on approximate mean-value analysis techniques. The model is validated against experimental data obtained with DUnX while running a synthetic workload. The results of this validation show that, in general, model predictions are quite good. Experiments investigating the effectiveness of dynamic page-placement and, in particular, dynamic multiple-copy page placement the cost of replication/coherency fault errors, and the cost of errors in deciding whether a page should move or be remotely referenced are described.<>"",""1558-2183"","""",""10.1109/71.180624"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180624"","""",""Memory management";Operating systems;Kernel;Time measurement;Performance analysis;Predictive models;Costs;Random access memory;Memory architecture;"System performance"","""",""23"",""3"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Evaluation of two traffic distribution strategies for a dual-network multiprocessor system,""S. Chalasani";" A. Varma"",""Department of Electrical and Computer Engineering, University of Wisconsin, Madison, WI, USA";" Department of Computer Engineering, University of California, Santa Cruz, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""375"",""384"",""The effect of nonuniform traffic patterns is studied based on simulation and analysis when two multistage networks are used in parallel to interconnect processors and memory modules in a shared-memory system. The networks considered are identical copies of buffered multi stage networks. The authors consider the following two strategies to distribute the total traffic between the two networks: distribute the traffic randomly among the networks, and route the nonuniform component of the traffic to one network and the uniform component to the other. To facilitate the implementation of these strategies in a system, a technique to detect nonuniformities in the network traffic at run-time and change the routing strategy dynamically is discussed. The authors compare this technique to an ideal scheme by means of analysis and simulation. The results show that the run-time detection scheme performs very close to the ideal case. The effectiveness of dual networks in tolerating short bursts of nonuniform traffic is also demonstrated.<>"",""1558-2183"","""",""10.1109/71.139210"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139210"","""",""Multiprocessing systems";Telecommunication traffic;Traffic control;Degradation;Multiprocessor interconnection networks;Analytical models;Runtime;Switches;Pattern analysis;"Routing"","""",""4"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Extended hypercube: a hierarchical interconnection network of hypercubes,""J. M. Kumar";" L. M. Patnaik"",""Microprocessor Applications Laboratory, Indian Institute of Science, Bangalore, India";" Microprocessor Applications Laboratory, Supercomputer Education and Research Center and the Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""45"",""57"",""A new interconnection topology-the extended hypercube-consisting of an interconnection network of k-cubes is discussed. The extended hypercube is a hierarchical, expansive, recursive structure with a constant predefined building block. The extended hypercube retains the positive features of the k-cube at different levels of hierarchy and at the same time has some additional advantages like reduced diameter and constant degree of a node. The paper presents an introduction to the topology of the extended hypercube and analyzes its architectural potential in terms of message routing and executing a class of highly parallel algorithms. Topological properties and performance studies of the extended hypercube are presented.<>"",""1558-2183"","""",""10.1109/71.113081"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113081"","""",""Hypercubes";Multiprocessor interconnection networks;Network topology;Routing;Integrated circuit interconnections;Parallel algorithms;Bandwidth;Costs;Hardware;"Microprocessors"","""",""94"",""15"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Heterogeneous distributed shared memory,""S. Zhou"; M. Stumm; K. Li;" D. Wortman"",""Computer Systems Research Institute, University of Toronto, Toronto, ONT, Canada"; Computer Systems Research Institute, University of Toronto, Toronto, ONT, Canada; Department of Computer Science, Princeton University, Princeton, NJ, USA;" Computer Systems Research Institute, University of Toronto, Toronto, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""540"",""554"",""The design, implementation, and performance of heterogeneous distributed shared memory (HDSM) are studied. A prototype HDSM system that integrates very different types of hosts has been developed, and a number of applications of this system are reported. Experience shows that despite a number of difficulties in data conversion, HDSM is implementable with minimal loss in functional and performance transparency when compared to homogeneous DSM systems.<>"",""1558-2183"","""",""10.1109/71.159038"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159038"","""",""Distributed computing";Concurrent computing;Message passing;Programming profession;Application software;Vehicles;Prototypes;Data conversion;Performance loss;"Access protocols"","""",""61"",""8"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Implementation of production systems on message-passing computers,""A. Acharya"; M. Tambe;" A. Gupta"",""School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA"; School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA;" Computer Systems Laboratory, University of Stanford, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""477"",""487"",""The authors examine the suitability of message-passing computers for parallel implementations of production systems. Two mappings for production systems on these computers, one targeted toward fine-grained message-passing machines and the other targeted toward medium-grained machines, are presented. Simulation results for the medium-grained mapping are presented, and it is shown that it is possible to exploit the available parallelism and to obtain reasonable speedups. The authors perform a detailed analysis of the results and suggest solutions for some of the problems.<>"",""1558-2183"","""",""10.1109/71.149965"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149965"","""",""Production systems";Concurrent computing;Delay;Parallel processing;Computer architecture;Process design;Computer networks;Computational modeling;Artificial intelligence;"Laboratories"","""",""18"","""",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Implementation of the conversation scheme in message-based distributed computer systems,""S. . -M. Yang";" K. H. Kim"",""Computer Science Engineering Department, University of Texas, Arlington, Arlington, TX, USA";" Department of Electrical and Computer Engineering, University of California, Irvine, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""555"",""572"",""Several different approaches for implementing conversations in message-based distributed computer systems (DCSs) are discussed. Two different exit control strategies (synchronous and asynchronous) and three different approaches to execution of the conversation acceptance test (centralized, decentralized, and semicentralized) are examined and compared in terms of system performance and implementation cost. An efficient approach to run-time management of recovery information based on an extension of the recovery cache scheme is also discussed. The two major types of conversation structures, name-linked recovery block and abstract data type conversations, are examined to analyze which execution approaches are the most efficient for each conversation structure. As a case study, an unmanned vehicle system is used to illustrate how the approaches can be used in a realistic real-time application.<>"",""1558-2183"","""",""10.1109/71.159039"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159039"","""",""Distributed computing";Centralized control;Control systems;System testing;System performance;Costs;Runtime;Information management;Vehicles;"Real time systems"","""",""10"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Interleaving a join sequence with semijoins in distributed query processing,""M. . -S. Chen";" P. S. Yu"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA";" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""611"",""621"",""The problem of combining join and semijoin reducers for distributed query processing is studied. An approach based on interleaving a join sequence with beneficial semijoins is proposed. A join sequence is mapped into a join sequence tree first. The join sequence tree provides an efficient way to identify for each semijoin its correlated semijoins as well as its reducible relations under the join sequence. In light of these properties, an algorithm for determining an effective sequence of join and semijoin reducers is developed. Examples are given to illustrate the results. They show the advantage of using a combination of joins and semijoins as reducers for distributed query processing.<>"",""1558-2183"","""",""10.1109/71.159044"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159044"","""",""Interleaved codes";Query processing;Data communication;Tree graphs;Marine vehicles;Relational databases;Computer networks;Context;"Cost function"","""",""30"",""1"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"JEWEL: design and implementation of a distributed measurement system,""F. Lange"; R. Kroeger;" M. Gergeleit"",""German National Research Center for Computer Science (GMD), Saint Augustine, USA"; German National Research Center for Computer Science (GMD), Saint Augustine, USA;" German National Research Center for Computer Science (GMD), Saint Augustine, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""657"",""671"",""The distributed measurement system JEWEL, developed within project RelaX, is described. JEWEL consists of a flexible toolkit for low-interference online performance measurement integrated with a powerful adaptable graphical presentation facility and a generic interactive experiment control system. JEWEL supports a large set of different system models as well as a wide variety of interfaces to the observed system. Two examples are presented in order to demonstrate its flexibility.<>"",""1558-2183"","""",""10.1109/71.180622"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180622"","""",""Computerized monitoring";Control systems;Distributed computing;Centralized control;Measurement;Interference;Power system modeling;Visualization;Concurrent computing;"Resource management"","""",""58"",""1"",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Lock-free garbage collection for multiprocessors,""M. P. Herlihy";" J. E. B. Moss"",""Cambridge Research Laboratory, Digital Equipment Corporation, Cambridge, MA, USA";" Department of Computer Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""304"",""311"",""Garbage collection algorithms for shared-memory multiprocessors typically rely on some form of global synchronization to preserve consistency. Such global synchronization may lead to problems on asynchronous architectures: if one process is halted or delayed, other, nonfaulty processes will be unable to progress. By contrast, a storage management algorithm is lock-free if (in the absence of resource exhaustion) a process that is allocating or collecting memory can be delayed at any point without forcing other processes to block. The authors present the first algorithm for lock-free garbage collection in a realistic model. The algorithm assumes that processes synchronize by applying read, write, and compare&swap operations to shared memory. This algorithm uses no locks, busy-waiting, or barrier synchronization, it does not assume that processes can observe or modify one another's local variables or registers, and it does not use inter-process interrupts.<>"",""1558-2183"","""",""10.1109/71.139204"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139204"","""",""Delay";Resource management;Memory management;Laboratories;Real time systems;Read-write memory;Registers;Timing;Uncertainty;"Operating systems"","""",""27"",""16"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Methodical analysis of adaptive load sharing algorithms,""O. Kremien";" J. Kramer"",""Department of Computing, Imperial College of Science, Technology and Medicine, London, UK";" Department of Computing, Imperial College of Science, Technology and Medicine, London, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""747"",""760"",""A method for qualitative and quantitative analysis of load sharing algorithms is presented, using a number of well known examples as illustration. Algorithm design choice are considered with respect to the main activities of information dissemination and allocation decision making. It is argued that nodes must be capable of making local decisions, and for this efficient state, dissemination techniques are necessary. Activities related to remote execution should be bounded and restricted to a small proportion of the activity of the system. The quantitative analysis provides both performance and efficiency measures, including consideration of the load and delay characteristics of the environment. To assess stability, which is also a precondition for scalability, the authors introduce and measure the load-sharing hit-ratio, the ratio of remote execution requests concluded successfully. Using their analysis method, they are able to suggest improvements to some published algorithms.<>"",""1558-2183"","""",""10.1109/71.180629"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180629"","""",""Algorithm design and analysis";Stability;Scalability;Delay effects;Software algorithms;Load management;Application software;Decision making;Performance analysis;"Resource management"","""",""86"",""4"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Models of access delays in multiprocessor memories,""I. Y. Bucher";" D. A. Calahan"",""Los Alamos National Laboratory, Computer Research Group, Los Alamos, NM, USA";" Department of Electrical Engineering and Compuler Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""270"",""280"",""The performance of an interleaved common memory accessed uniformly by multiple processors is modeled by queuing and simulation methods. The model includes access conflicts at the bank level while assuming an ideal access network. A general scaling law is derived that indicates that memory access delays are given by the product of the bank reservation time and a function of the memory utilization, which is the average number of access requests arriving at a bank per bank reservation time. For light, uniform memory traffic. access delays are proportional to the square of the bank reservation time and to the ratio of the number of active memory access streams to the number of memory banks. With an assumption of random access patterns, an open and a closed queuing model are developed. To model pipelined access operations a new negative feedback model is introduced that includes the open and the closed models as special cases and is also well suited for modeling linked access streams. Delay dependence on bank reservation time is quadratic for light loads and linear for very heavy loads. The queuing models are validated by simulations.<>"",""1558-2183"","""",""10.1109/71.139201"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139201"","""",""Delay effects";National electric code;Degradation;Intelligent networks;Computational modeling;Concurrent computing;Supercomputers;Vector processors;Clocks;"Telecommunication traffic"","""",""13"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Multiprocessor implementation of digital filtering algorithms using a parallel block processing method,""W. Sung"; S. K. Mitra;" B. Jeren"",""Inter-university Semiconductor Research Center (ISRC) and the Department of Control and Instrumentation, Seoul National University, Seoul, South Korea"; Center for Information Processing Research, Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA;" Faculty of Electrical Engineering, University of Zagreb, Zagreb, Croatia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""110"",""120"",""An efficient real-time implementation of digital filtering algorithms using a multiprocessor system in a ring network is investigated. This method is based on a parallel block processing approach, where a continuously supplied input data is divided into blocks, and the blocks are processed concurrently by being assigned to each processor in the system. This approach requires only a simple interconnection network and reduces significantly the number of communications among the processors, making the system easily expandable and highly efficient. In addition, various digital signal processing algorithms can be implemented on the same multiprocessor system. The data dependency of the blocks to be processed concurrently brings on dependency problems between the processors. A systematic scheduling method has been developed by using a precedence graph for the analysis of the dependency relation. Methods for solving the dependency problems between the processors are also investigated. Implementation procedures and results for FIR, recursive, and adaptive filtering algorithms are illustrated.<>"",""1558-2183"","""",""10.1109/71.113086"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113086"","""",""Filtering algorithms";Signal processing algorithms;Signal processing;Real time systems;Digital filters;Finite impulse response filter;Multiprocessing systems;Digital signal processing;Processor scheduling;"Parallel processing"","""",""19"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"On the parallel computation of the algebraic path problem,""Gen-Huey Chen"; Biing-Feng Wang;" Chi-Jen Lu"",""Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan;" Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""251"",""256"",""The algebraic path problem is a general description of a class of problems, including some important graph problems such as transitive closure, all pairs shortest paths, minimum spanning tree, etc. In this work, the algebraic path problem is solved on a processor array with a reconfigurable bus system. The proposed algorithms are based on repeated matrix multiplications. The multiplication of two n*n matrices takes O(log n) time in the worst case, but, for some special cases, O(1) time is possible. It is shown that three instances of the algebraic path problem, transitive closure, all pairs shortest paths, and minimum spanning tree, can be solved in O(log n) time, which is as fast as on the CRCW PRAM.<>"",""1558-2183"","""",""10.1109/71.127265"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127265"","""",""Concurrent computing";Tree graphs;Parallel algorithms;Computer science;Computational modeling;Phase change random access memory;Gaussian processes;Systolic arrays;Terrorism;"Heart"","""",""11"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"On time mapping of uniform dependence algorithms into lower dimensional processor arrays,""W. Shang";" J. A. B. Fortes"",""Center for Adv. Comput. Studies, Southwestern Louisiana Univ., Lafayette, LA, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""350"",""363"",""Most existing methods of mapping algorithms into processor arrays are restricted to the case where n-dimensional algorithms, or algorithms with n nested loops, are mapped into (n-1)-dimensional arrays. However, in practice, it is interesting to map n-dimensional algorithms into (k-1)-dimensional arrays where k<n. A computational conflict occurs if two or more computations of an algorithm are mapped into the same execution time. Based on the Hermite normal form of the mapping matrix, necessary and sufficient conditions are derived to identify mapping without computational conflicts. These conditions are used to find time mappings of n-dimensional algorithms into (k-1)-dimensional arrays, k<n, without computational conflicts. For some applications, the mapping is time-optimal.<<ETX>>"",""1558-2183"","""",""10.1109/71.139208"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139208"","""",""Matrix decomposition";Convolution;Member and Geographic Activities Board committees;Sufficient conditions;Educational technology;Contracts;Signal processing;Image processing;Scientific computing;"Digital audio players"","""",""59"","""",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Optimal broadcasting on the star graph,""V. E. Mendia";" D. Sarkar"",""AT and T Bell Laboratories, Inc., Columbus, OH, USA";" Department of Mathematics and Computer Science, University of Miami, Coral Gables, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""389"",""396"",""The star graph has been show to be an attractive alternative to the widely used n-cube. Like the n-cube, the star graph possesses rich structure and symmetry as well as fault tolerant capabilities, but has a smaller diameter and degree. However, very few algorithms exists to show its potential as a multiprocessor interconnection network. Many fast and efficient parallel algorithms require broadcasting as a basic step. An optimal algorithm for one-to-all broadcasting in the star graph is proposed. The algorithm can broadcast a message to N processors in O(log/sub 2/ N) time. The algorithm exploits the rich structure of the star graph and works by recursively partitioning the original star graph into smaller star graphs. In addition, an optimal all-to-all broadcasting algorithm is developed.<>"",""1558-2183"","""",""10.1109/71.149958"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149958"","""",""Broadcasting";Multiprocessor interconnection networks;Partitioning algorithms;Parallel algorithms;Topology;Fault tolerance;Throughput;Concurrent computing;Message passing;"Mathematics"","""",""108"","""",""8"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Optimal parallel algorithms for problems modeled by a family of intervals,""S. Olariu"; J. L. Schwing;" J. Zhang"",""Department of Computer Science, Old Dominion University, Norfolk, VA, USA"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" Department of Computer Science, Old Dominion University, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""364"",""374"",""A family of intervals on the real line provides a natural model for a vast number of scheduling and VLSI problems. Recently, a number of parallel algorithms to solve a variety of practical problems on such a family of intervals have been proposed in the literature. The authors develop computational tools and show how they can be used for the purpose of devising cost-optimal parallel algorithms for a number of interval-related problems, including finding a largest subset of pairwise nonoverlapping intervals, a minimum dominating subset of intervals, along with algorithms to compute the shortest path between a pair of intervals and, based on the shortest path, a parallel algorithm to find the center of the family of intervals. More precisely, with an arbitrary family of n intervals as input, all the algorithms run in O(log n) time using O(n) processors in the EREW-PRAM model of computation.<>"",""1558-2183"","""",""10.1109/71.139209"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139209"","""",""Parallel algorithms";Processor scheduling;Very large scale integration;Concurrent computing;Biological system modeling;Context modeling;Lapping;Computational modeling;Scheduling algorithm;"Printed circuits"","""",""37"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Parallel evaluation of attribute grammars,""A. Klaiber";" M. Gokhale"",""Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA";" Supercomputing Research Center, Bowie, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""206"",""220"",""Examines the generation of parallel evaluators for attribute grammars, targeted to shared-memory MIMD computers. Evaluation-time overhead due to process scheduling and synchronization is reduced by detecting coarse-grain parallelism (as opposed to the naive one-process-per-node approach). As a means to more clearly expose inherent parallelism, it is shown how to automatically transform productions of the form X to Y X into list-productions of the form X to Y/sup +/. This transformation allows for many simplifications to be applied to the semantic rules, which can expose a significant degree of inherent parallelism, and thus further increase the evaluator's performance. Effectively, this constitutes an extension of the concept of attribute grammars to the level of abstract syntax.<>"",""1558-2183"","""",""10.1109/71.127261"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127261"","""",""Parallel processing";Production;Program processors;Packaging;Concurrent computing;Processor scheduling;Optimizing compilers;Functional programming;Computer science;"Tree graphs"","""",""6"",""1"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Partitioning and labeling of loops by unimodular transformations,""E. H. D'Hollander"",""Department of Electrical Engineering, State University of Ghent, Ghent, Belgium"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""465"",""476"",""A general method for the identification of the independent subsets in loops with constant dependence vectors is presented. It is shown that the dependence relation remains invariant under a unimodular transformation. Then a unimodular transformation is used to bring the dependence matrix into a form where the independent subsets are obtained by a direct and inexpensive partitioning algorithm. This leads to a procedure for the automatic conversion of a serial loop into a nest of parallel DO-ALL loops. Another unimodular transformation results in an algorithm to label the dependent iterations of an n-fold nested loop in O(n/sup 2/) time. This provides a multithreaded dynamic scheduling scheme requiring only one fork and one join primitive.<>"",""1558-2183"","""",""10.1109/71.149964"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149964"","""",""Labeling";Partitioning algorithms;Dynamic scheduling;Parallel processing;Data mining;Quantization;Scheduling algorithm;Polynomials;Programming profession;"Inspection"","""",""37"",""1"",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Performance analysis of a generalized class of m-level hierarchical multiprocessor systems,""I. O. Mahgoub";" A. K. Elmagarmid"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA";" Department of Computer Sciences, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""129"",""138"",""The performance of the m-level hierarchical multiprocessor system is analyzed in terms of the system bandwidth for both hierarchically nonuniform reference and uniform reference models. The results show that for a higher rate of local requests (requests to memory modules within the same cluster) the m-level system performs fairly close to the crossbar system and outperforms a typical multiple-bus system (with the number of buses equal to half the number of processors). The bandwidth of the m-level system is evaluated for different numbers of levels, and the results are compared with those of a crossbar system (m=1).<>"",""1558-2183"","""",""10.1109/71.127255"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127255"","""",""Performance analysis";Multiprocessing systems;Bandwidth;Very large scale integration;Intelligent networks;Costs;Hierarchical systems;Multiprocessor interconnection networks;Large-scale systems;"Computer science"","""",""16"",""13"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
