"A Comment on “A Necessary and Sufficient Condition for Deadlock-Free Adaptive Routing in Wormhole Networks”,""F. Verbeek";" J. Schmaltz"",""School of Computer Science, Open University, Netherlands, Netherlands";" School of Computer Science, Open University, Netherlands, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1775"",""1776"",""The purpose of this comment is to show that Duato's condition for deadlock freedom is only sufficient and not necessary. We propose a fix to keep the condition necessary. The issue is subtle but essential: in a wormhole network worms necessarily do not intersect."",""1558-2183"","""",""10.1109/TPDS.2011.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680895"",""General";"Miscellaneous"",""System recovery";Routing;Law;Multiprocessor interconnection;Grippers;"Adaptive systems"","""",""16"","""",""4"",""IEEE"",""6 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"LBMP: A Logarithm-Barrier-Based Multipath Protocol for Internet Traffic Management,""K. Xu"; H. Liu; J. Liu;" J. Zhang"",""Department of Computer Science, Tsinghua University, Beijing, China"; School of Mathematics and Systems Science and LMIB, Beijing Aeronautics and Astronautics University, Beijing, China; School of Computing Science, Simon Fraser University, BC, Canada;" School of Software and Microelectronics, Peking University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jan 2011"",""2011"",""22"",""3"",""476"",""488"",""Traffic management is the adaptation of source rates and routing to efficiently utilize network resources. Recently, the complicated interactions between different Internet traffic management modules have been elegantly modeled by distributed primal-dual utility maximization, which sheds new light for developing effective management protocols. For single-path routing with given routes, the dual is a strictly concave network optimization problem. Unfortunately, the general form of multipath utility optimization is not strictly concave, making its solution quite unstable. Decomposition-based techniques like TRaffic-management Using Multipath Protocol (TRUMP) alleviates the instability, but their convergence is not guaranteed, nor is their optimality. They are also inflexible in differentiating the control at different links. In this paper, we address the above issues through a novel logarithm-barrier-based approach. Our approach jointly considers user utility and routing/congestion control. It translates the multipath utility maximization into a sequence of unconstrained optimization problems, with infinite logarithm barriers being deployed at the constraint boundary. We demonstrate that setting up barriers is much simpler than choosing traditional cost functions and, more importantly, it makes optimal solution achievable. We further demonstrate a distributed implementation, together with the design of a practical Logarithm Barrier-based-Multipath Protocol (LBMP). We evaluate the performance of LBMP through both numerical analysis and packet-level simulations. The results show that LBMP achieves high throughput and fast convergence over diverse representative network topologies. Such performance is comparable to TRUMP, and is often better. Moreover, LBMP is flexible in differentiating the control at different links, and its optimality and convergence are theoretically guaranteed."",""1558-2183"","""",""10.1109/TPDS.2010.95"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5467060"",""Traffic management";network utility maximization;multipath routing;"logarithm barrier."",""Protocols";Internet;Telecommunication traffic;Traffic control;Routing;Resource management;Communication system traffic control;Constraint optimization;Cost function;"Numerical analysis"","""",""25"","""",""27"",""IEEE"",""20 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Lightweight Chip Multi-Threading (LCMT): Maximizing Fine-Grained Parallelism On-Chip,""S. Li"; S. Kuntz; J. Brockman;" P. Kogge"",""Hewlett-Packard Laboratories, University of Notre Dame, USA"; University of Notre Dame, USA; University of Notre Dame, USA;" University of Notre Dame, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2011"",""2011"",""22"",""7"",""1178"",""1191"",""Irregular and dynamic applications, such as graph problems and agent-based simulations, often require fine-grained parallelism to achieve good performance. However, current multicore processors only provide architectural support for coarse-grained parallelism, making it necessary to use software-based multithreading environments to effectively implement fine-grained parallelism. Although these software-based environments have demonstrated superior performance over heavyweight, OS-level threads, they are still limited by the significant overhead involved in thread management and synchronization. In order to address this, we propose a Lightweight Chip Multi-Threaded (LCMT) architecture that further exploits thread-level parallelism (TLP) by incorporating direct architectural support for an “unlimited” number of dynamically created lightweight threads with very low thread management and synchronization overhead. The LCMT architecture can be implemented atop a mainstream architecture with minimum extra hardware to leverage existing legacy software environments. We compare the LCMT architecture with a Niagara-like baseline architecture. Our results show up to 1.8X better scalability, 1.91X better performance, and more importantly, 1.74X better performance per watt, using the LCMT architecture for irregular and dynamic benchmarks, when compared to the baseline architecture. The LCMT architecture delivers similar performance to the baseline architecture for regular benchmarks."",""1558-2183"","""",""10.1109/TPDS.2010.169"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5601707"",""Multithreaded processors";multicore processors;unlimited multithreading;"irregular applications."",""Instruction sets";Computer architecture;Parallel processing;Medical services;Hardware;"Registers"","""",""2"",""1"",""39"",""IEEE"",""14 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Live Virtual Machine Migration via Asynchronous Replication and State Synchronization,""H. Liu"; H. Jin; X. Liao; C. Yu;" C. -Z. Xu"",""Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China;" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""1986"",""1999"",""Live migration of virtual machines (VM) across physical hosts provides a significant new benefit for administrators of data centers and clusters. Previous memory-to-memory approaches demonstrate the effectiveness of live VM migration in local area networks (LAN), but they would cause a long period of downtime in a wide area network (WAN) environment. This paper describes the design and implementation of a novel approach, namely, CR/TR-Motion, which adopts checkpointing/recovery and trace/replay technologies to provide fast, transparent VM migration for both LAN and WAN environments. With execution trace logged on the source host, a synchronization algorithm is performed to orchestrate the running source and target VMs until they reach a consistent state. CR/TR-Motion can greatly reduce the migration downtime and network bandwidth consumption. Experimental results show that the approach can drastically reduce migration overheads compared with memory-to-memory approach in a LAN: up to 72.4 percent on application observed downtime, up to 31.5 percent on total migration time, and up to 95.9 percent on the data to synchronize the VM state. The application performance overhead due to migration is kept within 8.54 percent on average. The results also show that for a variety of workloads migrated across WANs, the migration downtime is less than 300 milliseconds."",""1558-2183"","""",""10.1109/TPDS.2011.86"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733342"",""Copy-on-write checkpointing";deterministic replay;live migration;trace;"virtual machine."",""Synchronization";Algorithm design and analysis;Wide area networks;Local area networks;Virtual machining;"Checkpointing"","""",""70"",""12"",""37"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Load Balance with Imperfect Information in Structured Peer-to-Peer Systems,""H. -C. Hsiao"; H. Liao; S. -T. Chen;" K. -C. Huang"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan;" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Feb 2011"",""2011"",""22"",""4"",""634"",""649"",""With the notion of virtual servers, peers participating in a heterogeneous, structured peer-to-peer (P2P) network may host different numbers of virtual servers, and by migrating virtual servers, peers can balance their loads proportional to their capacities. The existing and decentralized load balance algorithms designed for the heterogeneous, structured P2P networks either explicitly construct auxiliary networks to manipulate global information or implicitly demand the P2P substrates organized in a hierarchical fashion. Without relying on any auxiliary networks and independent of the geometry of the P2P substrates, we present, in this paper, a novel load balancing algorithm that is unique in that each participating peer is based on the partial knowledge of the system to estimate the probability distributions of the capacities of peers and the loads of virtual servers, resulting in imperfect knowledge of the system state. With the imperfect system state, peers can compute their expected loads and reallocate their loads in parallel. Through extensive simulations, we compare our proposal to prior load balancing algorithms."",""1558-2183"","""",""10.1109/TPDS.2010.105"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5473220"",""Peer-to-peer systems";load balance;"heterogeneity."",""Peer to peer computing";Network servers;Load management;Algorithm design and analysis;Information geometry;State estimation;Probability distribution;Capacity planning;Concurrent computing;"Computational modeling"","""",""20"",""1"",""24"",""IEEE"",""27 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Many Task Computing for Real-Time Uncertainty Prediction and Data Assimilation in the Ocean,""C. Evangelinos"; P. F. J. Lermusiaux; J. Xu; P. J. Haley;" C. N. Hill"",""Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA"; Department Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA;" Department of Earth, Atmospheric and Planetary Sciences, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""1012"",""1024"",""Uncertainty prediction for ocean and climate predictions is essential for multiple applications today. Many-Task Computing can play a significant role in making such predictions feasible. In this manuscript, we focus on ocean uncertainty prediction using the Error Subspace Statistical Estimation (ESSE) approach. In ESSE, uncertainties are represented by an error subspace of variable size. To predict these uncertainties, we perturb an initial state based on the initial error subspace and integrate the corresponding ensemble of initial conditions forward in time, including stochastic forcing during each simulation. The dominant error covariance (generated via SVD of the ensemble) is used for data assimilation. The resulting ocean fields are used as inputs for predictions of underwater sound propagation. ESSE is a classic case of Many Task Computing: It uses dynamic heterogeneous workflows and ESSE ensembles are data intensive applications. We first study the execution characteristics of a distributed ESSE workflow on a medium size dedicated cluster, examine in more detail the I/O patterns exhibited and throughputs achieved by its components as well as the overall ensemble performance seen in practice. We then study the performance/usability challenges of employing Amazon EC2 and the Teragrid to augment our ESSE ensembles and provide better solutions faster."",""1558-2183"","""",""10.1109/TPDS.2011.64"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5710901"",""MTC";assimilation;data-intensive;"ensemble."",""Oceans";Uncertainty;Predictive models;Data models;Convergence;Adaptation model;"Mathematical model"","""",""17"","""",""43"",""IEEE"",""10 Feb 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Mars: Accelerating MapReduce with Graphics Processors,""W. Fang"; B. He; Q. Luo;" N. K. Govindaraju"",""Hong Kong University of Science and Technology, Hong Kong, China"; Nanyang Technological University, Singapore; Hong Kong University of Science and Technology, Hong Kong, China;" Microsoft Corporation, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Feb 2011"",""2011"",""22"",""4"",""608"",""620"",""We design and implement Mars, a MapReduce runtime system accelerated with graphics processing units (GPUs). MapReduce is a simple and flexible parallel programming paradigm originally proposed by Google, for the ease of large-scale data processing on thousands of CPUs. Compared with CPUs, GPUs have an order of magnitude higher computation power and memory bandwidth. However, GPUs are designed as special-purpose coprocessors and their programming interfaces are less familiar than those on the CPUs to MapReduce programmers. To harness GPUs' power for MapReduce, we developed Mars to run on NVIDIA GPUs, AMD GPUs as well as multicore CPUs. Furthermore, we integrated Mars into Hadoop, an open-source CPU-based MapReduce system. Mars hides the programming complexity of GPUs behind the simple and familiar MapReduce interface, and automatically manages task partitioning, data distribution, and parallelization on the processors. We have implemented six representative applications on Mars and evaluated their performance on PCs equipped with GPUs as well as multicore CPUs. The experimental results show that, the GPU-CPU coprocessing of Mars on an NVIDIA GTX280 GPU and an Intel quad-core CPU outperformed Phoenix, the state-of-the-art MapReduce on the multicore CPU with a speedup of up to 72 times and 24 times on average, depending on the applications. Additionally, integrating Mars into Hadoop enabled GPU acceleration for a network of PCs."",""1558-2183"","""",""10.1109/TPDS.2010.158"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557865"",""MapReduce";graphics processor;parallel computing;multicore processor;"many-core architecture."",""Graphics processing unit";Mars;Programming;Memory management;Acceleration;"Bandwidth"","""",""118"",""4"",""38"",""IEEE"",""26 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Massively LDPC Decoding on Multicore Architectures,""G. Falcao"; L. Sousa;" V. Silva"",""Instituto de Telecomunicações and the Department of Electrical and Computer Engineering, University of Coimbra, Coimbra, Portugal"; Department of Electrical and Computer Engineering, Instituto Superior Técnico, Technical University of Lisbon, INESC-ID Lisboa, Lisboa, Portugal;" Instituto de Telecomunicações and the Department of Electrical and Computer Engineering, University of Coimbra, Coimbra, Portugal"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""309"",""322"",""Unlike usual VLSI approaches necessary for the computation of intensive Low-Density Parity-Check (LDPC) code decoders, this paper presents flexible software-based LDPC decoders. Algorithms and data structures suitable for parallel computing are proposed in this paper to perform LDPC decoding on multicore architectures. To evaluate the efficiency of the proposed parallel algorithms, LDPC decoders were developed on recent multicores, such as off-the-shelf general-purpose x86 processors, Graphics Processing Units (GPUs), and the CELL Broadband Engine (CELL/B.E.). Challenging restrictions, such as memory access conflicts, latency, coalescence, or unknown behavior of thread and block schedulers, were unraveled and worked out. Experimental results for different code lengths show throughputs in the order of 1 \sim 2 Mbps on the general-purpose multicores, and ranging from 40 Mbps on the GPU to nearly 70 Mbps on the CELL/B.E. The analysis of the obtained results allows to conclude that the CELL/B.E. performs better for short to medium length codes, while the GPU achieves superior throughputs with larger codes. They achieve throughputs that in some cases approach very well those obtained with VLSI decoders. From the analysis of the results, we can predict a throughput increase with the rise of the number of cores."",""1558-2183"","""",""10.1109/TPDS.2010.66"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445086"",""LDPC";data-parallel computing;multicore;graphics processing units;GPU;CUDA;CELL;"OpenMP."",""Parity check codes";Decoding;Multicore processing;Throughput;Computer architecture;Very large scale integration;Data structures;Parallel processing;Parallel algorithms;"Graphics"","""",""78"",""2"",""31"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Maximizing the Number of Broadcast Operations in Random Geometric Ad Hoc Wireless Networks,""T. Calamoneri"; A. E. F. Clementi; E. G. Fusco;" R. Silvestri"",""Dipartimento di Informatica, Sapienza Università di Roma, Rome, Italy"; Dipartimento di Matematica, Università degli studi di Roma Tor Vergata, Rome, Italy; Dipartimento di Informatica, Sapienza Università di Roma, Rome, Italy;" Dipartimento di Informatica, Sapienza Università di Roma, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""208"",""216"",""We consider static ad hoc wireless networks whose nodes, equipped with the same initial battery charge, may dynamically change their transmission range. When a node v transmits with range r(v), its battery charge is decreased by β r(v)2, where β > 0 is a fixed constant. The goal is to provide a range assignment schedule that maximizes the number of broadcast operations from a given source (this number is denoted by the length of the schedule). This maximization problem, denoted by Max LifeTime, is known to be NP-hard and the best algorithm yields worst-case approximation ratio Θ (log n), where n is the number of nodes of the network. We consider random geometric instances formed by selecting n points independently and uniformly at random from a square of side length √n in the euclidean plane. We present an efficient algorithm that constructs a range assignment schedule having length not smaller than 1/12 of the optimum with high probability. Then we design an efficient distributed version of the above algorithm, where nodes initially know n and their own position only. The resulting schedule guarantees the same approximation ratio achieved by the centralized version, thus, obtaining the first distributed algorithm having provably good performance for this problem."",""1558-2183"","""",""10.1109/TPDS.2010.77"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445097"",""Energy-aware systems";wireless communication;graph algorithms;"network problems."",""Broadcasting";Wireless networks;Batteries;Energy consumption;Costs;Approximation algorithms;Scheduling algorithm;Algorithm design and analysis;Silver;"Distributed algorithms"","""",""3"","""",""26"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Measuring Client-Perceived Pageview Response Time of Internet Services,""J. Wei";" C. -Z. Xu"",""Yahoo, Inc., Sunnyvale, CA, USA";" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Mar 2011"",""2011"",""22"",""5"",""773"",""785"",""As e-commerce services are exponentially growing, businesses need quantitative estimates of client-perceived response times to continuously improve the quality of their services. Current server-side nonintrusive measurement techniques are limited to nonsecured HTTP traffic. In this paper, we present the design and evaluation a monitor, namely sMonitor, which is able to measure client-perceived response times for both HTTP and HTTPS traffic. At the heart of sMonitor is a novel size-based analysis method that parses live packets to delimit different webpages and to infer their response times. The method is based on the observation that most HTTP(S)-compatible browsers send significantly larger requests for container objects than those for embedded objects. sMonitor is designed to operate accurately in the presence of complicated browser behaviors, such as parallel downloading of multiple webpages and HTTP pipelining, as well as packet losses and delays. It requires only to passively collect network traffic in and out of the monitored secured services. We conduct comprehensive experiments across a wide range of operating conditions using live secured Internet services, on the PlanetLab, and on controlled networks. The experimental results demonstrate that sMonitor is able to control the estimation error within 6.7 percent, in comparison with the actual measured time at the client side."",""1558-2183"","""",""10.1109/TPDS.2010.131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5492684"",""Client-perceived service quality";monitoring and measurement;pageview response time;"secured Internet services."",""Time measurement";Delay;Web and internet services;Extraterrestrial measurements;Web pages;Measurement techniques;Monitoring;Heart;Containers;"Pipeline processing"","""",""8"",""9"",""36"",""IEEE"",""28 Jun 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Metadata Distribution and Consistency Techniques for Large-Scale Cluster File Systems,""J. Xiong"; Y. Hu; G. Li; R. Tang;" Z. Fan"",""Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China"; Department of Electrical & Computer Engineering and Computer Science, University of Cincinnati, Cincinnati, OH, USA; Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China;" NetEase.com, Inc., Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Mar 2011"",""2011"",""22"",""5"",""803"",""816"",""Most supercomputers nowadays are based on large clusters, which call for sophisticated, scalable, and decentralized metadata processing techniques. From the perspective of maximizing metadata throughput, an ideal metadata distribution policy should automatically balance the namespace locality and even distribution without manual intervention. None of existing metadata distribution schemes is designed to make such a balance. We propose a novel metadata distribution policy, Dynamic Dir-Grain (DDG), which seeks to balance the requirements of keeping namespace locality and even distribution of the load by dynamic partitioning of the namespace into size-adjustable hierarchical units. Extensive simulation and measurement results show that DDG policies with a proper granularity significantly outperform traditional techniques such as the Random policy and the Subtree policy by 40 percent to 62 times. In addition, from the perspective of file system reliability, metadata consistency is an equally important issue. However, it is complicated by dynamic metadata distribution. Metadata consistency of cross-metadata server operations cannot be solved by traditional metadata journaling on each server. While traditional two-phase commit (2PC) algorithm can be used, it is too costly for distributed file systems. We proposed a consistent metadata processing protocol, S2PC-MP, which combines the two-phase commit algorithm with metadata processing to reduce overheads. Our measurement results show that S2PC-MP not only ensures fast recovery, but also greatly reduces fail-free execution overheads."",""1558-2183"","""",""10.1109/TPDS.2010.154"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557861"",""Distributed file systems";"metadata management."",""Servers";File systems;Decision support systems;Protocols;Manuals;Heuristic algorithms;"Reliability"","""",""37"",""1"",""39"",""IEEE"",""26 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Minimum-Delay Service Provisioning in Opportunistic Networks,""A. Passarella"; M. Kumar; M. Conti;" E. Borgia"",""IIT-CNR, Pisa, Italy"; University of Texas, Arlington, Arlington, TX, USA; IIT-CNR, Pisa, Italy;" IIT-CNR, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2011"",""2011"",""22"",""8"",""1267"",""1275"",""Opportunistic networks are created dynamically by exploiting contacts between pairs of mobile devices that come within communication range. While forwarding in opportunistic networking has been explored, investigations into asynchronous service provisioning on top of opportunistic networks are unique contributions of this paper. Mobile devices are typically heterogeneous, possess disparate physical resources, and can provide a variety of services. During opportunistic contacts, the pairing peers can cooperatively provide (avail of) their (other peer's) services. This service provisioning paradigm is a key feature of the emerging opportunistic computing paradigm. We develop an analytical model to study the behaviors of service seeking nodes (seekers) and service providing nodes (providers) that spawn and execute service requests, respectively. The model considers the case in which seekers can spawn parallel executions on multiple providers for any given request, and determines: 1) the delays at different stages of service provisioning";" and 2) the optimal number of parallel executions that minimizes the expected execution time. The analytical model is validated through simulations, and exploited to investigate the performance of service provisioning over a wide range of parameters."",""1558-2183"","""",""10.1109/TPDS.2010.153"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557860"",""Opportunistic networks";service provisioning;performance evaluation;"analytical modeling."",""Analytical models";Peer to peer computing;Computational modeling;Delay;Simulation;Mathematical model;"Mobile handsets"","""",""33"","""",""14"",""IEEE"",""26 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Mobility in IPv6: Whether and How to Hierarchize the Network?,""S. Wang"; Y. Cui; S. K. Das; W. Li;" J. Wu"",""Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China"; Tsinghua University, Beijing, China; Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA; Broadband Network Research Center, Beijing University of Posts and Telecommunications, Tsinghua University, Beijing, China;" Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1722"",""1729"",""Mobile IPv6 (MIPv6) offers a basic solution to support mobility in IPv6 networks. Although Hierarchical MIPv6 (HMIPv6) has been designed to enhance the performance of MIPv6 by hierarchizing the network, it does not always outperform MIPv6. In fact, two solutions have different application scopes. Existing work studies the impact of various parameters on the performance of MIPv6 and HMIPv6, but without analyzing their application scopes. In this paper, we propose a model to analyze the application scopes of MIPv6 and HMIPv6, through which an Optimal Choice of Mobility Management (OCMM) scheme is designed. Different from the existing work that either propose new mobility management schemes or enhance existing mobility management schemes, OCMM chooses the better alternative between MIPv6 and HMIPv6 according to the mobility and service characteristics of users, addressing whether to hierarchize the network. Besides that, OCMM chooses the best mobility anchor point and regional size when HMIPv6 is adopted, addressing how to hierarchize the network. Simulation results demonstrate the impact of key parameters on the application scopes of MIPv6 and HMIPv6 as well as the optimal regional size of HMIPv6. Finally, we show that OCMM outperforms MIPv6 and HMIPv6 in terms of total cost including average registration and packet delivery costs."",""1558-2183"","""",""10.1109/TPDS.2011.71"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5719614"",""Mobile IPv6";hierarchical mobile IPv6;application scope;"regional size."",""Manganese";Delay;Mobile radio mobility management;Markov processes;Analytical models;"Registers"","""",""10"","""",""19"",""IEEE"",""24 Feb 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Multicloud Deployment of Computing Clusters for Loosely Coupled MTC Applications,""R. Moreno-Vozmediano"; R. S. Montero;" I. M. Llorente"",""Department of Computer Architecture, Complutense University of Madrid, Spain"; Department of Computer Architecture, Complutense University of Madrid, Spain;" Department of Computer Architecture, Complutense University of Madrid, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""924"",""930"",""Cloud computing is gaining acceptance in many IT organizations, as an elastic, flexible, and variable-cost way to deploy their service platforms using outsourced resources. Unlike traditional utilities where a single provider scheme is a common practice, the ubiquitous access to cloud resources easily enables the simultaneous use of different clouds. In this paper, we explore this scenario to deploy a computing cluster on the top of a multicloud infrastructure, for solving loosely coupled Many-Task Computing (MTC) applications. In this way, the cluster nodes can be provisioned with resources from different clouds to improve the cost effectiveness of the deployment, or to implement high-availability strategies. We prove the viability of this kind of solutions by evaluating the scalability, performance, and cost of different configurations of a Sun Grid Engine cluster, deployed on a multicloud infrastructure spanning a local data center and three different cloud sites: Amazon EC2 Europe, Amazon EC2 US, and ElasticHosts. Although the testbed deployed in this work is limited to a reduced number of computing resources (due to hardware and budget limitations), we have complemented our analysis with a simulated infrastructure model, which includes a larger number of resources, and runs larger problem sizes. Data obtained by simulation show that performance and cost results can be extrapolated to large-scale problems and cluster infrastructures."",""1558-2183"","""",""10.1109/TPDS.2010.186"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611500"",""Cloud computing";computing cluster;multicloud infrastructure;"loosely coupled applications."",""Clouds";Computational modeling;Throughput;Hardware;Europe;Analytical models;"Mathematical model"","""",""60"","""",""19"",""IEEE"",""28 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Multipath Routing and Max-Min Fair QoS Provisioning under Interference Constraints in Wireless Multihop Networks,""P. Thulasiraman"; J. Chen;" X. Shen"",""Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada;" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Mar 2011"",""2011"",""22"",""5"",""716"",""728"",""In this paper, we investigate the problem of flow routing and fair bandwidth allocation under interference constraints for multihop wireless networks. We first develop a novel isotonic routing metric, RI3M, considering the influence of interflow and intraflow interference. The isotonicity of the routing metric is proved using virtual network decomposition. Second, in order to ensure QoS, an interference-aware max-min fair bandwidth allocation algorithm, LMX:M3F, is proposed where multiple paths (determined by using the routing metric) coexist for each user to the base station. In order to solve the algorithm, we develop an optimization formulation that is modeled as a multicommodity flow problem where the lexicographically largest bandwidth allocation vector is found among all optimal allocation vectors while considering constraints of interference on the flows. We compare our RI3M routing metric and LMX:M3F bandwidth allocation algorithm with various interference-based routing metrics and interference-aware bandwidth allocation algorithms established in the literature. We show that RI3M and LMX:M3F succeed in improving network performance in terms of delay, packet loss ratio, and bandwidth usage."",""1558-2183"","""",""10.1109/TPDS.2010.145"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5551127"",""Interference";multicommodity flow;fairness;routing;"quality of service."",""Interference";Routing;Measurement;Quality of service;Channel allocation;Bandwidth;"Wireless communication"","""",""24"","""",""39"",""IEEE"",""19 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
