"A design methodology for efficient application-specific on-chip interconnects,""W. H. Ho";" T. M. Pinkston"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""174"",""190"",""As the level of chip-integration continues to advance at a fast pace, the desire for efficient interconnects - whether on-chip or off-chip - is rapidly increasing. Traditional interconnects like buses, point-to-point wires, and regular topologies may suffer from poor resource sharing in the time and space domains, leading to high contention or low resource utilization. In this paper, we propose a design methodology for constructing networks for special-purpose computer systems with well-behaved (known) communication characteristics. A temporal and spatial model is proposed to define the sufficient condition for contention-free communication. Based upon this model, a design methodology using a recursive bisection technique is applied to systematically partition a parallel system such that the required number of links and switches is minimized while achieving low contention. Results show that the design methodology can generate more optimized on-chip networks with up to 60 percent fewer resources than meshes or tori while providing blocking performance closer to that of a fully connected crossbar."",""1558-2183"","""",""10.1109/TPDS.2006.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566595"",""On-chip interconnects";communication model;low-contention communication;network partitioning;"irregular topology."",""Design methodology";Resource management;Wires;Network topology;Computer networks;Sufficient conditions;Switches;Communication switching;Design optimization;"Network-on-a-chip"","""",""23"","""",""30"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Load Balancing in a Cluster-Based Web Server for Multimedia Applications,""Jiani Guo";" L. N. Bhuyan"",""Cisco Systems, Inc., San Jose, CA, USA";" Department of Computer Science and Engineering, University of California Riverside, Riverside, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1321"",""1334"",""We consider a cluster-based multimedia Web server that dynamically generates video units to satisfy the bit rate and bandwidth requirements of a variety of clients. The media server partitions the job into several tasks and schedules them on the backend computing nodes for processing. For stream-based applications, the main design criteria of the scheduling are to minimize the total processing time and maintain the order of media units for each outgoing stream. In this paper, we first design, implement, and evaluate three scheduling algorithms, First Fit (FF), Stream-based Mapping (SM), and Adaptive Load Sharing (ALS), for multimedia transcoding in a cluster environment. We determined that it is necessary to predict the CPU load for each multimedia task and schedule them accordingly due to the variability of the individual jobs/tasks. We, therefore, propose an online prediction algorithm that can dynamically predict the processing time per individual task (media unit). We then propose two new load scheduling algorithms, namely, Prediction-based Least Load First (P-LLF) and Prediction-based Adaptive Partitioning (P-AP), which can use prediction to improve the performance. The performance of the system is evaluated in terms of system throughput, out-of-order rate of outgoing media streams, and load balancing overhead through real measurements using a cluster of computers. The performance of the new load balancing algorithms is compared with all other load balancing schemes to show that P-AP greatly reduces the delay jitter and achieves high throughput for a variety of workloads in a heterogeneous cluster. It strikes a good balance between the throughput and output order of the processed media units."",""1558-2183"","""",""10.1109/TPDS.2006.159"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705468"",""Online prediction";partial predictor;global predictor;adaptive partioning;prediction-based load balancing;"out-of-order rate."",""Load management";Web server;Streaming media;Throughput;Processor scheduling;Scheduling algorithm;Clustering algorithms;Partitioning algorithms;Bit rate;"Bandwidth"","""",""31"",""1"",""22"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Load-balanced short-path routing in wireless networks,""Jie Gao";" Li Zhang"",""Department of Computer Science, Stony Brook University-SUNY, Stony Brook, NY, USA";" Hewlett Packard Laboratories, Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""377"",""388"",""We study routing algorithms on wireless networks that use only short paths, for minimizing latency, and achieve good load balance, for balancing the energy use. We consider the special case when all the nodes are located in a narrow strip with width at most /spl radic/3/2 /spl ap/ 0.86 times the communication radius. We present algorithms that achieve good performance in terms of both measures simultaneously. In particular, the routing path is at most four times the shortest path length and the maximum load on any node is at most three times that of the most load-balanced algorithm without path-length constraint. In addition, our routing algorithms make routing decisions by only local information and, as a consequence, are more adaptive to topology changes due to dynamic node insertions/deletions or due to mobility."",""1558-2183"","""",""10.1109/TPDS.2006.49"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603520"",""Wireless network";load-balanced routing;"short-path routing."",""Routing";Intelligent networks;Wireless networks;Strips;Relays;Delay;Energy measurement;Energy consumption;Network topology;"Mobile ad hoc networks"","""",""40"",""1"",""28"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Localized Communication and Topology Protocols for Ad Hoc Networks-Part II: A Preface to the Special Section,""S. Olariu"; D. Simplot-Ryl;" I. Stojmenovic"",""Department of Computer Science, Old Dominion University, Norfolk, VA, USA"; INRIA Futurs, University of Lille (USTL), France;" University of Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""897"",""898"","""",""1558-2183"","""",""10.1109/TPDS.2006.125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668055"","""",""Network topology";Peer to peer computing;Routing;Quality of service;Data communication;Communication system control;Distributed algorithms;Wireless application protocol;Wireless mesh networks;"Mesh networks"","""","""","""","""",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Localized Communication and Topology Protocols for Ad Hoc Networks: A Preface to the Special Section,""S. Olariu"; D. Simplot-Ryl;" I. Stojmenovic"",""Department of Computer Science, Old Dominion University, Norfolk, VA, USA"; LIFL, INRIA Futurs, University of Lille (USTL), France;" SITE, University of Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""289"",""291"","""",""1558-2183"","""",""10.1109/TPDS.2006.50"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603513"","""",""Network topology";Protocols;Ad hoc networks;Intelligent sensors;Biosensors;Routing;Chemical and biological sensors;Energy efficiency;Data communication;"Communication system control"","""",""1"","""","""",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Localized fault-tolerant topology control in wireless ad hoc networks,""N. Li";" J. C. Hou"",""Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA";" Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""307"",""320"",""Topology control algorithms have been proposed to maintain network connectivity while improving energy efficiency and increasing network capacity. However, by reducing the number of links in the network, topology control algorithms actually decrease the degree of routing redundancy. As a result, the derived topology is more susceptible to node failures or departures. In this paper, we resolve this problem by enforcing k-vertex connectivity in the topology construction process. We propose a fully localized algorithm, fault-tolerant local spanning subgraph (FLSS), that can preserve k-vertex connectivity and is min-max optimal among all strictly localized algorithms (i.e., FLSS minimizes the maximum transmission power used in the network, among all strictly localized algorithms that preserve k-vertex connectivity). It can also be proved that FLSS outperforms two other existing localized algorithms in terms of reducing the transmission power. We also discuss how to relax several widely used assumptions in topology control to increase the practical utility of FLSS. Simulation results indicate that, compared with existing distributed/localized fault-tolerant topology control algorithms, FLSS not only has better power-efficiency, but also leads to higher network capacity. Moreover, FLSS is robust with respect to position estimation errors."",""1558-2183"","""",""10.1109/TPDS.2006.51"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603515"",""Algorithm design and analysis";fault tolerance;localized algorithms;topology control;"wireless ad hoc networks."",""Fault tolerance";Network topology;Intelligent networks;Ad hoc networks;Wireless sensor networks;Mobile ad hoc networks;Energy efficiency;Algorithm design and analysis;Routing;"Estimation error"","""",""100"","""",""25"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Localized protocols for ad hoc clustering and backbone formation: a performance comparison,""S. Basagni"; M. Mastrogiovanni; A. Panconesi;" C. Petrioli"",""Computer Engineering Department, Northeastern University, Boston, MA, USA"; Dipartimento di Informatica, Universitá di Roma, Rome, Italy; Dipartimento di Informatica, Universitá di Roma, Rome, Italy;" Dipartimento di Informatica, Universitá di Roma, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""292"",""306"",""This paper concerns the comparative performance evaluation of protocols for clustering and backbone formation in ad hoc networks characterized by a large number of resource-constrained nodes. Our aim is twofold: we provide the first simulation-based detailed investigation of techniques for clustering and backbone formation that are among the most representative of this area of ad hoc research. Second, we delve into the nature of the selected protocols to assess the effects of the """"degree of localization"""" on their operations, i.e., how being able to execute the protocol based only on local information affects the overall protocol performance. Extensive ns2-based simulation results show that highly localized protocols are rewarded with good performance with respect to all metrics of interest which include protocol duration, energy consumption, message overhead, route length, and backbone size."",""1558-2183"","""",""10.1109/TPDS.2006.52"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603514"",""Ad hoc networks";wireless sensor networks;clustering;"backbone formation."",""Protocols";Spine;Wireless sensor networks;Routing;Computer networks;Network topology;Ad hoc networks;Energy consumption;Scalability;"Computer network management"","""",""99"","""",""11"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Localized topology control for unicast and broadcast in wireless ad hoc networks,""Wen-Zhan Song"; Xiang-Yang Li; O. Frieder;" Weu Zhao Wang"",""School of Engineering and Computer Science, Washington State University, Vancouver, WA, USA"; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""321"",""334"",""We propose a novel localized topology-control algorithm for each wireless node to locally select communication neighbors and adjust its transmission power accordingly such that all nodes together self-form a topology that is energy efficient simultaneously for both unicast and broadcast communications. We theoretically prove that the proposed topology is planar, which meets the requirement of certain localized routing methods to guarantee packet delivery"; it is power-efficient for unicast - the energy needed to connect any pair of nodes is within a small constant factor of the minimum; it is also asymptotically optimum for broadcast - the energy consumption for broadcasting data on top of it is asymptotically the best among all structures constructed using only local information;" it has a constant bounded logical degree, which will potentially save the cost of updating routing tables if used. We further prove that the expected average physical degree of all nodes is a small constant. To the best of our knowledge, this is the first localized topology-control strategy for all nodes to maintain a structure with all these desirable properties. Previously, only a centralized algorithm was reported. Moreover, by assuming that the node ID and its position can be represented in O(log n) bits for a wireless network of n nodes, the total number of messages by our methods is in the range of theoretical results are corroborated in the simulations."",""1558-2183"","""",""10.1109/TPDS.2006.53"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603516"",""Graph theory";localized communication;wireless ad hoc networks;topology control;power efficient;low weight;low interference;unicast;"broadcast."",""Network topology";Unicast;Broadcasting;Mobile ad hoc networks;Routing;Communication system control;Energy efficiency;Energy consumption;Cost function;"Wireless networks"","""",""19"","""",""40"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals"""
"Location-Aware Combinatorial Key Management Scheme for Clustered Sensor Networks,""M. F. Younis"; K. Ghumman;" M. Eltoweissy"",""Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County, Baltimore, MD, USA"; Department of Computer Science and Electrical Engineering, University of Maryland Baltimore County, Baltimore, MD, USA;" Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Falls Church, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jul 2006"",""2006"",""17"",""8"",""865"",""882"",""Recent advances in wireless sensor networks (WSNs) are fueling the interest in their application in a wide variety of sensitive settings such as battlefield surveillance, border control, and infrastructure protection. Data confidentiality and authenticity are critical in these settings. However, the wireless connectivity, the absence of physical protection, the close interaction between WSNs and their physical environment, and the unattended deployment of WSNs make them highly vulnerable to node capture as well as a wide range of network-level attacks. Moreover, the constrained energy, memory, and computational capabilities of the employed sensor nodes limit the adoption of security solutions designed for wire-line and wireless networks. In this paper, we focus on the management of encryption keys in large-scale clustered WSNs. We propose a novel distributed key management scheme based on exclusion basis systems (EBS)";" a combinatorial formulation of the group key management problem. Our scheme is termed SHELL because it is scalable, hierarchical, efficient, location-aware, and light-weight. Unlike most existing key management schemes for WSNs, SHELL supports rekeying and, thus, enhances network security and survivability against node capture. SHELL distributes key management functionality among multiple nodes and minimizes the memory and energy consumption through trading off the number of keys and rekeying messages. In addition, SHELL employs a novel key assignment scheme that reduces the potential of collusion among compromised sensor nodes by factoring the geographic location of nodes in key assignment. Simulation results demonstrate that SHELL significantly boosts the network resilience to attacks while conservatively consuming nodes' resources"",""1558-2183"","""",""10.1109/TPDS.2006.106"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652948"",""Wireless sensor networks";secure group communications;key management;location-aware protocols;exclusion basis systems;combinatorial optimization;energy efficient design;"collusion attacks."",""Wireless sensor networks";Protection;Surveillance;Computer networks;Cryptography;Large-scale systems;Energy management;Memory management;Energy consumption;"Resilience"","""",""157"","""",""47"",""IEEE"",""10 Jul 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;
"LOMARC: Lookahead Matchmaking for Multiresource Coscheduling on Hyperthreaded CPUs,""A. C. Sodan";" Lei Lan"",""Computer Science, University of Windsor, Windsor, ONT, Canada";" Chubb Insurance Company of Canada, Toronto, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Oct 2006"",""2006"",""17"",""11"",""1360"",""1375"",""Job scheduling typically focuses on the CPU with little work existing to include I/O or memory. Time-shared execution provides the chance to hide I/O and long-communication latencies though potentially creating a memory conflict. Hyperthreaded CPUs support coscheduling without any context switches and provide additional options for CPU-internal resource sharing. We present an approach that includes all possible resources into the schedule optimization and improves utilization by coscheduling two jobs if feasible. Our LOMARC approach partially reorders the queue by lookahead to increase the potential to find good matches. In simulations based on the workload model of Lublin and Feitelson, we have obtained improvements between 30 percent and 50 percent in both response times and relative bounded response times on hyperthreaded CPUs (i.e., cut times to two third or to half)"",""1558-2183"","""",""10.1109/TPDS.2006.160"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1705471"",""Distributed architecture";multiprocessing;scheduling;threads;"performance measures."",""Optimal scheduling";Processor scheduling;Delay;Switches;Computer architecture;Time sharing computer systems;Resource management;"Grid computing"","""",""7"",""1"",""35"",""IEEE"",""2 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Low-cost static performance prediction of parallel stochastic task compositions,""H. Gautama";" A. J. C. van Gemund"",""Statistical Information Systems, Statistics Indonesia, Jakarta, Indonesia";" Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Dec 2005"",""2006"",""17"",""1"",""78"",""91"",""Current analytic solutions to the execution time distribution of a parallel composition of tasks having stochastic execution times are computationally complex, except for a limited number of distributions. In this paper, we present an analytical solution based on approximating execution time distributions in terms of the first four statistical moments. This low-cost approach allows the parallel execution time distribution to be approximated at ultra-low solution complexity for a wide range of execution time distributions. The accuracy of our method is experimentally evaluated for synthetic distributions as well as for task execution time distributions found in real parallel programs and kernels (NAS-EP, SSSP, APSP, Splash2-Barnes, PSRS, and WATOR). Our experiments show that the prediction error of the mean value of the parallel execution time for N-ary parallel composition is in the order of percents, provided the task execution time distributions are sufficiently independent and unimodal."",""1558-2183"","""",""10.1109/TPDS.2006.13"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1549817"",""Performance prediction";stochastic graphs;"workload distribution."",""Stochastic processes";Distributed computing;Concurrent computing;Processor scheduling;Computer Society;Kernel;Communication system control;Information analysis;Performance analysis;"Bandwidth"","""",""11"","""",""41"",""IEEE"",""5 Dec 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Many-to-many disjoint path covers in hypercube-like interconnection networks with faulty elements,""Jung-Heum Park"; Hee-Chul Kim;" Hyeong-Seok Lim"",""School of Computer Science and Information Engineering, Catholic University of Korea, South Korea"; Computer Science and Information Communications Engineering Division, Hankuk University of Foreign Studies, South Korea;" School of Electronics and Computer Engineering, Chonnam National University, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jan 2006"",""2006"",""17"",""3"",""227"",""240"",""A many-to-many k-disjoint path cover (k-DPC) of a graph G is a set of k disjoint paths joining k distinct source-sink pairs in which each vertex of G is covered by a path. We deal with the graph G/sub 0/ /spl oplus/ G/sub 1/ obtained from connecting two graphs G/sub 0/ and G/sub 1/ with n vertices each by n pairwise nonadjacent edges joining vertices in G/sub 0/ and vertices in G/sub 1/. Many interconnection networks such as hypercube-like interconnection networks can be represented in the form of G/sub 0/ /spl oplus/ G/sub 1/ connecting two lower dimensional networks G/sub 0/ and G/sub 1/. In the presence of faulty vertices and/or edges, we investigate many-to-many disjoint path coverability of G/sub 0/ /spl oplus/ G/sub 1/ and (G/sub 0/ /spl oplus/ G/sub 1/) /spl oplus/ (G/sub 2/ /spl oplus/ G/sub 3/ ), provided some conditions on the Hamiltonicity and disjoint path coverability of each graph G/sub i/ are satisfied, 0 /spl les/ i /spl les/ 3. We apply our main results to recursive circulant G(2/sup m/, 4) and a subclass of hypercube-like interconnection networks, called restricted HL-graphs. The subclasses includes twisted cubes, crossed cubes, multiply twisted cubes, Mobius cubes, Mcubes, and generalized twisted cubes. We show that all these networks of degree m with f or less faulty elements have a many-to-many k-DPC joining any k distinct source-sink pairs for any k /spl ges/ 1 and f /spl ges/ 0 such that f+2k /spl les/ m - 1."",""1558-2183"","""",""10.1109/TPDS.2006.37"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1583571"",""Fault tolerance";network topology;graph theory;fault-Hamiltonicity;embedding;strong Hamiltonicity;recursive circulants;"restricted HL-graphs."",""Intelligent networks";Multiprocessor interconnection networks;Joining processes;Routing;Pipelines;Hypercubes;Joining IEEE;Network topology;Graph theory;"Terminology"","""",""86"","""",""34"",""IEEE"",""30 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Maximal Lifetime Scheduling for Sensor Surveillance Systems with K Sensors to One Target,""Hai Liu"; Pengjun Wan;" Xiaohua Jia"",""Department of Computer Science, City University of Hong Kong, Hong Kong, China"; Department of Computer Science, City University of Hong Kong, Hong Kong, China;" Department of Computer Science, City University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1526"",""1536"",""This paper addresses the maximal lifetime scheduling for sensor surveillance systems with K sensors to 1 target. Given a set of sensors and targets in an Euclidean plane, a sensor can watch only one target at a time and a target should be watched by k, k \geq 1, sensors at any time. Our task is to schedule sensors to watch targets and pass data to the base station, such that the lifetime of the surveillance system is maximized, where the lifetime is the duration up to the time when there exists one target that cannot be watched by k sensors or data cannot be forwarded to the base station due to the depletion of energy of the sensor nodes. We propose an optimal solution to find the target watching schedule for sensors that achieves the maximal lifetime. Our solution consists of three steps: 1) computing the maximal lifetime of the surveillance system and a workload matrix by using linear programming techniques, 2) decomposing the workload matrix into a sequence of schedule matrices that can achieve the maximal lifetime, and 3) determining the sensor surveillance trees based on the above obtained schedule matrices, which specify the active sensors and the routes to pass sensed data to the base station. This is the first time in the literature that this scheduling problem of sensor surveillance systems has been formulated and the optimal solution has been found. We illustrate our optimal method by a numeric example and experiments in the end."",""1558-2183"","""",""10.1109/TPDS.2006.175"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717412"",""Energy efficiency";lifetime;scheduling;sensor network;"surveillance system."",""Sensor systems";Surveillance;Watches;Wireless sensor networks;Sensor phenomena and characterization;Base stations;Matrix decomposition;Processor scheduling;Monitoring;"Linear programming"","""",""46"","""",""24"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Messages Scheduling for Parallel Data Redistribution between Clusters,""J. Cohen"; E. Jeannot; N. Padoy;" F. Wagner"",""LORIA-INRIA Lorraine, Vandoeuvre-les-Nancy, France"; LORIA-INRIA Lorraine, Vandoeuvre-les-Nancy, France; Technische Universität München, Germany;" LIA-Laboratoire dinformatique davignon, Avignon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Sep 2006"",""2006"",""17"",""10"",""1163"",""1175"",""We study the problem of redistributing data between clusters interconnected by a backbone. We suppose that at most k communications can be performed at the same time (the value of k depending on the characteristics of the platform). Given a set of messages, we aim at minimizing the total communication time assuming that communications can be preempted and that preemption comes with an extra cost. Our problem, called k-preemptive bipartite scheduling (KPBS) is proven to be NP-hard. We study its lower bound. We propose two 8/3-approximation algorithms with low complexity and fast heuristics. Simulation results show that both algorithms perform very well compared to the optimal solution and to the heuristics. Experimental results, based on an MPI implementation of these algorithms, show that both algorithms outperform a brute-force TCP-based solution, where no scheduling of the messages is performed"",""1558-2183"","""",""10.1109/TPDS.2006.141"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687885"",""Message scheduling";data redistribution;grid computing;approximation algorithm;"code coupling."",""Spine";Grid computing;Clustering algorithms;Scheduling algorithm;Processor scheduling;Computer networks;Parallel machines;Concurrent computing;Wavelength division multiplexing;"Time division multiple access"","""",""7"",""1"",""31"",""IEEE"",""6 Sep 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Mobility-sensitive topology control in mobile ad hoc networks,""J. Wu";" F. Dai"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA";" Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 May 2006"",""2006"",""17"",""6"",""522"",""535"",""In most existing localized topology control protocols for mobile ad hoc networks (MANETs), each node selects a few logical neighbors based on location information and uses a small transmission range to cover those logical neighbors. Transmission range reduction conserves energy and bandwidth consumption, while still maintaining network connectivity. However, the majority of these approaches assume a static network without mobility. In a mobile environment network connectivity can be compromised by two types of """"bad"""" location information: inconsistent information, which makes a node select too few logical neighbors, and outdated information, which makes a node use too small a transmission range. In this paper, we first show some issues in existing topology control. Then, we propose a mobility-sensitive topology control method that extends many existing mobility-insensitive protocols. Two mechanisms are introduced: consistent local views that avoid inconsistent information and delay and mobility management that tolerate outdated information. The effectiveness of the proposed approach is confirmed through an extensive simulation study"",""1558-2183"","""",""10.1109/TPDS.2006.73"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1626219"",""Connectivity";mobile ad hoc networks (MANETs);mobility management;simulation;topology control;"view consistency."",""Network topology";Intelligent networks;Mobile ad hoc networks;Protocols;Communication system control;Mobile radio mobility management;Interference constraints;Bandwidth;Delay;"Ad hoc networks"","""",""60"","""",""37"",""IEEE"",""1 May 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Multiple job scheduling in a connection-limited data parallel system,""A. Amoroso";" K. Marzullo"",""Dipartimento di Scienze dellInformazione, Universitá di Bologna, Bologna, Italy";" Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""125"",""134"",""We present a hybrid approach to the scheduling of jobs in a distributed system where the critical response is the bandwidth to access stored data. Our approach supports the master-worker scheme, but could be applied to other cases of parallel computation over stored data. We tested our new approach under various circumstances and measured it performance by means of several metrics. We made comparisons of our approach with respect to other scheduling policies";" it performed significantly better than the majority of cases, and in worst cases, it was as good as the best of the others."",""1558-2183"","""",""10.1109/TPDS.2006.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566591"",""Scheduling and task partitioning";distributed systems;graph algorithms;"GRID computing."",""Bandwidth";Network servers;Processor scheduling;Local area networks;Computer Society;Storage rings;Aggregates;Concurrent computing;Testing;"Partitioning algorithms"","""",""3"","""",""23"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Multiprocessor scheduling and rescheduling with use of cellular automata and artificial immune system support,""A. Swiecicka"; F. Seredynski;" A. Y. Zomaya"",""Department of Computer Science, Bialystok University of Technology, Bialystok, Poland"; Polish Japanese Institute of Information Technology, Warsaw, Poland;" School of Information Technologies, University of Sydney, Sydney, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jan 2006"",""2006"",""17"",""3"",""253"",""262"",""The paper presents cellular automata (CA)-based multiprocessor scheduling system, in which an extraction of knowledge about scheduling process occurs and this knowledge is used while solving new instances of the scheduling problem. There are three modes of the scheduler: learning, normal operating, and reusing. In the learning mode, a genetic algorithm is used to discover CA rules suitable for solving instances of a scheduling problem. In the normal operating mode, discovered rules are able to find automatically, without a calculation of a cost function, an optimal or suboptimal solution of the scheduling problem for any initial allocation of program tasks in a multiprocessor system. In the third mode, previously discovered rules are reused with support of an artificial immune system (AIS) to solve new instances of the problem. We present a number of experimental results showing the performance of the CA-based scheduler."",""1558-2183"","""",""10.1109/TPDS.2006.38"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1583573"",""Multiprocessor scheduling";cellular automata;genetic algorithm;"artificial immune system."",""Processor scheduling";Artificial immune systems;Scheduling algorithm;Genetic algorithms;Distributed computing;Cost function;Concurrent computing;Multiprocessing systems;Amplitude shift keying;"Simulated annealing"","""",""52"","""",""25"",""IEEE"",""30 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Novel hybrid schemes employing packet marking and logging for IP traceback,""B. Al-Duwairi";" M. Govindarasu"",""Department of Computer Engineering, Faculty of Computer & Information Technology, Jordan University of Science and Technology, Irbid, Jordan";" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2006"",""2006"",""17"",""5"",""403"",""418"",""Tracing DoS attacks that employ source address spoofing is an important and challenging problem. Traditional traceback schemes provide spoofed packets traceback capability either by augmenting the packets with partial path information (i.e., packet marking) or by storing packet digests or signatures at intermediate routers (i.e., packet logging). Such approaches require either a large number of attack packets to be collected by the victim to infer the paths (packet marking) or a significant amount of resources to be reserved at intermediate routers (packet logging). We adopt a hybrid traceback approach in which packet marking and packet logging are integrated in a novel manner, so as to achieve the best of both worlds, that is, to achieve a small number of attack packets to conduct the traceback process and a small amount of resources to be allocated at intermediate routers for packet logging purposes. Based on this notion, two novel traceback schemes are presented. The first scheme, called distributed link-list traceback (DLLT), is based on the idea of preserving the marking information at intermediate routers in such a way that it can be collected using a link list-based approach. The second scheme, called probabilistic pipelined packet marking (PPPM), employs the concept of a """"pipeline"""" for propagating marking information from one marking router to another so that it eventually reaches the destination. We evaluate the effectiveness of the proposed schemes against various performance metrics through a combination of analytical and simulation studies. Our studies show that the proposed schemes offer a drastic reduction in the number of packets required to conduct the traceback process and a reasonable saving in the storage requirement."",""1558-2183"","""",""10.1109/TPDS.2006.63"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1613850"",""Internet security";DDoS attacks;"IP traceback."",""Computer crime";Resource management;Information filtering;Information filters;Measurement;Performance analysis;Analytical models;Security;Web and internet services;"Delay"","""",""63"","""",""20"",""IEEE"",""3 Apr 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
