"2PASS: Bandwidth-Optimized Location Cloaking for Anonymous Location-Based Services,""H. Hu";" J. Xu"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China";" Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1458"",""1472"",""Protection of users' location privacy is a critical issue for location-based services. Location cloaking has been proposed to blur users' accurate locations with cloaked regions. Although various cloaking algorithms have been studied, none of the prior work has explored the impact of cloaking on the bandwidth usage of requested services. In this paper, we develop an innovative result-aware location cloaking approach, called 2PASS. Based on the notion of Voronoi cells, 2PASS minimizes the number of objects to request, and hence, the bandwidth while meeting the same privacy requirement. The core component of 2PASS is a lightweight WAG-tree index, based on which efficient and secure client and server procedures are designed. Through threat analysis and experimental results, we argue that 2PASS is robust and outperforms state-of-the-art approaches in terms of various metrics, such as query response time and bandwidth consumption. We also enclose a case study of 2PASS in a real-life application."",""1558-2183"","""",""10.1109/TPDS.2010.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406506"",""Mobile applications";distributed applications;security;integrity;"protection."",""Privacy";Bandwidth;Robustness;Protection;Network servers;Neural networks;Delay;Information security;Medical conditions;"Law"","""",""15"",""2"",""33"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Mobile Scheduling for Spatiotemporal Detection in Wireless Sensor Networks,""G. Xing"; J. Wang; Z. Yuan; R. Tan; L. Sun; Q. Huang; X. Jia;" H. C. So"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"; Department of Computer Science, City University of Hong Kong, Hong Kong, China; Department of Computer Science, City University of Hong Kong, Hong Kong, China; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Institute of Software, Chinese Academy and Sciences, Beijing, China; C8 MediSensors, Inc., Los Gatos, CA, USA; Department of Computer Science, City University of Hong Kong, Hong Kong, China;" Department of Electronic Engineering, City University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2010"",""2010"",""21"",""12"",""1851"",""1866"",""Wireless sensor networks (WSNs) deployed for mission-critical applications face the fundamental challenge of meeting stringent spatiotemporal performance requirements using nodes with limited sensing capacity. Although advance network planning and dense node deployment may initially achieve the required performance, they often fail to adapt to the unpredictability and variability of physical reality. This paper explores efficient use of mobile sensors to address limitations of static WSNs for target detection. We propose a data-fusion-based detection model that enables static and mobile sensors to effectively collaborate in target detection. An optimal sensor movement scheduling algorithm is developed to minimize the total moving distance of sensors while achieving a set of spatiotemporal performance requirements including high detection probability, low system false alarm rate, and bounded detection delay. The effectiveness of our approach is validated by extensive simulations based on real data traces collected by 23 sensor nodes."",""1558-2183"","""",""10.1109/TPDS.2010.41"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5432163"",""Data fusion";algorithm/protocol design and analysis;"wireless sensor networks."",""Spatiotemporal phenomena";Wireless sensor networks;Object detection;Sensor systems;Mission critical systems;Face detection;Sensor fusion;Collaboration;Scheduling algorithm;"Delay"","""",""19"","""",""42"",""IEEE"",""18 Mar 2010"","""","""",""IEEE"",""IEEE Journals""";
"mTreebone: A Collaborative Tree-Mesh Overlay Network for Multicast Video Streaming,""F. Wang"; Y. Xiong;" J. Liu"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"; Wireless and Networking Group, 4/F, Sigma Center, Microsoft Research Asia, Beijing, China;" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2010"",""2010"",""21"",""3"",""379"",""392"",""Recently, application-layer overlay networks have been suggested as a promising solution for live video streaming over the Internet. To organize a multicast overlay, a natural structure is a tree, which, however, is known vulnerable to end-hosts dynamics. Data-driven approaches address this problem by employing a mesh structure, which enables data exchanges among multiple neighbors, and thus, greatly improves the overlay resilience. It unfortunately suffers from an efficiency-delay trade-off, because data have to be pulled from mesh neighbors by using extra notifications periodically. In this paper, we closely examine the contributions of overlay nodes, and argue that performance of a mesh overlay closely depends on a small set of stable backbone nodes. This is validated through a real trace study on PPLive, the largest commercial application-layer live streaming system to date. Motivated by this observation, we then suggest a novel collaborative tree-mesh design that leverages both mesh and tree structures. The key idea is to identify a set of stable nodes to construct a tree-based backbone, called treebone, with most of the data being pushed over this backbone. These stable nodes, together with others, are further organized through an auxiliary mesh overlay, which facilitates the treebone to accommodate node dynamics and fully exploit the available bandwidth between overlay nodes. This hybrid design, referred to as mTreebone, brings a series of unique and critical design challenges. In particular, the identification of stable nodes and seamless data delivery using both push and pull methods. In this paper, we present optimized solutions to these problems, which reconcile the two overlays under a coherent framework with controlled overhead. We evaluate mTreebone through both simulations and PlanetLab experiments. The results demonstrate the superior efficiency and robustness of this hybrid solution in both static and dynamic scenarios."",""1558-2183"","""",""10.1109/TPDS.2009.77"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4967573"",""Application-layer multicast";overlay network;mesh;tree;"live streaming."",""Collaboration";Streaming media;Peer to peer computing;Vehicle dynamics;Spine;Tree data structures;IP networks;Resilience;Bandwidth;"Proposals"","""",""79"","""",""30"",""IEEE"",""26 May 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Null Data Frame: A Double-Edged Sword in IEEE 802.11 WLANs,""W. Gu"; Z. Yang; D. Xuan; W. Jia;" C. Que"",""Department of Computer Science and Engineering, 395 Dreese Laboratories, Ohio State Uinversity, Columbus, OH, USA"; Department of Computer Science and Engineering, 395 Dreese Laboratories, Ohio State Uinversity, Columbus, OH, USA; Department of Computer Science and Engineering, 395 Dreese Laboratories, Ohio State Uinversity, Columbus, OH, USA; Department of Computer Science, City University of Hong Kong, Hong Kong, China;" Department of Computer Science, City University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""897"",""910"",""Null data frames are a special but important type of frames in IEEE 802.11 WLANs. They are widely used in 802.11 WLANs for control purposes such as power management, channel scanning, and association keeping alive. The wide applications of null data frames come from their salient features such as lightweight frame format and implementation flexibility. However, such features can be taken advantage of by malicious attackers to launch a variety of attacks on 802.11 WLANs. In this paper, we identify potential security vulnerabilities in current null data frame applications in 802.11 WLANs. We then study two types of attacks taking advantage of these vulnerabilities in detail that are functionality-based Denial-of-Service attack and implementation-based fingerprinting attack. We also evaluate their effectiveness based on extensive experiments. Furthermore, we design and implement novel defense mechanisms against the attacks, and evaluate their effectiveness based on extensive experiments. Although our proposed defenses help alleviate the vulnerabilities, completely eliminating the vulnerabilities brought by null data frames remains an open issue. Finally, we point out that our work has broader impact in that similar vulnerabilities exist in many other networks due to the adoption of simple and lightweight messages for control purpose."",""1558-2183"","""",""10.1109/TPDS.2009.96"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5089319"",""Security";"wireless local area network."",""Data security";Energy management;Computer crime;Fingerprint recognition;Protocols;Lighting control;Wireless LAN;Educational institutions;Cities and towns;"Wireless communication"","""",""14"",""2"",""25"",""IEEE"",""19 Jun 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"On Improving Parallelized Network Coding with Dynamic Partitioning,""K. Park"; J. -S. Park;" W. W. Ro"",""School of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea"; Department of Computer Engineering, Hongik University, Seoul, South Korea;" School of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2010"",""2010"",""21"",""11"",""1547"",""1560"",""In this paper, we investigate parallel implementation techniques for network coding. It is known that network coding is useful for both wired and wireless networks and it also mitigates peer/piece selection problems in P2P file sharing systems. However, due to the decoding complexity of network coding, there have been concerns about adoption of network coding in practical network systems and to improve the decoding performance, the exploitation of parallelism has been proposed previously. In this paper, we argue that naive parallelization strategies of network coding may result in unbalanced workload distribution, and thus, limiting performance improvements. We further argue that a higher performance enhancement can be achieved through balanced partitioning methods in parallelized network coding and propose new parallelization techniques for network coding. Our experiments show that on a quad-core processor system, proposed algorithms exhibit up to 5.69 speedup which is better than the linear speedup with the influence of additional cache. Moreover, on an octal-core system, our algorithms even achieve speedup of 8.46 compared to a sequential network coding and 43.3 percent faster than an existing parallelized technique using 1 Mbytes data with 1,024 \times 1,024 coefficient matrix size."",""1558-2183"","""",""10.1109/TPDS.2010.40"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416700"",""Conversion from sequential to parallel forms";parallel algorithms;concurrent programming;data communications;"network communications."",""Network coding";Peer to peer computing;Decoding;Computer network reliability;Parallel processing;Partitioning algorithms;Delay;Wireless networks;Parallel algorithms;"Parallel programming"","""",""21"","""",""42"",""IEEE"",""18 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"On the Benefit of Processor Coallocation in Multicluster Grid Systems,""O. Sonmez"; H. Mohamed;" D. Epema"",""Parallel and Distributed Systems Group, Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands"; Parallel and Distributed Systems Group, Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands;" Parallel and Distributed Systems Group, Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Aug 2010"",""2010"",""21"",""6"",""778"",""789"",""In multicluster grid systems, parallel applications may benefit from processor coallocation, that is, the simultaneous allocation of processors in multiple clusters. Although coallocation allows the allocation of more processors than available in a single cluster, it may severely increase the execution time of applications due to the relatively slow wide-area communication. The aim of this paper is to investigate the benefit of coallocation in multicluster grid systems, despite this drawback. To this end, we have conducted experiments in a real multicluster grid environment, as well as in a simulated environment, and we evaluate the performance of coallocation for various applications that range from computation-intensive to communication-intensive and for various system load settings. In addition, we compare the performance of scheduling policies that are specifically designed for coallocation. We demonstrate that considering latency in the resource selection phase improves the performance of coallocation, especially for communication-intensive parallel applications."",""1558-2183"","""",""10.1109/TPDS.2009.121"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5184826"",""Coallocation";grid;multicluster;"parallel job scheduling."",""Processor scheduling";Delay;Grid computing;Communications technology;Computational modeling;"Performance analysis"","""",""17"","""",""39"",""IEEE"",""31 Jul 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"On the Benefits of Cooperative Proxy Caching for Peer-to-Peer Traffic,""M. Hefeeda";" B. Noorizadeh"",""School of Computing Science, Simon Fraser University, Surrey, BC, Canada";" School of Computing Science, Nokia, Vancouver, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""998"",""1010"",""This paper analyzes the potential of cooperative proxy caching for peer-to-peer (P2P) traffic as a means to ease the burden imposed by P2P traffic on Internet Service Providers (ISPs). In particular, we propose two models for cooperative caching of P2P traffic. The first model enables cooperation among caches that belong to different autonomous systems (ASs), while the second considers cooperation among caches deployed within the same AS. We analyze the potential gain of cooperative caching in these two models. To perform this analysis, we conduct an eight-month measurement study on a popular P2P system to collect traffic traces for multiple caches. Then, we perform extensive trace-based simulations to analyze different angles of cooperative caching schemes. Our results demonstrate that: 1) significant improvement in byte hit rate can be achieved using cooperative caching, 2) simple object replacement policies are sufficient to achieve that gain, and 3) the overhead imposed by cooperative caching is negligible. In addition, we develop an analytic model to assess the gain from cooperative caching in different settings. The model accounts for number of caches, salient P2P traffic features, and network characteristics. Our model confirms that substantial gains from cooperative caching are attainable under wide ranges of traffic and network characteristics."",""1558-2183"","""",""10.1109/TPDS.2009.130"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5204077"",""Peer-to-peer systems";caching;cooperative caching;"traffic modeling."",""Peer to peer computing";Traffic control;Telecommunication traffic;Cooperative caching;Web and internet services;Costs;Performance analysis;IP networks;Switches;"Performance evaluation"","""",""30"",""2"",""36"",""IEEE"",""18 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"On the Interplay of Parallelization, Program Performance, and Energy Consumption,""S. Cho";" R. G. Melhem"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA";" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2010"",""2010"",""21"",""3"",""342"",""353"",""This paper derives simple, yet fundamental formulas to describe the interplay between parallelism of an application, program performance, and energy consumption. Given the ratio of serial and parallel portions in an application and the number of processors, we derive optimal frequencies allocated to the serial and parallel regions in an application to either minimize the total energy consumption or minimize the energy-delay product. The impact of static power is revealed by considering the ratio between static and dynamic power and quantifying the advantages of adding to the architecture capability to turn off individual processors and save static energy. We further determine the conditions under which one can obtain both energy and speed improvement, as well as the amount of improvement. While the formulas we obtain use simplifying assumptions, they provide valuable theoretical insights into energy-aware processor resource management. Our results form a basis for several interesting research directions in the area of energy-aware multicore processor architectures."",""1558-2183"","""",""10.1109/TPDS.2009.41"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4798160"",""Multicore processor";Amdahl's law;dynamic voltage and frequency scaling (DVFS);"energy-delay product (EDP)."",""Energy consumption";Parallel processing;Multicore processing;Frequency;Resource management;Dynamic voltage scaling;Radio spectrum management;Surges;Microprocessors;"Concurrent computing"","""",""79"","""",""36"",""IEEE"",""6 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"On the Performance of Content Delivery under Competition in a Stochastic Unstructured Peer-to-Peer Network,""Y. -M. Chiu";" D. Y. Eun"",""Yahoo, Inc., Taipei, Taiwan";" Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1487"",""1500"",""Peer-to-peer (P2P) network is widely used for transferring large files nowadays. Measurement results show that most downloading peers are patient as the average download session is usually very long. It is sometimes even longer than downloading from a dedicated server using a modem. Existing results in the literature indicate that the stochastic fluctuation and the heterogeneity in the service capacity of each peer are two of the major reasons that make the average download time far longer than expected. In those studies, it has been often assumed that there is only one downloading peer in the network, ignoring the interaction and competition among peers. In this paper, we investigate the impact of the interaction and competition among peers on downloading performance under stochastic, heterogeneous, and unstructured P2P settings, thereby greatly extending the existing results on stochastic P2P networks made only under a single downloading peer in the network. To analyze the average download time in a P2P network with multiple competing downloading peers, we first introduce the notion of system utilization tailored to a P2P network. We investigate the relationship among the average download time, system utilization, and the level of competition among downloading peers in a stochastic P2P network. We then derive an achievable lower bound on the average download time and propose algorithms to give the peers the minimum average download time. Our result can much improve the download performance compared to earlier results in the literature. The performance of the different algorithms is compared under NS-2 simulations. Our results also provide theoretical explanation to the inconsistency of performance improvement by using parallel connections (parallel connections sometimes do not outperform a single connection) observed in some measurement studies."",""1558-2183"","""",""10.1109/TPDS.2010.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5396334"",""Computer network performance";"P2P networks."",""Stochastic processes";Peer to peer computing;Fluctuations;Network servers;Bandwidth;Modems;Stochastic systems;Internet;Measurement;"Web server"","""",""6"","""",""32"",""IEEE"",""22 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Opportunity-Based Topology Control in Wireless Sensor Networks,""Y. Liu"; Q. Zhang;" L. Ni"",""Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China;" Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2010"",""2010"",""21"",""3"",""405"",""416"",""Topology control is an effective method to improve the energy efficiency of wireless sensor networks (WSNs). Traditional approaches are based on the assumption that a pair of nodes is either """"connected"""" or """"disconnected."""" These approaches are called connectivity-based topology control. In real environments, however, there are many intermittently connected wireless links called lossy links. Taking a succeeded lossy link as an advantage, we are able to construct more energy-efficient topologies. Toward this end, we propose a novel opportunity-based topology control. We show that opportunity-based topology control is a problem of NP-hard. To address this problem in a practical way, we design a fully distributed algorithm called CONREAP based on reliability theory. We prove that CONREAP has a guaranteed performance. The worst running time is O(\vert E\vert ), where E is the link set of the original topology, and the space requirement for individual nodes is O(d), where d is the node degree. To evaluate the performance of CONREAP, we design and implement a prototype system consisting of 50 Berkeley Mica2 motes. We also conducted comprehensive simulations. Experimental results show that compared with the connectivity-based topology control algorithms, CONREAP can improve the energy efficiency of a network up to six times."",""1558-2183"","""",""10.1109/TPDS.2009.57"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815225"",""Topology control transitional region network reachability."",""Network topology";Wireless sensor networks;Energy efficiency;Costs;Heuristic algorithms;Propagation losses;Broadcasting;Routing protocols;Algorithm design and analysis;"Distributed algorithms"","""",""95"","""",""34"",""IEEE"",""17 Apr 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Optimal Resource Placement in Structured Peer-to-Peer Networks,""W. Rao"; L. Chen; A. W. -C. Fu;" G. Wang"",""Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China"; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China;" Department of Computer Science, Northeastern University, Shenyang, China"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""1011"",""1026"",""Utilizing the skewed popularity distribution in P2P systems, common in Gnutella and KazaA like P2P applications, we propose an optimal resource (replica or link) placement strategy, which can optimally trade off the performance gain and paid cost. The proposed resource placement strategy, with better results than existing works, can be generally applied in randomized P2P systems (Symphony) and deterministic P2P systems (e.g., Chord, Pastry, Tapestry, etc.). We apply the proposed resource placement strategy, respectively, to two novel applications: PCache (a P2P-based caching scheme) and PRing (a P2P ring structure). The simulation results as well as a real deployment on Planetlab demonstrate the effectiveness of the proposed resource placement strategy in reducing the average search cost of the whole system."",""1558-2183"","""",""10.1109/TPDS.2009.136"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5226618"",""Peer-to-peer (P2P) network";distributed hash table (DHT);popularity;placement;cache;"topology."",""Peer to peer computing";Acceleration;Large-scale systems;Performance gain;Cost function;Network topology;Extraterrestrial measurements;Internet;Web sites;"World Wide Web"","""",""42"",""19"",""33"",""IEEE"",""28 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Optimal Sorting Algorithms for a Simplified 2D Array with Reconfigurable Pipelined Bus System,""M. He"; X. Wu; S. Q. Zheng;" B. Englert"",""Department of Computer Engineering and Computer Science, California State University, Long Beach, Long Beach, CA, USA"; Department of Computer Engineering and Computer Science, California State University, Long Beach, Long Beach, CA, USA; Department of Computer Science, Erik Jonsson School of Engineering and Computer Science, University of Texas, Dallas, Richardson, TX, USA;" Department of Computer Engineering and Computer Science, California State University, Long Beach, Long Beach, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2010"",""2010"",""21"",""3"",""303"",""312"",""In recent years, many researchers have investigated optical interconnections as parallel computing. Optical interconnections are attractive due to their high bandwidth and concurrent access to the bus in a pipelined fashion. The Linear Array with Reconfigurable Pipelined Bus System (LARPBS) model is a powerful optical bus system that combines both the advantages of optical buses and reconfiguration. To increase the scalability of the LARPBS model, we propose a two-dimensional extension: a simplified two-dimensional Array with Reconfigurable Pipelined Bus System (2D ARPBS). While achieving better scalability, we show the effectiveness of this newly proposed model by designing two novel optimal sorting algorithms on this model. The first sorting algorithm is an extension of Leighton's seven-phase columnsort algorithm that eliminates the restriction of sorting only an r \times s array, where r \ge s^2 , and sorts an n \times n array in O(\log n) time. The second one is an optimal multiway mergesort algorithm that uses a novel processor efficient two-way mergesort algorithm and a novel multiway merge scheme to sort n^2 items in O(\log n) time. Using an optimal sorting algorithm Pipelined Mergesort designed for the LARPBS model as a building block, we extend our research on parallel sorting on the LARPBS to a more scalable 2D ARPBS model and achieve optimality in both sorting algorithms."",""1558-2183"","""",""10.1109/TPDS.2009.68"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4840337"",""Interconnection networks";optical networks;parallel algorithms and architectures;"sorting."",""Sorting";Optical interconnections;Optical arrays;Power system modeling;Optical network units;Algorithm design and analysis;Scalability;Predictive models;Parallel processing;"Optical design"","""",""7"","""",""38"",""IEEE"",""24 Apr 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Optimal Swarming for Massive Content Distribution,""X. Zheng"; C. Cho;" Y. Xia"",""Shanghai Research Center of Wireless Communications (WiCO) and Key Laboratory of Wireless Sensor Network and Communications, Chinese Academy and Sciences, Shanghai, China"; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA;" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Aug 2010"",""2010"",""21"",""6"",""841"",""856"",""A distinct trend has emerged that the Internet is used to transport data on a more and more massive scale. Capacity shortage in the backbone networks has become a genuine possibility, which will be more serious with fiber-based access. The problem addressed in this paper is how to conduct massive content distribution efficiently in the future network environment, where the capacity limitation can equally be at the core or the edge. We propose a novel technique as a main content transport mechanism to achieve efficient network resource utilization. The technique uses multiple trees for distributing different file pieces, which at the heart is a version of swarming. In this paper, we formulate an optimization problem for determining an optimal set of distribution trees as well as the rate of distribution on each tree under bandwidth limitation at arbitrary places in the network. The optimal solution can be found by a distributed algorithm. The results of the paper not only provide stand-alone solutions to the massive content distribution problem, but should also help the understanding of existing distribution techniques such as BitTorrent or FastReplica."",""1558-2183"","""",""10.1109/TPDS.2009.133"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5204081"",""Content distribution";peer-to-peer networks;multicast;optimization;"bandwidth allocation."",""Spine";Peer to peer computing;Telecommunication traffic;Internet;Resource management;Heart;Bandwidth;Distributed algorithms;Channel allocation;"Optical fiber subscriber loops"","""",""4"","""",""47"",""IEEE"",""18 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Parallel Information-Theory-Based Construction of Genome-Wide Gene Regulatory Networks,""J. Zola"; M. Aluru; A. Sarje;" S. Aluru"",""Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"; Department of Electrical and Computer Engineering and the Department of Genetics, Development and Cell Biology, Iowa State University, Ames, IA, USA; Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA;" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2010"",""2010"",""21"",""12"",""1721"",""1733"",""Constructing genome-wide gene regulatory networks from large-scale gene expression data is an important problem in systems biology. While several techniques have been developed, none of them is parallel, and they do not scale to the whole genome level or incorporate the largest data sets, particularly with rigorous statistical techniques. In this paper, we present a parallel method integrating mutual information, data processing inequality, and statistical testing to detect significant dependencies between genes, and efficiently exploit parallelism inherent in such computations. We present a new method to carry out permutation testing for assessing statistical significance of interactions, while reducing its computational complexity by a factor of Θ(n2), where n is the number of genes. Using both synthetic and known regulatory networks, we show that our method produces networks of quality similar to ARACNe, a widely used mutual-information-based method. We further explore the use of accelerators for gene network construction by presenting a parallelization on a cluster of IBM Cell blades. We exploit parallelization across multiple Cells, multiple cores within each Cell, and vector units within the cores to develop a high-performance implementation that effectively addresses the scaling problem. We report the first inference of a plant whole genome network by constructing a 15,222 gene network of the plant Arabidopsis thaliana from 3,137 microarray experiments in 30 minutes on a 2,048-CPU IBM Blue Gene/L, and in 2 hours and 25 minutes on a 8-node Cell blade cluster."",""1558-2183"","""",""10.1109/TPDS.2010.59"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445079"",""Parallel algorithms";"biology and genetics."",""Information theory";Genomics;Bioinformatics;Mutual information;Blades;Genetic communication;Large-scale systems;Gene expression;Systems biology;"Data processing"","""",""31"","""",""40"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Parallel Two-Sided Matrix Reduction to Band Bidiagonal Form on Multicore Architectures,""H. Ltaief"; J. Kurzak;" J. Dongarra"",""Innovative Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"; Innovative Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA;" Innovative Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Feb 2010"",""2010"",""21"",""4"",""417"",""423"",""The objective of this paper is to extend, in the context of multicore architectures, the concepts of tile algorithms [Buttari et al., 2007] for Cholesky, LU, and QR factorizations to the family of two-sided factorizations. In particular, the bidiagonal reduction of a general, dense matrix is very often used as a preprocessing step for calculating the Singular Value Decomposition. Furthermore, in the Top500 list of June 2008, 98 percent of the fastest parallel systems in the world were based on multicores. This confronts the scientific software community with both a daunting challenge and a unique opportunity. The challenge arises from the disturbing mismatch between the design of systems based on this new chip architecture-hundreds of thousands of nodes, a million or more cores, reduced bandwidth and memory available to cores-and the components of the traditional software stack, such as numerical libraries, on which scientific applications have relied for their accuracy and performance. The many-core trend has even more exacerbated the problem, and it becomes critical to efficiently integrate existing or new numerical linear algebra algorithms suitable for such hardware. By exploiting the concept of tile algorithms in the multicore environment (i.e., high level of parallelism with fine granularity and high-performance data representation combined with a dynamic data-driven execution), the band bidiagonal reduction presented here achieves 94 Gflop/s on a 12,000 × 12,000 matrix with 16 Intel Tigerton 2.4 GHz processors. The main drawback of the tile algorithms approach for the bidiagonal reduction is that the full reduction cannot be obtained in one stage. Other methods have to be considered to further reduce the band matrix to the required form."",""1558-2183"","""",""10.1109/TPDS.2009.79"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4967575"",""Bidiagonal reduction";singular value decomposition;tile algorithms;"multicores."",""Multicore processing";Matrix decomposition;Singular value decomposition;Bandwidth;Software performance;Software libraries;Application software;Linear algebra;"Hardware"","""",""15"","""",""30"",""IEEE"",""26 May 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
