"2014 Reviewers List,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""282"",""290"",""Lists the reviewers who contributed to IEEE Transactions on Parallel and Distributed Systems in 2014."",""1558-2183"","""",""10.1109/TPDS.2014.2368792"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6979387"","""",""IEEE publishing"","""","""","""","""",""IEEE"",""9 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Cloud-Friendly RFID Trajectory Clustering Algorithm in Uncertain Environments,""Y. Wu"; H. Shen;" Q. Z. Sheng"",""School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China"; School of Information Science and Technology, University of Adelaide, Adelaide, Australia;" School of Computer Science, University of Adelaide, Adelaide, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2075"",""2088"",""In the emerging environment of the Internet of Things (IoT), through the connection of billions of radio frequency identification (RFID) tags and sensors to the Internet, applications will generate an unprecedented number of transactions and amount of data that require novel approaches in mining useful information from RFID trajectories. RFID data usually contain a considerable degree of uncertainty caused by various factors such as hardware flaws, transmission faults and environment instability. In this paper, we propose an efficient clustering algorithm that is much less sensitive to noise and outliers than the existing methods. To better facilitate the emerging cloud computing resources, our algorithm is designed cloud-friendly so that it can be easily adopted in a cloud environment. The scalability and efficiency of the proposed algorithm are demonstrated through an extensive set of experimental studies."",""1558-2183"","""",""10.1109/TPDS.2014.2347286"",""National Science Foundation of China(grant numbers:#61170232)"; State Key Laboratory of Rail Traffic Control and Safety Research(grant numbers:RS2012K011); Australian Research Council(grant numbers:LP100200114); Discovery Project(grant numbers:DP130104614);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877686"",""Internet of Things";radio frequency identification (RFID);uncertainty;clustering algorithm;"cloud computing"",""Radiofrequency identification";Trajectory;Clustering algorithms;Probabilistic logic;Algorithm design and analysis;"Data mining"","""",""15"","""",""41"",""IEEE"",""13 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Joint Workload and Battery Scheduling with Heterogeneous Service Delay Guaranteesfor Data Center Energy Cost Minimization,""L. Yu"; T. Jiang; Y. Cao;" Q. Qi"",""Department of Electronics and Information Engineering, Huazhong University of Science and Technology, Wuhan, P.R. China"; Department of Electronics and Information Engineering, Huazhong University of Science and Technology, Wuhan, P.R. China; Department of Electronics and Information Engineering, Huazhong University of Science and Technology, Wuhan, P.R. China;" LSI corporation, Milpitas, CA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2015"",""2015"",""26"",""7"",""1937"",""1947"",""In this paper, we investigate the problem of minimizing the long-term energy cost for an Internet data center (IDC) in deregulated electricity markets. Specifically, IDC operators intend to minimize energy cost by scheduling workload and battery jointly, which can fully exploit the temporal diversity of electricity price. First, we formulate a stochastic optimization problem taking heterogeneous service delay guarantees and battery management into account. Then, we design an online operation algorithm to solve the problem based on Lyapunov optimization technique. Meanwhile, we analyze the feasibility and performance guarantee of the proposed algorithm. Finally, extensive simulation results based on real-world data show the effectiveness of the proposed algorithm."",""1558-2183"","""",""10.1109/TPDS.2014.2329491"",""Major State Basic Research Development Program of China(grant numbers:2013CB329006)"; Specialized Research Fund for the Doctoral Program of Higher Education(grant numbers:20130142140002); Research Grants Council Earmarked Research Grants(grant numbers:20130142140002); National Mobile Communications Research Laboratory in Southeast University(grant numbers:2012D08);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6827218"",""Internet data center";energy cost;heterogeneous service delay guarantees;"energy storage"",""Batteries";Delays;Electricity;Optimization;Algorithm design and analysis;Electricity supply industry;"Energy states"","""",""42"","""",""19"",""IEEE"",""6 Jun 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Kernel Specialization Provides Adaptable GPU Code for Particle Image Velocimetry,""N. Moore"; M. Leeser;" L. S. King"",""Software Engineer at MathWorks, Natick, MA"; Department of Electrical and Computer Engineering, Northeastern University, 440 Dana Building, 360 Huntington Ave, Boston, MA 02115;" Department of Mathematics and Computer Science, College of the Holy Cross, One College Street, Worcester, MA 01610"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2015"",""2015"",""26"",""4"",""1049"",""1058"",""Graphics Processing Units (GPUs) are increasingly used to accelerate scientific applications. The state-of-the-art limits the adaptability of GPU kernels to both problem parameters and hardware characteristics. This makes writing high performance libraries for GPUs challenging. We address these challenges through Kernel Specialization (KS) which supports both user and hardware parameters and produces highly optimized GPU code. We apply KS to Particle Image Velocimetry (PIV), a technique used to obtain instantaneous velocity measurements in fluids for such diverse applications as aircraft design and artificial heart design. KS helps the user search PIV’s highly non-linear design space, supports a wide range of PIV parameters, and results in improved acceleration times over existing kernels."",""1558-2183"","""",""10.1109/TPDS.2014.2317721"",""National Science Foundation Engineering Research Centers Innovations Program(grant numbers:EEC-0946463)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6798707"",""GPU";fluid dynamics;particle image velocimetry;CUDA;GPU;fluid dynamics;particle image velocimetry;"CUDA"",""Kernel";Graphics processing units;Runtime;Optimization;Registers;Hardware;"Programming"","""",""2"","""",""17"",""OAPA"",""15 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"LASEC: A Localized Approach to Service Composition in Pervasive Computing Environments,""J. Siebert"; J. Cao; Y. Lai; P. Guo;" W. Zhu"",""Department of Computing, The Hong Kong Polytechnic University, Hong Kong."; Department of Computing, The Hong Kong Polytechnic University, Hong Kong.; Department of Computing, The Hong Kong Polytechnic University, Hong Kong.; Department of Computing, The Hong Kong Polytechnic University, Hong Kong.;" Department of Computing, The Hong Kong Polytechnic University, Hong Kong."",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2015"",""2015"",""26"",""7"",""1948"",""1957"",""Pervasive computing environments (PvCE) are embedded with interconnected smart devices which provide users with services desired. To meet requirements of users, smart devices with different kinds of functions may need to be associated together to provide the service described in the user requirement, which is called service composition. As the service composition environment may be dynamic and large scale, centralized service composition algorithm is usually inefficient due to message cost. On the other hand, a decentralized approach, which employs pre-determined coordinators to search and compose service, may have high cost as well. In this paper, we discuss a localized approach for service composition based on the Ubiquitous Interacting Object (UIO) model we have proposed earlier. UIO is an abstraction of physical devices in PvCE with ability to find and collaborate with other devices through exposing their capabilities as services. In our localized service composition algorithm (LASEC), UIOs collaborate with each other in a bottom-up, localized manner to compose required service without requiring global knowledge. To solve the problem of blind compositions in LASEC, we propose a novel mechanism called Alien-information-based Acknowledging (A-Ack), in which a UIO decides on collaborating with another UIO only after obtaining some additional information from the collaboration candidate. Specifically, this information refers to ability of a given UIO to compose another part of the service. Proposed LASEC is message-efficient and quality-guaranteed. Extensive simulations of LASEC as well as existing decentralized and pull-based centralized algorithms have been conducted. The results show the relatively low communication cost and composition time of LASEC. Moreover, we demonstrate feasibility of our approach with a prototype implementation."",""1558-2183"","""",""10.1109/TPDS.2014.2331052"",""China National 973 project(grant numbers:2015CB352202)"; RGC General Research Fund(grant numbers:PolyU 5106/11E); Germany/HK Joint Research Scheme(grant numbers:G-PolyU508/13);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6846304"",""Pervasive computing environment";ubiquitous interacting objects;service composition;"localized algorithm"",""Algorithm design and analysis";Heuristic algorithms;Pervasive computing;Motion pictures;Receivers;Computational modeling;"Prototypes"","""",""16"","""",""40"",""IEEE"",""30 Jun 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"LASS: Local-Activity and Social-Similarity Based Data Forwarding in Mobile Social Networks,""Z. Li"; C. Wang; S. Yang; C. Jiang;" X. Li"",""Department of Computer Science, Tongji University, Shanghai, China"; Department of Computer Science, Tongji University, Shanghai, China; Department of Computer Science, Tongji University, Shanghai, China; Department of Computer Science, Tongji University, Shanghai, China;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""174"",""184"",""This paper aims to design an efficient data forwarding scheme based on local activity and social similarity(LASS) for mobile social networks (MSNs). Various definitions of social similarity have been proposed as the criterion for relay selection, which results in various forwarding schemes. The appropriateness and practicality of various definitions determine the performances of these forwarding schemes. A popular definition has recently been proven to be more efficient than other existing ones, i.e., the more common interests between two nodes, the larger social similarity between them. In this work, we show that schemes based on such definition ignore the fact that members within the same community, i.e., with the same interest, usually have different levels of local activity, which will result in a low efficiency of data delivery. To address this, in this paper, we design a new data forwarding scheme for MSNs based on community detection in dynamic weighted networks, called Local-Activity and Social-Similarity, taking into account the difference of members' internal activity within each community, i.e., local activity. To the best of our knowledge, the proposed scheme is the first one that utilizes different levels of local activity within communities. Through extensive simulations, we demonstrate that LASS achieves better performance than state-of-the-art protocols."",""1558-2183"","""",""10.1109/TPDS.2014.2308200"",""National Basic Research Program of China(grant numbers:2010CB328101)"; Integrated Project for Major Research Plan of the National Natural Science Foundation of China(grant numbers:91218301); Shanghai Foundation for Development of Science and Technology(grant numbers:11JC1412800); Program for New Century Excellent Talents in University (NCET)(grant numbers:NCET-12-0414); Natural Science Foundation of Shanghai(grant numbers:12ZR1451200); National Science Foundation for Postdoctoral Scientists of China(grant numbers:2012M510118); Research Fund for the Doctoral Program of Higher Education of China (RFDP)(grant numbers:20120072120075); Special Foundation of China Postdoctoral Science(grant numbers:2013T60463);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748062"",""Local activity";social similarity;data forwarding;"mobile social networks"",""Communities";Local activities;Heuristic algorithms;Mobile communication;Social network services;Mobile computing;"Relays"","""",""40"","""",""31"",""OAPA"",""25 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Latency of Collaborative Target Detection for Surveillance Sensor Networks,""T. -L. Chin";" W. -C. Chuang"",""Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology";" Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2015"",""2015"",""26"",""2"",""467"",""477"",""Target detection is one of the most important topics in wireless sensor networks. Many studies in the literature have addressed the problem of evaluating the performance of a sensor network based on detection probability. However, it is difficult to guarantee detection probability in a sensor network since it depends on the topology of the sensor deployment and the location of the target. A sensor network without a careful sensor location arrangement may experience very low detection probability. This paper integrates collaborative fusion and sequential detection to guarantee the quality of the decisions made by a sensor network and analytically derives the average detection latency based on value fusion and decision fusion. Specifically, sensors periodically report their local measurements or decisions to a fusion center. The fusion center makes final decisions only when both the pre-defined false alarm probability and missing probability are satisfied. Otherwise, it will continue to collect data and repeat the decision making operations. Simple and elegant detection rules are provided for the collaborative sequential detection operations. Extensive simulations are conducted to show the performance of a sensor network in terms of detection latency. The correctness of the analytical results for detection latency is also verified by simulations."",""1558-2183"","""",""10.1109/TPDS.2013.292"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6674930"",""Sensor network";sequential detection;fusion;target detection;"detection latency"",""Collaboration";Object detection;Data integration;Detectors;Analytical models;"Noise"","""",""11"","""",""29"",""IEEE"",""25 Nov 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lattice Graphs for High-Scale Interconnection Topologies,""C. Camarero"; C. Martínez;" R. Beivide"",""Electronics and Computers Department, University of Cantabria, Cantabria, Santander, Spain"; Electronics and Computers Department, University of Cantabria, Cantabria, Santander, Spain;" Electronics and Computers Department, University of Cantabria, Cantabria, Santander, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Aug 2015"",""2015"",""26"",""9"",""2506"",""2519"",""Torus networks of moderate degree have been widely used in the supercomputer industry. Tori are superb when used for executing applications that require near-neighbor communications. Nevertheless, they are not so good when dealing with global communications. Hence, typical 3D implementations have evolved to 5D networks, among other reasons, to reduce network distances. Most of these big systems are mixed-radix tori, which are not the best option for minimizing distances and efficiently using network resources. This paper is focused on improving the topological properties of this kind of networks. By using integral matrices to deal with Cayley graphs over Abelian groups, we have been able to propose and analyze a family of high-dimensional mesh-based interconnection networks. As they are built over n-dimensional grids that induce a regular tiling of space, these topologies have been denoted lattice graphs. Higher dimensional networks can be composed over these graphs by means of a lift operation, which is also introduced in the paper. Easy network partitioning and minimal routing algorithm are also provided for these topologies based on this new network operation. Later we focus on cubic crystal lattices for modeling symmetric 3D networks and to show how lattice graphs can help in the design of twisted interconnection networks. In all cases, the networks obtained are better, in topological terms, than their standard tori counterparts. Finally, some practical issues such as implementability and preliminary performance evaluations have been addressed at the end of this work."",""1558-2183"","""",""10.1109/TPDS.2014.2355827"",""Spanish FPU(grant numbers:AP2010-4900)"; Spanish Science and Technology Commission(grant numbers:TIN2010-21291-C02-02,TIN2013-46957-C2-2-P); European Union FP7(grant numbers:ICT-288777,ERC-321253); European HiPEAC Network of Excellence and the JSA(grant numbers:2013-119);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6894180"",""Topologies";graphs;lattices;interconnection networks;tori;"circulant graphs"",""Lattices";Routing;Zinc;Vectors;Three-dimensional displays;Labeling;"Multiprocessor interconnection"","""",""3"","""",""28"",""IEEE"",""8 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Leakage-Aware Cooling Management for Improving Server Energy Efficiency,""M. Zapater"; O. Tuncer; J. L. Ayala; J. M. Moya; K. Vaidyanathan; K. Gross;" A. K. Coskun"",""CEI Campus Moncloa UCM-UPM, Madrid, Spain"; ECE Department, Boston University, Boston, MA; DACYA, Universidad Complutense de Madrid, Madrid, Spain; Electronic Engineering Department, Universidad Politécnica de Madrid, Madrid, Spain; Oracle Physical Sciences Research Center, San Diego, CA; Oracle Physical Sciences Research Center, San Diego, CA;" ECE Department, Boston University, Boston, MA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2764"",""2777"",""The computational and cooling power demands of enterprise servers are increasing at an unsustainable rate. Understanding the relationship between computational power, temperature, leakage, and cooling power is crucial to enable energy-efficient operation at the server and data center levels. This paper develops empirical models to estimate the contributions of static and dynamic power consumption in enterprise servers for a wide range of workloads, and analyzes the interactions between temperature, leakage, and cooling power for various workload allocation policies. We propose a cooling management policy that minimizes the server energy consumption by setting the optimum fan speed during runtime. Our experimental results on a presently shipping enterprise server demonstrate that including leakage awareness in workload and cooling management provides additional energy savings without any impact on performance."",""1558-2183"","""",""10.1109/TPDS.2014.2361519"",""Moncloa Campus of International Excellence (UCM-UPM)"; Spanish Ministry of Economy and Competitivity(grant numbers:TEC2012-33892); Decision Detective Corporation (SBIR);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915867"",""Energy-efficiency";cooling control;leakage power;data centers;Energy-efficiency;cooling control;leakage power;"data centers"",""Servers";Cooling;Power demand;Resource management;Temperature measurement;Temperature dependence;"Mathematical model"","""",""28"","""",""32"",""IEEE"",""3 Oct 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"LEISURE: Load-Balanced Network-Wide Traffic Measurement and Monitor Placement,""C. -W. Chang"; G. Huang; B. Lin;" C. -N. Chuah"",""University of California, San Diego"; University of California, San Diego; University of California, San Diego;" University of California, San Diego"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2015"",""2015"",""26"",""4"",""1059"",""1070"",""Network-wide traffic measurement is of interest to network operators to uncover global network behavior for the management tasks of traffic accounting, debugging or troubleshooting, security, and traffic engineering. Increasingly, sophisticated network measurement tasks such as anomaly detection and security forensic analysis are requiring in-depth fine-grained flow-level measurements. However, performing in-depth per-flow measurements (e.g., detailed payload analysis) is often an expensive process. Given the fast-changing Internet traffic landscape and large traffic volume, a single monitor is not capable of accomplishing the measurement tasks for all applications of interest due to its resource constraint. Moreover, uncovering global network behavior requires network-wide traffic measurements at multiple monitors across the network since traffic measured at any single monitor only provides a partial view and may not be sufficient or accurate. These factors call for coordinated measurements among multiple distributed monitors. In this paper, we present a centralized optimization framework, LEISURE (Load-EqualIzed meaSUREment), for load-balancing network measurement workloads across distributed monitors. Specifically, we consider various load-balancing problems under different objectives and study their extensions to support both fixed and flexible monitor deployment scenarios. We formulate the latter flexible monitor deployment case as an MILP (Mixed Integer Linear Programming) problem and propose several heuristic algorithms to approximate the optimal solution and reduce the computation complexity. We evaluate LEISURE via detailed simulations on Abilene and GEANT network traces to show that LEISURE can achieve much better load-balanced performance (e.g., 4.75× smaller peak workload and 70× smaller variance in workloads) across all coordinated monitors in comparison to a naive solution (uniform assignment) to accomplish network-wide traffic measurement tasks under the fixed monitor deployment scenario. We also show that under the flexible monitor deployment setting, our heuristic solutions can achieve almost the same load-balancing performance as the optimal solution while reducing the computation times by a factor up to 22.5× in Abilene and 800× in GEANT."",""1558-2183"","""",""10.1109/TPDS.2013.188"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573959"",""Load-balancing";"network-wide traffic measurement"",""Monitoring";Routing;IP networks;Optimization;Atmospheric measurements;Particle measurements;"Urban areas"","""",""14"",""1"",""32"",""USGov"",""2 Aug 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Leveraging Parallel Communications for Minimizing Energy Consumption on Smartphones,""M. Conti"; B. Crispo; D. Diodati; J. K. Nurminen; C. M. Pinotti;" T. Teemaa"",""Department of Mathematics, University of Padova, Padova, Italy"; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy; Department of Computer Science, Aalto University, Aalto, Finland; Department of Mathematics and Computer Science, University of Perugia, Perugia, Italy;" Department of Computer Science, Aalto University, Aalto, Finland"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2778"",""2790"",""Recent energy measurements on smartphones have shown that parallel communications (e.g., data transfer and voice call) require less energy than their stand-alone execution. Guided by these results, we investigate the possibility of scheduling communications in pairs for minimizing the energy consumption. We define two energy optimization problems to postpone delay-tolerant services and perform them in parallel with real-time services in order to save energy. The first problem, called single delay-tolerant assignment (SDA), allows at most one delay-tolerant service to be paired with each real-time service, whereas the second problem, called multiple delay-tolerant assignment (MDA), allows multiple delay-tolerant services to be paired (in different times) with the same real-time service. For the SDA problem, we propose an optimal algorithm. For the MDA problem, which is computationally intractable, we give an approximation algorithm. We evaluate the benefits of the energy-efficient pairing strategy via simulations on synthetic traces. The MDA algorithm can save up to the 60 percent of the energy consumption using 4G network assuming an intensive smartphone usage, while the SDA algorithm saves up to the 20 percent."",""1558-2183"","""",""10.1109/TPDS.2014.2360693"",""Marie Curie Fellowship(grant numbers:PCIG11-GA-2012-321980)"; European Commission for the PRISM-CODE; TENACE PRIN Project(grant numbers:20103P34XC); ARS Techno-Media PRIN Project(grant numbers:2010N5K7EB); MIUR;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6912987"",""Energy Saving, Smartphones";Delay-Tolerant Services;Parallel Communications;Measurements;Maximum Weighted Matching;Generalized Assignment Problem;Energy saving;smartphones;delay-tolerant services;parallel communications;measurements;maximum weighted matching;"generalized assignment problem"",""Real-time systems";Smart phones;IEEE 802.11 Standards;Approximation algorithms;Internet;Polynomials;"Energy consumption"","""",""6"","""",""25"",""IEEE"",""29 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"LIBRA: Lightweight Data Skew Mitigation in MapReduce,""Q. Chen"; J. Yao;" Z. Xiao"",""Department of Computer Science at Peking University, Beijing, China"; Department of Computer Science at Peking University, Beijing, China;" Department of Computer Science at Peking University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Aug 2015"",""2015"",""26"",""9"",""2520"",""2533"",""MapReduce is an effective tool for parallel data processing. One significant issue in practical MapReduce applications is data skew: the imbalance in the amount of data assigned to each task. This causes some tasks to take much longer to finish than others and can significantly impact performance. This paper presents LIBRA, a lightweight strategy to address the data skew problem among the reducers of MapReduce applications. Unlike previous work, LIBRA does not require any pre-run sampling of the input data or prevent the overlap between the map and the reduce stages. It uses an innovative sampling method which can achieve a highly accurate approximation to the distribution of the intermediate data by sampling only a small fraction of the intermediate data during the normal map processing. It allows the reduce tasks to start copying as soon as the chosen sample map tasks (only a small fraction of map tasks which are issued first) complete. It supports the split of large keys when application semantics permit and the total order of the output data. It considers the heterogeneity of the computing resources when balancing the load among the reduce tasks appropriately. LIBRA is applicable to a wide range of applications and is transparent to the users. We implement LIBRA in Hadoop and our experiments show that LIBRA has negligible overhead and can speed up the execution of some popular applications by up to a factor of 4."",""1558-2183"","""",""10.1109/TPDS.2014.2350972"",""National High Technology Research and Development Program of China(grant numbers:2013AA013203)"; National Natural Science Foundation of China(grant numbers:61170056);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6882249"",""MapReduce";data skew;sampling;"partitioning"",""Indexes";Parallel processing;Sampling methods;Distributed databases;Approximation methods;Semantics;"Delays"","""",""86"","""",""32"",""IEEE"",""22 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"LockSim: An Event-Driven Simulator for Modeling Spin Lock Contention,""Y. Cui"; Y. Wang; Y. Chen;" Y. Shi"",""CS Department of Columbia University, NY"; Computer Science Department, Tsinghua University, Beijing, China; Computer Science Department, Tsinghua University, Beijing, China;" Department of Computer Technology, Qinghai University, Xining 810016, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""185"",""195"",""Spin lock contention in operating systems can limit scalability on multicore systems so significantly that an increase in the number of cores actually leads to reduced speedup (i.e., scalability collapse). Modeling spin lock contention is an effective way to understand the scalability collapse phenomenon and explore collapse avoidance schemes. However, previous spin lock models have disadvantages in accuracy and efficiency. To overcome these drawbacks, this paper proposes LockSim, an event-driven simulator which models both the sequential execution in lock-protected codes (i.e., critical sections) and shared hardware resource contention caused by the cache coherence protocol. Our simulator is verified against real-world workloads with different degrees of spin lock contention. Experimental results suggest that LockSim can reproduce the scalability collapse phenomenon with better accuracy than previous work. Besides, several metrics are also used to characterize this phenomenon and collapse avoidance methods are investigated."",""1558-2183"","""",""10.1109/TPDS.2014.2308220"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748069"",""Scalability collapse";lock contention;operating systems;event-driven simulator;"multicore"",""Analytical models";Scalability;Protocols;Load modeling;Hardware;Multicore processing;"Accuracy"","""",""2"","""",""21"",""IEEE"",""25 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Loop Optimization for Divergence Reduction on GPUs with SIMT Architecture,""R. Novak"",""Department of Communication Systems, Jožef Stefan Institute, Ljubljana, Slovenia"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2015"",""2015"",""26"",""6"",""1633"",""1642"",""The single-instruction multiple thread (SIMT) architecture that can be found in some latest graphical processing units (GPUs) builds on the conventional single-instruction multiple data (SIMD) parallelism while adopting the thread programming model. The architecture suffers from a degraded performance caused by the inefficient divergence handling, a problem hidden by the programmer's view of independent threads. A loop optimization technique having the potential to increase efficiency of the core SIMD block while processing embedded divergences is investigated here. Concurrent loops are generally not bound to iterate in lock-step, allowing better alignment of thread flows via iteration scheduling. The concept efficiency is analyzed for fixed and flow-adapting scheduling policies. The proposed payoff model captures loop overhead implications, allowing one to assess the tradeoffs of applying the technique to a specific loop instance. Processing speedups can generally be observed in the total running time if kernels are compute-bound, as demonstrated by several examples. The studied iteration scheduling policies do not impose alterations to the core SIMD concept and design, thus preserving the benefits of data level parallelism."",""1558-2183"","""",""10.1109/TPDS.2014.2324587"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6815977"",""Concurrent programming";efficiency analysis;iteration scheduling;multithreaded processors;optimization;"SIMT"",""Schedules";Instruction sets;Dynamic scheduling;Computer architecture;Optimal scheduling;"Graphics processing units"","""",""4"","""",""26"",""OAPA"",""16 May 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Makespan and Energy Robust Stochastic Static Resource Allocation of a Bag-of-Tasks to a Heterogeneous Computing System,""M. A. Oxley"; S. Pasricha; A. A. Maciejewski; H. J. Siegel; J. Apodaca; D. Young; L. Briceño; J. Smith; S. Bahirat; B. Khemka; A. Ramirez;" Y. Zou"",""Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO"; Department of Electrical and Computer Engineering, and the Department of Computer Science, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, and the Department of Computer Science, Colorado State University, Fort Collins, CO; Department of Computer Science, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO; Lagrange Systems, Boulder, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO;" Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2791"",""2805"",""Today’s data centers face the issue of balancing electricity use and completion times of their workloads. Rising electricity costs are forcing data center operators to either operate within an electricity budget or to reduce electricity use as much as possible while still maintaining service agreements. Energy-aware resource allocation is one technique a system administrator can employ to address both problems: optimizing the workload completion time (makespan) when given an energy budget, or to minimize energy consumption subject to service guarantees (such as adhering to deadlines). In this paper, we study the problem of energy-aware static resource allocation in an environment where a collection of independent (non-communicating) tasks (“bag-of-tasks”) is assigned to a heterogeneous computing system. Computing systems often operate in environments where task execution times vary (e.g., due to cache misses or data dependent execution times). We model these execution times stochastically, using probability density functions. We want our resource allocations to be robust against these variations, where we define energy-robustness as the probability that the energy budget is not violated, and  makespan-robustness as the probability a makespan deadline is not violated. We develop and analyze several heuristics for energy-aware resource allocation for both energy-constrained and deadline-constrained problems."",""1558-2183"","""",""10.1109/TPDS.2014.2362921"",""National Science Foundation (NSF)(grant numbers:CNS-0615170,CNS-0905399,CCF-1302693)"; Colorado State University; NSF(grant numbers:CNS-0923386);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6922558"",""Heterogeneous computing";static resource allocation;power-aware computing;DVFS;robustness;Heterogeneous computing;static resource allocation;power-aware computing;DVFS;"robustness"",""Resource management";Robustness;Energy consumption;Electricity;Computational modeling;Power demand;"Random variables"","""",""18"","""",""43"",""IEEE"",""14 Oct 2014"","""","""",""IEEE"",""IEEE Journals"""
