"3D Perception With Slanted Stixels on GPU,""D. Hernandez-Juarez"; A. Espinosa; D. Vazquez; A. M. Lopez;" J. C. Moure"",""SLAMcore Ltd., London, SE1 1JA, U.K."; Universitat Autonoma de Barcelona, Bellaterra, Spain; Element AI, Montreal, QC, Canada; Universitat Autonoma de Barcelona, Bellaterra, Spain;" Universitat Autonoma de Barcelona, Bellaterra, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Apr 2021"",""2021"",""32"",""10"",""2434"",""2447"",""This article presents a GPU-accelerated software design of the recently proposed model of Slanted Stixels, which represents the geometric and semantic information of a scene in a compact and accurate way. We reformulate the measurement depth model to reduce the computational complexity of the algorithm, relying on the confidence of the depth estimation and the identification of invalid values to handle outliers. The proposed massively parallel scheme and data layout for the irregular computation pattern that corresponds to a Dynamic Programming paradigm is described and carefully analyzed in performance terms. Performance is shown to scale gracefully on current generation embedded GPUs. We assess the proposed methods in terms of semantic and geometric accuracy as well as run-time performance on three publicly available benchmark datasets. Our approach achieves real-time performance with high accuracy for 2048 × 1024 image sizes and 4 × 4 Stixel resolution on the low-power embedded GPU of an NVIDIA Tegra Xavier."",""1558-2183"","""",""10.1109/TPDS.2021.3067836"",""Ministerio de Economía, Industria y Competitividad(grant numbers:TIN2017-84553-C2-1-R)"; Antonio M. López(grant numbers:TIN2017-88709-R);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382880"",""Stereo vision";stixel world;autonomous vehicles;scene understanding;computer vision;embedded systems;"GPU acceleration"",""Graphics processing units";Semantics;Computational modeling;Real-time systems;Mathematical model;Image segmentation;"Indexes"","""","""","""",""34"",""CCBY"",""22 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Middleware to Manage Fault Tolerance Using Semi-Coordinated Checkpoints,""A. Wong"; E. Heymann; D. Rexachs;" E. Luque"",""Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain"; Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain; Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain;" Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""21 Aug 2020"",""2021"",""32"",""2"",""254"",""268"",""Compute node failures are becoming a normal event for many long-running and scalable MPI applications. Keeping within the MPI standards and applying some of the methods developed so far in terms of fault tolerance, we developed a methodology that allows applications to tolerate failures through the creation of semi-coordinated checkpoints within the RADIC architecture. To do this, we developed the ULSC2-RADIC middleware that divides the application into independent MPI worlds where each MPI world would correspond to a compute node and make use of the DMTCP checkpoint library in a semi-coordinated environment. We performed experimental results using scientific applications and the NAS Parallel Benchmarks to assess the overhead and also the functionality in case of a node failure. We evaluated the computational cost of the semi-coordinated checkpoints compared with the coordinated checkpoints."",""1558-2183"","""",""10.1109/TPDS.2020.3015615"",""Agencia Estatal de Investigación(grant numbers:TIN2017-84875-P)"; European Regional Development Fund; Fundación Escuelas Universitarias Gimbernat;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9165191"",""Fault tolerance";checkpoint-restart libraries;MPI;"checkpoint scalability"",""Libraries";Middleware;Computer architecture;Standards;Computational efficiency;Fault tolerance;"Fault tolerant systems"","""","""","""",""41"",""IEEE"",""11 Aug 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Minimizing Coflow Completion Time in Optical Circuit Switched Networks,""T. Zhang"; F. Ren; J. Bao; R. Shu;" W. Cheng"",""College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China"; Department of Computer Science and Techonolgy, Tsinghua University, Beijing, China; North Information Control Research Academy Group Company, Ltd, Nanjing, China; Microsoft Research, Beijing, China;" Microsoft Research, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2020"",""2021"",""32"",""2"",""457"",""469"",""Nowadays, optical circuit switching is becoming an increasingly favored technology in scaling data center networks for its definitive advantages in data rate, power consumption, and device cost. Concurrently, reducing coflow completion time (CCT) is of great significance for improving application-level performance. However, minimizing CCT in circuit switched networks is totally different from that in traditional packet switched networks due to port constraints and circuit reconfiguration delays. To address this issue, this article proposes Grouped Optimization-based Scheduling (GOS), a CCT minimization algorithm for circuit switched networks integrating circuit and coflow scheduling. We first formalize the CCT minimization problem into a 0-1 programming problem, then relax and solve the problem in 2 steps to obtain the coflow order and flow grouping decisions on each circuit. Thus intra-group reconfiguration delays are saved, and small coflows can be prioritized at the group level. Theoretical analysis proves GOS is a 4-approximation algorithm in average CCT. To reduce computing overheads, we further propose a heuristic approximation algorithm. Extensive simulations show that the heuristic algorithm has satisfactory CCT performance (0.12× Varys, 0.36× Sunflow) as well as high throughput (16.74× Varys, 1.32× Sunflow), and well adapts to a wide range of reconfiguration delays and algorithm decision time."",""1558-2183"","""",""10.1109/TPDS.2020.3025145"",""National Natural Science Foundation of China(grant numbers:62002165,61872208)"; Natural Science Foundation of Jiangsu Province(grant numbers:SBK2020041090); National Key Research and Development Program of China(grant numbers:2018YFB1700203); Nanjing University of Aeronautics and Astronautics(grant numbers:90YAH19095);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200719"",""Data center";optical circuit switch;coflow completion time;circuit scheduling;"coflow scheduling"",""Optical switches";Switching circuits;Optical packet switching;Scheduling;Data centers;Delays;"Optical fiber networks"","""",""5"","""",""39"",""IEEE"",""18 Sep 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"MO-Tree: An Efficient Forwarding Engine for Spatiotemporal-Aware Pub/Sub Systems,""T. Ding"; S. Qian; J. Cao; G. Xue; Y. Zhu; J. Yu;" M. Li"",""Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China;" College of Mathematics and Computer Science, Zhejiang Normal University, Zhejiang, China"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Dec 2020"",""2021"",""32"",""4"",""855"",""866"",""For large-scale spatiotemporal-aware publish/subscribe systems, it is critical to design an efficient forwarding engine to achieve fast matching and maintenance of events and subscriptions. For this goal, we propose a novel data structure called MO-Tree to index both subscriptions and events in a unified way. The design philosophy behind MO-Tree is to keep the data structure concise, which manifests in three aspects: limiting the height of MO-Tree, trading space for time, and avoiding node merging and splitting. The difficulty in designing MO-Tree is how to efficiently index width-variable intervals. We present a multi-level cell-overlapping partition scheme and build a theoretical model to optimize the cell width in each level. To evaluate the performance of MO-Tree, a series of experiments is conducted on real-world trace datasets. The experiment results show MO-Tree significantly outperforms the state-of-the-art in terms of matching speed and maintenance cost."",""1558-2183"","""",""10.1109/TPDS.2020.3036014"",""National Key R&D Program of China(grant numbers:2018YFB2101100)"; National Natural Science Foundation of China(grant numbers:61772334,61702151); National Natural Science Foundation of China(grant numbers:U1736207);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9250646"",""Spatiotemporal-aware";publish/subscribe;event matching;event maintenance;subscription matching;"subscription maintenance"",""Indexes";Spatiotemporal phenomena;Data structures;Maintenance engineering;Engines;Computational modeling;"Limiting"","""",""5"","""",""26"",""IEEE"",""6 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Model Parallelism Optimization for Distributed Inference Via Decoupled CNN Structure,""J. Du"; X. Zhu; M. Shen; Y. Du; Y. Lu; N. Xiao;" X. Liao"",""School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China"; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China;" School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1665"",""1676"",""It is promising to deploy CNN inference on local end-user devices for high-accuracy and time-sensitive applications. Model parallelism has the potential to provide high throughput and low latency in distributed CNN inference. However, it is non-trivial to use model parallelism as the original CNN model is inherently tightly-coupled structure. In this article, we propose DeCNN, a more effective inference approach that uses decoupled CNN structure to optimize model parallelism for distributed inference on end-user devices. DeCNN is novel consisting of three schemes. Scheme-1 is structure-level optimization. It exploits group convolution and channel shuffle to decouple the original CNN structure for model parallelism. Scheme-2 is partition-level optimization. It is based on channel group to partition the convolutional layers, and then leverages input-based method to partition the fully connected layers, further exposing high degree of parallelism. Scheme-3 is communication-level optimization. It uses inter-sample parallelism to hide communications for better performance and robustness, especially in the weak network connections. We use ImageNet classification task to evaluate the effectiveness of DeCNN on a distributed multi-ARM platform. Notably, when using the number of devices from 1 to 4, DeCNN can accelerate the inference of large-scale ResNet-50 by 3.21×, and reduce 65.3 percent memory footprint, with 1.29 percent accuracy improvement."",""1558-2183"","""",""10.1109/TPDS.2020.3041474"",""National Key R&D Program of China(grant numbers:2018YFB0204303)"; Natural Science Foundation of China(grant numbers:U1811464,62072479,61433019,61802446); Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2016ZT06D211); Guangdong Basic and Application Basic Research Teams(grant numbers:2018B030312002); Fundamental Research Funds for the Central Universities(grant numbers:19lgpy215);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9275375"",""Intelligent applications";distributed deep learning;distributed inference;model parallelism;"decoupled CNN structure"",""Parallel processing";Kernel;Convolution;Computational modeling;Optimization;Performance evaluation;"Task analysis"","""",""9"","""",""36"",""IEEE"",""1 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Modeling and Analyzing Waiting Policies for Cloud-Enabled Schedulers,""P. Ambati"; N. Bashir; D. Irwin;" P. Shenoy"",""University of Massachusetts Amherst, Amherst, MA, USA"; University of Massachusetts Amherst, Amherst, MA, USA; University of Massachusetts Amherst, Amherst, MA, USA;" University of Massachusetts Amherst, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jun 2021"",""2021"",""32"",""12"",""3081"",""3100"",""Cloud platforms have popularized the Infrastructure-as-a-Service (IaaS) purchasing model, which enables users to rent computing resources on demand to execute their jobs. However, buying fixed resources is still much cheaper than renting if their resource utilization is high. Thus, to optimize cost, users must decide how many fixed resources to provision versus rent “on demand” based on their workload. In this article, we introduce the concept of a waiting policy for cloud-enabled schedulers and show that the optimal cost depends on it. The waiting policy explicitly controls how long jobs wait for resources, as jobs never need to wait, since cloud platforms provide the illusion of infinite scalability. A waiting policy is the dual of a scheduling policy: while a scheduling policy determines which jobs should run when fixed resources are available, a waiting policy determines which jobs should wait when fixed resources are not available. We define multiple waiting policies and develop simple and general analytical models to reveal their tradeoff between fixed resource provisioning, cost, and job waiting time. We evaluate the impact of different waiting policies on a real year-long batch workload consisting of 14M jobs run on a 14.3k-core cluster. We show that a compound waiting policy, which forces jobs with long running times or short waiting times to wait for fixed resources, offers the best tradeoff. The policy decreases both the cost (by 5 percent) and mean job waiting time (by 7×) compared to the current cluster, and also decreases the cost (by 43 percent) compared to renting on-demand resources for a modest increase in mean job waiting time (at 1.74 hours)."",""1558-2183"","""",""10.1109/TPDS.2021.3086270"",""National Science Foundation(grant numbers:CNS-1802523,CNS-1908536)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9446629"",""Cloud computing";job scheduling;batch scheduling;"waiting policy"",""Analytical models";Cloud computing;Pricing;Computational modeling;Queueing analysis;Dynamic scheduling;"Resource management"","""",""3"","""",""35"",""IEEE"",""3 Jun 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Modeling and Optimization of Performance and Cost of Serverless Applications,""C. Lin";" H. Khazaei"",""Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada";" Department of Electrical Engineering and Computer Science, York University, Toronto, ON, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Oct 2020"",""2021"",""32"",""3"",""615"",""632"",""Function-as-a-Service (FaaS) and serverless applications have proliferated significantly in recent years because of their high scalability, ease of resource management, and pay-as-you-go pricing model. However, cloud users are facing practical problems when they migrate their applications to the serverless pattern, which are the lack of analytical performance and billing model and the trade-off between limited budget and the desired quality of service of serverless applications. In this article, we fill this gap by proposing and answering two research questions regarding the prediction and optimization of performance and cost of serverless applications. We propose a new construct to formally define a serverless application workflow, and then implement analytical models to predict the average end-to-end response time and the cost of the workflow. Consequently, we propose a heuristic algorithm named Probability Refined Critical Path Greedy algorithm (PRCP) with four greedy strategies to answer two fundamental optimization questions regarding the performance and the cost. We extensively evaluate the proposed models by conducting experimentation on AWS Lambda and Step Functions. Our analytical models can predict the performance and cost of serverless applications with more than 98 percent accuracy. The PRCP algorithms can achieve the optimal configurations of serverless applications with 97 percent accuracy on average."",""1558-2183"","""",""10.1109/TPDS.2020.3028841"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9214428"",""Cloud serverless computing";performance modeling;performance optimization;cost modeling;"cost optimization"",""FAA";Cloud computing;Optimization;Time factors;Analytical models;"Computational modeling"","""",""58"","""",""51"",""IEEE"",""6 Oct 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Multi-Agent Imitation Learning for Pervasive Edge Computing: A Decentralized Computation Offloading Algorithm,""X. Wang"; Z. Ning;" S. Guo"",""Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China"; School of Software, Dalian University of Technology, Dalian, China;" Department of Computing, The Hong Kong Polytechnic University, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Sep 2020"",""2021"",""32"",""2"",""411"",""425"",""Pervasive edge computing refers to one kind of edge computing that merely relies on edge devices with sensing, storage and communication abilities to realize peer-to-peer offloading without centralized management. Due to lack of unified coordination, users always pursue profits by maximizing their own utilities. However, on one hand, users may not make appropriate scheduling decisions based on their local observations. On the other hand, how to guarantee the fairness among different edge devices in the fully decentralized environment is rather challenging. To solve the above issues, we propose a decentrailized computation offloading algorithm with the purpose of minimizing average task completion time in the pervasive edge computing networks. We first derive a Nash equilibrium among devices by stochastic game theories based on the full observations of system states. After that, we design a traffic offloading algorithm based on partial observations by integrating general adversarial imitation learning. Multiple experts can provide demonstrations, so that devices can mimic the behaviors of corresponding experts by minimizing the gaps between the distributions of their observation-action pairs. At last, theoretical and performance results show that our solution has a significant advantage compared with other representative algorithms."",""1558-2183"","""",""10.1109/TPDS.2020.3023936"",""Hong Kong RGC Research Impact Fund(grant numbers:R5060-19)"; General Research Fund(grant numbers:152221/19E); National Natural Science Foundation of China(grant numbers:61872310,61971084,62001073);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9197692"",""Pervasive edge computing";computation offloading;imitation learning;"decentralized execution"",""Edge computing";Task analysis;Performance evaluation;Computational modeling;Games;Processor scheduling;"Cloud computing"","""",""75"","""",""42"",""IEEE"",""15 Sep 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Multi-GPU Design and Performance Evaluation of Homomorphic Encryption on GPU Clusters,""A. Al Badawi"; B. Veeravalli; J. Lin; N. Xiao; M. Kazuaki;" A. Khin Mi Mi"",""A*STAR, Institute for Infocomm Research (I2R), Singapore"; Department of Electrical and Computer Engineering, National University of Singapore, Singapore; A*STAR, Institute for Infocomm Research (I2R), Singapore; A*STAR, Institute for Infocomm Research (I2R), Singapore; Barcelona Supercomputing Center (BSC), Barcelona, Spain;" A*STAR, Institute for Infocomm Research (I2R), Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Sep 2020"",""2021"",""32"",""2"",""379"",""391"",""We present a multi-GPU design, implementation and performance evaluation of the Halevi-Polyakov-Shoup (HPS) variant of the Fan-Vercauteren (FV) levelled Fully Homomorphic Encryption (FHE) scheme. Our design follows a data parallelism approach and uses partitioning methods to distribute the workload in FV primitives evenly across available GPUs. The design is put to address space and runtime requirements of FHE computations. It is also suitable for distributed-memory architectures, and includes efficient GPU-to-GPU data exchange protocols. Moreover, it is user-friendly as user intervention is not required for task decomposition, scheduling or load balancing. We implement and evaluate the performance of our design on two homogeneous and heterogeneous NVIDIA GPU clusters: K80, and a customized P100. We also provide a comparison with a recent shared-memory-based multi-core CPU implementation using two homomorphic circuits as workloads: vector addition and multiplication. Moreover, we use our multi-GPU Levelled-FHE to implement the inference circuit of two Convolutional Neural Networks (CNNs) to perform homomorphically image classification on encrypted images from the MNIST and CIFAR - 10 datasets. Our implementation provides 1 to 3 orders of magnitude speedup compared with the CPU implementation on vector operations. In terms of scalability, our design shows reasonable scalability curves when the GPUs are fully connected."",""1558-2183"","""",""10.1109/TPDS.2020.3021238"",""Agency for Science, Technology and Research(grant numbers:RIE2020)"; Advanced Manufacturing and Engineering(grant numbers:A19E3b0099);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185077"",""Homomorphic encryption";parallel algorithms;multi-GPU clusters;"performance evaluation"",""Graphics processing units";Task analysis;Encryption;Computational modeling;Parallel processing;"Field programmable gate arrays"","""",""20"","""",""47"",""IEEE"",""2 Sep 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Multi-GPU Parallelization of the NAS Multi-Zone Parallel Benchmarks,""M. González";" E. Morancho"",""Computer Architecture Department, Universitat Politècnica de Catalunya - Barcelona Tech, Barcelona, Spain";" Computer Architecture Department, Universitat Politècnica de Catalunya - Barcelona Tech, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""18 Aug 2020"",""2021"",""32"",""1"",""229"",""241"",""GPU-based computing systems have become a widely accepted solution for the high-performance-computing (HPC) domain. GPUs have shown highly competitive performance-per-watt ratios and can exploit an astonishing level of parallelism. However, exploiting the peak performance of such devices is a challenge, mainly due to the combination of two essential aspects of multi-GPU execution. On one hand, the workload should be distributed evenly among the GPUs. On the other hand, communications between GPU devices are costly and should be minimized. Therefore, a trade-of between work-distribution schemes and communication overheads will condition the overall performance of parallel applications run on multi-GPU systems. In this article we present a multi-GPU implementation of NAS Multi-Zone Parallel Benchmarks (which execution alternate communication and computational phases). We propose several work-distribution strategies that try to evenly distribute the workload among the GPUs. Our evaluations show that performance is highly sensitive to this distribution strategy, as the the communication phases of the applications are heavily affected by the work-distribution schemes applied in computational phases. In particular, we consider Static, Dynamic, and Guided schedulers to find a trade-off between both phases to maximize the overall performance. In addition, we compare those schedulers with an optimal scheduler computed offline using IBM CPLEX. On an evaluation environment composed of 2 x IBM Power9 8335-GTH and 4 x GPU NVIDIA V100 (Volta), our multi-GPU parallelization outperforms single-GPU execution from 1.48x to 1.86x (2 GPUs) and from 1.75x to 3.54x (4 GPUs). This article analyses these improvements in terms of the relationship between the computational and communication phases of the applications as the number of GPUs is increased. We prove that Guided schedulers perform at similar level as optimal schedulers."",""1558-2183"","""",""10.1109/TPDS.2020.3015148"",""Ministerio de Ciencia y Tecnología(grant numbers:TIN2015-65316-P)"; Generalitat de Catalunya(grant numbers:2014-SGR-1051);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162505"",""Multi-GPU parallelization";load balancing;static;dynamic;"guided schedulings"",""Benchmark testing";Graphics processing units;Parallel processing;Dynamic scheduling;Performance evaluation;Optimal scheduling;"Load management"","""",""1"","""",""27"",""IEEE"",""7 Aug 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Multi-Hop Multi-Task Partial Computation Offloading in Collaborative Edge Computing,""Y. Sahni"; J. Cao; L. Yang;" Y. Ji"",""Department of Computing, The Hong Kong Polytechnic University, Hong Kong"; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Software Engineering, South China University of Technology, Guangzhou, China;" Information Systems Architecture Research Division, National Institute of Informatics, Tokyo, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Dec 2020"",""2021"",""32"",""5"",""1133"",""1145"",""Collaborative edge computing (CEC) is a recent popular paradigm where different edge devices collaborate by sharing data and computation resources. One of the fundamental issues in CEC is to make task offloading decision. However, it is a challenging problem to solve as tasks can be offloaded to a device at multi-hop distance leading to conflicting network flows due to limited bandwidth constraint. There are some works on multi-hop computation offloading problem in the literature. However, existing works have not jointly considered multi-hop partial computation offloading and network flow scheduling that can cause network congestion and inefficient performance in terms of completion time. This article formulates the joint multi-task partial computation offloading and network flow scheduling problem to minimize the average completion time of all tasks. The formulated problem optimizes several dependent decision variables including partial offloading ratio, remote offloading device, start time of tasks, routing path, and start time of network flows. The problem is formulated as an MINLP optimization problem and shown to be NP-hard. We propose a joint partial offloading and flow scheduling heuristic (JPOFH) that decides partial offloading ratio by considering both waiting times at the devices and start time of network flows. We also do the relaxation of formulated MINLP problem to an LP problem using McCormick envelope to give a lower bound solution. Performance comparison done using simulation shows that JPOFH leads to up to 32 percent improvement in average completion time compared to benchmark solutions which do not make a joint decision."",""1558-2183"","""",""10.1109/TPDS.2020.3042224"",""Research Grants Council(grant numbers:PolyU 15217919)"; RGC Research Impact Fund(grant numbers:R5034-18);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9279235"",""Scheduling and task partitioning";network flow scheduling;collaborative edge computing;"Internet of Things"",""Task analysis";Processor scheduling;Collaboration;Edge computing;Spread spectrum communication;Routing;"Cloud computing"","""",""47"","""",""35"",""IEEE"",""3 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Multi-Queue Request Scheduling for Profit Maximization in IaaS Clouds,""S. Wang"; X. Li; Q. Z. Sheng; R. Ruiz; J. Zhang;" A. Beheshti"",""School of Computer Science and Engineering, Southeast University, Nanjing, China"; School of Computer Science and Engineering, Southeast University, Nanjing, China; Department of Computing, Macquarie University, Sydney, NSW, Australia; Grupo de Sistemas de Optimización Aplicada, Universitat Politècnica de València, Camino de Vera s/n, València, Spain; School of Computer Science and Engineering, Southeast University, Nanjing, China;" Department of Computing, Macquarie University, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""26 May 2021"",""2021"",""32"",""11"",""2838"",""2851"",""In cloud computing, service providers rent heterogeneous servers from cloud providers, i.e., Infrastructure as a Service (IaaS), to meet requests of consumers. The heterogeneity of servers and impatience of consumers pose great challenges to service providers for profit maximization. In this article, we transform this problem into a multi-queue model where the optimal expected response time of each queue is theoretically analyzed. A multi-queue request scheduling algorithm framework is proposed to maximize the total profit of service providers, which consists of three components: request stream splitting, requests allocation, and server assignment. A request stream splitting algorithm is designed to split the arriving requests to minimize the response time in the multi-queue system. An allocation algorithm, which adopts a one-step improvement strategy, is developed to further optimize the response time of the requests. Furthermore, an algorithm is developed to determine the appropriate number of required servers of each queue. After statistically calibrating parameters and algorithm components over a comprehensive set of random instances, the proposed algorithms are compared with the state-of-the-art over both simulated and real-world instances. The results indicate that the proposed multi-queue request scheduling algorithm outperforms the other algorithms with acceptable computational time."",""1558-2183"","""",""10.1109/TPDS.2021.3075254"",""National Key Research and Development Program of China(grant numbers:2017YFB1400800)"; National Natural Science Foundation of China(grant numbers:61872077,61832004); Collaborative Innovation Center of Wireless Communications Technology; Australian Research Council Future Fellowship(grant numbers:FT140101247); Discovery Project(grant numbers:DP180102378); Spanish Ministry of Science, Innovation; OPTEP-Port Terminal Operations Optimization(grant numbers:RTI2018-094940-B-I00);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9415144"",""Profit maximization";consumer impatience;queue;scheduling;"cloud computing"",""Servers";Time factors;Cloud computing;Task analysis;Queueing analysis;Resource management;"Scheduling algorithms"","""",""5"","""",""43"",""IEEE"",""23 Apr 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Mutual Information Driven Federated Learning,""M. P. Uddin"; Y. Xiang; X. Lu; J. Yearwood;" L. Gao"",""Deakin Blockchain Innovation Lab, School of Information Technology, Deakin University, Geelong, VIC, Australia"; Deakin Blockchain Innovation Lab, School of Information Technology, Deakin University, Geelong, VIC, Australia; Deakin Blockchain Innovation Lab, School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia;" Deakin Blockchain Innovation Lab, School of Information Technology, Deakin University, Geelong, VIC, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1526"",""1538"",""Federated Learning (FL) is an emerging research field that yields a global trained model from different local clients without violating data privacy. Existing FL techniques often ignore the effective distinction between local models and the aggregated global model when doing the client-side weight update, as well as the distinction of local models for the server-side aggregation. In this article, we propose a novel FL approach with resorting to mutual information (MI). Specifically, in client-side, the weight update is reformulated through minimizing the MI between local and aggregated models and employing Negative Correlation Learning (NCL) strategy. In server-side, we select top effective models for aggregation based on the MI between an individual local model and its previous aggregated model. We also theoretically prove the convergence of our algorithm. Experiments conducted on MNIST, CIFAR-10, ImageNet, and the clinical MIMIC-III datasets manifest that our method outperforms the state-of-the-art techniques in terms of both communication and testing performance."",""1558-2183"","""",""10.1109/TPDS.2020.3040981"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272656"",""Distributed learning";federated learning;parallel optimization;data parallelism;information theory;mutual information;communication bottleneck;"data heterogeneity"",""Data models";Training;Computational modeling;Servers;Mathematical model;Convergence;"Analytical models"","""",""12"","""",""35"",""IEEE"",""26 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
