"Memory-Efficient and Skew-Tolerant MapReduce Over MPI for Supercomputing Systems,""T. Gao"; Y. Guo; B. Zhang; P. Cicotti; Y. Lu; P. Balaji;" M. Taufer"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA; NVIDIA, San Diego, USA; National Supercomputing Center in Guangzhou, China; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA;" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2020"",""2020"",""31"",""12"",""2734"",""2748"",""Data analytics has become an integral part of large-scale scientific computing. Among various data analytics frameworks, MapReduce has gained the most traction. Although some efforts have been made to enable efficient MapReduce for supercomputing systems, they are often limited to fairly homogeneous workloads where equal partitioning of input data across tasks results in essentially equal output or temporary data generated on each task. For workloads that are more skewed, however, current implementations can result in imbalance in memory usage and, consequently, can cause a slowdown in execution time and a loss in data scalability. To tackle this problem, we enhance a previously published memory-conscious MapReduce over MPI framework called Mimir. Our enhancements to Mimir include combiner and dynamic repartition optimizations to minimize and balance memory usage and to achieve close to optimal balance of the memory usage across processes and to reduce the execution time by up to 12 times. Experimental results show that Mimir can scale to at least 3072 processes on the Tianhe-2 supercomputer on skewed datasets."",""1558-2183"","""",""10.1109/TPDS.2019.2932066"",""U.S. Department of Energy(grant numbers:DE-AC02-06CH11357)"; National Science Foundation(grant numbers:#1318445,#1318417,#1841758); National Key R&D Project in China(grant numbers:2016YFB1000302); National Natural Science Foundation of China(grant numbers:U1611261,NSFC61402503); Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2016ZT06D211); China Scholarship Council; National Science Foundation(grant numbers:ACI-1053575);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103270"",""Skew mitigation";load balancing;high-performance computing;data analytics;MapReduce;memory efficiency;"performance and scalability"",""Supercomputers";Data models;Optimization;Programming;Operating systems;Aggregates;"Data analysis"","""",""4"","""",""38"",""CCBY"",""28 May 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Lock-Free Parallelization for Variance-Reduced Stochastic Gradient Descent on Streaming Data,""Y. Peng"; Z. Hao;" X. Yun"",""Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China"; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China;" Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 May 2020"",""2020"",""31"",""9"",""2220"",""2231"",""Stochastic Gradient Descent (SGD) is an iterative algorithm for fitting a model to the training dataset in machine learning problems. With low computation cost, SGD is especially suited for learning from large datasets. However, the variance of SGD tends to be high because it uses only a single data point to determine the update direction at each iteration of gradient descent, rather than all available training data points. Recent research has proposed variance-reduced variants of SGD by incorporating a correction term to approximate full-data gradients. However, it is difficult to parallelize such variants with high performance and accuracy, especially on streaming data. As parallelization is a crucial requirement for large-scale applications, this article focuses on the parallel setting in a multicore machine and presents LFS-STRSAGA, a lock-free approach to parallelizing variance-reduced SGD on streaming data. LFS-STRSAGA embraces a lock-free data structure to process the arrival of streaming data in parallel, and asynchronously maintains the essential information to approximate full-data gradients with low cost. Both our theoretical and empirical results show that LFS-STRSAGA matches the accuracy of the state-of-the-art variance-reduced SGD on streaming data under sparsity assumption (common in machine learning problems), and that LFS-STRSAGA reduces the model update time by over 98 percent."",""1558-2183"","""",""10.1109/TPDS.2020.2987867"",""National Natural Science Foundation of China(grant numbers:61702499)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9068443"",""Gradient descent methods";machine learning;parallel computing;multicore;"streaming data"",""Computational modeling";Machine learning;Data models;Training data;Multicore processing;Training;"Mathematical model"","""",""6"","""",""30"",""IEEE"",""15 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Low-Cost Datacenter Load Balancing With Multipath Transport and Top-of-Rack Switches,""E. Dong"; X. Fu; M. Xu;" Y. Yang"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Institute of Computer Science, University of Goettingen, Goettingen, Germany; Department of Computer Science and Technology, Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China;" Department of Computer Science and Technology, Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""8 May 2020"",""2020"",""31"",""10"",""2232"",""2247"",""Load balancing in datacenter networks (DCNs) is an important and challenging task for datacenter managers. A number of sophisticated technologies have been proposed to improve load balancing performance in a complicated circumstance, i.e., with various traffic characteristics. Many approaches need a high cost to implement, such as changing switch hardware. The efficiency problem has not been well addressed. MPTCP was proposed as a low-cost approach to improve data transmission in DCNs, which uses subflows to balance workloads across multiple paths. However, current MPTCP is not satisfying, especially when there are rack-local flows or many-to-one short flows. In this article, we propose DCMPTCP to improve the efficacy of MPTCP. We gradually develop three mechanisms. First, DCMPTCP identifies rack-local traffic and eliminates unnecessary subflows to reduce the overhead. Second, DCMPTCP estimates flow length and establishes subflows in a smarter way. Third, DCMPTCP strengthens explicit congestion notification to improve the congestion control performance on inter-rack many-to-one short flows. We have implemented DCMPTCP in both the Linux kernel and ns-3 simulator. Our comprehensive testbed experiments and simulations show that DCMPTCP outperforms MPTCP in both 1 Gbps testbed, and 10 Gbps large-scale simulation network."",""1558-2183"","""",""10.1109/TPDS.2020.2989441"",""National Natural Science Foundation of China(grant numbers:61625203,61832013)"; National Key R&D Program of China(grant numbers:2017YFB0801701);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9076326"",""Datacenter networks";multipath TCP;load balancing;network protocols;"network communications"",""Load management";Throughput;Computer science;Hardware;Data communication;Servers;"Bandwidth"","""",""7"","""",""55"",""IEEE"",""22 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Making Application-Level Crash Consistency Practical on Flash Storage,""D. H. Kang"; C. Min; S. -W. Lee;" Y. I. Eom"",""Department of Computer Engineering, Dongguk University-Gyeongju, Gyeongju, South Korea"; Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, USA; College of Computing, Sungkyunkwan University, Suwon, South Korea;" College of Computing, Sungkyunkwan University, Suwon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2020"",""2020"",""31"",""5"",""1009"",""1020"",""We present the design, implementation, and evaluation of a new file system, called ACCFS, supporting application-level crash consistency as its first-class citizen functionality. With ACCFS, application data can be correctly recovered in the event of system crashes without any complex update protocol at the application level. With the help of the SHARE interface supporting atomic address remapping at the flash storage layer, ACCFS can easily and efficiently achieve crash consistency as well as single-write journaling. We prototyped ACCFS by slightly modifying the full data journal mode in ext4, implemented the SHARE interface as firmware in a commercial SSD available in the market, and carried out various experiments by running ACCFS on top of the SSD. Our preliminary experimental results are very promising. For instance, the performance of an OLTP benchmark using MySQL/InnoDB engine can be boosted by more than 2-6x by offloading the responsibility of guaranteeing the atomic write of MySQL data pages from the InnoDB engine's own journaling mechanism to ACCFS. This impressive performance gain is in part due to the single-write journaling in ACCFS and in part comes from the fact that the frequent fsync() calls caused by the complex update protocol at the application level can be avoided. ACCFS is a practical solution for the crash consistency problem in that (1) the SHARE interface can be, like the TRIM command, easily supported by commercial SSDs, (2) it can be embodied with a minor modification on the existing ext4 file system, and (3) the existing applications can be made crash consistent simply by opening files in O_ATOMIC mode while the legacy applications can be run without any change."",""1558-2183"","""",""10.1109/TPDS.2019.2959305"",""Institute for Information and communications Technology Promotion(grant numbers:IITP-2015-0-00284)"; NVRam Based High Performance Open Source DBMS Development(grant numbers:2015-0-00314);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936358"",""File system-level consistency";application-level consistency;flash storage device;"address remapping"",""Computer crashes";Engines;Databases;Protocols;Atomic layer deposition;Benchmark testing;"Metadata"","""",""3"","""",""39"",""IEEE"",""18 Dec 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Massively Scaling Seismic Processing on Sunway TaihuLight Supercomputer,""Y. Hu"; H. Yang; Z. Luan; L. Gan; G. Yang;" D. Qian"",""State Key Laboratory of Software Development Environment, Beihang University, Beijing, China"; State Key Laboratory of Software Development Environment, Beihang University, Beijing, China; Sino-German Joint Software Institute, School of Computer Science and Engineering, Beihang University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China;" Sino-German Joint Software Institute, School of Computer Science and Engineering, Beihang University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2020"",""2020"",""31"",""5"",""1194"",""1208"",""Common Midpoint (CMP) and Common Reflection Surface (CRS) are widely used methods for improving the signal-to-noise ratio in the field of seismic processing. These methods are computationally intensive and require high-performance computing. This article optimizes these methods on the Sunway many-core architecture and implements large-scale seismic processing on the Sunway Taihulight supercomputer. We propose the following three optimization techniques: 1) we propose a software cache method to reduce the overhead of memory accesses, and share data among CPEs via the register communication"; 2) we re-design the semblance calculation procedure to further reduce the overhead of memory accesses;" 3) we propose a vectorization method to improve the performance when processing the small volume of data within short loops. The experimental results show that our implementations of CMP and CRS methods on Sunway achieve 3.50× and 3.01× speedup on average compared to the-state-of-the-art implementations on CPU. In addition, our implementation is capable to run on more than one million cores of Sunway TaihuLight with good scalability."",""1558-2183"","""",""10.1109/TPDS.2019.2962395"",""National Key R&D Program of China(grant numbers:2016YFB1000503,2016YFB0200100)"; National Natural Science Foundation of China(grant numbers:61502019,61732002); State Key Laboratory of Software Development Environment(grant numbers:SKLSDE-2018ZX-19); Center for High Performance Computing and System Simulation; Pilot National Laboratory for Marine Science and Technology;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943329"",""Many-core architecture";sunway taihulight;seismic processing;common midpoint;common reflection surface;"performance optimization"",""Computer architecture";Software;Surface treatment;Stacking;Acceleration;Supercomputers;"Optimization"","""",""7"","""",""31"",""IEEE"",""25 Dec 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"MEMPHA: Model of Exascale Message-Passing Programs on Heterogeneous Architectures,""S. Z. Koohi"; N. A. W. A. Hamid; M. Othman;" G. Ibragimov"",""Department of Communication Technology and Network, Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Seri Kembangan, Malaysia"; Department of Communication Technology and Network, Faculty of Computer Science and Information Technology, Institute for Mathematical Research, Universiti Putra Malaysia, Seri Kembangan, Malaysia; Department of Communication Technology and Network, Faculty of Computer Science and Information Technology, Institute for Mathematical Research, Universiti Putra Malaysia, Seri Kembangan, Malaysia;" Department of Mathematics, Faculty of Science, Universiti Putra Malaysia, Seri Kembangan, Malaysia"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jun 2020"",""2020"",""31"",""11"",""2570"",""2581"",""Delivering optimum performance on a parallel computer is highly dependant on the efficiency of the scheduling and mapping procedure. If the composition of the parallel application is known a prior, the mapping can be accomplished statically on the compilation time. The mapping algorithm uses the model of the parallel application and maps its tasks to processors in a way to minimize the total execution time. In this article, current modeling approaches have discussed. Later, a new modeling schema named Model of Exascale Message-Passing Programs on Heterogeneous Architectures (MEMPHA) has proposed. A comparative study has been performed between MEMPHA and existing models. To exhibit the efficiency of the MEMPHA, experiments have performed on a set of data-set hypergraphs. The results obtained from the experiments show that deploying the MEMPHA helps to optimize metrics, including the congestion, total communication volume and maximum volume of data being sent or received. These improvements vary from 76 to 1 percent, depending on the metric and benchmark model. Moreover, MEMPHA supports the modeling of applications with multiple producers for a single data transmission, where the rest of the approaches fail."",""1558-2183"","""",""10.1109/TPDS.2020.2995867"",""Universiti Putra Malaysia(grant numbers:GP/2017/9569600)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096589"",""Parallel models";scheduling and task partitioning;heterogeneous (hybrid) systems;"modelling and prediction"",""Task analysis";Computational modeling;Mathematical model;Computer architecture;Program processors;Parallel processing;"Measurement"","""",""2"","""",""41"",""IEEE"",""19 May 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Millimeter-Scale and Billion-Atom Reactive Force Field Simulation on Sunway Taihulight,""P. Gao"; X. Duan; T. Zhang; M. Zhang; B. Schmidt; X. Zhang; H. Sun; W. Zhang; L. Gan; W. Xue; H. Fu; W. Liu;" G. Yang"",""School of Software, Shandong University, Jinan, China"; School of Software, Shandong University, Jinan, China; School of Software, Shandong University, Jinan, China; School of Software, Shandong University, Jinan, China; Institute for Computer Science, Johannes Gutenberg University, Mainz, Germany; Materials Genome Institute, Shanghai University, Shanghai, China; Materials Genome Institute, Shanghai University, Shanghai, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Earth System Science, Ministry of Education Key Laboratory for Earth System Modeling, Tsinghua University, Beijing, China; School of Software, Shandong University, Jinan, China;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Jul 2020"",""2020"",""31"",""12"",""2954"",""2967"",""Large-scale molecular dynamics (MD) simulations on supercomputers play an increasingly important role in many research areas. With the capability of simulating charge equilibration (QEq), bonds and so on, Reactive force field (ReaxFF) enables the precise simulation of chemical reactions. Compared to the first principle molecular dynamics (FPMD), ReaxFF has far lower requirements on computational resources so that it can achieve higher efficiencies for large-scale simulations. In this article, we present our efforts on scaling ReaxFF on the Sunway TaihuLight Supercomputer (TaihuLight). We have carefully redesigned the force analysis and neighbor list building steps. By applying fine-grained optimizations we gain better single process performance. For the many-body interactions, we propose an isolated computation and update strategy and implement inverse trigonometric functions. For QEq, we implement a pipelined conjugate gradient (CG) approach to achieving better scalability. Furthermore, we reorganize the data layout and implement the update operation based on data locality in ReaxFF. Our experiments show that this approach can simulate chemical reactions with 1,358,954,496 atoms using 4,259,840 cores with a performance of 0.015 ns/day. To our best knowledge, this is the first realization of chemical reaction simulation with a millimeter-scale force field."",""1558-2183"","""",""10.1109/TPDS.2020.3008499"",""National Natural Science Foundation of China(grant numbers:61972231,U1806205,51761135015,U1839206)"; Key Project of Joint Fund of Shandong Province(grant numbers:ZR2019LZH007); Shenzhen Basic Research Fund(grant numbers:JCYJ20180507182818013); Center for High Performance Computing and System Simulation, Pilot National Laboratory for Marine Science and Technology;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138781"",""High performance computing";molecular dynamics;computational science;"Sunway TaihuLight Supercomputer (TaihuLight)"",""Computational modeling";Force;Supercomputers;Chemicals;Dynamics;Mathematical model;"Multicore processing"","""",""12"","""",""33"",""IEEE"",""10 Jul 2020"","""","""",""IEEE"",""IEEE Journals""";;;
"Minimizing Tardiness for Data-Intensive Applications in Heterogeneous Systems: A Matching Theory Perspective,""K. Xu"; L. Lv; T. Li; M. Shen; H. Wang;" K. Yang"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Protocol Research Lab, Huawei, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; Department of Computer Science and Engineering, University of Minnesota at Duluth, Duluth, USA;" School of Computer Science and Electronic Engineering, University of Essex, Colchester, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Dec 2019"",""2020"",""31"",""1"",""144"",""158"",""The increasing data requirements of Internet applications have driven a dramatic surge in developing new programming paradigms and complex scheduling algorithms to handle data-intensive workloads. Due to the expanding volume and the variety of such flows, their raw data are often processed on Intermediate Processing Nodes (IPNs) before being sent to servers. However, the intermediate processing constraint is rarely considered in existing flow computing models. This paper aims to minimize the tardiness of data-intensive applications in the presence of intermediate processing constraint. Motivating cases show that the tardiness is affected by both IPN locations and flow dispatching strategies. Based on the observation that dispatching flows to IPNs is essentially building a matching between flows and IPNs, a novel solution is proposed based on matching theory. In the deployment phase, a tardiness-aware deferred acceptance algorithm is developed to optimize IPN locations. In the operation phase, the Power-of-D paradigm and matching theory are combined together to dispatch flows efficiently. Evaluation results show that our solution effectively minimizes the total tardiness of data-intensive applications in heterogeneous systems."",""1558-2183"","""",""10.1109/TPDS.2019.2930992"",""National Key R&D Program of China(grant numbers:2018YFB0803405)"; China National Funds for Distinguished Young Scientists(grant numbers:61825204); National Natural Science Foundation of China(grant numbers:61602039); Natural Science Foundation of Beijing Municipality(grant numbers:4192050); CCF-Tencent Open Fund WeBank; UK EPSRC Project NIRVANA(grant numbers:EP/L026031/1);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8772187"",""Heterogeneous system";data-intensive application;matching theory;"power-of-D"",""Routing";Delays;Dispatching;Cameras;Relays;"Job shop scheduling"","""",""11"","""",""69"",""IEEE"",""25 Jul 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Minority Disk Failure Prediction Based on Transfer Learning in Large Data Centers of Heterogeneous Disk Systems,""J. Zhang"; K. Zhou; P. Huang; X. He; M. Xie; B. Cheng; Y. Ji;" Y. Wang"",""Key Laboratory of Information Storage System, Intelligent Cloud Storage Joint Research Center, Wuhan National Laboratory for Optoelectronics (Huazhong University of Science and Technology), Huazhong University of Science and Technology, Wuhan, China"; Key Laboratory of Information Storage System, Intelligent Cloud Storage Joint Research Center, Wuhan National Laboratory for Optoelectronics (Huazhong University of Science and Technology), Huazhong University of Science and Technology, Wuhan, China; Temple University, Philadelphia, USA; Temple University, Philadelphia, USA; Tencent Inc., Shenzhen, China; Tencent Inc., Shenzhen, China; Tencent Inc., Shenzhen, China;" Tencent Inc., Shenzhen, China"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2020"",""2020"",""31"",""9"",""2155"",""2169"",""The storage system in large scale data centers is typically built upon thousands or even millions of disks, where disk failures constantly happen. A disk failure could lead to serious data loss and thus system unavailability or even catastrophic consequences if the lost data cannot be recovered. While replication and erasure coding techniques have been widely deployed to guarantee storage availability and reliability, disk failure prediction is gaining popularity as it has the potential to prevent disk failures from occurring in the first place. Recent trends have turned toward applying machine learning approaches based on disk SMART attributes for disk failure predictions. However, traditional machine learning (ML) approaches require a large set of training data in order to deliver good predictive performance. In large-scale storage systems, new disks enter gradually to augment the storage capacity or to replace failed disks, leading storage systems to consist of small amounts of new disks from different vendors and/or different models from the same vendor as time goes on. We refer to this relatively small amount of disks as minority disks. Due to the lack of sufficient training data, traditional ML approaches fail to deliver satisfactory predictive performance in evolving storage systems which consist of heterogeneous minority disks. To address this challenge and improve the predictive performance for minority disks in large data centers, we propose a minority disk failure prediction model named TLDFP based on a transfer learning approach. Our evaluation results in two realistic datasets have demonstrated that TLDFP can deliver much more precise results and lower additional maintenance cost, compared to four popular prediction models based on traditional ML algorithms and two state-of-the-art transfer learning methods."",""1558-2183"","""",""10.1109/TPDS.2020.2985346"",""National Natural Science Foundation of China(grant numbers:61821003)"; National Basic Research Program of China (973 Program)(grant numbers:2016YFB0800402); National Science Foundation(grant numbers:CCF-1717660,CCF-1813081);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057467"",""Disk failure";machine learning;transfer learning;cloud computing;"data center"",""Data centers";Servers;Data models;Predictive models;Training data;Support vector machines;"Reliability"","""",""20"","""",""52"",""IEEE"",""6 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Modeling Analysis and Cost-Performance Ratio Optimization of Virtual Machine Scheduling in Cloud Computing,""B. Wan"; J. Dang; Z. Li; H. Gong; F. Zhang;" S. Oh"",""Department of Computer Science and Technology, Xidian University, Xi'an, China"; Department of Computer Science and Technology, Xidian University, Xi'an, China; Key Laboratory of Hunan Province for Internet of Things and Information Security and College of Information Engineering, Xiangtan University, Xiangtan, China; College of Mathematics and Statistics, Changsha University of Science and Technology, Changsha, China; DEKE Lab, School of Information, Renmin University of China, Beijing, China;" Department of Computer and Information Engineering, Ajou University, Suwon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Feb 2020"",""2020"",""31"",""7"",""1518"",""1532"",""As an essential feature of cloud computing, dynamic scalability enables the cloud system to dynamically expand or shrink resources according to user needs at runtime. Effectively predicting and optimizing the cost and performance of cloud computing platforms have become one of the key research challenges in the field of cloud computing. In this article, to quantitatively predict the cost and performance of cloud computing platforms, we propose a cloud computing resource analysis model considering both hot/cold startup and hot/cold shutdown of virtual machines (VMs), and use the M/M/N/oo queuing model to analyze cloud computing platform and acquire accurate performance indicators, such as elasticity indicators, cost indicators, performance indicators, cost-performance ratios, etc. In addition, we establish a multi-objective optimization model to optimize both performance and cost of cloud computing platform. Then the optimal stopping and cost-performance optimization algorithm are applied to obtain the optimal configurations, including the number of hot startup VMs, the system service rate, the hot/cold startup rate of VMs, and the hot/cold shutdown rate. By comparing with existing optimization methods, we demonstrate the superiority of our cost-performance ratio optimization method."",""1558-2183"","""",""10.1109/TPDS.2020.2968913"",""Science and Technology Projects of Xi'an, China(grant numbers:201809170CX11JC12)"; National Natural Science Foundation of China(grant numbers:61972302); Key Research and Development Program of Shanxi Provence(grant numbers:2017ZDXM-GY-002); Hunan Provincial Natural Science Foundation of China for Distinguished Young Scholars(grant numbers:2018JJ1025); Hunan Science and Technology Planning(grant numbers:2019RS3019); National Key Research and Development Program of China Stem Cell and Translational Research(grant numbers:2018YFB1003702);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967018"",""Cloud computing";queuing system;"cost-performance ratio optimization"",""Cloud computing";Optimization;Computational modeling;Analytical models;Task analysis;Queueing analysis;"Elasticity"","""",""15"","""",""43"",""IEEE"",""23 Jan 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"NVGraph: Enforcing Crash Consistency of Evolving Network Analytics in NVMM Systems,""S. Lim"; T. Coy; Z. Lu; B. Ren;" X. Zhang"",""School of Computer Science and Engineering, Washington State University, Vancouver, USA"; School of Computer Science and Engineering, Washington State University, Vancouver, USA; School of Computer Science and Engineering, Washington State University, Vancouver, USA; Department of Computer Science, College of William and Mary, Williamsburg, USA;" School of Computer Science and Engineering, Washington State University, Vancouver, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Jan 2020"",""2020"",""31"",""6"",""1255"",""1269"",""Many complex networks can be modeled as evolving graphs. Existing in-memory graph data structures are designed for DRAM. Thus, they cannot effectively exploit the current and ongoing adoption of emerging non-volatile main memory (NVMM) for two reasons. (1) Ephemeral graph data structures are not crash-consistent for NVMM. (2) NVMM writes and reads and may incur higher latency than DRAM. In this article, we propose a novel persistent evolving graph data structure, named NVGRAPH, for both computing and in-memory storage of evolving graphs in NVMM. We devise NVGRAPH as a multi-version data structure, wherein a minimum of one version of its data is stored in NVMM to provide the desired durability at runtime for failure recovery, and another version is stored in both DRAM and NVMM to reduce the NVMM-induced memory latency. NVGRAPH is also a partitioned data structure. We dynamically transform the layout of NVGRAPH (e.g., changing the size of its partition in DRAM) exploiting network properties and data access patterns of workloads. For the evaluation of NVGRAPH, we implement four representative real-world graph applications: pagerank, BFS, influence maximization, and rumor source detection. The experimental results show that the performance of NVGRAPH is comparable to other in-memory data structure (e.g., CSR and LLAMA) while using 70 percent less DRAM. It scales well up to 10 billion edges and 201 snapshots and supports crash consistency. It offers up to the 21X speedup of execution time compared to the scale-up graph computation approaches (e.g., GraphChi and X-stream)."",""1558-2183"","""",""10.1109/TPDS.2020.2965452"",""National Science Foundation(grant numbers:CNS-1906541)"; DoE Electricity Industry Technology and Practices Innovation Challenge Award; WSU Vancouver Research;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955949"",""Evolving graphs";crash consistency;non-volatile main memory;"graph layout transformation"",""Nonvolatile memory";Random access memory;Computer crashes;Runtime;Layout;"Arrays"","""",""3"","""",""75"",""IEEE"",""10 Jan 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"On Fault-Tolerant Bin Packing for Online Resource Allocation,""C. Li";" X. Tang"",""MOE Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, China";" School of Computer Science and Engineering, Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2020"",""2020"",""31"",""4"",""817"",""829"",""We study an online fault-tolerant bin packing problem that models reliable resource allocation. In this problem, each item is replicated and has f + 1 replicas including one primary and f standbys. The packing of items is required to tolerate up to f faulty bins, i.e., to guarantee that at least one correct replica of each item is available regardless of which f bins turn to be faulty. Any feasible packing algorithm must satisfy an exclusion constraint and a space constraint. The exclusion constraint is generalized from the fault tolerance requirement and the space constraint comes from the capacity planning. The target of bin packing is to minimize the number of bins used. We first derive a lower bound on the number of bins needed by any feasible packing algorithm. We then study three heuristic algorithms named mirroring, shifting and mixing under a particular setting where all items have the same size. The mirroring algorithm has a low utilization of the bin capacity. Compared with the mirroring algorithm, the shifting algorithm requires fewer bins. However, in online packing, the process of opening bins by the shifting algorithm is not smooth. It turns out that even for packing a few items, the shifting algorithm needs to quickly open a large number of bins. The mixing algorithm adopts a dual average strategy to gradually open new bins for incoming items. We prove that the mixing algorithm is feasible and show that it balances the number of bins used and the process of opening bins. Finally, to pack items with different sizes, we extend the mirroring algorithm by adopting the First-Fit strategy and extend both the shifting and mixing algorithms by involving the harmonic strategy. The asymptotic competitive ratios of the three extended algorithms are analyzed respectively."",""1558-2183"","""",""10.1109/TPDS.2019.2948327"",""Singapore MOE Academic Research Fund(grant numbers:2013-T1-002-123,2018-T1-002-063)"; National Natural Science Foundation of China(grant numbers:61902063); Natural Science Foundation of Jiangsu Province(grant numbers:BK20190342);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8877781"",""Fault-tolerance";bin packing;heuristic;"online"",""Fault tolerance";Fault tolerant systems;Servers;Resource management;Heuristic algorithms;"Switches"","""",""7"","""",""21"",""IEEE"",""21 Oct 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
