"Exploiting lookahead in parallel simulation,""Y. . -B. Lin";" E. D. Lazowska"",""Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA";" Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""457"",""469"",""Lookahead is the ability of a process to predict its future behavior. The feasibility of implicit lookahead for non-FCFS stochastic queuing systems is demonstrated. Several lookahead exploiting techniques are proposed for round-robin (RR) system simulations. An algorithm that generates lookahead in O(1) time is described. Analytical models and experiments are constructed to evaluate these techniques. A lookahead technique for preemptive priority (PP) systems is evaluated using an analytical model. The performance metric for these techniques is the lookahead ratio, which is correlated with other performance measures of more direct interest, such as speedup. The analyses show that using implicit lookahead can significantly improve the lookahead ratios of RR and PP system simulations.<>"",""1558-2183"","""",""10.1109/71.80174"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80174"","""",""System recovery";Analytical models;Discrete event simulation;Stochastic systems;Algorithm design and analysis;Round robin;Sea measurements;Velocity measurement;Predictive models;"Oceans"","""",""36"",""1"",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Exploiting parallelism across program execution: a unification technique and its analysis,""V. Rego";" A. P. Mathur"",""Department of Computer Sciences, Purdue University, West Lafayette, IN, USA";" Department of Computer Sciences, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""399"",""414"",""A new technique for source-to-source transformation of sequential programs is described. It is shown that the transformed programs so generated provide significant speedups over the original program on vector processors and vector multiprocessors. The parallelism that arises when multiple instances of a program are executed on simultaneously available data sets is exploited. This is in contrast to the existing approaches that aim at detecting parallelism within a program. The analytic model is used to prove the optimality of the complete first policy for block selection for a class of program graphs known as nonregressive graphs. Analytic and simulation models of the technique clearly indicate the speedups that could be achieved when several data sets are available simultaneously, as is the case in many fields of interest.<>"",""1558-2183"","""",""10.1109/71.80170"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80170"","""",""Parallel processing";Processor scheduling;Monte Carlo methods;Analytical models;Statistical analysis;Software testing;Program processors;Concurrent computing;Delay;"Parallel machines"","""",""11"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Hardware support for interprocess communication,""U. Ramachandran"; M. Solomon;" M. K. Vernon"",""School of Information and Computer Science, Georgia Institute of Technology, Atlanta, GA, USA"; Department of Computer Science, University of Wisconsin, Madison, Madison, WI, USA;" Department of Computer Science, University of Wisconsin, Madison, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""318"",""329"",""The use of a special-purpose coprocessor for supporting message passing is proposed. An actual message-based operating system is partitioned into computation and communication parts, executing, respectively, on a host and a message coprocessor which interact through shared queues. Its performance is measured on a multiprocessor. Hardware support in the form of a special-purpose smart bus and smart shared memory is designed. The benefits of these components are demonstrated through analytical modeling using generalized timed Petri nets. The analysis shows good agreement with experimental results and indicates that substantial benefits may be obtained when the software is partitioned between host and the message coprocessor and when a small amount of special-purpose hardware is added.<>"",""1558-2183"","""",""10.1109/71.80159"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80159"","""",""Hardware";Operating systems;Kernel;Message passing;Computer architecture;Costs;Bandwidth;Coprocessors;Petri nets;"Local area networks"","""",""16"",""2"",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Hypertool: a programming aid for message-passing systems,""M. . -Y. Wu";" D. D. Gajski"",""Department of Computer Science, Yale University, New Heaven, CT, USA";" Department of Information and Computer Science, University of California, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""330"",""343"",""Programming assistance, automation concepts, and their application to a message-passing system program development tool called Hypertool are discussed. Hypertool performs scheduling and handles the communication primitive insertion automatically, thereby increasing productivity and eliminating synchronization errors. Two algorithms, based on the critical-path method, are presented for scheduling processes statically. Hypertool also generates the performance estimates and other program quality measures to help programmers improve their algorithms and programs.<>"",""1558-2183"","""",""10.1109/71.80160"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80160"","""",""Programming profession";Processor scheduling;Computer science;Parallel processing;Automation;Scheduling algorithm;Partitioning algorithms;Multiprocessing systems;System recovery;"Data mining"","""",""479"",""7"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Implementing location independent invocation,""A. P. Black";" Y. Artsy"",""Distributed Systems Advanced Development Group of Digital Equipment Corporation, Littleton, MA, USA";" Distributed Systems Advanced Development Group of Digital Equipment Corporation, Littleton, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""107"",""119"",""The problems of finding objects in large and wide-area networks where objects may change their location in volatile memory as well as on stable storage are presented. The authors discuss possible solutions and describe those adopted in the Hermes system (a corporate wide, real life office application). They have designed and developed a location-independent-invocation (LII) mechanism that combines finding with invocation, using temporal location information. The mechanism also updates the system's knowledge of an object's location as a side-effect of invocation and object migration. Assumptions about object mobility indicate that objects are likely to be found within a few propagations of an invocation. If they cannot be found in this way, stable-storage and name services are used to locate the object. The major contribution of this work is to show how LII can be achieved in a large and dynamic environment in which objects are supported by neither are operating system nor the programming language.<>"",""1558-2183"","""",""10.1109/71.80129"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80129"","""",""Network servers";File servers;Operating systems;Buildings;Prototypes;Large-scale systems;Programming profession;Protocols;"Data structures"","""",""19"",""4"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"IPS-2: the second generation of a parallel program measurement system,""B. P. Miller"; M. Clark; J. Hollingsworth; S. Kierstead; S. . -S. Lim;" T. Torzewski"",""Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA"; UNIX Software Operation, AT and T Bell Laboratories, Inc., Summit, NJ, USA; Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA; Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA; AT and T Bell Laboratories, Inc., Skokie, IL, USA;" Digital Equipment Corporation, Colorado Springs, CO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""206"",""217"",""IPS, a performance measurement system for parallel and distributed programs, is currently running on its second implementation. IPS's model of parallel programs uses knowledge about the semantics of a program's structure to provide two important features. First, IPS provides a large amount of performance data about the execution of a parallel program, and this information is organized so that access to it is easy and intuitive. Secondly, IPS provides performance analysis techniques that help to guide the programmer automatically to the location of program bottlenecks. The first implementation of IPS was a testbed for the basic design concepts, providing experience with a hierarchical program and measurement model, interactive program analysis, and automatic guidance techniques. It was built on the Charlotte distributed operating system. The second implementation, IPS-2, extends the basic system with new instrumentation techniques, an interactive and graphical user interface, and new automatic guidance analysis techniques. This implementation runs on 4.3BSD UNIX systems, on the VAX, DECstation, Sun 4, and Sequent Symmetry multiprocessor.<>"",""1558-2183"","""",""10.1109/71.80132"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80132"","""",""Instruments";Measurement;Performance analysis;Programming profession;Automatic testing;Operating systems;Graphical user interfaces;Power system modeling;Sun;"Springs"","""",""111"",""1"",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Iterative instructions in the Manchester Dataflow Computer,""A. P. W. Bohm";" J. R. Gurd"",""Department of Computer Science, University of Manchester, Institute of Science and Technology, Manchester, UK";" Department of Computer Science, University of Manchester, Institute of Science and Technology, Manchester, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""129"",""139"",""The authors investigate the nature and extent of the benefits and adverse effects of iterative instructions in the prototype Manchester Dataflow Computer. Iterative instructions are shown to be highly beneficial in terms of the number of instructions executed and the number of tokens transferred between modules during a program run. This benefit is apparent at hardware level, giving significantly reduced program execution times. However, the full benefits are not realized due to interference between lengthy iterative instructions. It is suggested that restructuring of buffers and the function unit array in the prototype hardware configuration can reduce this interference. Other possibilities for improvement are suggested. For example, the slowdown effect observed in hardware speedup curves could be tackled by treating iterative instructions differently from fine-grain instructions. An alternative structure for the processing element in which certain function units are specialized for executing iterative instructions is being investigated in this connection.<>"",""1558-2183"","""",""10.1109/71.80141"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80141"","""",""Computer aided instruction";Switches;Data structures;Prototypes;Parallel processing;Computational modeling;Computer architecture;Tail;Hardware;"Packet switching"","""",""14"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Mapping nested loop algorithms into multidimensional systolic arrays,""P. . -Z. Lee";" Z. M. Kedem"",""Courant Inst. of Math. Sci., New York Univ., NY, USA";" Courant Inst. of Math. Sci., New York Univ., NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""64"",""76"",""Consideration is given to transforming depth p-nested for loop algorithms into q-dimensional systolic VLSI arrays where 1<or=q<or=p-1. Previously, there existed complete characterizations of correct transformation only for the cases where q=p-1 or q=1. This gap is filled by giving formal necessary and sufficient conditions for correct transformation of a p-nested loop algorithm into a q-dimensional systolic array for any q, 1<or=q<or=p-1. Practical methods are presented. The techniques developed are applied to the automatic design of special purpose and programmable systolic arrays. The results also contribute toward automatic compilation onto more general purpose programmable arrays. Synthesis of linear and planar systolic array implementations for a three-dimensional cube-graph algorithm and a reindexed Warshall-Floyd path-finding algorithm are used to illustrate the method.<<ETX>>"",""1558-2183"","""",""10.1109/71.80125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80125"","""",""Multidimensional systems";Systolic arrays;Sufficient conditions;Parallel processing;Computer science;Very large scale integration;Transmission line matrix methods;Vectors;History;"Information science"","""",""53"",""1"",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Modelling speedup (n) greater than n,""D. P. Helmbold";" C. E. McDowell"",""Board of Studies in Computer and Information Sciences, University of California, Santa Cruz, Santa Cruz, CA, USA";" Board of Studies in Computer and Information Sciences, University of California, Santa Cruz, Santa Cruz, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""250"",""256"",""A simple model of parallel computation which is capable of explaining speedups greater than n on n processors is presented. Necessary and sufficient conditions for these exceptional speedups are derived from the model. Several of the contradictory previous results relating to parallel speedup are resolved by using the model.<>"",""1558-2183"","""",""10.1109/71.80148"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80148"","""",""Registers";Processor scheduling;Parallel algorithms;Analytical models;"Sufficient conditions"","""",""35"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Odd even shifts in SIMD hypercubes,""S. Ranka";" S. Sahni"",""Center for Science and Technology, Syracuse University, Syracuse, NY, USA";" Department of Computer Science, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""77"",""82"",""A linear-time algorithm is developed to perform all odd (even) length circular shifts of data in an SIMD (single-instruction-stream, multiple-data-stream) hypercube. As an application, the algorithm is used to obtain an O(M/sup 2/+log N) time and O(1) memory per processor algorithm to compute the two-dimensional convolution of an N*N image and an M*M template on an N/sup 2/ processor SIMD hypercube. This improves the previous best complexity of O(M/sup 2/ log M+log N).<>"",""1558-2183"","""",""10.1109/71.80126"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80126"","""",""Hypercubes";Routing;Convolution;Broadcasting;Computer vision;Concurrent computing;Sorting;Linear algebra;Registers;"Clocks"","""",""7"",""3"",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"On mapping systolic algorithms onto the hypercube,""O. H. Ibarra";" S. M. Sohn"",""Department of Computer Science, University of Minnesota, Minneapolis, MN, USA";" Department of Computer Science, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""48"",""63"",""Consideration is given to the problem of mapping systolic array algorithms into efficient algorithms for a fixed-size hypercube architecture. The authors describe in detail several optimal implementations of algorithms given for one-way one- and two-dimensional systolic arrays. Since interprocessor communication is many times slower than local computation in parallel computers built to date, the problem of efficient communication is specifically addressed for these mappings. In order to validate the technique experimentally, five systolic algorithms were mapped in various ways onto a 64-node NCUBE/7 MIMD hypercube machine. The algorithms are for the following problems: the shuffle scheduling problem, finite impulse response filtering, linear context-free language recognition, matrix multiplication, and computing the Boolean transitive closure. Experimental evidence indicates that good performance is obtained for the mappings.<>"",""1558-2183"","""",""10.1109/71.80124"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80124"","""",""Hypercubes";Systolic arrays;Concurrent computing;Computer architecture;Scheduling algorithm;Filtering algorithms;Processor scheduling;Finite impulse response filter;Nonlinear filters;"Context"","""",""25"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Parallel binary search,""S. G. Akl";" H. Meijer"",""Dept. of Comput. & Inf. Sci., Queen's Univ., Kingston, Ont., Canada";" Dept. of Comput. & Inf. Sci., Queen's Univ., Kingston, Ont., Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""247"",""250"",""Two arrays of numbers sorted in nondecreasing order are given: an array A of size n and an array B of size m, where n<m. It is required to determine, for every element of A, the smallest element of B (if one exists) that is larger than or equal to it. It is shown how to solve this problem on the EREW PRAM (exclusive-read exclusive-write parallel random-access machine) in O(logm logn/log log m) time using n processors. The solution is then extended to the case in which fewer than n processors are available. This yields an EREW PRAM algorithm for the problem whose cost is O(n log m, which is O(m)) for n<or=m/log m. It is shown how the solution obtained leads to an improved parallel merging algorithm.<<ETX>>"",""1558-2183"","""",""10.1109/71.80139"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80139"","""",""Phase change random access memory";Merging;Costs;Read-write memory;Computational modeling;Writing;Parallel algorithms;Concurrent computing;Search problems;"Councils"","""",""7"",""1"",""7"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Parallel simulated annealing algorithms for cell placement on hypercube multiprocessors,""P. Banerjee"; M. H. Jones;" J. S. Sargent"",""Department of Electrical Engineering and the Coordinated Science Laboratory, University of Illinois, Urbana, IL, USA"; AT and T Bell Laboratories, Inc., Naperville, IL, USA;" Incredible Technologies, Arlington Heights, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""91"",""106"",""A discussion is presented of two ways of mapping the cells in a two-dimensional area of a chip onto processors in an n-dimensional hypercube such that both small and large cell moves can be applied. Two types of move are allowed: cell exchanges and cell displacements. The computation of the cost function in parallel among all the processors in the hypercube is described, along with a distributed data structure that needs to be stored in the hypercube to support such a parallel cost evaluation. A novel tree broadcasting strategy is presented for the hypercube that is used extensively in the algorithm for updating cell locations in the parallel environment. A dynamic parallel annealing schedule is proposed that estimates the errors due to interacting parallel moves and adapts the rate of synchronization automatically. Two novel approaches in controlling error in parallel algorithms are described: heuristic cell coloring and adaptive sequence control. The performance on an Intel iPSC-2/D4/MX hypercube is reported.<>"",""1558-2183"","""",""10.1109/71.80128"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80128"","""",""Simulated annealing";Hypercubes;Cost function;Automatic control;Concurrent computing;Distributed computing;Data structures;Broadcasting;Dynamic scheduling;"Error correction"","""",""65"",""11"",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Parallelizing programs with recursive data structures,""L. J. Hendren";" A. Nicolau"",""Department of Computer Science, Cornell University, Ithaca, NY, USA";" Department of Information and Computer Science, University of California, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""35"",""47"",""A study is made of the problem of estimating interference in an imperative language with dynamic data structures. The authors focus on developing efficient and implementable methods for recursive data structures. In particular, they present interference analysis tools and parallelization techniques for imperative programs that contain dynamically updatable trees and directed acyclic graphs. The analysis methods are based on a regular-expression-like representation of the relationship between accessible nodes in the data structure. They authors have implemented their analysis, and they present some concrete examples that have been processed by this system.<>"",""1558-2183"","""",""10.1109/71.80123"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80123"","""",""Data structures";Interference;Concurrent computing;Programming profession;Parallel programming;Parallel processing;Program processors;Computer languages;Computer science;"Information analysis"","""",""108"",""13"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Pipelined data parallel algorithms-I: concept and modeling,""C. . -T. King"; W. . -H. Chou;" L. M. Ni"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA"; Department of Computer Science, Michigan State University, East Lansing, MI, USA;" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""470"",""485"",""The basic concept of pipelined data-parallel algorithms is introduced by contrasting the algorithms with other styles of computation and by a simple example (a pipeline image distance transformation algorithm). Pipelined data-parallel algorithms are a class of algorithms which use pipelined operations and data level partitioning to achieve parallelism. Applications which involve data parallelism and recurrence relations are good candidates for this kind of algorithm. The computations are ideal for distributed-memory multicomputers. By controlling the granularity through data partitioning and overlapping the operations through pipelining, it is possible to achieve a balanced computation on multicomputers. An analytic model is presented for modeling pipelined data-parallel computation on multicomputers. The model uses timed Petri nets to describe data pipelining operations. As a case study, the model is applied to a pipelined matrix multiplication algorithm. Predicted results match closely with the measured performance on a 64-node NCUBE hypercube multicomputer.<>"",""1558-2183"","""",""10.1109/71.80175"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80175"","""",""Signal processing algorithms";Partitioning algorithms;Algorithm design and analysis;Parallel algorithms;Concurrent computing;Parallel processing;Pipeline processing;Distributed computing;Computer science;"Petri nets"","""",""24"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Pipelined data parallel algorithms-II: design,""C. . -T. King"; W. . -H. Chou;" L. M. Ni"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA"; Department of Computer Science, Michigan State University, East Lansing, MI, USA;" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""486"",""499"",""For pt.I see ibid., p.470-85. A methodology for designing pipelined data-parallel algorithms on multicomputers is studied. The design procedure starts with a sequential algorithm which can be expressed as a nested loop with constant loop-carried dependencies. The procedure's main focus is on partitioning the loop by grouping related iterations together. Grouping is necessary to balance the communication overhead with the available parallelism and to produce pipelined execution patterns, which result in pipelined data-parallel computations. The grouping should satisfy dependence relationships among the iterations and also allow the granularity to be controlled. Various properties of grouping are studied, and methods for generating communication-efficient grouping are given. Given a grouping and an assignment of the groups to the processors, an analytic model is combined with the grouping results to describe the behavior and to estimate the performance of the resultant parallel program. Expressions characterizing the performance are derived.<>"",""1558-2183"","""",""10.1109/71.80176"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80176"","""",""Algorithm design and analysis";Partitioning algorithms;Processor scheduling;Concurrent computing;Parallel processing;Communication system control;Distributed computing;Pipeline processing;Computer science;"Parallel algorithms"","""",""23"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Predicting performance of parallel computations,""V. W. Mak";" S. F. Lundstrom"",""Distributed Systems Software Research Group, Bell Communications Research, Inc., Morristown, NJ, USA";" Computer Systems Laboratory, University of Stanford, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""257"",""270"",""An accurate and computationally efficient method for predicting the performance of a class of parallel computations running on concurrent systems is described. A parallel computation is modeled as a task system with precedence relationships expressed as a series-parallel directed acyclic graph. Resources in a concurrent system are modeled as service centers in a queuing network model. Using these two models as inputs, the method outputs predictions of expected execution time of the parallel computation and the concurrent system utilization. The method is validated against both detailed simulation and actual execution on a commercial multiprocessor. Using 100 test cases, the average error of the prediction when compared to simulation statistics is 1.7%, with a standard deviation of 1.5%";" the maximum error is about 10%.<>"",""1558-2183"","""",""10.1109/71.80155"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80155"","""",""Concurrent computing";Predictive models;Computational modeling;Delay effects;Prediction methods;Testing;Computer errors;Statistical analysis;Error analysis;"Added delay"","""",""75"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Prefetching in file systems for MIMD multiprocessors,""D. F. Kotz";" C. S. Ellis"",""Department of Computer Science, Duke University, Durham, NC, USA";" Department of Computer Science, Duke University, Durham, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""218"",""230"",""The question of whether prefetching blocks on the file into the block cache can effectively reduce overall execution time of a parallel computation, even under favorable assumptions, is considered. Experiments have been conducted with an interleaved file system testbed on the Butterfly Plus multiprocessor. Results of these experiments suggest that (1) the hit ratio, the accepted measure in traditional caching studies, may not be an adequate measure of performance when the workload consists of parallel computations and parallel file access patterns, (2) caching with prefetching can significantly improve the hit ratio and the average time to perform an I/O (input/output) operation, and (3) an improvement in overall execution time has been observed in most cases. In spite of these gains, prefetching sometimes results in increased execution times (a negative result, given the optimistic nature of the study). The authors explore why it is not trivial to translate savings on individual I/O requests into consistently better overall performance and identify the key problems that need to be addressed in order to improve the potential of prefetching techniques in the environment.<>"",""1558-2183"","""",""10.1109/71.80133"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80133"","""",""Prefetching";File systems;Concurrent computing;Multiprocessing systems;System testing;Time measurement;Performance evaluation;Environmental management;"Operating systems"","""",""34"",""4"",""50"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"The banyan-hypercube networks,""A. S. Youssef";" B. Narahari"",""Department of Electrical Engineering and Computer Science, George Washington University, Washington D.C., DC, USA";" Dept. of Electr. Eng. & Comput. Sci., George Washington Univ., DC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""2"",""160"",""169"",""The authors introduce a family of networks that are a synthesis of banyans and hypercubes and are called the banyan-hypercubes (BH). They combine the advantageous features of banyans and hypercubes and thus have better communication capabilities. The networks can be viewed as consisting of interconnecting hypercubes. It is shown that many hypercube features can be incorporated into BHs with regard to routing, embedding of rings and meshes, and partitioning, and that improvements over the hypercube result are made. In particular, it is shown that BHs have better diameters and average distances than hypercubes, and they embed pyramids and multiple pyramids with dilation cost 1. An optimal routing algorithm for BHs and an efficient partitioning strategy are presented.<>"",""1558-2183"","""",""10.1109/71.80144"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80144"","""",""Hypercubes";Routing;Costs;Network synthesis;Partitioning algorithms;Parallel machines;Multitasking;Image processing;"Scientific computing"","""",""35"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"The performance of spin lock alternatives for shared-money multiprocessors,""T. E. Anderson"",""Department of Computer Science and Engineering FR-35, University of Washington, Seattle, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""6"",""16"",""The author examines the questions of whether there are efficient algorithms for software spin-waiting given hardware support for atomic instructions, or whether more complex kinds of hardware support are needed for performance. He considers the performance of a number of software spin-waiting algorithms. Arbitration for control of a lock is in many ways similar to arbitration for control of a network connecting a distributed system. He applies several of the static and dynamic arbitration methods originally developed for networks to spin locks. A novel method is proposed for explicitly queueing spinning processors in software by assigning each a unique number when it arrives at the lock. Control of the lock can then be passed to the next processor in line with minimal effect on other processors.<>"",""1558-2183"","""",""10.1109/71.80120"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80120"","""",""Hardware";Data structures;Software algorithms;Software performance;Read-write memory;Spinning;Control systems;Costs;Marine technology;"Bandwidth"","""",""343"",""63"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"The use of feedback in multiprocessors and its application to tree saturation control,""S. L. Scott";" G. S. Sohi"",""Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA";" Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""385"",""398"",""Using feedback control schemes in multiprocessor systems is proposed. In a multiprocessor, individual processors do not have complete control over, nor information about, the overall state of the system. The potential exists, then, for the processors to unknowingly interact in such a way as to degrade the performance of the system. An example of this is the problem of tree saturation caused by hot-spot accesses in multiprocessors using multistage interconnection networks. Tree saturation degrades the performance of all processors in the system, including those not participating in the hot spot activity. Feedback schemes can be used to control tree saturation, reducing degradation to memory request that are not to the hot spot, thereby increasing overall system performance. As a companion to feedback schemes, damping schemes are also considered. Simulation studies show that feedback schemes can improve overall system performance significantly and with relatively little hardware cost in many cases. Damping schemes in conjunction with feedback are shown to further improve.<>"",""1558-2183"","""",""10.1109/71.80178"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80178"","""",""Control systems";Degradation;Multiprocessor interconnection networks;System performance;Output feedback;Damping;Student members;Feedback control;Multiprocessing systems;"Hardware"","""",""44"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"VMMP: a practical tool for the development of portable and efficient programs for multiprocessors,""E. Gabber"",""Computer Science Department, School of Mathematical Sciences, Tel-Aviv University, Tel-Aviv, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""304"",""317"",""The VMMP (virtual machine for multiprocessors) software package is presented. It provides a coherent set of services for parallel application programs running on diverse multiple input multiple data (MIMD) multiprocessors, including shared memory and message passing multiprocessors. The communication, synchronization, and data distribution requirements of parallel algorithms are analyzed. Related languages and tools are described. VMMP services are identified. VMMP implementation, coding and portability are discussed. Some measurements of the performance of VROMP application programs and VMMP overhead are given. Several hints for improving the performance of application programs are described.<>"",""1558-2183"","""",""10.1109/71.80158"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80158"","""",""Virtual machining";Message passing;Parallel programming;Concurrent computing;Parallel algorithms;Packaging machines;High level languages;Software performance;"Hardware"","""",""15"","""",""51"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
