"A Comprehensive Performance Model of Sparse Matrix-Vector Multiplication to Guide Kernel Optimization,""T. Xia"; G. Fu; C. Li; Z. Luo; L. Zhang; R. Chen; W. Zhao; N. Zheng;" P. Ren"",""College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China"; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China;" College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Dec 2022"",""2023"",""34"",""2"",""519"",""534"",""Sparse Matrix-Vector Multiplication (SpMV) is important in scientific and industrial applications and remains a well-known challenge for modern CPUs due to high sparsity and irregularity. Many researchers try to improve SpMV performance by designing dedicated data formats and computation patterns. However, out-of-order superscalar CPUs have complex micro-architectures where exist complicated interactions and restrictions among software and hardware factors. It is hard to systematically study the effectiveness of optimization methods on the overall performance, as its benefits may be undermined by other factors. In this paper, we thoroughly study the execution of SpMV on modern CPUs and propose a comprehensive performance model to reveal the critical factors and their relationships. Specifically, we first study the coding characteristics of SpMV kernels to identify key factors worthy of attention. Then we model the execution of SpMV as two overlapped parts: CPU pipeline and memory latency. Both are carefully modeled with related hardware and software factors. We also model SIMD performance with the usage of specific SIMD instructions and vector registers. Experiments show that our model matches the actual execution of real-world processors. Guided by the model, we propose SpV8, a novel SpMV kernel that optimizes critical factors to improve computation efficiency and memory bandwidth. Experiments on Intel/AMD x86 and ARM AArch64 platforms show that SpV8 outperforms several state-of-the-art approaches with large margins, achieving average $3.4\times$3.4× over Intel Math Kernel Library and $1.4\times$1.4× over the best existing approach. Such results indicate that the proposed model is capable of valuable guidance for efficient SpMV optimizations."",""1558-2183"","""",""10.1109/TPDS.2022.3225230"",""National Key Research and Development Program of China(grant numbers:2021YFB0300900)"; National Natural Science Foundation of China(grant numbers:62088102); Key Research and Development Projects of Shaanxi Province(grant numbers:2022ZDLGY01-08);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964419"",""Optimization";performance model;sparse-vector matrix multiplication;"SIMD"",""Pipelines";Kernel;Sparse matrices;Computational modeling;Memory management;Software;"Optimization"","""",""1"","""",""29"",""IEEE"",""28 Nov 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"FT-BLAS: A Fault Tolerant High Performance BLAS Implementation on x86 CPUs,""Y. Zhai"; E. Giem; K. Zhao; J. Liu; J. Huang; B. M. Wong; C. R. Shelton;" Z. Chen"",""University of California, Riverside, Riverside, CA, USA"; University of California, Riverside, Riverside, CA, USA; University of Alabama at Birmingham, Birmingham, AL, USA; University of California, Riverside, Riverside, CA, USA; University of California, Riverside, Riverside, CA, USA; University of California, Riverside, Riverside, CA, USA; University of California, Riverside, Riverside, CA, USA;" University of California, Riverside, Riverside, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2023"",""2023"",""34"",""12"",""3207"",""3223"",""Basic Linear Algebra Subprograms (BLAS) serve as a foundational library for scientific computing and machine learning. In this article, we present a new BLAS implementation, FT-BLAS, that provides performance comparable to or faster than state-of-the-art BLAS libraries, while being capable of tolerating soft errors on-the-fly. At the algorithmic level, we propose a hybrid strategy to incorporate fault-tolerant functionality. For memory-bound Level-1 and Level-2 BLAS routines, we duplicate computing instructions and re-use data at the register level to avoid memory overhead when validating the runtime correctness. Here we novelly propose to utilize mask registers on AVX512-enabled processors and SIMD registers on AVX2-enabled processors to store intermediate comparison results. For compute-bound Level-3 BLAS routines, we fuse memory-intensive operations such as checksum encoding and verification into the GEMM assembly kernels to optimize the memory footprint. We also design cache-friendly parallel algorithms for our fault-tolerant library. Through a series of architectural-aware optimizations, we manage to maintain the fault-tolerant overhead at a negligible order ($< $<3%). Experimental results obtained on widely-used processors such as Intel Skylake, Intel Cascade Lake, and AMD Zen2 demonstrate that FT-BLAS offers high reliability and high performance – faster than Intel MKL, OpenBLAS, and BLIS by up to 3.50%, 22.14%, and 21.70%, respectively, for both serial and parallel routines spanning all three levels of BLAS we benchmarked, even under hundreds of errors injected per minute."",""1558-2183"","""",""10.1109/TPDS.2023.3316011"",""U.S. Department of Energy"; Office of Science; Office of Advanced Scientific Computing Research, Scientific Discovery; Advanced Computing(grant numbers:DE-SC0022209);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262212"",""BLAS";SIMD;assembly optimization;dual modular redundancy;algorithm-based fault tolerance;AVX-512;AVX2;OpenMP;"parallel algorithm"",""Program processors";Libraries;Fault tolerant systems;Transient analysis;Circuit faults;Error correction codes;"Registers"","""","""","""",""80"",""IEEE"",""25 Sep 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Full-Stack Optimizing Transformer Inference on ARM Many-Core CPU,""J. Jiang"; J. Du; D. Huang; Z. Chen; Y. Lu;" X. Liao"",""School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China"; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China;" School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Jun 2023"",""2023"",""34"",""7"",""2221"",""2235"",""The past several years have witnessed tremendous success of transformer models in natural language processing (NLP), and their current landscape is increasingly diverse. Although GPU gradually becomes the dominating workhorse and de facto standard for deep learning, there are still many scenarios where using CPU remains a prevalent choice.Recently, ARM many-core processor starts emigrating to cloud computing and high-performance computing, which is promising to deploy transformer inference. In this paper, we identify several performance bottlenecks of existing inference runtime on many-core CPU including low-core usage, isolated thread configuration, inappropriate implementation of general matrix multiply (GEMM), and redundant computations for variable-length inputs. To tackle these problems, full-stack optimizations are conducted for these challenges from service level to operator level. We explore multi-instance parallelization at the service level to improve CPU core usage. To improve parallel efficiency of the inference runtime, we design NUMA-aware thread scheduling and a look-up table for optimal parallel configurations. The GEMM implementation is tailored for some critical modules to exploit the characteristics of transformer workload. To eliminate redundant computations, a novel storage format is designed and implemented to pack sparse data and a load balancing strategy is proposed for tasks with different sparsity. Experiments show that our implementation can outperform existing solutions by 1.1x to 6x with fixed-length inputs. For variable-length inputs, it achieves 1.9x to 8x speedups on different ARM many-core processors."",""1558-2183"","""",""10.1109/TPDS.2023.3280805"",""National Key R&D Program of China(grant numbers:2021YFB0301300)"; Zhejiang Lab(grant numbers:2021KC0AB04); Major Program of Guangdong Basic and Applied Research(grant numbers:2019B030302002); Program for Guangdong Natural Science Foundation(grant numbers:2018B030312002);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138027"",""ARM";inference;many-core CPU;NUMA;"transformer"",""Transformers";Optimization;Transformer cores;Graphics processing units;Computational modeling;Deep learning;"Runtime"","""",""1"","""",""31"",""IEEE"",""29 May 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"GEM: Ultra-Efficient Near-Memory Reconfigurable Acceleration for Read Mapping by Dividing and Predictive Scattering,""L. Chen"; J. Zhu; G. Peng; M. Liu; S. Wei;" L. Liu"",""School of Integrated Circuits, Tsinghua University, Beijing, China"; School of Integrated Circuits, Tsinghua University, Beijing, China; School of Integrated Circuits, Tsinghua University, Beijing, China; Department of DRAM, Beijing Superstring Academy of Memory Technology, Beijing, China; School of Integrated Circuits, Tsinghua University, Beijing, China;" School of Integrated Circuits, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Oct 2023"",""2023"",""34"",""12"",""3059"",""3072"",""Read mapping, which maps billions of reads to a reference DNA, poses a significant performance bottleneck in genomic analysis. Current accelerators for read mapping are primarily bounded by the intensive and random memory access to huge datasets. Near-data processing (NDP) infrastructures are promising to provide extremely high bandwidth. However, existing frameworks failed to reach this potential due to poor locality and high redundancy. Our idea is to introduce prediction under the insight that candidate mapping positions become predictable when the reference is organized in coarse-grain slices. We present GEM (Genomic Memory), an ultra-efficient near-memory accelerator for read mapping. GEM adopts a novel data-centric framework, named dividing-and-predictive-scattering (DPS), which synthesizes information of seed existence to predict the target mapping locations to reduce memory access redundancy. During preparation, DPS divides the reference into coarse-grained slices and creates predictive filters to assess the likelihood of reads belonging to each slice. During mapping, DPS predicts and scatters reads to considerably fewer slices compared than without prediction. By employing small on-chip SRAM-based predictors with high accuracy, DPS minimizes unnecessary DRAM access and data movement from remote memory. In essence, DPS trades pre-seeding predictors for localized access patterns and low redundancy, hence achieving high throughput for data-intensive applications. We implement GEM by integrating coarse-grain reconfigurable architectures (CGRAs) in the logic layer of a 3D-stacked DRAM infrastructure, utilizing the massive banks as slices. GEM leverages CGRAs for their flexibility in supporting various algorithms tailored to different datasets. Bloom filters are leveraged for slice prediction, providing an error rate below 1%. Evaluation results demonstrate that GEM reduces memory requests by 95% and alignments by 87%, achieving a throughput improvement of 15.3× and 11.0× compared to compute-centric and broadcast-based baselines on the same NDP platform. Overall, GEM achieves a $3.5\times$3.5× throughput improvement and $2.1\times$2.1× energy efficiency compared to state-of-the-art ASIC accelerators."",""1558-2183"","""",""10.1109/TPDS.2023.3309462"",""National Natural Science Foundation of China(grant numbers:61834002,62204139)"; National Key R&D Program of China(grant numbers:2021YFB2701201);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10233117"",""Data-centric computing";dividing and scattering;genome assembly;near memory computing;read mapping;"reconfigurable computing"",""Genomics";Bioinformatics;Indexes;Random access memory;Computational modeling;Throughput;"Termination of employment"","""","""","""",""83"",""IEEE"",""28 Aug 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"GossipFL: A Decentralized Federated Learning Framework With Sparsified and Adaptive Communication,""Z. Tang"; S. Shi; B. Li;" X. Chu"",""Hong Kong Baptist University, Hong Kong"; Harbin Institute of Technology, Shenzhen, China; The Hong Kong University of Science and Technology, Hong Kong;" The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jan 2023"",""2023"",""34"",""3"",""909"",""922"",""Recently, federated learning (FL) techniques have enabled multiple users to train machine learning models collaboratively without data sharing. However, existing FL algorithms suffer from the communication bottleneck due to network bandwidth pressure and/or low bandwidth utilization of the participating clients in both centralized and decentralized architectures. To deal with the communication problem while preserving the convergence performance, we introduce a communication-efficient decentralized FL framework GossipFL. In GossipFL, we 1) design a novel sparsification algorithm to enable that each client only needs to communicate with one peer with a highly sparsified model, and 2) propose a new and novel gossip matrix generation algorithm that can better utilize the bandwidth resources while preserving the convergence property. We also theoretically prove that GossipFL has convergence guarantees. We conduct experiments with three convolutional neural networks on two datasets (IID and non-IID) under two distributed environments (14 clients and 100 clients) to verify the effectiveness of GossipFL. Experimental results show that GossipFL takes less communication traffic for 38.5% and less communication time for $49.8$49.8% than state-of-the-art solutions while achieving comparative model accuracy."",""1558-2183"","""",""10.1109/TPDS.2022.3230938"",""RGC RIF(grant numbers:R6021-20)"; RGC GRF(grant numbers:16209120,16200221);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9996127"",""Deep learning";federated learning;"communication efficiency"",""Bandwidth";Training;Servers;Convergence;Topology;Data models;"Federated learning"","""",""7"","""",""53"",""IEEE"",""21 Dec 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GraphAGILE: An FPGA-Based Overlay Accelerator for Low-Latency GNN Inference,""B. Zhang"; H. Zeng;" V. K. Prasanna"",""Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA"; Meta Platforms, Inc., Menlo Park, CA, USA;" Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""21 Jul 2023"",""2023"",""34"",""9"",""2580"",""2597"",""This article presents GraphAGILE, a domain-specific FPGA-based overlay accelerator for graph neural network (GNN) inference. GraphAGILE consists of (1) a novel unified architecture design with an instruction set, and (2) a compiler built upon the instruction set that can quickly generate optimized code. Due to the proposed instruction set architecture (ISA) and the compiler, GraphAGILE does not require any FPGA reconfiguration when performing inference on various GNN models and input graphs. For the architecture design, we propose a novel hardware module named Adaptive Computation Kernel (ACK), that can execute various computation kernels of GNNs, including general matrix multiplication (GEMM), sparse-dense matrix multiplication (SpDMM), and sampled dense-dense matrix multiplication (SDDMM). The compiler takes the specifications of a GNN model and the graph meta data (e.g., the number of vertices and edges) as input, and generates a sequence of instructions for inference execution. We develop the following compiler optimizations to reduce inference latency: 1) computation order optimization that automatically reorders the computation graph to reduce the total computation complexity, 2) layer fusion that merges adjacent layers to reduce data communication volume, 3) data partitioning with a partition-centric execution scheme that partitions the input graph to fit the available on-chip memory of FPGA, 4) kernel mapping that automatically selects execution mode for ACK, and performs task scheduling to overlap computation with data communication and achieves dynamic load balance. We implement GraphAGILE on a state-of-the-art FPGA platform, Xilinx Alveo U250. GraphAGILE can execute widely used GNN models, including GCN, GAT, GIN, GraphSAGE, SGC and other GNN models supported by GraphGym. Experimental results show that GraphAGILE achieves up to $47.1\times$47.1× ($3.9\times$3.9×) reduction in end-to-end latency, including the latency of compilation and hardware execution, compared with the state-of-the-art implementations on CPU (GPU), and achieves up to $2.9\times$2.9× reduction in hardware execution latency compared with the state-of-the-art FPGA accelerators."",""1558-2183"","""",""10.1109/TPDS.2023.3287883"",""National Science Foundation(grant numbers:CCF-1919289,OAC-2209563)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10158054"",""Graph neural network";FPGA overlay accele- rator;hardware architecture;"low-latency inference"",""Graph neural networks";Field programmable gate arrays;Hardware;Computational modeling;Kernel;Optimization;"Instruction sets"","""",""2"","""",""33"",""IEEE"",""20 Jun 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Guest Editorial Reproducibility Initiative at the SC Conference Series: A Preface to the Special Section,""L. M. Weakley";" T. Robinson"",""Indiana University, Bloomington, IN, USA";" Swiss National Computing Centre, Lugano, Switzerland"",""IEEE Transactions on Parallel and Distributed Systems"",""11 May 2023"",""2023"",""34"",""6"",""1697"",""1698"",""Welcome to our special section on reproducibility in large-scale computational science. Reproducibility is one of the foundations of science, ensuring not only the transparency and rigor of the methods utilized for discovery but also that the research involved can be built upon. In order to enable research and to support open science, it is crucial that the computational work performed on high performance computing (HPC) systems is also reproducible."",""1558-2183"","""",""10.1109/TPDS.2023.3262899"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10123123"","""",""Special issues and sections";Reproducibility of results;Scientific computing;High performance computing;"Large scale systems"","""","""","""",""1"",""IEEE"",""11 May 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HashCache: Accelerating Serverless Computing by Skipping Duplicated Function Execution,""Z. Wu"; Y. Deng; Y. Zhou; L. Cui;" X. Qin"",""Department of Computer Science, Jinan University, Guangzhou, China"; Department of Computer Science, Jinan University, Guangzhou, China; TSYS School of Computer Science, Columbus State University, Columbus, GA, USA; Department of Computer Science, Jinan University, Guangzhou, China;" Department of Computer Science and Software Engineering, Auburn University, Auburn, AL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2023"",""2023"",""34"",""12"",""3192"",""3206"",""Serverless computing is a leading force behind deploying and managing software in cloud computing. One inherent challenge in serverless computing is the increased overall latency due to duplicate computations. Our initial investigation into the function invocations of serverless applications reveals an abundance of duplicate invocations. Inspired by this critical observation, we introduce HashCache, a system designed to cache duplicate function invocations, thereby mitigating duplicate computations. In HashCache, serverless functions are classified into three categories, namely, computational functions, stateful functions, and environment-related functions. On the grounds of such a function classification, HashCache associates the stateful functions and their states to build an adaptive synchronization mechanism. With this support, HashCache exploits the cached results of computational and stateful functions to serve upcoming invocation requests to the same functions, thereby reducing duplicate computations. Moreover, HashCache stores remote files probed by stateful functions into a local cache layer, which further curtails invocation latency. We implement HashCache within the Apache OpenWhisk to forge a cache-enabled serverless computing platform. We conduct extensive experiments to quantitatively evaluate the performance of HashCache in terms of invocation latency and resource utilization. We compare HashCache against two state-of-the-art approaches - FaaSCache and OpenWhisk. The experimental results unveil that our HashCache remarkably reduces invocation latency and resource overhead. More specifically, HashCache curbs the 99-tail latency of FaaSCache and OpenWhisk by up to 91.37% and 95.96% in real-world serverless applications. HashCache also slashes the resource utilization of FaaSCache and OpenWhisk by up to 31.62% and 35.51%, respectively."",""1558-2183"","""",""10.1109/TPDS.2023.3323330"",""National Natural Science Foundation of China(grant numbers:62072214)"; Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2021B1515120048); Open Project Program of Wuhan National Laboratory for Optoelectronics(grant numbers:2020WNLOKF006); National Science Foundation(grant numbers:IIS-1618669,OAC-1642133);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275106"",""Cloud computing";function-as-a-service;performance optimization;"serverless computing"",""Containers";Runtime;Serverless computing;Python;Optimization;Monitoring;"Computer science"","""","""","""",""46"",""IEEE"",""10 Oct 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"HE-Booster: An Efficient Polynomial Arithmetic Acceleration on GPUs for Fully Homomorphic Encryption,""Z. Wang"; P. Li; R. Hou; Z. Li; J. Cao; X. Wang;" D. Meng"",""State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China"; State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China; State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China; State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China; State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China; Indiana University at Bloomington, Bloomington, IN, USA;" State Key Laboratory of Information Security, Institute of Information Engineering, CAS, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Mar 2023"",""2023"",""34"",""4"",""1067"",""1081"",""Fully Homomorphic Encryption (FHE) enables secure offloading of computations to untrusted cloud servers as it allows computing on encrypted data. However, existing well-known FHE schemes suffer from heavy performance overheads. Thus numerous accelerations based on FPGAs, ASICs, and GPUs have been proposed. Compared to FPGAs and ASICs, GPUs have obvious advantages in productivity and development costs. And also, GPUs have already been widely deployed in commercial cloud or supercomputing centers. Therefore, we present HE-Booster, an efficient GPU-based FHE acceleration design. For single-GPU acceleration, a thorough systematic design is exploited to map five common phases in typical FHE schemes to the GPU parallel architecture. In particular, inspired by the regular architecture of NTT/INTT, a novel inter-thread local synchronization is proposed to exploit thread-level parallelism. For multi-GPU acceleration, we propose a scalable parallelization design that exploits data-level parallelism through fine-grained data partition under different representations. Finally, experiments on 1 NVIDIA GPU demonstrate that our work outperforms 251.7×, 78.5× and 164.9× than three mainstream CPU-based libraries HElib, SEAL, and PALISADE, and up to 170.5× speedup is obtained compared to the GPU-accelerated library cuHE. What's more, performing 8 homomorphic multiplications on 8 GPUs can deliver up to a 7.66× performance boost compared to a single-GPU implementation."",""1558-2183"","""",""10.1109/TPDS.2022.3228628"",""National Natural Science Fund of China for Distinguished Young Scholars(grant numbers:62125208)"; National Natural Science Foundation of China(grant numbers:62202467);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10012383"",""Fully homomorphic encryption";GPU acceleration;"number-theoretic transform"",""Graphics processing units";Arithmetic;Cathode ray tubes;Synchronization;Libraries;Instruction sets;"Field programmable gate arrays"","""",""4"","""",""81"",""CCBYNCND"",""9 Jan 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Hierarchical Federated Learning With Momentum Acceleration in Multi-Tier Networks,""Z. Yang"; S. Fu; W. Bao; D. Yuan;" A. Y. Zomaya"",""School of Computer Science, University of Sydney, Sydney, NSW, Australia"; School of Computer Science, University of Sydney, Sydney, NSW, Australia; School of Computer Science, University of Sydney, Sydney, NSW, Australia; School of Electrical and Information Engineering, University of Sydney, Sydney, NSW, Australia;" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Aug 2023"",""2023"",""34"",""10"",""2629"",""2641"",""In this article, we propose Hierarchical Federated Learning with Momentum Acceleration (HierMo), a three-tier worker-edge-cloud federated learning algorithm that applies momentum for training acceleration. Momentum is calculated and aggregated in the three tiers. We provide convergence analysis for HierMo, showing a convergence rate of $\mathcal {O}(\frac{1}{T})$O(1T). In the analysis, we develop a new approach to characterize model aggregation, momentum aggregation, and their interactions. Based on this result, we prove that HierMo achieves a tighter convergence upper bound compared with HierFAVG without momentum. We also propose HierOPT, which optimizes the aggregation periods (worker-edge and edge-cloud aggregation periods) to minimize the loss given a limited training time. By conducting the experiment, we verify that HierMo outperforms existing mainstream benchmarks under a wide range of settings. In addition, HierOPT can achieve a near-optimal performance when we test HierMo under different aggregation periods."",""1558-2183"","""",""10.1109/TPDS.2023.3294688"",""Australian Research Council Discovery Project(grant numbers:DP200103718)"; Australian Research Council Discovery Project(grant numbers:DP200103494);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10180030"",""Federated learning";momentum;convergence analysis;"edge computing"",""Convergence";Cloud computing;Training;Computer architecture;Internet;Federated learning;"Servers"","""","""","""",""45"",""IEEE"",""12 Jul 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"HierFedML: Aggregator Placement and UE Assignment for Hierarchical Federated Learning in Mobile Edge Computing,""Z. Xu"; D. Zhao; W. Liang; O. F. Rana; P. Zhou; M. Li; W. Xu; H. Li;" Q. Xia"",""Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, Liaoning, China"; Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, Liaoning, China; Department of Computer Science, City University of Hong Kong, Hong Kong; Physical Sciences and Engineering College, Cardiff University, Cardiff, U.K.; Hubei Key Laboratory of Distributed System Security, Hubei Engineering Research Center on Big Data Security, School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, Hubei, China; Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, School of Software, Dalian University of Technology, Dalian, Liaoning, China; Department of Computer Science, Sichuan University, Chengdu, Sichuan, China; Ningxia Research Institute, China Coal Research Institute, Beijing, China;" Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, the International School of Information Science & Engineering, Dalian University of Technology, Dalian, Liaoning, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Dec 2022"",""2023"",""34"",""1"",""328"",""345"",""Federated learning (FL) is a distributed machine learning technique that enables model development on user equipments (UEs) locally, without violating their data privacy requirements. Conventional FL adopts a single parameter server to aggregate local models from UEs, and can suffer from efficiency and reliability issues – especially when multiple users issue concurrent FL requests. Hierarchical FL consisting of a master aggregator and multiple worker aggregators to collectively combine trained local models from UEs is emerging as a solution to efficient and reliable FL. The placement of worker aggregators and assignment of UEs to worker aggregators plays a vital role in minimizing the cost of implementing FL requests in a Mobile Edge Computing (MEC) network. Cost minimization associated with joint worker aggregator placement and UE assignment problem in an MEC network is investigated in this work. An optimization framework for FL and an approximation algorithm with an approximation ratio for a single FL request is proposed. Online worker aggregator placements and UE assignments for dynamic FL request admissions with uncertain neural network models, where FL requests arrive one by one without the knowledge of future arrivals, is also investigated by proposing an online learning algorithm with a bounded regret. The performance of the proposed algorithms is evaluated using both simulations and experiments in a real testbed with its hardware consisting of server edge servers and devices and software built upon an open source hierarchical FedML (HierFedML) environment. Simulation results show that the performance of the proposed algorithms outperform their benchmark counterparts, by reducing the implementation cost by at least 15% per FL request. Experimental results in the testbed demonstrate the performance gain using the proposed algorithms using real datasets for image identification and text recognition applications."",""1558-2183"","""",""10.1109/TPDS.2022.3218807"",""National Natural Science Foundation of China(grant numbers:62172068,62172071)"; Xinghai scholar; City University of Hong Kong(grant numbers:9380137/CS); National Natural Science Foundation of China(grant numbers:61972448);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935309"",""Mobile edge computing";federated learning;aggregator placement and UE assignment;hierarchical federated learning framework;approximation algorithms;"online learning algorithms"",""Computational modeling";Costs;Training;Task analysis;Uncertainty;Servers;"Optimization"","""",""2"","""",""63"",""IEEE"",""2 Nov 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"HiFlash: Communication-Efficient Hierarchical Federated Learning With Adaptive Staleness Control and Heterogeneity-Aware Client-Edge Association,""Q. Wu"; X. Chen; T. Ouyang; Z. Zhou; X. Zhang; S. Yang;" J. Zhang"",""School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China"; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China; School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, Shaanxi, China;" ECE Department, University of California, Davis, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Mar 2023"",""2023"",""34"",""5"",""1560"",""1579"",""Federated learning (FL) is a promising paradigm that enables collaboratively learning a shared model across massive clients while keeping the training data locally. However, for many existing FL systems, clients need to frequently exchange model parameters of large data size with the remote cloud server directly via wide-area networks (WAN), leading to significant communication overhead and long transmission time. To mitigate the communication bottleneck, we resort to the hierarchical federated learning paradigm of HiFL, which reaps the benefits of mobile edge computing and combines synchronous client-edge model aggregation and asynchronous edge-cloud model aggregation together to greatly reduce the traffic volumes of WAN transmissions. Specifically, we first analyze the convergence bound of HiFL theoretically and identify the key controllable factors for model performance improvement. We then advocate an enhanced design of HiFlash by innovatively integrating deep reinforcement learning based adaptive staleness control and heterogeneity-aware client-edge association strategy to boost the system efficiency and mitigate the staleness effect without compromising model accuracy. Extensive experiments corroborate the superior performance of HiFlash in model accuracy, communication reduction, and system efficiency."",""1558-2183"","""",""10.1109/TPDS.2023.3238049"",""National Natural Science Foundation of China(grant numbers:U20A20159,61972432)"; Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2021B151520008); Program for Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2017ZT07X355);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10021868"",""Client-edge association";federated learning;hierarchical mechanism;"staleness control"",""Adaptation models";Data models;Servers;Computational modeling;Wide area networks;Convergence;"Local area networks"","""",""7"","""",""51"",""IEEE"",""19 Jan 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
