"2002 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""94"",""96"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2003.1167374"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167374"","""",""IEEE"","""","""","""","""",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Measurement-based characterization and classification of QoS-enhanced systems,""A. Kuzmanovic";" E. W. Knightly"",""Department of Electrical and Computer Engineering, Rice University, Houston, TX, USA";" Department of Electrical and Computer Engineering, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jul 2003"",""2003"",""14"",""7"",""671"",""685"",""Quality-of-service mechanisms and differentiated service classes are increasingly available in networks and Web servers. While network and Web server clients can assess their service by measuring basic performance parameters such as packet loss and delay, such measurements do not expose the system's core QoS functionality such as multiclass service discipline. In this paper, we develop a framework and methodology for enabling network and Web server clients to assess system's multiclass mechanisms and parameters. Using hypothesis testing, maximum likelihood estimation, and empirical arrival and service rates measured across multiple time scales, we devise techniques for clients to: 1) determine the most likely service discipline among earliest deadline first, class-based weighted fair queuing, and strict priority"; 2) estimate the system's parameters with high confidence;" and (3) detect and parameterize non work-conserving elements such as rate limiters. We describe the important role of time scales in such a framework and identify the conditions necessary for obtaining accurate and high confidence inferences."",""1558-2183"","""",""10.1109/TPDS.2003.1214319"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214319"","""",""Web server";Traffic control;Loss measurement;System testing;Quality of service;Telecommunication traffic;Scheduling algorithm;Bandwidth;Monitoring;"Performance loss"","""",""2"","""",""28"",""IEEE"",""22 Jul 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Middleware infrastructure for parallel and distributed programming models in heterogeneous systems,""J. Al-Jaroodi"; N. Mohamed; H. Jiang;" D. Swanson"",""Department of Computer Science and Engineering, University of Nebraska, Lincoln, Lincolnshire, NE, USA"; Department of Computer Science and Engineering, University of Nebraska, Lincoln, Lincolnshire, NE, USA; Department of Computer Science and Engineering, University of Nebraska, Lincoln, Lincolnshire, NE, USA;" Department of Computer Science and Engineering, University of Nebraska, Lincoln, Lincolnshire, NE, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1100"",""1111"",""We introduce a middleware infrastructure that provides software services for developing and deploying high-performance parallel programming models and distributed applications on clusters and networked heterogeneous systems. This middleware infrastructure utilizes distributed agents residing on the participating machines and communicating with one another to perform the required functions. An intensive study of the parallel programming models in Java has helped identify the common requirements for a runtime support environment, which we used to define the middleware functionality. A Java-based prototype, based on this architecture, has been developed along with a Java object-passing interface (JOPI) class library. Since this system is written completely in Java, it is portable and allows executing programs in parallel across multiple heterogeneous platforms. With the middleware infrastructure, users need not deal with the mechanisms of deploying and loading user classes on the heterogeneous system. Moreover, details of scheduling, controlling, monitoring, and executing user jobs are hidden, while the management of system resources is made transparent to the user. Such uniform services are essential for facilitating the development and deployment of scalable high-performance Java applications on clusters and heterogeneous systems. An initial deployment of a parallel Java programming model over a heterogeneous, distributed system shows good performance results. In addition, a framework for the agents' startup mechanism and organization is introduced to provide scalable deployment and communication among the agents."",""1558-2183"","""",""10.1109/TPDS.2003.1247671"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247671"","""",""Middleware";Parallel programming;Java;Application software;Runtime environment;Prototypes;Libraries;Scheduling;Control systems;"Monitoring"","""",""40"",""10"",""30"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Multihop all-to-all broadcast on WDM optical networks,""Qian-Ping Gu";" Shietung Peng"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada";" Faculty of Computer and Information Science, Hosei University, Tokyo, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""21 May 2003"",""2003"",""14"",""5"",""477"",""486"",""Wavelength-division multiplexing (WDM) optical networks provide huge bandwidth by allowing multiple data streams transmitted simultaneously along the same optical fiber, with each stream assigned a distinct wavelength. A key issue on WDM optical networks is to minimize the number of wavelengths for communications. All-to-all broadcast (gossiping) is a fundamental communication application on computer/communication networks. It is known that the minimum numbers of wavelengths for realizing gossiping in one-hop of optical routing on the ring and the two-dimensional torus of N nodes are cN/sup 2/ and cN/sup 3/2/, c /spl ap/ 1/8, respectively. These numbers can be too large even for moderate values of N. One approach to reduce the number of wavelengths is to realize gossiping in multihops of routing. We give routing algorithms which realize gossiping in k-hops (k /spl ges/ 2) by O(N/sup 1+1/k/) wavelengths on the ring, O(N/sup 1+1/(2k)/) wavelengths on the 2D torus, and O(N/sup 1+1/(3k)/) wavelengths on the 3D torus on a simple multihop routing model. We also discuss the multihop routing for gossiping on a merge model. We give the upper bounds on the numbers of wavelengths for gossiping in two-hops and three-hops for the ring, 2D torus, and 3D torus on the merge model."",""1558-2183"","""",""10.1109/TPDS.2003.1199065"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199065"","""",""Spread spectrum communication";Broadcasting;Wavelength division multiplexing;WDM networks;Optical fiber networks;Wavelength routing;Bandwidth;Optical fibers;Application software;"Computer applications"","""",""17"","""",""20"",""IEEE"",""21 May 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"MVSS: an active storage architecture,""Xiaonan Ma";" A. L. N. Reddy"",""Almaden Research Cente, IBM, San Jose, CA, USA";" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Oct 2003"",""2003"",""14"",""10"",""993"",""1005"",""This paper presents MVSS, a storage system for active storage devices MVSS offers a single framework for supporting various services at the device level. It provides a flexible interface for associating services to a file through multiple views of the file Similar to views of a database in a multiview database system, views in MVSS are generated dynamically and are not stored on physical storage devices. MVSS represents each view of an underlying file through a separate entry in the file system namespace. MVSS separates the deployment of services from file system implementations and, thus, allows services to be migrated to storage devices. The paper presents the design of MVSS and how different services can be supported in MVSS at the device level. To illustrate our approach, we implemented a prototype system on PCs running Linux. We present results from example applications implemented on the prototype and discuss a variety of architectural issues including mixed workloads."",""1558-2183"","""",""10.1109/TPDS.2003.1239868"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239868"","""",""File systems";Operating systems;Computer Society;Prototypes;Bandwidth;Power system interconnection;Computer architecture;Database systems;Personal communication networks;"Linux"","""",""22"","""",""31"",""IEEE"",""27 Oct 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Nonblocking checkpointing for optimistic parallel simulation: description and an implementation,""F. Quaglia";" A. Santoro"",""Dipartimento di Informatica e Sistemistica, Università di Roma La Sapienza, Rome, Italy";" Dipartimento di Informatica e Sistemistica, Università di Roma La Sapienza, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Jun 2003"",""2003"",""14"",""6"",""593"",""610"",""Describes a nonblocking checkpointing mode in support of optimistic parallel discrete event simulation. This mode allows real concurrency in the execution of state saving and other simulation specific operations (e.g, event list update, event execution) with the aim of removing the cost of recording state information from the completion time of the parallel simulation application. We present an implementation of a C library supporting nonblocking checkpointing on a myrinet based cluster, which demonstrates the practical viability of this checkpointing mode on standard off-the-shelf hardware. By the results of an empirical study on classical parameterized synthetic benchmarks, we show that, except for the case of minimal state granularity applications, nonblocking checkpointing allows improvement of the speed of the parallel execution, as compared to commonly adopted, optimized checkpointing methods based on the classical blocking mode. A performance study for the case of a personal communication system (PCS) simulation is additionally reported to point out the benefits from nonblocking checkpointing for a real world application."",""1558-2183"","""",""10.1109/TPDS.2003.1206506"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1206506"","""",""Checkpointing";Discrete event simulation;Context modeling;Costs;Circuit simulation;Central Processing Unit;Concurrent computing;Libraries;Hardware;"Personal communication networks"","""",""42"","""",""43"",""IEEE"",""20 Jun 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Nonblocking k-fold multicast networks,""Yuanyuan Yang";" Jianchao Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2003"",""2003"",""14"",""2"",""131"",""141"",""Multicast communication involves transmitting information from a single source to multiple destinations and is a requirement in high-performance networks. Current trends in networking applications indicate an increasing demand in future networks for multicast capability. Many multicast applications require not only multicast capability, but also predictable communication performance such as guaranteed multicast latency and bandwidth. In this paper, we present a design for a nonblocking k-fold multicast network, in which any destination node can be involved in up to k simultaneous multicast connections in a nonblocking manner. We also develop an efficient routing algorithm for the network. As can be seen, a k-fold multicast network has significantly lower network cost than that of k copies of ordinary 1-fold multicast networks and is a cost effective choice for supporting arbitrary multicast communication."",""1558-2183"","""",""10.1109/TPDS.2003.1178877"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178877"","""",""Communication switching";Delay;Routing;Hardware;Multicast communication;Multicast algorithms;System recovery;Switches;Application software;"Bandwidth"","""",""14"","""",""25"",""IEEE"",""19 Feb 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"OBIWAN: design and implementation of a middleware platform,""P. Ferreira"; L. Veiga;" C. Ribeiro"",""INESC ID IST, Lisboa, Portugal"; INESC ID IST, Lisboa, Portugal;" INESC ID IST, Lisboa, Portugal"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1086"",""1099"",""Programming distributed applications supporting data sharing is very hard. In most middleware platforms, programmers must deal with system-level issues for which they do not have the adequate knowledge, e.g., object replication, abusive resource consumption by mobile agents, and distributed garbage collection. As a result, programmers are diverted from their main task: the application logic. In addition, given that such system-level issues are extremely error-prone, programmers spend inumerous hours debugging. We designed, implemented, and evaluated a middleware platform called OBIWAN that releases the programmer from the above mentioned system-level issues. OBIWAN has the following distinctive characteristics: 1) allows the programmer to develop applications using either remote object invocation, object replication, or mobile agents, according to the specific needs of applications, 2) supports automatic object replication (e.g., incremental on-demand replication, transparent object faulting and serving, etc.), 3) supports distributed garbage collection of useless replicas, and 4) supports the specification and enforcement of history-based security policies well adapted to mobile agents needs (e.g., preventing abusive resource consumption)."",""1558-2183"","""",""10.1109/TPDS.2003.1247670"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247670"","""",""Middleware";Programming profession;Mobile agents;Network servers;Catalogs;Costs;Security;Logic;"Debugging"","""",""8"","""",""39"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"OCI-based group communication support in CORBA,""Dongman Lee"; Dukyun Nam; Hee Yong Youn;" Chansu Yu"",""School of Computer Engineering, Information and Communications University, Daejeon, South Korea"; School of Computer Engineering, Information and Communications University, Daejeon, South Korea; School of Information and Communications Engineering, Sungkyunkwan University, Suwon, South Korea;" Department of Electrical and computer Engineering, Cleveland State University, Cleveland, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1126"",""1139"",""Group communication is a useful mechanism guaranteeing consistency among replicated objects. The existing approaches do not allow transparent plug-in of group communication protocols into CORBA. They either require modification of CORBA or OS, or provide no room for incorporating group communication transport protocols into CORBA. We thus propose a generic group communication framework that allows transparent plug-in of various group communication protocols with no modification of existing CORBA. We extend the open communications interface (OCI) to support interoperability, reusability of existing group communication, and independency on ORB and OS. We also define the group communication inter-ORB protocol (GCIOP) as a group communication instantiation of the general inter-ORB protocol (GIOP) that encapsulates underlying group communication protocols. The proposed scheme can be exploited for fault-tolerant CORBA (FT CORBA)."",""1558-2183"","""",""10.1109/TPDS.2003.1247673"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247673"","""",""Computer Society";Transport protocols;Fault tolerance;Connectors;Operating systems;Availability;Maintenance;Programming profession;Communication standards;"TCPIP"","""",""2"","""",""28"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"On approximation of the bulk synchronous task scheduling problem,""N. Fujimoto";" K. Hagihara"",""School of Information Science and Technology, Osaka University, Toyonaka, Osaka, Japan";" School of Information Science and Technology, Osaka University, Toyonaka, Osaka, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1191"",""1199"",""The bulk synchronous task scheduling problem (BSSPO) is known as an effective task scheduling problem for distributed memory machines. We present a proof of NP-completeness of the decision counterpart of BSSPO, even in the case of makespan of at most five. This implies nonapproximability of BSSPO, meaning that there is no approximation algorithm with performance guarantee smaller than 6/5 unless P = NP. We also give an approximation algorithm with a performance guarantee of two for BSSPO in several restricted cases."",""1558-2183"","""",""10.1109/TPDS.2003.1247678"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247678"","""",""Processor scheduling";Approximation algorithms;Software packages;Scheduling algorithm;Delay effects;Packaging machines;Heuristic algorithms;Concurrent computing;TV;"Computer Society"","""","""","""",""30"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"On exploring aggregate effect for efficient cache replacement in transcoding proxies,""Cheng-Yue Chang";" Ming-Syan Chen"",""Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan";" Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Jun 2003"",""2003"",""14"",""6"",""611"",""624"",""Recent technology advances in mobile networking have ushered in a new era of personal communication. Users can ubiquitously access the Internet via many emerging mobile appliances, such as portable notebooks, personal digital assistants (PDAs), and WAP-enabled cellular phones. While the transcoding proxy is attracting an increasing amount of attention in this environment, it is noted that new caching strategies are required for these transcoding proxies. We propose an efficient cache replacement algorithm for transcoding proxies. Specifically, we formulate a generalized profit function to evaluate the profit from caching each version of an object. This generalized profit function explicitly considers several new emerging factors in the transcoding proxy and the aggregate effect of caching multiple versions of the same object. It is noted that the aggregate effect is not simply the sum of the costs of caching individual versions of an object, but rather, depends on the transcoding relationship among these versions. The notion of a weighted transcoding graph is devised to evaluate the corresponding aggregate effect efficiently. Utilizing the generalized profit function and the weighted transcoding graph, we propose, in this paper, an innovative cache replacement algorithm for transcoding proxies. In addition, an effective data structure is designed to facilitate the management of the multiple versions of different objects cached in the transcoding proxy. Using an event-driven simulation, it is shown that the algorithm proposed consistently outperforms companion schemes in terms of the delay saving ratios and cache hit ratios."",""1558-2183"","""",""10.1109/TPDS.2003.1206507"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1206507"","""",""Aggregates";Transcoding;Personal digital assistants;Internet;Home appliances;Cellular phones;Costs;Data structures;Discrete event simulation;"Delay"","""",""54"",""1"",""26"",""IEEE"",""20 Jun 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"On network CoProcessors for scalable, predictable media services,""R. Krishnamurthy"; K. Schwan; R. West;" M. C. Rosu"",""Center for Experimental Research in Computer Systems, Georgia Institute of Technology, Atlanta, GA, USA"; Center for Experimental Research in Computer Systems, Georgia Institute of Technology, Atlanta, GA, USA; Department of Computer Science, Boston University, Boston, MA, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jul 2003"",""2003"",""14"",""7"",""655"",""670"",""This paper presents the embedded realization and experimental evaluation of a media stream scheduler on network interface (NI) CoProcessor boards. When using media frames as scheduling units, the scheduler is able to operate in real-time on streams traversing the CoProcessor, resulting in its ability to stream video to remote clients at real-time rates. This paper presents a detailed evaluation of the effects of placing application or kernel-level functionality, like packet scheduling on NIs, rather than the host machines to which they are attached. The main benefits of such placement are: 1) that traffic is eliminated from the host bus and memory subsystem, thereby allowing increased host CPU utilization for other tasks, and 2) that NI-based scheduling is immune to host-CPU loading, unlike host-based media schedulers that are easily affected even by transient load conditions. An outcome of this work is a proposed cluster architecture for building scalable media servers by distributing schedulers and media stream producers across the multiple NIs used by a single server and by clustering a number of such servers using commodity network hardware and software."",""1558-2183"","""",""10.1109/TPDS.2003.1214318"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214318"","""",""Coprocessors";Streaming media;Network servers;Hardware;Network interfaces;Quality of service;Scalability;Scheduling algorithm;Multicast protocols;"Ethernet networks"","""",""2"","""",""68"",""IEEE"",""22 Jul 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"On properties of RDT communication-induced checkpointing protocols,""Jichiang Tsai"",""Department of Electrical Engineering, National Chung Hsing University, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Aug 2003"",""2003"",""14"",""8"",""755"",""764"",""Rollback-dependency trackability (RDT) is a property stating that all rollback dependencies between local checkpoints are online trackable by using a transitive dependency vector. The most crucial RDT characterizations introduced in the literature can be represented as certain types of RDT-PXCM-paths. Here, let the U-path and V-path be any two types of RDT-PXCM-paths. We investigate several properties of communication-induced checkpointing protocols that ensure the RDT property. First, we prove that if an online RDT protocol encounters a U-path at a point of a checkpoint and communication pattern associated with a distributed computation, it also encounters a V-path there. Moreover, if this encountered U-path is invisibly doubled, the corresponding encountered V-path is invisibly doubled as well. Therefore, we can conclude that breaking all invisibly doubled U-paths is equivalent to breaking all invisibly doubled V-paths for an online RDT protocol. Next, we continue to demonstrate that a visibly doubled U-path must contain a doubled U-cycle in the causal past. These results can further deduce that some different checkpointing protocols actually have the same behavior for all possible patterns. Finally, we present a commendatory systematic technique for comparing the performance of online RDT protocols."",""1558-2183"","""",""10.1109/TPDS.2003.1225055"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225055"","""",""Checkpointing";Protocols;Distributed computing;Communication system control;Fault tolerant systems;Computer networks;Communication networks;Nonvolatile memory;Process control;"Force control"","""",""9"","""",""25"",""IEEE"",""26 Aug 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"On the design of a high-performance adaptive router for CC-NUMA multiprocessors,""V. Puente"; J. . -A. Gregorio; R. Beivide;" C. Izu"",""University of Cantabria, Cantabria, Spain"; University of Cantabria, Cantabria, Spain; University of Cantabria, Cantabria, Spain;" Department of Computer Science, University of Adelaide, SA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""21 May 2003"",""2003"",""14"",""5"",""487"",""501"",""This work presents the design and evaluation of an adaptive packet router aimed at supporting CC-NUMA traffic. We exploit a simple and efficient packet injection mechanism to avoid deadlock, which leads to a fully, adaptive routing by employing only three virtual channels. In addition, we selectively use output buffers for implementing the most utilized virtual paths in order to reduce head-of-line blocking. The careful implementation of these features has resulted in a good trade-off between the network performance and hardware cost. The outcome of this research is a high-performance adaptive router (HPAR), which adequately balances the needs of parallel applications: minimal network latency at low loads and high throughput at heavy loads. The paper includes an evaluation process in which HPAR is compared with other adaptive routers using FIFO input bufferring, with or without additional virtual channels to reduce head-of-line blocking. This evaluation contemplates both the VLSI costs of each router and their performance under synthetic and real application workloads. To make the comparison fair, all the routers use the same efficient deadlock avoidance mechanism. In all the experiments, HPAR exhibited the best response among all the routers tested. Moreover, the observed packet latencies were comparable to those exhibited by simpler routers. Therefore, HPAR can be considered as a suitable candidate to implement packet interchange in next generations of CC-NUMA multiprocessors."",""1558-2183"","""",""10.1109/TPDS.2003.1199066"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199066"","""",""Throughput";Routing;System recovery;Costs;Hardware;Delay;Computer Society;Telecommunication traffic;Computer architecture;"Multiprocessing systems"","""",""6"",""1"",""29"",""IEEE"",""21 May 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"On the parallel execution time of tiled loops,""K. Hogstedt"; L. Carter;" J. Ferrante"",""AT and T Research Laboratories, Florham Park, NJ, USA"; Department of Computer Science and Engineering, University of San Diego, La Jolla, CA, USA;" Department of Computer Science and Engineering, University of San Diego, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2003"",""2003"",""14"",""3"",""307"",""321"",""Many computationally-intensive programs, such as those for differential equations, spatial interpolation, and dynamic programming, spend a large portion of their execution time in multiply-nested loops that have a regular stencil of data dependences. Tiling is a well-known compiler optimization that improves performance on such loops, particularly for computers with a multilevel hierarchy of parallelism and memory. Most previous work on tiling is limited in at least one of the following ways: they only handle nested loops of depth two, orthogonal tiling, or rectangular tiles. In our work, we tile loop nests of arbitrary depth using polyhedral tiles. We derive a prediction formula for the execution time of such tiled loops, which can be used by a compiler to automatically determine the tiling parameters that minimizes the execution time. We also explain the notion of rise, a measure of the relationship between the shape of the tiles and the shape of the iteration space generated by the loop nest. The rise is a powerful tool in predicting the execution time of a tiled loop. It allows us to reason about how the tiling affects the length of the longest path of dependent tiles, which is a measure of the execution time of a tiling. We use a model of the tiled iteration space that allows us to determine the length of the longest path of dependent tiles using linear programming. Using the rise, we derive a simple formula for the length of the longest path of dependent tiles in rectilinear iteration spaces, a subclass of the convex iteration spaces, and show how to choose the optimal tile shape."",""1558-2183"","""",""10.1109/TPDS.2003.1189587"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189587"","""",""Shape measurement";Differential equations;Interpolation;Dynamic programming;Optimizing compilers;Concurrent computing;Parallel processing;Length measurement;"Time measurement"","""",""29"","""",""47"",""IEEE"",""26 Mar 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Opportunity cost algorithms for reduction of I/O and interprocess communication overhead in a computing cluster,""A. Keren";" A. Barak"",""Institute of Computer Science, Hebrew University of Jerusalem, Jerusalem, Israel";" Institute of Computer Science, Hebrew University of Jerusalem, Jerusalem, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""39"",""50"",""Computing clusters (CC) consisting of several connected machines, could provide a high-performance, multiuser, timesharing environment for executing parallel and sequential jobs. In order to achieve good performance in such an environment, it is necessary to assign processes to machines in a manner that ensures efficient allocation of resources among the jobs. The paper presents opportunity cost algorithms for online assignment of jobs to machines in a CC. These algorithms are designed to improve the overall CPU utilization of the cluster and to reduce the I/O and the interprocess communication (IPC) overhead. Our approach is based on known theoretical results on competitive algorithms. The main contribution of the paper is how to adapt this theory into working algorithms that can assign jobs to machines in a manner that guarantees near-optimal utilization of the CPU resource for jobs that perform I/O and IPC operations. The developed algorithms are easy to implement. We tested the algorithms by means of simulations and executions in a real system and show that they outperform existing methods for process allocation that are based on ad hoc heuristics."",""1558-2183"","""",""10.1109/TPDS.2003.1167369"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167369"","""",""Costs";Clustering algorithms;Central Processing Unit;Resource management;Routing;Concurrent computing;Job design;Algorithm design and analysis;System testing;"Computational modeling"","""",""26"","""",""39"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Optimal quantization of periodic task requests on multiple identical processors,""L. E. Jackson";" G. N. Rouskas"",""Department of Computer Science, North Carolina State University, Raleigh, NC, USA";" Department of Computer Science, North Carolina State University, Raleigh, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Aug 2003"",""2003"",""14"",""8"",""795"",""806"",""We simplify the periodic tasks scheduling problem by making a trade off between processor load and computational complexity. A set N of periodic tasks, each characterized by its density /spl rho//sub i/, contains n possibly unique values of /spl rho//sub i/. We transform N through a process called quantization, in which each /spl rho/i /spl isin/ N is mapped onto a service level s/sub j/ /spl isin/ L, where |L| = l /spl Lt/ n and /spl rho//sub i/ /spl les/ s/sub j/, (this second condition differentiates this problem from the p-median problem on the real line). We define the periodic task quantization problem with deterministic input (PTQ-D) and present an optimal polynomial time dynamic programming solution. We also introduce the problem PTQ-S (with stochastic input) and present an optimal solution. We examine, in a simulation study, the trade off penalty of excess processor load needed to service the set of quantized tasks over the original set, and find that, through quantization onto as few as 15 or 20 service levels, no more than 5 percent processor load is required above the amount requested. Finally, we demonstrate that the scheduling of a set of periodic tasks is greatly simplified through quantization and we present a fast online algorithm that schedules quantized periodic tasks."",""1558-2183"","""",""10.1109/TPDS.2003.1225058"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225058"","""",""Quantization";Processor scheduling;Computational complexity;Polynomials;Dynamic programming;Stochastic processes;"Scheduling algorithm"","""",""8"","""",""9"",""IEEE"",""26 Aug 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Optimal remapping in dynamic bulk synchronous computations via a stochastic control approach,""G. G. Yin"; Cheng-Zhong Xu;" Le Yi Wang"",""Department of Mathematics, Wayne State University, Detroit, MI, USA"; Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA;" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""51"",""62"",""A bulk synchronous computation proceeds in phases that are separated by barrier synchronization. For dynamic bulk synchronous computations that exhibit varying phase-wise computational requirements, remapping at runtime is an effective approach to ensure parallel efficiency. The paper introduces a novel remapping strategy for computations whose workload changes can be modeled as a Markov chain. The use of a Markovian model allows us to treat statistical dependence and more complex structure than the usual independent identically distributed random variable assumptions. Our models are quite general and we do not need to impose conditions on the dynamics of the underlying process other than the transition probability matrix. It is shown that optimal remapping can be formulated as a binary decision process: remap or not at a given synchronizing instant. The optimal strategy is then developed for long lasting computations by employing optimal stopping rules in a stochastic control framework. The existence of optimal controls is established. Necessary and sufficient conditions for the optimality are obtained. Furthermore, a policy iteration algorithm is devised to reduce computational complexity and enhance fast convergence to the desired optimal control."",""1558-2183"","""",""10.1109/TPDS.2003.1167370"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167370"","""",""Stochastic processes";Optimal control;Concurrent computing;Computational modeling;Runtime;Peer to peer computing;Dynamic scheduling;Computational fluid dynamics;Random variables;"Probability"","""",""9"","""",""30"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
