"2000 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""3"",""6"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2001.899935"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899935"","""",""IEEE"","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Fault-tolerant routing in hypercube multicomputers using local safety information,""Dong Xiang"",""Institute of Microelectronics, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""9"",""942"",""951"",""This paper studies fault-tolerant routing for injured hypercubes using local safety information. It is shown that a minimum feasible path is always available if the spanning subcube that contains both source and destination is safe. The safety information outside the spanning subcube is applied only when derouting is needed. A routing scheme based on local safety information is proposed and the extra cost to obtain local safety information is comparable to the one based on global safety information. The proposed algorithm guarantees to find a minimum feasible path if the spanning subcube is contained in a maximal safe subcube and the source is locally safe in the maximal safe subcube. A new technique to set up a partial path is proposed based on local safety information when the above conditions are not met. Sufficient simulation results are provided to demonstrate the effectiveness of the method by comparing with the previous methods."",""1558-2183"","""",""10.1109/71.506701"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506701"","""",""Fault tolerance";Routing;Peer to peer computing;Circuit faults;Hypercubes;Partitioning algorithms;System recovery;Hamming distance;Safety;"Fault tolerant systems"","""",""42"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Fully dynamic maintenance of k-connectivity in parallel,""Weifa Liang"; R. P. Brent;" Hong Shen"",""Department of Computer Science, Australian National University, Canberra, ACT, Australia"; Oxford University Computing Laboratory, Oxford, UK;" School of Computing and Information Technology, Griffith University, Nathan, QLD, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""8"",""846"",""864"",""Given a graph G=(V, E) with n vertices and m edges, the k-connectivity of G denotes either the k-edge connectivity or the k-vertex connectivity of G. In this paper, we deal with the fully dynamic maintenance of k-connectivity of G in the parallel setting for k=2, 3. We study the problem of maintaining k-edge/vertex connected components of a graph undergoing repeatedly dynamic updates, such as edge insertions and deletions, and answering the query of whether two vertices are included in the same k-edge/vertex connected component. Our major results are the following: (1) An NC algorithm for the 2-edge connectivity problem is proposed, which runs in O(log n log(m/n)) time using O(n/sup 3/4/) processors per update and query. (2) It is shown that the biconnectivity problem can be solved in O(log/sup 2 n/) time using O(n/spl alpha/(2n, n)/logn) processors per update and O(1) time with a single processor per query or in O(log n log/sub n///sup m/) time using O(n/spl alpha/(2n, n)/log n) processors per update and O(logn) time using O(n/spl alpha/(2n, n)/logn) processors per query, where /spl alpha/(.,.) is the inverse of Ackermann's function. (3) An NC algorithm for the triconnectivity problem is also derived, which takes O(log n log/sub n///sup m/+logn log log n//spl alpha/(3n, n)) time using O(n/spl alpha/(3n, n)/log n) processors per update and O(1) time with a single processor per query. (4) An NC algorithm for the 3-edge connectivity problem is obtained, which has the same time and processor complexities as the algorithm for the triconnectivity problem. To the best of our knowledge, the proposed algorithms are the first NC algorithms for the problems using O(n) processors in contrast to /spl Omega/(m) processors for solving them from scratch. In particular, the proposed NC algorithm for the 2-edge connectivity problem uses only O(n/sup 3/4/) processors. All the proposed algorithms run on a CRCW PRAM."",""1558-2183"","""",""10.1109/71.946661"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=946661"","""",""Heuristic algorithms";Algorithm design and analysis;Phase change random access memory;Data structures;Parallel algorithms;Graph theory;Robustness;Routing;Distributed computing;"Reliability theory"","""",""5"","""",""45"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Generalized communicators in the message passing interface,""E. D. Demaine"; I. Foster; C. Kesselman;" M. Snir"",""Department of Computer Science, University of Waterloo, Waterloo, ONT, Canada"; Mathematics and Computer Science Division, Argonne, IL, USA; Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""610"",""616"",""We propose extensions to the message passing interface (MPI) that generalize the MPI communicator concept to allow multiple communication endpoints per process, dynamic creation of endpoints, and the transfer of endpoints between processes. The generalized communicator construct can be used to express a wide range of interesting communication structures, including collective communication operations involving multiple threads per process, communications between dynamically created threads or processes, and object-oriented applications in which communications are directed to specific objects. Furthermore, this enriched functionality can be provided in a manner that preserves backward compatibility with MPI. We describe the proposed extensions, illustrate their use with examples, and describe a prototype implementation in the popular MPI implementation MPICH."",""1558-2183"","""",""10.1109/71.932714"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932714"","""",""Message passing";Programming profession;Computer science;Computer Society;Prototypes;Multithreading;Interference;"Communication channels"","""",""10"",""1"",""15"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Hybrid algorithms for complete exchange in 2D meshes,""N. S. Sundar"; D. N. Jayasimha; D. K. Panda;" P. Sadayappan"",""Hewlett Packard Company, Cupertino, CA, USA"; Intel Corporation, Santa Clara, CA, USA; The Department of Computer and Information Science, 785 Dreese Laboratory, Ohio State Uinversity, Columbus, OH, USA;" The Department of Computer and Information Science, 785 Dreese Laboratory, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1201"",""1218"",""Parallel algorithms for several common problems such as sorting and the FFT involve a personalized exchange of data among all the processors. Past approaches to doing complete exchange have taken one of two broad approaches: direct exchange or the indirect message-combining approaches. While combining approaches reduce the number of message startups, direct exchange minimizes the volume of data transmitted. This paper presents a family of hybrid algorithms for wormhole-routed 2D meshes that can effectively utilize the complementary strengths of these two approaches to complete exchange. The performance of hybrid algorithms using Cyclic Exchange and Scott's Direct Exchange are studied using analytical models, simulation, and implementation on a Cray T3D system. The results show that hybrids achieve lower completion times than either pure algorithm for a range of mesh sizes, data block sizes, and message startup costs. It is also demonstrated that barriers may be used to enhance performance by reducing message contention, whether or not the target system provides hardware support for barrier synchronization. The analytical models are shown useful in selecting the optimum hybrid for any given combination of system parameters (mesh size, message startup time, flit transfer time, and barrier cost) and the problem parameter (data block size)."",""1558-2183"","""",""10.1109/71.970553"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970553"","""",""Analytical models";Sorting;Routing;Helium;Bandwidth;Hardware;Cost function;Topology;Multidimensional systems;"Message passing"","""",""12"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Impact of virtual channels and adaptive routing on application performance,""A. S. Vaidya"; A. Sivasubramaniam;" C. R. Das"",""Intel Corporation, Santa Clara, CA, USA"; Department of Computer Science and Engineering Laboratory, Pennsylvania State University, University Park, PA, USA;" Department of Computer Science and Engineering Laboratory, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""223"",""237"",""Research on multiprocessor interconnection networks has primarily focused on wormhole switching, virtual channel flow control, and routing algorithms to enhance their performance. The rationale behind this research is that by alleviating the network latency for high network loads, the overall system performance would improve";" many studies have used synthetic workloads to support this claim. However, such workloads may not necessarily capture the behavior of real applications. In this paper, we have used parallel applications for a closer examination of the network behavior. In particular, the performance benefit from enhancing a 2D mesh with virtual channels (VCs) and a fully adaptive routing algorithm is examined with a set of shared-memory and message passing applications. Execution time and average message latency of shared memory applications are measured using execution-driven simulation and by varying many architectural attributes that affect the network workload. The communication traces of message passing applications, collected on an IBM-SP2, are used to run a trace-driven simulation of the mesh architecture to obtain message latency. Simulation results show that VCs and adaptive routing can reduce the network latency to varying degrees depending on the application. However, these modest benefits do not translate to significant improvements in the overall execution time because the load on the network is not high enough to exploit the advantages of the network enhancements. Moreover, this benefit may be negated if the architectural enhancements increase the network cycle time. Rather, emphasis should be placed on improving the raw network bandwidth and faster network interfaces."",""1558-2183"","""",""10.1109/71.910875"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910875"","""",""Routing";Multiprocessor interconnection networks;Delay;Application software;Message passing;Performance analysis;Programming profession;Communication switching;Communication system control;"System performance"","""",""22"",""1"",""36"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Impact of workload and system parameters on next generation cluster scheduling mechanisms,""Yanyong Zhang"; A. Sivasubramaniam; J. Moreira;" H. Franke"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""9"",""967"",""985"",""Scheduling of processes onto processors of a parallel machine has always been an important and challenging area of research. The issue becomes even more crucial and difficult as we gradually progress to the use of off-the-shelf workstations, operating systems, and high bandwidth networks to build cost-effective clusters for demanding applications. Clusters are gaining acceptance not just in scientific applications that need supercomputing power, but also in domains such as databases, web service, and multimedia which place diverse Quality-of-Service (QoS) demands on the underlying system. Further, these applications have diverse characteristics in terms of their computation, communication, and I/O requirements, making conventional parallel scheduling solutions, such as space sharing or gang scheduling, unattractive. At the same time, leaving it to the native operating system of each node to make decisions independently can lead to ineffective use of system resources whenever there is communication. Instead, an emerging class of dynamic coscheduling mechanisms that attempt to take remedial actions to guide the system toward coscheduled execution without requiring explicit synchronization offers a lot of promise for cluster scheduling. Using a detailed simulator, this paper evaluates the pros and cons of different dynamic coscheduling alternatives while comparing their advantages over traditional gang scheduling (and not performing any coordinated scheduling at all). The impact of dynamic job arrivals, job characteristics, and different system parameters on these alternatives is evaluated in terms of several performance criteria. In addition, heuristics to enhance one of the alternatives even further are identified, classified, and evaluated. It is shown that these heuristics can significantly outperform the other alternatives over a spectrum of workload and system parameters and is thus a much better option for clusters than conventional gang scheduling."",""1558-2183"","""",""10.1109/71.954632"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954632"","""",""Processor scheduling";Dynamic scheduling;Operating systems;Multimedia databases;Parallel machines;Workstations;Bandwidth;Web services;Multimedia systems;"Quality of service"","""",""33"",""8"",""41"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Implementing E-transactions with asynchronous replication,""S. Frolund";" R. Guerraoui"",""Hewlett Packard Laboratories, Palo Alto, CA, USA";" DSC EPFL, Swiss Federal Institute of Technology, Lausanne, Switzerland"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""133"",""146"",""This paper describes a distributed algorithm that implements the abstraction of e-Transaction: a transaction that executes exactly-once despite failures. Our algorithm is based on an asynchronous replication scheme that generalizes well-known active-replication and primary-backup schemes. We devised the algorithm with a three-tier architecture in mind: the end-user interacts with front-end clients (e.g., browsers) that invoke middle-tier application servers (e.g., web servers) to access back-end databases. The algorithm preserves the three-tier nature of the architecture and introduces a very acceptable overhead with respect to unreliable solutions."",""1558-2183"","""",""10.1109/71.910869"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910869"","""",""Application software";Web server;Transaction databases;Computer architecture;Logic;Heart;Distributed algorithms;Service oriented architecture;Fault tolerance;"Hardware"","""",""37"",""2"",""30"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Introduction to the special section on dependable network computing,""D. R. Avresky"; J. Bruck;" D. E. Culler"",""Network Computing Laboratory Electrical and Computer Engineering Department, Northeastern University, Boston, MA, USA"; California Institute of Technology, Pasadena, CA, USA;" Computer Science Department, University of California Berkeley, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""97"",""98"","""",""1558-2183"","""",""10.1109/TPDS.2001.910865"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910865"","""",""Special issues and sections";Computer networks;Network servers;Telecommunication network reliability;Web server;Distributed computing;Fault tolerant systems;Rain;Switches;"System recovery"","""",""2"","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"L/sub 2/ vector median filters on arrays with reconfigurable optical buses,""Chin-Hsiung Wu";" Shi-Jinn Horng"",""Department of Information Mangement, Chinese Naval Academy, Kaohsiung, Taiwan";" Department of Electrical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1281"",""1292"",""In spite of their good filtering characteristics for vector-valued image processing, the usability of vector median filters is limited by their high computational complexity. Given an N /spl times/ N image and a W /spl times/ W window, the computational complexity of vector median filter is O(W/sup 4/N/sup 2/). In this paper, we design three fast and efficient parallel algorithms for vector median filtering based on the 2-norm (L/sub 2/) on the arrays with reconfigurable optical buses (AROB). For 1 /spl les/ p /spl les/ W /spl les/ q /spl les/ N, our algorithms run in O(W/sup 4/ log W/p/sup 4/), O(W/sup 2/N/sup 2//p/sup 4/q/sup 2/ log W) and O(1) times using p/sup 4/N/sup 2/ / log W, p/sup 4/q/sup 2/ / log W, and W/sup 4/N/sup 2/ log N processors, respectively. In the sense of the product of time and the number of processors used, the first two results are cost optimal and the last one is time optimal."",""1558-2183"","""",""10.1109/71.970563"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970563"","""",""Optical filters";Filtering;Computational complexity;Optical arrays;Image processing;Usability;Optical design;Algorithm design and analysis;Parallel algorithms;"Optical sensors"","""",""6"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"LoGPG: Modeling network contention in message-passing programs,""C. A. Moritz";" M. I. Frank"",""Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA";" Laboratory for Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""4"",""404"",""415"",""In many real applications, for example, those with frequent and irregular communication patterns or those using large messages, network contention and contention for message processing resources can be a significant part of the total execution time. This paper presents a new cost model, called LoGPC, that extends the LogP and LogGP models to account for the impact of network contention and network interface DMA behavior on the performance of message passing programs. We validate LoGPC by analyzing three applications implemented with Active Messages on the MIT Alewife multiprocessor. Our analysis shows that network contention accounts for up to 50 percent of the total execution time. In addition, we show that the impact of communication locality on the communication costs is at most a factor of two on Alewife. Finally, we use the model to identify trade-offs between synchronous and asynchronous message passing styles."",""1558-2183"","""",""10.1109/71.920589"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920589"","""",""Intelligent networks";Costs;Message passing;Pipeline processing;Parallel machines;Delay estimation;Runtime;Network interfaces;Measurement;"Bandwidth"","""",""66"",""15"",""22"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Loop-free hybrid single-path/flooding routing algorithms with guaranteed delivery for wireless networks,""I. Stojmenovic";" Xu Lin"",""SITE, University of Ottawa, Ottawa, ONT, Canada";" Cognos, Inc., Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""10"",""1023"",""1032"",""In a localized routing algorithm, each node makes forwarding decisions solely based on the position of itself, its neighbors, and its destination. In distance, progress, and direction-based approaches'(reported in the literature), when node A wants to send or forward message m to destination node D, it forwards m to its neighbor C which is closest to D (has best progress toward D, whose direction is closest to the direction of D, respectively) among all neighbors of A. The same procedure is repeated until D, if possible, is eventually reached. The algorithms are referred to as GEDIR, MFR, and DIR when a common failure criterion is introduced: The algorithm stops if the best choice for the current node is the node from which the message came. We propose 2-hop GEDIR, DIR, and MFR methods in which node A selects the best candidate node C among its 1-hop and 2-hop neighbors according to the corresponding criterion and forwards m to its best 1-hop neighbor among joint neighbors of A and C. We then propose flooding GEDIR and MFR and hybrid single-path/flooding GEDIR and MFR methods which are the first localized algorithms (other than full flooding) to guarantee the message delivery (in a collision-free environment). We show that the directional routing methods are not loop-free, while the GEDIR and MFR-based methods are inherently loop free. The simulation experiments, with static random graphs, show that GEDIR and MFR have similar success rates, which is low for low degree graphs and high for high degree ones. When successful, their hop counts are near the performance of the shortest path algorithm. Hybrid single-path/flooding GEDIR and MFR methods have low communication overheads. The results are also confirmed by experiments with moving nodes and MAC layer."",""1558-2183"","""",""10.1109/71.963415"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963415"","""",""Floods";Wireless sensor networks;Routing protocols;Global Positioning System;Communication system control;Wireless networks;Distributed algorithms;Broadcasting;Remote monitoring;"Online Communities/Technical Collaboration"","""",""275"","""",""39"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Matrix multiplication on heterogeneous platforms,""O. Beaumont"; V. Boudet; F. Rastello;" Y. Robert"",""Laboratoire de I''Informatique du Parallelisme, Lyon, France"; Laboratoire de I''Informatique du Parallelisme, Lyon, France; Laboratoire de I''Informatique du Parallelisme, Lyon, France;" Laboratoire de I''Informatique du Parallelisme, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""10"",""1033"",""1051"",""We address the issue of implementing matrix multiplication on heterogeneous platforms. We target two different classes of heterogeneous computing resources: heterogeneous networks of workstations and collections of heterogeneous clusters. Intuitively, the problem is to load balance the work with different speed resources while minimizing the communication volume. We formally state this problem in a geometric framework and prove its NP-completeness. Next, we introduce a (polynomial) column-based heuristic, which turns out to be very satisfactory: We derive a theoretical performance guarantee for the heuristic and we assess its practical usefulness through MPI experiments."",""1558-2183"","""",""10.1109/71.963416"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963416"","""",""Workstations";Linear algebra;Kernel;Computer networks;Clustering algorithms;Parallel machines;Pervasive computing;Libraries;Metacomputing;"Distributed computing"","""",""102"",""1"",""35"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"MPI-LAPI: an efficient implementation of MPI for IBM RS/6000 SP systems,""M. Banikazemi"; R. K. Govihdaraju; R. Blackmore;" D. K. Panda"",""IBM T.J. Watson Research Center, Yorktown Heights, NY, USA"; NA; Communication Subsystems, IBM Power Parallel Systems, Poughkeepsie, NY, USA;" Department of Computer and Information Science, Ohio State University, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""10"",""1081"",""1093"",""The IBM RS/6000 SP system is one of the most cost-effective commercially available high performance machines. IBM RS/6000 SP systems support the Message Passing Interface standard (MPI) and LAPI. LAPI is a low level, reliable and efficient one-sided communication API library implemented on IBM RS/6000 SP systems. This paper explains how the high performance of the LAPI library has been exploited in order to implement the MPI standard more efficiently than the existing MPI. It describes how to avoid unnecessary data copies at both the sending and receiving sides for such an implementation. The resolution of problems arising from the mismatches between the requirements of the MPI standard and the features of LAPI is discussed. As a result of this exercise, certain enhancements to LAPI are identified to enable an efficient implementation of MPI on LAPI. The performance of the new implementation of MPI is compared with that of the underlying LAPI itself. The latency (in polling and interrupt modes) and bandwidth of our new implementation is compared with that of the native MPI implementation on RS/6000 SP systems. The results indicate that the MPI implementation on LAPI performs comparably to or better than the original MPI implementation in most cases. Improvements of up to 17.3 percent in polling mode latency, 35.8 percent in interrupt mode latency, and 20.9 percent in bandwidth are obtained for certain message sizes. The implementation of MPI on top of LAPI also outperforms the native MPI implementation for the NAS Parallel Benchmarks."",""1558-2183"","""",""10.1109/71.963419"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963419"","""",""Message passing";Libraries;Delay;Bandwidth;Software standards;Microprocessors;Switches;Standards development;Hardware;"Application software"","""",""23"",""30"",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Mutable checkpoints: a new checkpointing approach for mobile computing systems,""Guohong Cao";" M. Singhal"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""157"",""172"",""Mobile computing raises many new issues such as lack of stable storage, low bandwidth of wireless channel, high mobility, and limited battery life. These new issues make traditional checkpointing algorithms unsuitable. Coordinated checkpointing is an attractive approach for transparently adding fault tolerance to distributed applications since it avoids domino effects and minimizes the stable storage requirement. However, it suffers from high overhead associated with the checkpointing process in mobile computing systems. Two approaches have been used to reduce the overhead: First is to minimize the number of synchronization messages and the number of checkpoints"; the other is to make the checkpointing process nonblocking. These two approaches were orthogonal previously until the Prakash-Singhal algorithm combined them. However, we found that this algorithm may result in an inconsistency in some situations and we proved that there does not exist a nonblocking algorithm which forces only a minimum number of processes to take their checkpoints. In this paper;" we introduce the concept of """"mutable checkpoint,"""" which is neither a tentative checkpoint nor a permanent checkpoint, to design efficient checkpointing algorithms for mobile computing systems. Mutable checkpoints can be saved anywhere, e.g., the main memory or local disk of MHs. In this way, taking a mutable checkpoint avoids the overhead of transferring large amounts of data to the stable storage at MSSs over the wireless network. We present techniques to minimize the number of mutable checkpoints. Simulation results show that the overhead of taking mutable checkpoints is negligible. Based on mutable checkpoints, our nonblocking algorithm avoids the avalanche effect and forces only a minimum number of processes to take their checkpoints on the stable storage."",""1558-2183"","""",""10.1109/71.910871"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910871"","""",""Checkpointing";Mobile computing;Wireless networks;Bandwidth;Batteries;Algorithm design and analysis;Distributed computing;Fault tolerance;Computational modeling;"Routing"","""",""69"","""",""35"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Net-dbx: a web-based debugger of MPI programs over low-bandwidth lines,""N. Neophytou";" P. Evripidou"",""Department of Computer Science, University of Cyprus, Nicosia, Cyprus";" Department of Computer Science, University of Cyprus, Nicosia, Cyprus"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""9"",""986"",""995"",""This paper describes Net-dbx, a tool that utilizes Java and other World Wide Web tools for the debugging of MPI programs from anywhere in the Internet. Net-dbx is a source-level interactive debugger with the full power of gdb (the GNU Debugger) augmented with the debug functionality of the public-domain MPI implementation environments. The main effort was on a low overhead, yet powerful, graphical interface supported by low-bandwidth connections. The portability of the tool is of great importance as well because it enables the tool to be used on heterogeneous nodes that participate in an MPI multicomputer. Both needs are satisfied a great deal by the use of WWW browsing tools and the Java programming language. The user of our system simply points his/her browser to the Net-dbx page, logs in to the destination system, and starts debugging by interacting with the tool, just as with any GUI environment. The user can dynamically select which MPI processes to view/debug. A special WWW-based environment has been designed and implemented to host the system prototype."",""1558-2183"","""",""10.1109/71.954636"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954636"","""",""Java";Debugging;World Wide Web;Internet;Teleworking;Web sites;Prototypes;Graphics;Computer Society;"Computer languages"","""",""8"",""1"",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Observations on using genetic algorithms for dynamic load-balancing,""A. Y. Zomaya";" Yee-Hwei Teh"",""Parallel Computing Research Laboratory Malaysia, Department of Electrical and Electronic Engineering, University of Western Australia, Australia";" Oracle Corporation, Kuala Lumpur, Malaysia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""9"",""899"",""911"",""Load-balancing problems arise in many applications, but, most importantly, they play a special role in the operation of parallel and distributed computing systems. Load-balancing deals with partitioning a program into smaller tasks that can be executed concurrently and mapping each of these tasks to a computational resource such as a processor (e.g., in a multiprocessor system) or a computer (e.g., in a computer network). By developing strategies that can map these tasks to processors in a way that balances out the load, the total processing time will be reduced with improved processor utilization. Most of the research on load-balancing focused on static scenarios that, in most of the cases, employ heuristic methods. However, genetic algorithms have gained immense popularity over the last few years as a robust and easily adaptable search technique. The work proposed here investigates how a genetic algorithm can be employed to solve the dynamic load-balancing problem. A dynamic load-balancing algorithm is developed whereby optimal or near-optimal task allocations can """"evolve"""" during the operation of the parallel computing system. The algorithm considers other load-balancing issues such as threshold policies, information exchange criteria, and interprocessor communication. The effects of these and other issues on the success of the genetic-based load-balancing algorithm as compared with the first-fit heuristic are outlined."",""1558-2183"","""",""10.1109/71.954620"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=954620"","""",""Genetic algorithms";Processor scheduling;Heuristic algorithms;Scheduling algorithm;Computer networks;Concurrent computing;Parallel processing;Distributed computing;Multiprocessing systems;"Robustness"","""",""248"",""6"",""22"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"On group communication support in CORBA,""S. Mishra"; Lan Fei; Xiao Lin;" Guming Xing"",""Department of Computer Science, University of Colorado, Boulder, CO, USA"; JDS Uniphare Corporation, Vanier, ONT, Canada; Synnex Information Technologies, Fremont, CA, USA;" JDS Uniphare Corporation, Vanier, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""193"",""208"",""Current group communication services have mostly been implemented on a homogeneous, distributed computing environment. This limits their applicability because most modern distributed computing environment are heterogeneous in nature. This paper describes the design, implementation, and performance evaluation of a CORBA group communication service. Using CORBA to implement a group communication service enables that group communication service to operate in a heterogeneous, distributed computing environment. To evaluate the effect of CORBA on the performance of a group communication service, this paper provides a detailed comparison of the performance measured from three implementations of an atomic broadcast protocol and a group membership protocol. Two of these implementations use CORBA, while the third uses UDP sockets for interprocess communication. The main conclusion is that heterogeneity can be achieved in group communication services by implementing them using CORBA, but there is a substantial performance cost. This performance cost can be reduced to a certain extent by carefully choosing a design and tuning various protocol parameters such as buffer sizes and timer values."",""1558-2183"","""",""10.1109/71.910873"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910873"","""",""Distributed computing";Protocols;Application software;Computer architecture;Atomic measurements;Costs;Delay;Broadcasting;Sockets;"Fault tolerance"","""",""17"","""",""36"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"On k-set consensus problems in asynchronous systems,""R. De Prisco"; D. Malkhi;" M. Reiter"",""MIT Laboratory for Computer Science, Cambridge, MA"; AT&T Labs-Research, Florham Park, NJ, USA;" Bell Laboratories, Lucent Technologies, Murray Hill, NJ"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""7"",""21"",""In this paper, we investigate the k-set consensus problem in asynchronous distributed systems. In this problem, each participating process begins the protocol with an input value and by the end of the protocol must decide on one value so that at most k total values are decided by all correct processes. We extend previous work by exploring several variations of the problem definition and model, including for the first time investigation of Byzantine failures. We show that the precise definition of the validity requirement, which characterizes what decision values are allowed as a function of the input values and whether failures occur, is crucial to the solvability of the problem. For example, we show that allowing default decisions in case of failures makes the problem solvable for most values of k despite a minority of failures, even in face of the most severe type of failures (Byzantine). We introduce six validity conditions for this problem (all considered in various contexts in the literature), and demarcate the line between possible and impossible for each case. In many cases, this line is different from the one of the originally studied k-set consensus problem."",""1558-2183"","""",""10.1109/71.899936"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899936"","""",""Computer crashes";Protocols;Safety;Helium;Context modeling;"Distributed computing"","""",""17"","""",""30"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
