"A Comment on ""The Exchanged Hypercube',""Y. -w. Chen"",""Department of Computer and Information Science, Aletheia University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""576"",""576"",""We address and analyze the problems existing on the exchanged hypercube proposed by Loh et al., an interconnection network obtained by systematically removing links from a hypercube. By taking the wrong number of links, the exchanged hypercube suffers from two problems. Necessary modifications on the exchanged hypercube, including the incremental expandability and the ratio of the number of links in EH(s, t) to that of an (s+t+1)-dimensional hypercube, are made"",""1558-2183"","""",""10.1109/TPDS.2007.1006"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118697"",""Interconnection network";exchanged hypercube;incremental expandability;"number of links."",""Hypercubes";Multiprocessor interconnection networks;Topology;Intelligent networks;"Hamming distance"","""",""16"","""",""1"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Hypergraph-Partitioning-Based Remapping Models for Image-Space-Parallel Direct Volume Rendering of Unstructured Grids,""B. B. Cambazoglu";" C. Aykanat"",""Computer Engineering Department, Bilkent University, Ankara, Turkey";" Computer Engineering Department, Bilkent University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Dec 2006"",""2007"",""18"",""1"",""3"",""16"",""In this work, image-space-parallel direct volume rendering (DVR) of unstructured grids is investigated for distributed-memory architectures. A hypergraph-partitioning-based model is proposed for the adaptive screen partitioning problem in this context. The proposed model aims to balance the rendering loads of processors while trying to minimize the amount of data replication. In the parallel DVR framework we adopted, each data primitive is statically owned by its home processor, which is responsible from replicating its primitives on other processors. Two appropriate remapping models are proposed by enhancing the above model for use within this framework. These two remapping models aim to minimize the total volume of communication in data replication while balancing the rendering loads of processors. Based on the proposed models, a parallel DVR algorithm is developed. The experiments conducted on a PC cluster show that the proposed remapping models achieve better speedup values compared to the remapping models previously suggested for image-space-parallel DVR"",""1558-2183"","""",""10.1109/TPDS.2007.253277"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4020508"",""Direct volume rendering";unstructured grids;ray casting;image space parallelization;hypergraph partitioning;screen partitioning;"remapping."",""Rendering (computer graphics)";Sampling methods;Pixel;Context modeling;Clustering algorithms;Partitioning algorithms;Casting;Data analysis;Analytical models;"Acceleration"","""",""20"","""",""49"",""IEEE"",""4 Dec 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Immucube: Scalable Fault-Tolerant Routing for k-ary n-cube Networks,""V. Puente";" J. A. Gregorio"",""ETSIIT, Universidad de Cantabria, Cantabria, Spain";" ETSIIT, Universidad de Cantabria, Cantabria, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 May 2007"",""2007"",""18"",""6"",""776"",""788"",""This work presents Immucube, a scalable and efficient mechanism to improve dependability of interconnection networks for parallel and distributed computers. Immucube achieves better flexibility and scalability than any other previous fault-tolerant mechanism in k-ary n-cubes. The proposal inherits from Immunet several advantages over other previous fault-tolerant routing algorithms: 1) allowing any temporal and spatial fault combination, 2) permitting automatic and application-transparent reconfiguration after any fault, and 3) requiring a negligible overhead in the absence of faults. Immucube introduces new important features, such as: 4) providing graceful performance degradation, even in very large interconnection networks, 5) tolerating transparent resource utilization after transitory faults or partial repair of faulty resources, 6) being able to deal with intermittent faults, and 7) being able to dynamically recover the original network performance when all the failed components have been repaired"",""1558-2183"","""",""10.1109/TPDS.2007.1047"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4180345"",""Interconnection networks";fault-tolerant routing;"k{\hbox{-}}aryn{\hbox{-}}cubes."",""Fault tolerance";Routing;Multiprocessor interconnection networks;Computer networks;Concurrent computing;Distributed computing;Scalability;Proposals;Degradation;"Resource management"","""",""16"","""",""25"",""IEEE"",""7 May 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Improved Methods for Divisible Load Distribution on k-Dimensional Meshes Using Multi-Installment,""Y. -K. Chang"; J. -H. Wu; C. -Y. Chen;" C. -P. Chu"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan;" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Oct 2007"",""2007"",""18"",""11"",""1618"",""1629"",""In the divisible load distribution, the classic methods on linear arrays divide the computation and communication processes into multiple time intervals in a pipelined fashion. Li (2003) has proposed a set of improved algorithms for linear arrays which can be generalized to k-dimensional meshes. In this paper, we first propose the algorithm M (multi-installment) that employs the multi-installment technique to improve the best algorithm Q proposed by Li. Second, we propose the algorithm S (start-up cost) that includes the computation and communication start-up costs in the design. While the asymptotic speedups of our algorithms M and S derived from the closed-form solutions are the same as algorithm Q, our algorithms approach the optimal speedups considerably faster than algorithm Q as the number of processors increases. Finally, we combine algorithms M and S and propose the algorithm MS. While algorithm MS has the same the asymptotic performance as algorithms Q and S, it achieves a better speedup when the load to be processed is very large and the number of processors is fixed or when the load to be processed is fixed and the number of processors is small."",""1558-2183"","""",""10.1109/TPDS.2007.1103"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4339204"",""Divisible load theory";linear array;k-dimensional mesh;"multi-installment"",""Costs";Circuits;Routing;Algorithm design and analysis;Mathematical model;Multimedia databases;Distributed computing;Closed-form solution;Processor scheduling;"Multiprocessing systems"","""",""25"","""",""28"",""IEEE"",""8 Oct 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Improving the Fault Resilience of Overlay Multicast for Media Streaming,""G. Tan";" S. A. Jarvis"",""Department of Computer Science, University of Warwick, Coventry, UK";" Department of Computer Science, University of Warwick, Coventry, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""7 May 2007"",""2007"",""18"",""6"",""721"",""734"",""A key technical challenge for overlay multicast is that the highly dynamic multicast members can make data delivery unreliable. In this paper, we address this issue in the context of live media streaming by exploring 1) how to construct a stable multicast tree that minimizes the negative impact of frequent member departures on an existing overlay and 2) how to efficiently recover from packet errors caused by end-system or network failures. For the first problem, we identify two layout schemes for the tree nodes, namely, the bandwidth-ordered tree and the time-ordered tree, which represent two typical approaches to improving tree reliability, and conduct a stochastic analysis on their properties regarding reliability and tree depth. Based on the findings, we propose a distributed reliability-oriented switching tree (ROST) algorithm that minimizes the failure correlation among tree nodes. Compared with some commonly used distributed algorithms, the ROST algorithm significantly improves tree reliability and reduces average service delay, while incurring only a small protocol overhead";" furthermore, it features a mechanism that prevents cheating or malicious behaviors in the exchange of bandwidth/time information. For the second problem, we develop a simple cooperative error recovery (CER) protocol that helps recover from packet errors efficiently. Recognizing that a single recovery source is usually incapable of providing the timely delivery of the lost data, the protocol recovers from data outages using the residual bandwidths from multiple sources, which are identified using a minimum-loss-correlation algorithm. Extensive simulations demonstrate the effectiveness of the proposed schemes"",""1558-2183"","""",""10.1109/TPDS.2007.1054"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4180341"",""Reliability";fault resilience;multicast;media streaming;peer-to-peer;"overlay."",""Streaming media";Resilience;Peer to peer computing;Bandwidth;Stochastic processes;Protocols;Distributed algorithms;Delay effects;Multicast algorithms;"Shape"","""",""13"",""2"",""32"",""IEEE"",""7 May 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Integrated Memory Controllers with Parallel Coherence Streams,""M. Chaudhuri";" M. Heinrich"",""Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, India";" School of Computer Science, University of Central Florida, Orlando, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1159"",""1173"",""Previous work in scalable hardware distributed shared memory (DSM) multiprocessors has established the critical and dominant role that protocol processing bandwidth (or its inverse, occupancy) plays in determining overall performance in architectures with standalone memory/coherence controllers. However, with recent architectural trends toward integrated (on-chip) memory controllers and the well-known fact that processor frequency is increasing more rapidly than memory systems, we must ask whether parallel coherence processing engines (either multiple integrated protocol processors/cores or multiple protocol threads) are needed in DSM machines constructed from modern processor architectures and, if so, when. We construct a useful analytical model to give the designer insight into when parallel coherence streams will improve performance and verify our model via detailed simulation on 64-threaded microbenchmarks and parallel applications and on single-node multiprogrammed workloads. Surprisingly, and contrary to related work, we find that, in these architectures, adding a second coherence engine has almost no impact on performance. Further, for less-tuned applications that suffer from hot spots (contentious requests to the same memory line), additional engines offer no benefit whatsoever. Even with double the memory bandwidth (or channels), an additional coherence processing stream yields only slight performance improvement. Only for a special class of DSM machines employing directoryless broadcast protocols over unordered interconnects does parallel """"snoop"""" processing offer reasonable performance improvement for communication-intensive applications. Overall, given the architectural trends, this is good news for DSM designers who want to minimize the resources necessary (protocol threads or integrated protocol processor cores for maintaining internode coherence, respectively) to create SMTp-based or multi-CMP-based scalable DSM machines using directory protocols."",""1558-2183"","""",""10.1109/TPDS.2007.1044"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288112"","""",""Protocols";Coherence;Engines;Bandwidth;Analytical models;Hardware;Memory architecture;System-on-a-chip;"Control systems"","""",""1"","""",""35"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"iPAK: An In-Situ Pairwise Key Bootstrapping Scheme for Wireless Sensor Networks,""L. Ma"; X. Cheng; F. Liu; F. An;" J. Rivera"",""Department of Computer Science, George Washington University, Washington D.C., DC, USA"; Department of Computer Science, George Washington University, Washington D.C., DC, USA; Department of Computer Science, George Washington University, Washington D.C., DC, USA; Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China;" Architecture Operation Network and Space (AONS), US Army Communications-Electronics Command, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1174"",""1184"",""Wireless sensor networks (WSNs) are characterized by resource constraints and large scalability. Many applications of WSNs require secure communication, a crucial component especially in hostile environments. However, the low computational capability and small storage budget within sensors render many popular public-key-based cryptographic systems impractical. Symmetric key cryptography, on the other hand, is attractive due to its efficiency. Nevertheless, establishing a shared key for communicating parties is a challenging problem. In this paper, we propose and analyze an in situ PAirwise Key bootstrapping scheme (iPAK) for large-scale WSNs. Our theoretical analysis and simulation study demonstrate that iPAK can achieve a high key-sharing probability between neighboring sensors and a strong resilience against node-capture attacks at the cost of low storage overhead."",""1558-2183"","""",""10.1109/TPDS.2007.1063"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288113"",""Wireless sensor networks";in-situ key establishment;key pre-distribution;"Security"",""Wireless sensor networks";Large-scale systems;Cryptography;Network servers;Sensor phenomena and characterization;Scalability;Analytical models;Protocols;Information security;"Sensor systems"","""",""19"","""",""29"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Locality-Aware and Churn-Resilient Load-Balancing Algorithms in Structured Peer-to-Peer Networks,""H. Shen";" C. -Z. Xu"",""Department of Computer Science and Computer Engineering, University of Arkansas, Fayetteville, AR, USA";" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 May 2007"",""2007"",""18"",""6"",""849"",""862"",""Structured peer-to-peer overlay networks, like distributed hash tables (DHTs), map data items to the network based on a consistent hashing function. Such mapping for data distribution has an inherent load balance problem. Data redistribution algorithms based on randomized matching of heavily loaded nodes with light ones can deal with the dynamics of DHTs. However, they are unable to consider the proximity of the nodes simultaneously. There are other methods that rely on auxiliary networks to facilitate locality-aware load redistribution. Due to the cost of network construction and maintenance, the locality-aware algorithms can hardly work for DHTs with churn. This paper presents a locality-aware randomized load-balancing algorithm to deal with both the proximity and network churn at the same time. We introduce a factor of randomness in the probing of lightly loaded nodes in a range of proximity. We further improve the efficiency by allowing the probing of multiple candidates (d-way) at a time. Simulation results show the superiority of the locality-aware two-way randomized algorithm in comparison with other random or locality-aware algorithms. In DHTs with churn, it performs no worse than the best chum-resilient algorithm. It takes advantage of node capacity heterogeneity and achieves good load balance effectively even in a skewed distribution of items"",""1558-2183"","""",""10.1109/TPDS.2007.1040"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4180350"",""Cycloid";distributed hash table;peer-to-peer;load balancing;heterogeneity;"proximity."",""Peer to peer computing";Load management;Costs;Computer Society;Resource management;Intrusion detection;"Robustness"","""",""56"",""1"",""25"",""IEEE"",""7 May 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Localized Operations for Distributed Minimum Energy Multicast Algorithm in Mobile Ad Hoc Networks,""S. Guo";" O. Yang"",""Department of Electrical Engineering, University of British Columbia, Vancouver, BC, Canada";" School of Information Technology and Engineering, University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Jan 2007"",""2007"",""18"",""2"",""186"",""198"",""To explore the advantages of power saving offered by the wireless multicast advantage property, we consider the case of source-initiated multicast traffic. Current research activity for the minimum energy multicast (MEM) problem has been focused on devising efficient centralized greedy algorithms for static ad hoc networks. In this paper, we consider mobile ad hoc networks (MANETs) that use omnidirectional antennas and have limited energy resources. We propose the design and initial evaluation of the distributed minimum energy multicast (DMEM) algorithm for MANETs that attempts to reduce as much as possible the total RF energy required by the multicast communication. Several localized operations are presented for the DMEM algorithm, in which each node requires only the knowledge of and distances to all neighboring tree nodes. Through extensive simulation studies, we show that these operations are very efficient both in terms of energy saving and operation overhead"",""1558-2183"","""",""10.1109/TPDS.2007.27"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052571"",""Mobile ad hoc networks";energy efficient multicast;"localized algorithm."",""Multicast algorithms";Mobile ad hoc networks;Telecommunication traffic;Greedy algorithms;Ad hoc networks;Mobile antennas;Energy resources;Algorithm design and analysis;Radio frequency;"Multicast communication"","""",""20"","""",""20"",""IEEE"",""8 Jan 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Logarithmic Store-Carry-Forward Routing in Mobile Ad Hoc Networks,""J. Wu"; S. Yang;" F. Dai"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA"; Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA;" Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 May 2007"",""2007"",""18"",""6"",""735"",""748"",""Two schools of thought exist in terms of handling mobility in mobile ad hoc networks (MANETs). One is the traditional connection-based model, which views node mobility as undesirable and tries to either remove (through recovery schemes) or mask (through tolerant schemes) the effect of mobility. The other is the mobility-assisted model, which considers mobility as a desirable feature, where routing is based on the store-carry-forward paradigm with random or controlled movement of mobile nodes (called ferries). It is well known that mobility increases the capacity of MANETs by reducing the number of relays in routing. Surprisingly, only two models, diameter hop count in the connection-based model and constant hop count in the mobility-assisted model, which correspond to two extremes of the spectrum, have been systematically studied. In this paper, we propose a new routing model that deals with message routing, as well as trajectory planning, of the ferries that carry the message. A logarithmic number of relays are enforced to achieve a good balance among several contradictory goals, including increasing network capacity, increasing ferry sharing, and reducing moving distance. The model considers the dynamic control of ferries in terms of the number of ferries, trajectory planning of ferries, and node communication and synchronization. The effectiveness of the proposed model is evaluated analytically, as well as through simulation"",""1558-2183"","""",""10.1109/TPDS.2007.1061"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4180342"",""MANETs";mobile nodes;network capacity;store-carry-forward;"trajectory planning."",""Routing";Mobile ad hoc networks;Relays;Trajectory;Communication system control;Protective relaying;Protocols;Educational institutions;Mobile communication;"Analytical models"","""",""52"",""2"",""30"",""IEEE"",""7 May 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"LRED: A Robust and Responsive AQM Algorithm Using Packet Loss Ratio Measurement,""C. Wang"; J. Liu; B. Li; K. Sohraby;" Y. T. Hou"",""Electrical Engineering Department, University of Arkansas, Fayetteville, AR, USA"; School of Computing Science, Simon Fraser University, Burnaby, BC, Canada; Computer Science Department, Hong Kong University of Science and Technology, Hong Kong, China; Electrical Engineering Department, University of Arkansas, Fayetteville, AR, USA;" The Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Dec 2006"",""2007"",""18"",""1"",""29"",""43"",""Active queue management (AQM) is an effective means to enhance congestion control, and to achieve trade-off between link utilization and delay. The de facto standard, random early detection (RED), and many of its variants employ queue length as a congestion indicator to trigger packet dropping. Despite their simplicity, these approaches often suffer from unstable behaviors in a dynamic network. Adaptive parameter settings, though might solve the problem, remain difficult in such a complex system. Recent proposals based on analytical TCP control and AQM models suggest the use of both queue length and traffic input rate as congestion indicators, which effectively enhances stability. Their response time generally increases however, leading to frequent buffer overflow and emptiness. In this paper, we propose a novel AQM algorithm that achieves fast response time and yet good robustness. The algorithm, called Loss Ratio-based RED (LRED), measures the latest packet loss ratio, and uses it as a complement to queue length for adaptively adjusting the packet drop probability. We develop an analytical model for LRED, which demonstrates that LRED is responsive even if the number of TCP flows and their persisting times vary significantly. It also provides a general guideline for the parameter settings in LRED. The performance of LRED is further examined under various simulated network environments, and compared to existing AQM algorithms. Our simulation results show that, with comparable complexities, LRED achieves shorter response time and higher robustness. More importantly, it trades off the goodput with queue length better than existing algorithms, enabling flexible system configurations"",""1558-2183"","""",""10.1109/TPDS.2007.253279"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4020510"",""Active queue management";congestion control;TCP;"packet loss ratio."",""Robustness";Loss measurement;Delay effects;Adaptive systems;Proposals;Queueing analysis;Communication system traffic control;Traffic control;Stability analysis;"Buffer overflow"","""",""59"","""",""19"",""IEEE"",""4 Dec 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Mapping with Space Filling Surfaces,""M. Ahmed";" S. Bokhari"",""Department of Electrical Engineering, University of Engineering and Technology, Lahore, Pakistan";" Department of Biomedical Informatics, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1258"",""1269"",""The use of space filling curves for proximity-improving mappings is well known and has found many useful applications in parallel computing. Such curves permit a linear array to be mapped onto a 2D (respectively, 3D) structure such that points that are distance d apart in the linear array are distance O (d1/2) (O(d1/3)) apart in the 2D (3D) array and vice versa. We extend the concept of space filling curves to space filling surfaces and show how these surfaces lead to mappings from 2D to 3D so that points at distance d1/2 on the 2D surface are mapped to points at distance O(d1/3) in the 3D volume. Three classes of surfaces, associated respectively with the Peano curve, Sierpinski carpet, and the Hilbert curve, are presented. A methodology for using these surfaces to map from 2D to 3D is developed. These results permit efficient execution of 2D computations on processors interconnected in a 3D grid. The space filling surfaces proposed by us are the first such fractal objects to be formally defined and are thus also of intrinsic interest in the context of fractal geometry."",""1558-2183"","""",""10.1109/TPDS.2007.1049"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288125"",""Fractals";Hilbert curve;parallel computing;Peano curve;Sierpinski carpet;space filling curves;"space filling surfaces"",""Filling";Parallel processing;Grid computing;Fractals;Concurrent computing;Hilbert space;Geometry;Image databases;"Image processing"","""",""16"",""1"",""39"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Martini: A Network Interface Controller Chip for High Performance Computing with Distributed PCs,""K. Watanabe"; T. Otsuka; J. Tsuchiya; H. Nishi; J. Yamamoto; N. Tanabe; T. Kudoh;" H. Amano"",""Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan"; Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan; NEC Corporation Limited, Fuchu, Tokyo, Japan; Department of System Design Engineering, Faculty of Science and Technology, Keio University, Yokohama, Japan; Hitachi and Limited, Kokubunji, Tokyo, Japan; Computer & Network Systems Laboratory, Toshiba Corporate Research and Development Center, Kawasaki, Japan; Tsukuba-Central 2, National Institute for Advanced Industrial Science and Technology, Tsukuba, Ibaraki, Japan;" Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1282"",""1295"",""In this paper, “Martini,” a network interface controller chip for our original network called RHiNET is described. Martini is designed to provide high-bandwidth and low-latency communication with small overhead. To obtain high performance communication, protected user-level zero-copy RDMA communication functions are completely implemented by a hardwired logic. Also, to reduce the communication latency efficiently, we have proposed PIO-based communication mechanisms called “On-the-fly (OTF)” and have implemented them on Martini. The evaluation results show that Martini connected to a 64bit/66MHz PCI-bus achieves 470MByte/s maximum bidirectional bandwidth and 1.74 μsec minimum latency on host-to-host memory copying."",""1558-2183"","""",""10.1109/TPDS.2007.1064"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288127"",""Network Interface Controller";System Area Network;RHiNET;"PC Clusters"",""Network interfaces";High performance computing;Personal communication networks;Ethernet networks;Delay;Distributed computing;TCPIP;Communication system control;Bandwidth;"Protocols"","""",""5"",""1"",""50"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;
"Mobility Limited Flip-Based Sensor Networks Deployment,""S. Chellappan"; X. Bai; B. Ma; D. Xuan;" C. Xu"",""Department of Computer Science and Engineering, Ohio State Uinversity, Columbus, OH, USA"; Department of Computer Science and Engineering, Ohio State Uinversity, Columbus, OH, USA; Department of Computer Science, University of Western Ontario, London, ONT, Canada; Department of Computer Science and Engineering, Ohio State Uinversity, Columbus, OH, USA;" Department of Electronic Engineering, Shanghai JiaoTong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Jan 2007"",""2007"",""18"",""2"",""199"",""211"",""An important phase of sensor networks operation is deployment of sensors in the field of interest. Critical goals during sensor networks deployment include coverage, connectivity, load balancing, etc. A class of work has recently appeared, where mobility in sensors is leveraged to meet deployment objectives. In this paper, we study deployment of sensor networks using mobile sensors. The distinguishing feature of our work is that the sensors in our model have limited mobilities. More specifically, the mobility in the sensors we consider is restricted to a flip, where the distance of the flip is bounded. We call such sensors as flip-based sensors. Given an initial deployment of flip-based sensors in a field, our problem is to determine a movement plan for the sensors in order to maximize the sensor network coverage and minimize the number of flips. We propose a minimum-cost maximum-flow-based solution to this problem. We prove that our solution optimizes both the coverage and the number of flips. We also study the sensitivity of coverage and the number of flips to flip distance under different initial deployment distributions of sensors. We observe that increased flip distance achieves better coverage and reduces the number of flips required per unit increase in coverage. However, such improvements are constrained by initial deployment distributions of sensors due to the limitations on sensor mobility"",""1558-2183"","""",""10.1109/TPDS.2007.28"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052572"",""Sensor networks deployment";limited mobility;"flip-based sensors."",""Intelligent sensors";Load management;Combustion;Propellers;Airplanes;Landmine detection;Fuel storage;Sparks;Propulsion;"Steering systems"","""",""79"","""",""22"",""IEEE"",""8 Jan 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Multicast Routing with Delay and Delay Variation Constraints for Collaborative Applications on Overlay Networks,""S. M. Banik"; S. Radhakrishnan;" C. N. Sekharan"",""School of Computer Science, University of Oklahama, Norman, OK, USA"; School of Computer Science, University of Oklahama, Norman, OK, USA;" Department of Computer Science, Loyola University Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Feb 2007"",""2007"",""18"",""3"",""421"",""431"",""Computer supported collaborative applications on overlay networks are gaining popularity among users who are geographically dispersed. Examples of these kinds of applications include video-conferencing, distributed database replication, and online games. This type of application requires a multicasting subnetwork, using which messages should arrive at the destinations within a specified delay bound. These applications also require that destinations receive the message from the source at approximately the same time. The problem of finding a multicasting subnetwork with delay and delay-variation bound has been proved to be an NP complete problem in the literature and heuristics have been proposed for this problem. In this paper, we provide an efficient heuristic to obtain a multicast subnetwork on an overlay network, given a source and a set of destinations that is within a specified maximum delay and a specified maximum variation in the delays from a source to the destinations. The time-complexity of our algorithm is O(|E|+nk log(|E|/n)+m2k), where n and |E| are the number of nodes and edges in the network, respectively, k is the number of shortest paths determined, and m is the number of destinations. We have shown that our algorithm is significantly better in terms of time-complexity than existing algorithms for the same problem. Our extensive empirical studies indicate that our heuristic uses significantly less runtime in comparison with the best-known heuristics while achieving the tightest delay variation for a given end-to-end delay bound"",""1558-2183"","""",""10.1109/TPDS.2007.45"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4079539"",""Multicasting protocols";overlay networks;"shortest path."",""Routing";Collaboration;Delay;Application software;Computer applications;Computer networks;Distributed databases;Games;Multicast algorithms;"Runtime"","""",""32"",""2"",""30"",""IEEE"",""5 Feb 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Multiclass Multiserver Threshold-Based Systems: A Study of Noninstantaneous Server Activation,""C. -f. Chou"; L. Golubchik;" J. C. -s. Lui"",""Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"; Department of Computer Science, University of Southern California, Los Angeles, CA, USA;" Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Dec 2006"",""2007"",""18"",""1"",""96"",""110"",""In this paper, we consider performance evaluation of a system which shares K servers (or resources) among N heterogeneous classes of workloads, where server allocation and deallocation for class i is dictated by a class specific threshold-based policy with hysteresis control. In particular, the server activation time for class i is noninstantaneous. There are many systems and applications where a multiclass threshold-based queueing system can be of great use. One important utility of using threshold-based approaches is in situations where applications may incur server usage costs. In these cases, one needs to consider not only the performance aspects but also the resulting cost/performance ratio. The motivation for using hysteresis control is to reduce the unnecessary cost of server setup (or activation) and server removal (or deactivation) whenever there are momentary fluctuations in workload. Moreover, servers in such systems and applications are often needed by multiple classes of workloads and, hence, it is desirable to find good approaches to sharing server resources among the different classes of workloads, preferably without statically partitioning the server pool among these classes. An important and distinguishing characteristic of our work is that we consider the modeling and analysis of a multiclass system with noninstantaneous server activation. The main contributions of this work are: 1) in developing an efficient approximation method for solving such models";" 2) in verifying the convergence of our iterative method, and 3) in evaluating the resulting accuracy of the technique for computing performance measures of interest, which can subsequently be used in making system design choices"",""1558-2183"","""",""10.1109/TPDS.2007.253284"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4020515"",""Multiclass multiserver queueing system";hysteresis control;performance;evaluation;"system design."",""Costs";Hysteresis;Control systems;Resource management;Traffic control;Queueing analysis;Computer Society;Fluctuations;Approximation methods;"Convergence"","""",""9"","""",""21"",""IEEE"",""4 Dec 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
