"A 3.42-Approximation Algorithm for Scheduling Malleable Tasks under Precedence Constraints,""C. -Y. Chen";" C. -P. Chu"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan";" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1479"",""1488"",""Scheduling malleable tasks under general precedence constraints involves finding a minimum makespan (maximum completion time) by a feasible allotment. Based on the monotonous penalty assumptions of Blayo et al. [2], this work defines two assumptions concerning malleable tasks: the processing time of a malleable task is nonincreasing in the number of processors, while the work of a malleable task is nondecreasing in the number of processors. Additionally, the work function is assumed herein to be convex in the processing time. The proposed algorithm reformulates the linear program of [11], and this algorithm and associated proofs are inspired by the ones of [11]. This work describes a novel polynomial-time approximation algorithm that is capable of achieving an approximation ratio of 2+√2≈3.4142. This work further demonstrates that the proposed algorithm can yield an approximation ratio of 2.9549 when the processing time is strictly decreasing in the number of the processors allocated to the task. This finding represents an improvement upon the previous best approximation ratio of 100/63+100(√6469+137)/5481≈3.2920 [12] achieved under the same assumptions."",""1558-2183"","""",""10.1109/TPDS.2012.258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295609"",""Approximation algorithms";Program processors;Approximation methods;Schedules;Processor scheduling;Scheduling;Manganese;precedence constraints;Approximation algorithms;scheduling;"malleable tasks"",""Approximation algorithms";Program processors;Approximation methods;"Scheduling"","""",""20"","""",""22"",""IEEE"",""5 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"IEEE Open Access Publishing,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2012"",""2013"",""24"",""1"",""208"",""208"",""Advertisement: This publication offers open access options for authors. IEEE open access Publishing."",""1558-2183"","""",""10.1109/TPDS.2013.4"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6365215"","""","""","""","""","""","""",""IEEE"",""29 Nov 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Improve Efficiency and Reliability in Single-Hop WSNs with Transmit-Only Nodes,""J. Zhao"; C. Qiao; R. S. Sudhaakar;" S. Yoon"",""Department of Computer Science and Engineering, State University of New York, Davis Hall, Buffalo, NY, USA"; Department of Computer Science and Engineering, State University of New York, Davis Hall, Buffalo, NY, USA; Cisco Systems, Inc., San Jose, CA, USA;" Department of Computer Engineering and Information Technology, School of Electrical Engineering, University of Ulsan, Ulsan, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2013"",""2013"",""24"",""3"",""520"",""534"",""Wireless Sensor Networks (WSNs) will play a significant role at the “edge” of the future “Internet of Things.” In particular, WSNs with transmit-only nodes are attracting more attention due to their advantages in supporting applications requiring dense and long-lasting deployment at a very low cost and energy consumption. However, the lack of receivers in transmit-only nodes renders most existing MAC protocols invalid. Based on our previous study on WSNs with pure transmit-only nodes, this work proposes a simple, yet cost effective and powerful single-hop hybrid WSN cluster architecture that contains not only transmit-only nodes but also standard nodes (with transceivers). Along with the hybrid architecture, this work also proposes a new MAC layer protocol framework called Robust Asynchronous Resource Estimation (RARE) that efficiently and reliably manages the densely deployed single-hop hybrid cluster in a self-organized fashion. Through analysis and extensive simulations, the proposed framework is shown to meet or exceed the needs of most applications in terms of the data delivery probability, QoS differentiation, system capacity, energy consumption, and reliability. To the best of our knowledge, this work is the first that brings reliable scheduling to WSNs containing both nonsynchronized transmit-only nodes and standard nodes."",""1558-2183"","""",""10.1109/TPDS.2012.148"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6203500"",""Wireless sensor networks";medium access control;transmit-only node;Internet of things;"data communication"",""Wireless sensor networks";Reliability;Schedules;Data communication;Media Access Protocol;"Estimation"","""",""33"","""",""29"",""IEEE"",""22 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Improving Data Center Network Utilization Using Near-Optimal Traffic Engineering,""F. P. Tso";" D. P. Pezaros"",""School of Computing Science, University of Glasgow, Glasgow, UK";" School of Computing Science, University of Glasgow, Glasgow, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1139"",""1148"",""Equal cost multiple path (ECMP) forwarding is the most prevalent multipath routing used in data center (DC) networks today. However, it fails to exploit increased path diversity that can be provided by traffic engineering techniques through the assignment of nonuniform link weights to optimize network resource usage. To this extent, constructing a routing algorithm that provides path diversity over nonuniform link weights (i.e., unequal cost links), simplicity in path discovery and optimality in minimizing maximum link utilization (MLU) is nontrivial. In this paper, we have implemented and evaluated the Penalizing Exponential Flow-spliTing (PEFT) algorithm in a cloud DC environment based on two dominant topologies, canonical and fat tree. In addition, we have proposed a new cloud DC topology which, with only a marginal modification of the current canonical tree DC architecture, can further reduce MLU and increase overall network capacity utilization through PEFT routing."",""1558-2183"","""",""10.1109/TPDS.2012.343"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392830"",""Data center routing";data center topology;multipath routing;traffic engineering;load balancing;"cloud computing"",""Routing";Optimization;Network topology;Topology;Servers;Mathematical model;"Protocols"","""",""43"","""",""34"",""IEEE"",""24 Dec 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Improving the Reliability of MPI Libraries via Message Flow Checking,""Z. Chen"; Q. Gao; W. Zhang;" F. Qin"",""Ohio State University, Columbus, OH, USA"; Facebook, Inc., Menlo Park, CA, USA; Epic Systems Corporation, Verona, WI, USA;" Ohio State University, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2013"",""2013"",""24"",""3"",""535"",""549"",""Despite the success of the Message Passing Interface (MPI), many MPI libraries have suffered from software bugs. These bugs severely impact the productivity of a large number of users, causing program failures or other errors. As a result, MPI application developers often have to spend days or weeks in vain debugging their own code. To address this daunting problem, this paper presents a new method called FlowChecker, which detects communication related bugs in MPI libraries. First, FlowChecker extracts program intentions of message passing (MP-intentions), which specify messages to be delivered from the sources to the destinations. Then FlowChecker tracks the message flows that actually occur in the underlying MPI libraries. Finally, FlowChecker checks whether the messages are correctly delivered from the sources to the destinations by comparing the message flows against the MP-intentions. If a mismatch is found, FlowChecker reports a bug and provides diagnostic information to help MPI library developers to understand and fix it. We have built a FlowChecker prototype on Linux and evaluated it with five real-world and two injected bug cases in three widely used MPI libraries, including Open MPI, MPICH2, and MVAPICH2. Our experimental results show that FlowChecker effectively detects all seven evaluated bug cases. Additionally, it provides useful diagnostic information for narrowing down or even pinpointing root causes of the bugs. Moreover, our experiments with High Performance Linpack and NAS Parallel Benchmarks show that FlowChecker induces low runtime overhead (0.9-5.6 percent on Open MPI, 0.9-8.1 percent on MPICH2, and 1.6-9.7 percent on MVAPICH2)."",""1558-2183"","""",""10.1109/TPDS.2012.127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6416896"",""Software reliability";bug detection;"message passing interfaces"",""Libraries";Computer bugs;Software;Tracking;Runtime;Semantics;"Message passing"","""","""","""",""60"",""IEEE"",""22 Jan 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Improving Utilization of Hardware Signatures in Transactional Memory,""W. Choi";" J. Draper"",""Samsung Electronics Company Limited, Hwaseong, Gyeonggi, South Korea";" Information Sciences Institute, University of Southern California, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Sep 2013"",""2013"",""24"",""11"",""2230"",""2239"",""The transactional memory (TM) paradigm promises to increase programmer productivity by making it easier to write correct parallel programs. In fulfilling this goal, a TM system should maximize its performance with limited hardware resources. Conflict detection is an essential element for maintaining correctness among concurrent transactions in a TM system. Hardware signatures have been proposed as an area-efficient method for detecting conflicts. However, signatures can degrade TM performance by falsely declaring conflicts. Hence, improving the accuracy of signatures within a given hardware budget is a crucial issue for TM to be adopted as a mainstream programming model. In this paper, we propose a simple and effective signature design, the unified signature. Instead of using separate read- and write-signatures, we implement a single signature to track all read- and write-accesses. By merging read- and write-signatures, a unified signature can effectively enlarge the signature coverage without additional overhead. Within the constraints of a given hardware budget, a TM system with a unified signature outperforms a baseline system with the same-sized traditional signatures by reducing the number of falsely detected conflicts. Even though the unified signature scheme incurs read-read dependencies, we show that these false dependencies do not negate the benefit of unified signatures and can effectively be filtered out. A TM system with a 2-Kbit unified signature with a helper signature scheme achieves speedups of 15 percent over baseline TM with 33 percent less area and 49 percent less power."",""1558-2183"","""",""10.1109/TPDS.2012.292"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6327189"",""Hardware transactional memory";conflict detection;Bloom filters;signatures;"unified signatures"",""Hardware";Benchmark testing;Instruction sets;Merging;Indexes;"Monitoring"","""",""5"","""",""28"",""IEEE"",""8 Oct 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"In-Network Estimation with Delay Constraints in Wireless Sensor Networks,""H. Zhang"; H. Ma; X. -Y. Li;" S. Tang"",""Beijing Key Laboratory of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, Beijing, China"; Beijing Key Laboratory of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, Beijing, China; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Dec 2012"",""2013"",""24"",""2"",""368"",""380"",""The use of wireless sensor networks (WSNs) for closing the loops between the cyberspace and the physical processes is more attractive and promising for future control systems. For some real-time control applications, controllers need to accurately estimate the process state within rigid delay constraints. In this paper, we propose a novel in-network estimation approach for state estimation with delay constraints in multihop WSNs. For accurately estimating a process state as well as satisfying rigid delay constraints, we address the problem through jointly designing in-network estimation operations and an aggregation scheduling algorithm. Our in-network estimation operation performed at relays not only optimally fuses the estimates obtained from the different sensors but also predicts the upper stream sensors' estimates which cannot be aggregated to the sink before deadlines. Our estimate aggregation scheduling algorithm, which is interference free, is able to aggregate as much estimate information as possible from the network to the sink within delay constraints. We proved the unbiasedness of in-network estimation, and theoretically analyzed the optimality of our approach. Our simulation results corroborate our theoretical results and show that our in-network estimation approach can obtain significant estimation accuracy gain under different network settings."",""1558-2183"","""",""10.1109/TPDS.2012.122"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6185540"",""Wireless sensor networks";estimation;aggregation scheduling;delay constraint;cyber-physical systems;"networked control systems"",""Sensors";Estimation;Delay;Wireless sensor networks;Relays;Equations;"Process control"","""",""11"","""",""37"",""IEEE"",""17 Apr 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Intelligent Sensor Placement for Hot Server Detection in Data Centers,""X. Wang"; X. Wang; G. Xing; J. Chen; C. -X. Lin;" Y. Chen"",""Department of Electrical and Computer Engineering, Ohio State University, Columbus, OH, USA"; Department of Electrical and Computer Engineering, Ohio State University, Columbus, OH, USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Mechanical and Materials Engineering, Florida International University, Miami, FL, USA;" Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1577"",""1588"",""Recent studies have shown that a significant portion of the total energy consumption of many data centers is caused by the inefficient operation of their cooling systems. Without effective thermal monitoring with accurate location information, the cooling systems often use unnecessarily low temperature set points to overcool the entire room, resulting in excessive energy consumption. Sensor network technology has recently been adopted for data-center thermal monitoring because of its nonintrusive nature for the already complex data center facilities and robustness to instantaneous CPU or disk activities. However, existing solutions place sensors in a simplistic way without considering the thermal dynamics in data centers, resulting in unnecessarily degraded hot server detection probability. In this paper, we first formulate the problems of sensor placement for hot server detection in a data center as constrained optimization problems in two different scenarios. We then propose a novel placement scheme based on computational fluid dynamics (CFD) to take various factors, such as cooling systems and server layout, as inputs to analyze the thermal conditions of the data center. Based on the CFD analysis in various server overheating scenarios, we apply data fusion and advanced optimization techniques to find a near-optimal sensor placement solution, such that the probability of detecting hot servers is significantly improved. Our empirical results in a real server room demonstrate the detection performance of our placement solution. Extensive simulation results in a large-scale data center with 32 racks also show that the proposed solution outperforms several commonly used placement solutions in terms of detection probability."",""1558-2183"","""",""10.1109/TPDS.2012.254"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295619"",""Servers";Computational fluid dynamics;Monitoring;Temperature sensors;Temperature measurement;Wireless sensor networks;power management;Data centers;servers;sensor placement;thermal monitoring;"computational fluid dynamics"",""Servers";Computational fluid dynamics;Monitoring;Temperature sensors;Temperature measurement;"Wireless sensor networks"","""",""26"","""",""33"",""IEEE"",""5 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";
"IP-Geolocation Mapping for Moderately Connected Internet Regions,""D. Li"; J. Chen; C. Guo; Y. Liu; J. Zhang; Z. Zhang;" Y. Zhang"",""Department of Computer Science, Tsinghua University, Beijing, China"; Department of Computer Science, Peking University, Beijing, China; Wireless and Networking Group, Microsoft Research Asia, Beijing, China; Wireless and Networking Group, Microsoft Research Asia, Beijing, China; Department of Computer Science, Peking University, Beijing, China; Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA;" Wireless and Networking Group, Microsoft Research Asia, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Dec 2012"",""2013"",""24"",""2"",""381"",""391"",""Most IP-geolocation mapping schemes [14], [16], [17], [18] take delay-measurement approach, based on the assumption of a strong correlation between networking delay and geographical distance between the targeted client and the landmarks. In this paper, however, we investigate a large region of moderately connected Internet and find the delay-distance correlation is weak. But we discover a more probable rule - with high probability the shortest delay comes from the closest distance. Based on this closest-shortest rule, we develop a simple and novel IP-geolocation mapping scheme for moderately connected Internet regions, called GeoGet. In GeoGet, we take a large number of webservers as passive landmarks and map a targeted client to the geolocation of the landmark that has the shortest delay. We further use JavaScript at targeted clients to generate HTTP/Get probing for delay measurement. To control the measurement cost, we adopt a multistep probing method to refine the geolocation of a targeted client, finally to city level. The evaluation results show that when probing about 100 landmarks, GeoGet correctly maps 35.4 percent clients to city level, which outperforms current schemes such as GeoLim [16] and GeoPing [14] by 270 and 239 percent, respectively, and the median error distance in GeoGet is around 120 km, outperforming GeoLim and GeoPing by 37 and 70 percent, respectively."",""1558-2183"","""",""10.1109/TPDS.2012.136"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197179"",""IP geolocation";GeoGet;"moderately connected Internet"",""Delay";Geology;Internet;Correlation;IP networks;Accuracy;"Databases"","""",""41"","""",""31"",""IEEE"",""8 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"ITA: Innocuous Topology Awareness for Unstructured P2P Networks,""H. Papadakis"; P. Fragopoulou; E. P. Markatos;" M. Roussopoulos"",""Department of Applied Informatics, Technological Educational Institute of Crete, Crete, Greece"; Crete, Insitute of Research and Technology, Heraklion, Greece; Crete, Insitute of Research and Technology, Heraklion, Greece;" University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1589"",""1601"",""One of the most appealing characteristics of unstructured P2P overlays is their enhanced self-* properties, which results from their loose, random structure. In addition, most of the algorithms which make searching in unstructured P2P systems scalable, such as dynamic querying and 1-hop replication, rely on the random nature of the overlay to function efficiently. The underlying communications network (i.e., the Internet), however, is not as randomly constructed. This leads to a mismatch between the distance of two peers on the overlay and the hosts they reside on at the IP layer, which in turn leads to its misuse. The crux of the problem arises from the fact that any effort to provide a better match between the overlay and the IP layer will inevitably lead to a reduction in the random structure of the P2P overlay, with many adverse results. With this in mind, we propose ITA, an algorithm which creates a random overlay of randomly connected neighborhoods providing topology awareness to P2P systems, while at the same time has no negative effect on the self-* properties or the operation of the other P2P algorithms. Using extensive simulations, both at the IP router level and autonomous system level, we show that ITA reduces communication latencies by as much as 50 percent. Furthermore, it not only reduces by 20 percent the number of IP network messages which is critical for ISPs carrying the burden of transporting P2P traffic, but also distributes the traffic load more evenly on the routers of the IP network layer."",""1558-2183"","""",""10.1109/TPDS.2012.137"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6197180"",""Peer to peer computing";IP networks;Topology;Proposals;Clustering algorithms;Network topology;Heuristic algorithms;communication latency;Peer-to-peer;unstructured overlay network;topology awareness;self-* properties;"IP network layer"",""Peer to peer computing";IP networks;Topology;Proposals;Clustering algorithms;Network topology;"Heuristic algorithms"","""",""5"","""",""38"",""IEEE"",""8 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;
"K-Means for Parallel Architectures Using All-Prefix-Sum Sorting and Updating Steps,""K. J. Kohlhoff"; V. S. Pande;" R. B. Altman"",""Departments of Bioengineering, Stanford University, Stanford, CA, USA"; Departments of Chemistry, Structural Biology, and Computer Science, Stanford University, Stanford, CA, USA;" Departments of Bioengineering, Genetics, and Computer Science, Stanford University, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1602"",""1612"",""We present an implementation of parallel K-means clustering, called Kps-means, that achieves high performance with near-full occupancy compute kernels without imposing limits on the number of dimensions and data points permitted as input, thus combining flexibility with high degrees of parallelism and efficiency. As a key element to performance improvement, we introduce parallel sorting as data preprocessing and updating steps. Our final implementation for Nvidia GPUs achieves speedups of up to 200-fold over CPU reference code and of up to three orders of magnitude when compared with popular numerical software packages."",""1558-2183"","""",""10.1109/TPDS.2012.234"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6261309"",""Kernel";Instruction sets;Graphics processing unit;Memory management;Sorting;Arrays;Vectors;biology and genetics;Clustering algorithms;graphics processors;"parallel algorithms"",""Kernel";Instruction sets;Graphics processing unit;Memory management;Sorting;Arrays;"Vectors"","""",""22"","""",""17"",""IEEE"",""6 Aug 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Lightweight Location Verification Algorithms for Wireless Sensor Networks,""Y. Wei";" Y. Guan"",""Department of Electrical and Computer Engineering, Iowa State University, Mountain View, CA, USA";" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2013"",""2013"",""24"",""5"",""938"",""950"",""The knowledge of sensors' locations is crucial information for many applications in Wireless Sensor Networks (WSNs). When sensor nodes are deployed in hostile environments, the localization schemes are vulnerable to various attacks, e.g., wormhole attack, pollution attack, range enlargement/reduction attack, and etc. Therefore, sensors' locations are not trustworthy and need to be verified before they can be used by location-based applications. Previous verification schemes either require group-based deployment knowledge of the sensor field, or depend on expensive or dedicated hardware, thus they cannot be used for low-cost sensor networks. In this paper, we propose a lightweight location verification system that performs both “on-spot” and “in-region” location verifications. The on-spot verification intends to verify whether the locations claimed by sensors are far from their true spots beyond a certain distance. We propose two algorithms that detect abnormal locations by exploring the inconsistencies between sensors' claimed locations and their neighborhood observations. The in-region verification verifies whether a sensor is inside an application-specific verification region. Compared to on-spot verification, the in-region verification is tolerable to large errors as long as the locations of sensors don't cause the application to malfunction. We study how to derive the verification region for different applications and design a probabilistic algorithm to compute in-region confidence for each sensor. Experiment results show that our on-spot and in-region algorithms can verify sensors' locations with high detection rate and low false positive rate. They are robust in the presence of malicious attacks that are launched during the verification process. Moreover, compared with previous verification schemes, our algorithms are effective and lightweight because they do not rely on the knowledge of deployment of sensors, and they don't require expensive or dedicated hardware, so our algorithms can be used in any low-cost sensor networks."",""1558-2183"","""",""10.1109/TPDS.2012.42"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143922"",""Localization";verification;on-spot;in-region;security;"wireless sensor networks"",""Measurement";Silicon;Wireless sensor networks;Sensor systems;Filtering;"Handheld computers"","""",""50"","""",""36"",""IEEE"",""31 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Link Scheduling for Exploiting Spatial Reuse in Multihop MIMO Networks,""D. Guo"; Y. He; Y. Liu; P. Yang; X. -Y. Li;" X. Wang"",""Key Laboratory for Information System Engineering, College of Information System and Management, National University of Defense Technology, Changsha, China"; TNLIST and the School of Software, Tsinghua University, Beijing, China; Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China; Institute of Communication Engineering, PLA University of Science and Technology, Nanjing, China; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" College of Electronic Science and Engineering, National University of Defense Technology, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 May 2013"",""2013"",""24"",""7"",""1355"",""1365"",""Multiple-Input-Multiple-Output (MIMO) has great potential for enhancing the throughput of multihop wireless networks via spatial multiplexing or spatial reuse. Spatial reuse with Stream Control (SC) provides a considerable improvement of the network throughput over spatial multiplexing. The gain of spatial reuse, however, is still not fully exploited. There exist large numbers of additional data streams, which could be transmitted concurrently with those data streams scheduled by stream control at certain time slots and vicinities. In this paper, we address the issue of MIMO link scheduling to maximize the gain of spatial reuse and thus network throughput. We propose a Receiver-Oriented Interference Suppression model (ROIS), based on which we design both centralized and distributed link scheduling algorithms to fully exploit the gain of spatial reuse in multihop MIMO networks. Further, we address the traffic-aware link scheduling problem by injecting nonuniform traffic load into the network. Through theoretical analysis and comprehensive performance evaluation, we achieve the following results: 1) link scheduling based on ROIS achieves significant higher network throughput than that based on stream control, with any interference range, number of antennas, and average hop length of data flows. 2) The traffic-aware scheduling is enticingly complementary to the link scheduling based on ROIS model. Accordingly, the two scheduling schemes can be combined to further enhance the network throughput."",""1558-2183"","""",""10.1109/TPDS.2012.181"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226374"",""Spatial reuse";stream control;MIMO;scheduling;"wireless multihop networks"",""Interference";Receivers;MIMO;Throughput;Multiplexing;Transmitting antennas;"Educational institutions"","""",""3"","""",""20"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Load Rebalancing for Distributed File Systems in Clouds,""H. -C. Hsiao"; H. -Y. Chung; H. Shen;" Y. -C. Chao"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"; Department of Computer Science and Information Engineering, Distributed Computing Research Laboratory, National Cheng Kung University, Tainan, Taiwan; Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA;" Cloud Platform Technology Department, Cloud Service Application Center, Industrial Technology Research Institute, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2013"",""2013"",""24"",""5"",""951"",""962"",""Distributed file systems are key building blocks for cloud computing applications based on the MapReduce programming paradigm. In such file systems, nodes simultaneously serve computing and storage functions"; a file is partitioned into a number of chunks allocated in distinct nodes so that MapReduce tasks can be performed in parallel over the nodes. However, in a cloud computing environment, failure is the norm, and nodes may be upgraded, replaced, and added in the system. Files can also be dynamically created, deleted, and appended. This results in load imbalance in a distributed file system;" that is, the file chunks are not distributed as uniformly as possible among the nodes. Emerging distributed file systems in production systems strongly depend on a central node for chunk reallocation. This dependence is clearly inadequate in a large-scale, failure-prone environment because the central load balancer is put under considerable workload that is linearly scaled with the system size, and may thus become the performance bottleneck and the single point of failure. In this paper, a fully distributed load rebalancing algorithm is presented to cope with the load imbalance problem. Our algorithm is compared against a centralized approach in a production system and a competing distributed solution presented in the literature. The simulation results indicate that our proposal is comparable with the existing centralized approach and considerably outperforms the prior distributed algorithm in terms of load imbalance factor, movement cost, and algorithmic overhead. The performance of our proposal implemented in the Hadoop distributed file system is further investigated in a cluster environment."",""1558-2183"","""",""10.1109/TPDS.2012.196"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226382"",""Load balance";distributed file systems;"clouds"",""Proposals";Load management;Algorithm design and analysis;Vectors;Cloud computing;Heuristic algorithms;"Clustering algorithms"","""",""98"",""5"",""34"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"LOBOT: Low-Cost, Self-Contained Localization of Small-Sized Ground Robotic Vehicles,""G. Zhan";" W. Shi"",""Department of Computer Science, Wayne State University, Detroit, MI, USA";" Department of Computer Science, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Mar 2013"",""2013"",""24"",""4"",""744"",""753"",""It is often important to obtain the real-time location of a small-sized ground robotic vehicle when it performs autonomous tasks either indoors or outdoors. We propose and implement LOBOT, a low-cost, self-contained localization system for small-sized ground robotic vehicles. LOBOT provides accurate real-time, 3D positions in both indoor and outdoor environments. Unlike other localization schemes, LOBOT does not require external reference facilities, expensive hardware, careful tuning or strict calibration, and is capable of operating under various indoor and outdoor environments. LOBOT identifies the local relative movement through a set of integrated inexpensive sensors and well corrects the localization drift by infrequent GPS-augmentation. Our empirical experiments in various temporal and spatial scales show that LOBOT keeps the positioning error well under an accepted threshold."",""1558-2183"","""",""10.1109/TPDS.2012.176"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6216365"",""Localization";robot;sensor;"GPS"",""Vehicles";Global Positioning System;Robot sensing systems;Magnetic sensors;"Accelerometers"","""",""13"",""3"",""23"",""IEEE"",""12 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Lock Trace Reduction for Multithreaded Programs,""Y. Cai";" W. K. Chan"",""Department of Computer Science, City University of Hong Kong, Hong Kong";" Department of Computer Science, City University of Hong Kong, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2407"",""2417"",""Many happened-before-based detectors for debugging multithreaded programs implement vector clocks to incrementally track the casual relations among synchronization events produced by concurrent threads and generate trace logs. They update the vector clocks via vector-based comparison and content assignment in every case. We observe that many such tracking comparison and assignment operations are removable in part or in whole, which if identified and used properly, have the potential to reduce the log traces thus produced. This paper presents our analysis to identify such removable tracking operations and shows how they could be used to reduce log traces. We implement our analysis result as a technique entitled LOFT. We evaluate LOFT on the well-studied PARSEC benchmarking suite and five large-scale real-world applications. The main experimental result shows that on average, LOFT identifies 63.9 percent of all synchronization operations incurred by the existing approach as removable and does not compromise the efficiency of the latter."",""1558-2183"","""",""10.1109/TPDS.2013.13"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6410311"",""Redundant operation optimization";threads;"synchronization"",""Synchronization";Message systems;Algorithm design and analysis;Concurrent computing;"Detectors"","""",""18"","""",""38"",""IEEE"",""14 Jan 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
