"$k$ NN-DP: Handling Data Skewness in $kNN$ Joins Using MapReduce,""X. Zhao"; J. Zhang;" X. Qin"",""Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China"; Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China;" Department of Computer Science and Software Engineering, Auburn University, Auburn, AL"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""600"",""613"",""In this study, we discover that the data skewness problem imposes adverse impacts on MapReduce-based parallel kNN-join operations running clusters. We propose a data partitioning approach-called kNN-DP-to alleviate load imbalance incurred by data skewness. The overarching goal of kNN-DP is to equally divide data objects into a large number of partitions, which are processed by mappers and reducers in parallel. At the heart of kNN-DP is a data partitioning module, which dynamically and judiciously partitions data to optimize kNN-join performance by suppressing data skewness on Hadoop clusters. Data partitioning decisions largely depends on data properties (e.g., distributions), the analysis of which is highly expensive for a massive amount of data. To speed up the data-property analysis, we incorporate a sampling technique to profile the data distribution of a small sample dataset representing big datasets. After building a data-partitioning cost model for parallel kNN-joins, we derive the time-complexity upper and lower bounds of parallel kNN-join algorithms. The cost model offers us a guidance to systematically investigate kNN-DP's performance. kNN-DP obtains global nearest neighbors using local nearest neighbors. To improve the accuracy of such an approximation solution, we augment each node's local data by a small amount of redundant data. We develop two kNN-DP-based schemes called LSH+ and z-value+, which seamlessly integrate kNN-DP with the existing LSH and z-value algorithms for kNN-join computing. We implement and evaluate LSH+ and z-value+ on a 24-node Hadoop cluster driven by both synthetic and real-world high-dimensional datasets. The experimental results show that kNN-DP significantly improves the performance of LSH and z-value while offering high extensibility and scalability on Hadoop clusters."",""1558-2183"","""",""10.1109/TPDS.2017.2767596"",""National Natural Science Foundation of China(grant numbers:61572343)";" Shanxi ""1331 Project"" Key Innovative Research Team"; U.S. National Science Foundation(grant numbers:CCF-0845257(CAREER));" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8089758"",""Data skewness";kNN-joins;data partitioning;"MapReduce"",""Time complexity";Distributed databases;Silicon;Algorithm design and analysis;Optimization;"Partitioning algorithms"","""",""24"","""",""32"",""IEEE"",""30 Oct 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"G-ML-Octree: An Update-Efficient Index Structure for Simulating 3D Moving Objects Across GPUs,""Z. Deng"; L. Wang; W. Han; R. Ranjan;" A. Zomaya"",""School of Computer Science, China University of Geosciences, Wuhan, P. R. China"; School of Computer Science, China University of Geosciences, Wuhan, P. R. China; School of Computer Science, China University of Geosciences, Wuhan, P. R. China; School of Computer Science, China University of Geosciences, Wuhan, P. R. China;" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Apr 2018"",""2018"",""29"",""5"",""1075"",""1088"",""In real simulation applications, simulations often involve large volumes of three-dimensinal (3D) moving objects. With the rapid growth of the scale of simulation-problem domains, it has become a key requirement to efficiently manage massive 3D moving objects. Conventional indexing approaches for managing 3D moving objects during simulations generally sufferfrom excessive update costs. Aiming to this problem, this paper first proposes an update-efficient indexing structure by fusing a loose Octree and one update-memo structure, namely ML-Octree. ML-Octree significantly reduces the update costs of one simulation involving massive 3D moving objects. Towards providing a more efficient indexing approach, this paper has explored the feasibility of paralleling ML-Octree by employing Graphic Processing Unit (GPU). A load-balancing scheme is used to further improve the update performance of the GPU-aided ML-Octree. Finally, a distributed GPU-aided ML-Octree is proposed for large-scale simulations. The experimental results indicate that (1) ML-Octree can acquire the update-performance gain of an order of magnitude similar to that of Octree, (2) the GPU-aided ML-Octree can accelerate 5.07χ fasterthan a parallel ML-Octree with 8 CPU threads on average, (3) the load-balance scheme can improve GPU-aided ML-Octree by 2.3χ on average, and (4) the distributed GPU-aided ML-Octree can efficiently support large-scale simulations."",""1558-2183"","""",""10.1109/TPDS.2017.2787747"",""National Science and Technology Major Project of the Ministry of Science and Technology of China(grant numbers:2016ZX05014-003)"; China Postdoctoral Science Foundation(grant numbers:2014M552112);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8241384"",""Parallel processign";streaming data;"big data"",""Indexing";Three-dimensional displays;Octrees;Solid modeling;Graphics processing units;"Load modeling"","""",""2"","""",""43"",""IEEE"",""28 Dec 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Game-Based Thermal-Delay-Aware Adaptive Routing (GTDAR) for Temperature-Aware 3D Network-on-Chip Systems,""K. -C. Chen"",""Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan, Taiwan, R.O.C"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2018"",""2018"",""29"",""9"",""2018"",""2032"",""The thermal problem of three-dimensional Network-on-Chip (3D NoC) is proven to be severer than 2D NoC due to the stacking dies and heterogeneous thermal conduction between each silicon layers. To control the system temperature under a certain thermal limit, the current Dynamic Thermal Managements (DTMs) can be classified into temporal approaches and spatial approaches. The temporal DTM approaches reduce the processing speed of those overheated NoC components. However, for emerging cooling consideration, the full throttling scheme is usually applied as the system temperature reaches the alarming level, which results in significant system performance overhead. On the other hand, the spatial DTM approaches migrate the traffic load away from the overheated components. Although the spatial DTM approaches can mitigate the performance impact during the temperature control, the cooling period is longer than the temporal approaches because of the asynchronous phenomenon of traffic and temperature behavior among the NoC components. To consider the advantages of the temporal and spatial DTM approaches, it is necessary to synchronize the information of traffic and temperature behavior in the NoC systems. In this paper, we apply the Game Theory to propose a Game-based Thermal-Delay-aware Adaptive Routing (GTDAR) scheme. The GTDAR first adopts the Thermal-Delay principle to transfer the long-term temperature information to short-term traffic information by allocating the input buffer length of each NoC routers, which can reduce the thermal problem into the traffic problem. Afterward, the GTDAR involves the Nash Equilibrium property to distribute the packet routing to mitigate the thermal problem by considering the traffic and temperature simultaneously. In our experiments, the proposed Game-based Thermal-Delay-aware Adaptive Routing (GTDAR) scheme can help to improve 8.7 percent to 130 percent system performance with only 2.4 percent area overhead compared with the previous works."",""1558-2183"","""",""10.1109/TPDS.2018.2812164"",""Ministry of Science and Technology, TAIWAN(grant numbers:MOST 104-2218-E-110-011-MY2,MOST 106-2221-E-110-077)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8306659"",""Game theory";buffer allocation;3D NoC;thermal;"nash equilibrium"",""Routing";Three-dimensional displays;Cooling;Adaptive systems;Telecommunication traffic;"Traffic congestion"","""",""5"","""",""44"",""IEEE"",""5 Mar 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GFlink: An In-Memory Computing Architecture on Heterogeneous CPU-GPU Clusters for Big Data,""C. Chen"; K. Li; A. Ouyang; Z. Zeng;" K. Li"",""College of Information Science and Engineering, Hunan University, Changsha, Hunan, China"; College of Information Science and Engineering, Hunan University, Changsha, Hunan, China; Department of Information Engineering, Zunyi Normal College, Zunyi, Guizhou, China; Institute for Infocomm Research, A*STAR, Singapore;" College of Information Science and Engineering, Hunan University, Changsha, Hunan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""8 May 2018"",""2018"",""29"",""6"",""1275"",""1288"",""The increasing main memory capacity and the explosion of big data have fueled the development of in-memory big data management and processing. By offering an efficient in-memory parallel execution model which can eliminate disk I/O bottleneck, existing in-memory cluster computing platforms (e.g., Flink and Spark) have already been proven to be outstanding platforms for big data processing. However, these platforms are merely CPU-based systems. This paper proposes GFlink, an in-memory computing architecture on heterogeneous CPU-GPU clusters for big data. Our proposed architecture extends the original Flink from CPU clusters to heterogeneous CPU-GPU clusters, greatly improving the computational power of Flink. Furthermore, we have proposed a programming framework based on Flink's abstract model, i.e., DataSet (DST), hiding the programming complexity of GPUs behind the simple and familiar high-level interfaces. To achieve high performance and good load-balance, an efficient JVM-GPU communication strategy, a GPU cache scheme, and an adaptive locality-aware scheduling scheme for three-stage pipelining execution are proposed. Extensive experiment results indicate that the high computational power of GPUs can be efficiently utilized, and the implementation on GFlink outperforms that on the original CPU-based Flink."",""1558-2183"","""",""10.1109/TPDS.2018.2794343"",""Key Program of National Natural Science Foundation of China(grant numbers:61432005)"; National Outstanding Youth Science Program of National Natural Science Foundation of China(grant numbers:61625202); International (Regional) Cooperation and Exchange Program of National Natural Science Foundation of China(grant numbers:61661146006); the Singapore-China NRF-NSFC(grant numbers:NRF2016NRF-NSFC001-111); National Natural Science Foundation of China(grant numbers:61370095,61472124,61662090,61602350); Key Technology Research and Development Programs of Guangdong Province(grant numbers:2015B010108006); National Key R&D Program of China(grant numbers:2016YFB0201303);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8259455"",""Big data";GPGPU;heterogeneous cluster;in-memory computing;"OpenCL"",""Graphics processing units";Sparks;Computational modeling;Big Data;Computer architecture;Data models;"Programming"","""",""73"","""",""29"",""IEEE"",""16 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GrapH: Traffic-Aware Graph Processing,""C. Mayer"; M. A. Tariq; R. Mayer;" K. Rothermel"",""Institute of Parallel and Distributed Systems, University of Stuttgart, Stuttgart, Germany"; Department of Computer Science, FAST - National University of Computer and Emerging Sciences; Institute of Parallel and Distributed Systems, University of Stuttgart, Stuttgart, Germany;" Institute of Parallel and Distributed Systems, University of Stuttgart, Stuttgart, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""8 May 2018"",""2018"",""29"",""6"",""1289"",""1302"",""Distributed graph processing systems such as Pregel, PowerGraph, or GraphX gained popularity due to their superior performance of data analytics on graph-structured data. These systems employ partitioning algorithms to parallelize graph analytics while minimizing inter-partition communication. Recent partitioning algorithms, however, unrealistically assume a uniform and constant amount of data exchanged between graph vertices (i.e., uniform vertex traffic) and homogeneous network costs between workers hosting the graph partitions. This leads to suboptimal partitioning decisions and inefficient graph processing. To this end, we developed Grapes, the first graph processing system using vertex-cut graph partitioning that considers both, diverse vertex traffic and heterogeneous network costs. The main idea is to avoid frequent communication over expensive network links using an adaptive edge migration strategy. Our evaluations show an improvement of 10 percent in graph processing latency and 60 percent in communication costs compared to state-of-the-art partitioning approaches."",""1558-2183"","""",""10.1109/TPDS.2018.2794989"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8263157"",""Distributed graph processing";partitioning;vertex-cut;heterogeneous;traffic;geo-distributed;adaptive;workload;architecture;network;streaming partitioning;"communication"",""Heuristic algorithms";Automata;Data analysis;Distributed databases;Mirrors;"Partitioning algorithms"","""",""22"","""",""43"",""IEEE"",""18 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GraphD: Distributed Vertex-Centric Graph Processing Beyond the Memory Limit,""D. Yan"; Y. Huang; M. Liu; H. Chen; J. Cheng; H. Wu;" C. Zhang"",""Department of Computer Science, University of Alabama at Birmingham, Birmingham, AL"; Department of Computer Science and Engineering, Chinese University of Hong Kong, Shatin, Hong Kong; Department of Computer Science and Engineering, Chinese University of Hong Kong, Shatin, Hong Kong; Department of Computer Science and Engineering, Chinese University of Hong Kong, Shatin, Hong Kong; Department of Computer Science and Engineering, Chinese University of Hong Kong, Shatin, Hong Kong; Department of Computer Science and Engineering, Chinese University of Hong Kong, Shatin, Hong Kong;" Department of Computer Science, University of Alabama at Birmingham, Birmingham, AL"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2017"",""2018"",""29"",""1"",""99"",""114"",""We propose GraphD, an out-of-core Pregel-like system targeting efficient big graph processing with a small cluster of commodity PCs connected by Gigabit Ethernet, an environment affordable to most users. This is in contrast to some recent efforts for out-of-core graph computation with specialized hardware. In our setting, a vertex-centric program is often data-intensive, since the CPU cost of calculating a message value is negligible compared with the network cost of transmitting that message. As a result, network bandwidth is usually the bottleneck, and out-of-core execution would not sacrifice performance if disk IO overhead can be hidden by message transmission, which is achieved by GraphD through the parallelism of computation and communication. GraphD streams edge and message data on local disks, and thus consumes negligible memory space. For a broad class of Pregel algorithms where message combiner is applicable, GraphD completely eliminates the need of any expensive external-memory join or group-by, which is required by existing systems such as Pregelix and Chaos. Extensive experiments show that GraphD beats existing out-of-core systems by orders of magnitude, and achieves comparable performance to in-memory systems running with adequate memory."",""1558-2183"","""",""10.1109/TPDS.2017.2743708"",""CUHK(grant numbers:14206715,14222816)"; Kong RGC, MSRA(grant numbers:6904224); ITF(grant numbers:6904079,3132821); CUHK;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016377"",""Out-of-core";graph;vertex-centric;"Pregel"",""Bandwidth";Venus;Chaos;Memory management;Business;Aggregates;"Computational modeling"","""",""30"","""",""33"",""IEEE"",""24 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"High-Speed Transfer Optimization Based on Historical Analysis and Real-Time Tuning,""E. Arslan";" T. Kosar"",""University of Nevada, Reno, NV";" University at Buffalo, SUNY, Buffalo, NY"",""IEEE Transactions on Parallel and Distributed Systems"",""14 May 2018"",""2018"",""29"",""6"",""1303"",""1316"",""Data-intensive scientific and commercial applications increasingly require frequent movement of large datasets from one site to the other(s). Despite growing network capacities, these data movements rarely achieve the promised data transfer rates of the underlying physical network due to poorly tuned data transfer protocols. Accurately and efficiently tuning the data transfer protocol parameters in a dynamically changing network environment is a major challenge and remains as an open research problem. In this paper, we present a novel dynamic parameter tuning algorithm based on historical data analysis and real-time background traffic probing, dubbed HARP. Most of the previous work in this area are solely based on real-time network probing or static parameter tuning, which either result in an excessive sampling overhead or fail to accurately predict the optimal transfer parameters. Combining historical data analysis with real-time sampling lets HARP tune the application-layer data transfer parameters accurately and efficiently to achieve close-to-optimal end-to-end data transfer throughput with very low overhead. Instead of one-time parameter estimation, HARP uses a feedback loop to adjust the parameter values to changing network conditions in real-time. Our experimental analyses over a variety of network settings show that HARP outperforms existing solutions by up to 50 percent in terms of the achieved data transfer throughput."",""1558-2183"","""",""10.1109/TPDS.2018.2790948"",""US National Science Foundation (NSF)(grant numbers:OAC-1724898)"; US National Science Foundation(grant numbers:ACI-1548562);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8249824"",""High performance networks";transfer tuning;application-layer optimization;network modeling;"online tuning"",""Throughput";Tuning;Concurrent computing;Data transfer;Real-time systems;Heuristic algorithms;"Pipeline processing"","""",""15"","""",""41"",""IEEE"",""8 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Holistic Virtual Machine Scheduling in Cloud Datacenters towards Minimizing Total Energy,""X. Li"; P. Garraghan; X. Jiang; Z. Wu;" J. Xu"",""Department of Computer Science and Technology, Zhejiang University, Hangzhou, China"; School of Computing & Communications, Lancaster University, LA, United Kingdom; Department of Computer Science and Technology, Zhejiang University, Hangzhou, China; Department of Computer Science and Technology, Zhejiang University, Hangzhou, China;" School of Computing, University of Leeds, Leeds, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""8 May 2018"",""2018"",""29"",""6"",""1317"",""1331"",""Energy consumed by Cloud datacenters has dramatically increased, driven by rapid uptake of applications and services globally provisioned through virtualization. By applying energy-aware virtual machine scheduling, Cloud providers are able to achieve enhanced energy efficiency and reduced operation cost. Energy consumption of datacenters consists of computing energy and cooling energy. However, due to the complexity of energy and thermal modeling of realistic Cloud datacenter operation, traditional approaches are unable to provide a comprehensive in-depth solution for virtual machine scheduling which encompasses both computing and cooling energy. This paper addresses this challenge by presenting an elaborate thermal model that analyzes the temperature distribution of airflow and server CPU. We propose GRANITE - a holistic virtual machine scheduling algorithm capable of minimizing total datacenter energy consumption. The algorithm is evaluated against other existing workload scheduling algorithms MaxUtil, TASA, IQR and Random using real Cloud workload characteristics extracted from Google datacenter tracelog. Results demonstrate that GRANITE consumes 4.3-43.6 percent less total energy in comparison to the state-of-the-art, and reduces the probability of critical temperature violation by 99.2 with 0.17 percent SLA violation rate as the performance penalty."",""1558-2183"","""",""10.1109/TPDS.2017.2688445"",""National High Technology Research 863 Major Program of China(grant numbers:2011AA01A207)"; National Science Foundation of China(grant numbers:61272128); EPSRC(grant numbers:EP/P031617/1); program of China Scholarship (SCS);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7888576"",""Cloud computing";energy efficiency;datacenter modeling;workload scheduling;"virtual machine"",""Servers";Cooling;Computational modeling;Cloud computing;Processor scheduling;Virtual machining;"Energy consumption"","""",""75"","""",""42"",""IEEE"",""28 Mar 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hybrid Transactional Replication: State-Machine and Deferred-Update Replication Combined,""T. Kobus"; M. Kokociński;" P. T. Wojciechowski"",""Institute of Computing Science, Poznan University of Technology, Poznań, Poland"; Institute of Computing Science, Poznan University of Technology, Poznań, Poland;" Institute of Computing Science, Poznan University of Technology, Poznań, Poland"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2018"",""2018"",""29"",""7"",""1499"",""1514"",""We propose Hybrid Transactional Replication (HTR), a novel replication scheme for highly dependable services. It combines two schemes: a transaction is executed either optimistically by only one service replica in the deferred update mode (DU), or deterministically by all replicas in the state machine mode (SM)";" the choice is made by an oracle. The DU mode allows for parallelism and thus takes advantage of multicore hardware. In contrast to DU, the SM mode guarantees abort-free execution, soit is suitable for irrevocable operations and transactions generating high contention. For expressiveness, transactions can be discarded or retried on demand. We prove that the higher flexibility of the scheme does not come at the cost of weaker guarantees for clients: HTR satisfies strong consistency guarantees akin to those provided by other popular transactional replication schemes such as Deferred Update Replication. We developed HTR-enabled Paxos STM, an object-based distributed transactional memory system, and evaluated it thoroughly under various workloads. We show the benefits of using a novel oracle that relies on machine learning techniques for automatic adaptation to changing conditions. The ML-based oracle, based on algorithms for the multi-armed bandit problem, provides up to 50 percent improvement in throughput when compared to the system running with DU-only or SM-only oracles."",""1558-2183"","""",""10.1109/TPDS.2018.2796079"",""National Science Centre (NCN)(grant numbers:DEC-2011/01/N/ST6/06762)"; Foundation for Polish Science (FNP)(grant numbers:103/UD/SKILLS/2014);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8265027"",""State machine replication";transactional replication;deferred update;"distributed transactional memory"",""Protocols";Semantics;Synchronization;Scalability;Throughput;Fault tolerance;"Fault tolerant systems"","""",""1"","""",""59"",""IEEE"",""22 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"IBOM: An Integrated and Balanced On-Chip Memory for High Performance GPGPUs,""J. Wang"; Q. Wang; L. Jiang; C. Li; X. Liang;" N. Jing"",""Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"; Department of Micro-Nano Electronics, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China;" Department of Micro-Nano Electronics, Shanghai Jiao Tong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""586"",""599"",""GPGPU accelerated computing has revolutionized a broad range of applications. To serve between the ever-growing computing capability and external memory, the on-chip memory is becoming increasingly important to GPGPU performance for general-purpose computing. Inherited from the traditional CPUs, however, the contemporary GPGPU on-chip memory design is suboptimal to the SIMT (single instruction, multiple threads) execution. In particular, the on-chip first-level data (L1D) cache thrashing, resulting from insufficient capacity and imbalanced usage, leads to a low hit rate and limits the overall performance. In this study, we reform the contemporary on-chip memory design and propose an integrated and balanced on-chip memory (IBOM) architecture for high-performance GPGPUs. It first virtually enlarges the L1D cache size by an integrated architecture that exploits the under-utilized register file (RF) with lightweight ISA, compiler and microarchitecture supports. Then with sufficient capacity, it is able to improve the cache usage by a set balancing technique that exploits the under-utilized set resources. In our proposed IBOM design, the register and cache accesses are amenable to normal pipeline operations with simple changes. It adequately exploits the size inversion in GPGPU on-chip memory, and enables optimized utilization of the precious resources for higher performance and energy efficiency with even smaller on-chip memory size. The experiment results demonstrate that the proposed IBOM design can offer an average of 29.6 percent increase in L1D hit rate and in turn 3X performance improvement for the cache-sensitive applications."",""1558-2183"","""",""10.1109/TPDS.2017.2773516"",""National Natural Science Foundation of China(grant numbers:61772331,61402285,61602300,61202026,61332001)"; Program of China National 1000 Young Talent Plan;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8107587"",""GPGPU";cache thrashing;register file;integrated memory;set balancing;compiler;"high performance"",""Radio frequency";System-on-chip;Registers;Instruction sets;Computer architecture;Kernel;"Graphics processing units"","""",""4"","""",""46"",""IEEE"",""14 Nov 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"iDaaS: Inter-Datacenter Network as a Service,""W. Li"; D. Guo; K. Li; H. Qi;" J. Zhang"",""School of Computer Science and Technology, Dalian University of Technology, Dalian, China"; College of Information System and Management, National University of Defense Technology, Changsha, P.R. China; School of Computer Science and Technology, Dalian University of Technology, Dalian, China; School of Computer Science and Technology, Dalian University of Technology, Dalian, China;" School of Computer Science and Technology, Dalian University of Technology, Dalian, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2018"",""2018"",""29"",""7"",""1515"",""1529"",""Increasing number of Internet-scale applications, such as video streaming, incur huge amount of wide area traffic. Such traffic over the unreliable Internet without bandwidth guarantee suffers unpredictable network performance. This result, however, is unappealing to the application providers. Fortunately, Internet giants like Google and Microsoft are increasingly deploying their private wide area networks (WANs) to connect their global datacenters. Such high-speed private WANs are reliable, and can provide predictable network performance. In this paper, we propose a new type of service-inter-datacenter network as a service (iDaaS), where traditional application providers can reserve bandwidth from those Internet giants to guarantee their wide area traffic. Specifically, we design a bandwidth trading market among multiple iDaaS providers and application providers, and concentrate on the essential bandwidth pricing problem. The involved challenging issue is that the bandwidth price of each iDaaS provider is not only influenced by other iDaaS providers, but also affected by the application providers. To address this issue, we characterize the interaction between iDaaS providers and application providers using a Stackelberg game model, and analyze the existence and uniqueness of the equilibrium. We further present an efficient bandwidth pricing algorithm by blending the advantage of a geometrical Nash bargaining solution and the demand segmentation method. For comparison, we present two bandwidth reservation algorithms, where each iDaaS provider's bandwidth is reserved in a weighted fair manner and a max-min fair manner, respectively. Finally, we conduct comprehensive trace-driven experiments. The evaluation results show that our proposed algorithms not only ensure the revenue of iDaaS providers, but also provide bandwidth guarantee for application providers with lower bandwidth price per unit."",""1558-2183"","""",""10.1109/TPDS.2015.2505731"",""National Key Research and Development Program of China(grant numbers:2016YFB1000205)"; State Key Program of National Natural Science of China(grant numbers:61432002); National Science Foundation for Distinguished Young Scholars of China(grant numbers:61225010); NSFC(grant numbers:61772112,61672379,61272417,61370199); Specialized Research Fund for the Doctoral Program of Higher Education(grant numbers:20130041110019); Fundamental Research Funds for the Central Universities(grant numbers:DUT15QY20); National Natural Science Foundation for Outstanding Excellent young scholars of China(grant numbers:61422214); National Basic Research Program (973 program)(grant numbers:2014CB347800);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7347416"",""Inter-datacenter network";WANs;bandwidth price;"Stackelberg game"",""Bandwidth";Internet;Wide area networks;Pricing;Games;Distributed databases;"Google"","""",""10"","""",""35"",""IEEE"",""4 Dec 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Implementing Snapshot Objects on Top of Crash-Prone Asynchronous Message-Passing Systems,""C. Delporte-Gallet"; H. Fauconnier; S. Rajsbaum;" M. Raynal"",""IRIF/GANG, Université Paris Diderot, Paris, France"; IRIF/GANG, Université Paris Diderot, Paris, France; Instituto de Matemáticas, National Autonomous University of Mexico, Mexico, Mexico;" Hong Kong Polytechnic University, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2018"",""2018"",""29"",""9"",""2033"",""2045"",""In asynchronous crash-prone read/write shared-memory systems there is the notion of a snapshot object, which simulates the behavior of an array of single-writer/multi-reader (SWMR) shared registers that can be read atomically. Processes in the system can access the object invoking (any number of times) two operations, denoted write() and snapshot(). A process invokes write() to update the value of its register in the array. When it invokes snapshot(), the process obtains the values of all registers, as if it read them simultaneously. It is known that a snapshot object can be implemented on top of SWMR registers, tolerating any number of process failures. Snapshot objects provide a level of abstraction higher than individual SWMR registers, and they simplify the design of applications. Building a snapshot object on an asynchronous crash-prone message-passing system has similar benefits. The object can be implemented by using the known simulations of a SWMR shared memory on top of an asynchronous message-passing system (if less than half the processes can crash), and then build a snapshot object on top of the simulated SWMR memory. This paper presents an algorithm that implements a snapshot object directly on top of the message-passing system, without building an intermediate layer of a SWMR shared memory. To the authors knowledge, the proposed algorithm is the first providing such a direct construction. The algorithm is more efficient than the indirect solution, yet relatively simple."",""1558-2183"","""",""10.1109/TPDS.2018.2809551"",""French ANR"; UNAM PAPIIT-DGAPA(grant numbers:IN107714,IN109917); INRIA-UNAM Equipe Associé LiDiCo (at the Limits of Distributed Computability); Fordecyt(grant numbers:265667);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8302604"",""Asynchronous message-passing system";atomic read/write register;linearizability;process crash failure;"snapshot object"",""Registers";Computer crashes;Message passing;Atomic layer deposition;Buildings;Concurrent computing;"Computational modeling"","""",""7"","""",""38"",""IEEE"",""26 Feb 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Improving Medium-Grain Partitioning for Scalable Sparse Tensor Decomposition,""S. Acer"; T. Torun;" C. Aykanat"",""Computer Engineering Department, Bilkent University, Ankara, Turkey"; Computer Engineering Department, Bilkent University, Ankara, Turkey;" Computer Engineering Department, Bilkent University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Nov 2018"",""2018"",""29"",""12"",""2814"",""2825"",""Tensor decomposition is widely used in the analysis of multi-dimensional data. The canonical polyadic decomposition (CPD) is one of the most popular decomposition methods and commonly found by the CPD-ALS algorithm. High computational and memory costs of CPD-ALS necessitate the use of a distributed-memory-parallel algorithm for efficiency. The medium-grain CPD-ALS algorithm, which adopts multi-dimensional cartesian tensor partitioning, is one of the most successful distributed CPD-ALS algorithms for sparse tensors. This is because cartesian partitioning imposes nice upper bounds on communication overheads. However, this model does not utilize the sparsity pattern of the tensor to reduce the total communication volume. The objective of this work is to fill this literature gap. We propose a novel hypergraph-partitioning model, CartHP, whose partitioning objective correctly encapsulates the minimization of total communication volume of multi-dimensional cartesian tensor partitioning. Experiments on twelve real-world tensors using up to 1024 processors validate the effectiveness of the proposed CartHP model. Compared to the baseline medium-grain model, CartHP achieves average reductions of 52, 43 and 24 percent in total communication volume, communication time and overall runtime of CPD-ALS, respectively."",""1558-2183"","""",""10.1109/TPDS.2018.2841843"",""Scientific and Technological Research Council of Turkey (TUBITAK)(grant numbers:EEEAG-116E043)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368258"",""Sparse tensor";canonical polyadic decomposition;cartesian partitioning;load balancing;communication volume;"hypergraph partitioning"",""Tensile stress";Program processors;Partitioning algorithms;Solid modeling;Mathematical model;Runtime;"Matrix decomposition"","""",""8"","""",""37"",""IEEE"",""29 May 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
