"Design and analysis of even-sized binary shuffle-exchange networks for multiprocessors,""K. Padmanabhan"",""AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""385"",""397"",""The architecture and performance of binary shuffle-exchange networks of any size are investigated. It is established that a network with a shuffle-exchange stages whose number equals the least integer >or=log/sub 2/N or a single recirculating stage can provide the connectivity between N inputs and N outputs using a distributed tag-based control algorithm. Control tags depend on both source and destination when N is not a power of two and can be computed in a simple manner. Several structural and dynamic properties of the network are established, contrasting the behavior of the power-of-two and composite sized systems. The performance of the network in a stochastic environment is investigated analytically. It is shown that the shuffle-exchange networks behave in much the same way with respect to traffic and buffer capacity regardless of whether the system size is a power of two or not.<>"",""1558-2183"","""",""10.1109/71.97896"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97896"","""",""LAN interconnection";Concurrent computing;Stochastic processes;Power system interconnection;Distributed control;Performance analysis;Telecommunication traffic;Helium;Multiprocessing systems;"Telephony"","""",""17"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Eliminating memory for fragmentation within partitionable SIMD/SPMD machines,""M. A. Nichols"; H. J. Siegel; H. G. Dietz; R. W. Quong;" W. G. Nation"",""NCR Limited, San Diego, CA, USA"; School of Electrical Engineering, Purdue University, West Lafayette, IN, USA; School of Electrical Engineering, Purdue University, West Lafayette, IN, USA; School of Electrical Engineering, Purdue University, West Lafayette, IN, USA;" IBM, Endicott, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""290"",""303"",""Efficient data layout is an important aspect of the compilation process. A model for the creation of perfect memory maps for large-scale parallel machines capable of user-controlled partitionable single-instruction-multiple data/single-program-multiple data (SIMD/SPMD) operation is developed. The term perfect implies that no memory fragmentation occurs and ensures that the memory map size is kept to a minimum. A major constraint on solving this problem is based on the single program nature of both the SIMD and SPMD modes of parallelism. It is assumed that all processors within the same submachine used identical addresses to access corresponding data items in each of their local memories. Necessary and sufficient conditions are derived for being able to create perfect memory maps, and results are applied to several partitionable interconnection networks.<>"",""1558-2183"","""",""10.1109/71.86105"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86105"","""",""Parallel processing";Parallel machines;Large-scale systems;Multiprocessor interconnection networks;Hypercubes;Sufficient conditions;Broadcasting;Oceans;High performance computing;"Data engineering"","""",""7"",""2"",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Interactive parallel programming using the ParaScope Editor,""K. Kennedy"; K. S. McKinley;" C. . -W. Tseng"",""Department of Computer Science, Rice University, Houston, TX, USA"; Department of Computer Science, Rice University, Houston, TX, USA;" Department of Computer Science, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""329"",""341"",""The ParaScope Editor, an intelligent interactive editor for parallel Fortran programs, which is the centerpiece of the ParaScope project, an integrated collection of tools to help scientific programmers implement correct and efficient parallel programs, is discussed. ParaScope Editor reveals to users potential hazards of a proposed parallelization in a program. It provides a variety of powerful interactive program transformations that have been shown useful in converting programs to parallel form. ParaScope Editor supports general user editing through a hybrid text and structure editing facility that incrementally analyzes the modified program for potential hazards. It is shown that ParaScope Editor supports an exploratory programming style in which users get immediate feedback on their various strategies for parallelization.<>"",""1558-2183"","""",""10.1109/71.86108"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86108"","""",""Parallel programming";Parallel processing;Programming profession;Hazards;Feedback;Helium;Availability;Concurrent computing;Parallel machines;"Computer science"","""",""61"",""4"",""57"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Job scheduling in a partitionable mesh using a two-dimensional buddy system partitioning scheme,""K. Li";" K. . -H. Cheng"",""Department of Mathematics and Computer Science, State University of New York, New Paltz, New Paltz, NY, USA";" Department of Computer Science, University of Houston, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""413"",""422"",""The job scheduling problem in a partitionable mesh-connected system in which jobs require square meshes and the system is a square mesh whose size is a power of two is discussed. A heuristic algorithm of time complexity O(n(log n+log p)), in which n is the number of jobs to be scheduled and p is the size of the system is presented. The algorithm adopts the largest-job-first scheduling policy and uses a two-dimensional buddy system as the system partitioning scheme. It is shown that, in the worst case, the algorithm produces a schedule four times longer than an optimal schedule, and, on the average, schedules generated by the algorithm are twice as long as optimal schedules.<>"",""1558-2183"","""",""10.1109/71.97898"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97898"","""",""Optimal scheduling";Scheduling algorithm;Partitioning algorithms;Approximation algorithms;Processor scheduling;Computer science;Heuristic algorithms;Helium;Parallel algorithms;"Mathematics"","""",""25"",""2"",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Lazy task creation: a technique for increasing the granularity of parallel programs,""E. Mohr"; D. A. Kranz;" R. H. Halstead"",""Department of Computer Science, Yale University, New Heaven, CT, USA"; MIT Laboratory for Computer Science, Cambridge, MA, USA;" DEC Cambridge Research Laboratory, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""264"",""280"",""When a parallel algorithm is written naturally, the resulting program often produces tasks of a finer grain than an implementation can exploit efficiently. Two solutions to the granularity problem that combine parallel tasks dynamically at runtime are discussed. The simpler load-based inlining method, in which tasks are combined based on dynamic bad level, is rejected in favor of the safer and more robust lazy task creation method, in which tasks are created only retroactively as processing results become available. The strategies grew out of work on Mul-T, an efficient parallel implementation of Scheme, but could be used with other languages as well. Mul-T implementations of lazy task creation are described for two contrasting machines, and performance statistics that show the method's effectiveness are presented. Lazy task creation is shown to allow efficient execution of naturally expressed algorithms of a substantially finer grain than possible with previous parallel Lisp systems.<>"",""1558-2183"","""",""10.1109/71.86103"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86103"","""",""Programming profession";Costs;Program processors;Parallel algorithms;Concurrent computing;Parallel processing;Computer science;Robustness;Statistics;"Partitioning algorithms"","""",""152"",""3"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Limits on interconnection network performance,""A. Agarwal"",""Laboratory for Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""398"",""412"",""The latency of direct networks is modeled, taking into account both switch and wire delays. A simple closed-form expression for contention in buffered, direct networks is derived and found to agree closely with simulations. The model includes the effects of packet size and communication locality. Network analysis under various constraints and under different workload parameters reveals that performance is highly sensitive to these constraints and workloads. A two-dimensional network is shown to have the lowest latency only when switch delays and network contention are ignored";" three- or four-dimensional networks are favored otherwise. If communication locality exists, two-dimensional networks regain their advantage. Communication locality decreases both the base network latency and the network bandwidth requirements of applications. It is shown that a much larger fraction of the resulting performance improvement arises from the reduction in bandwidth requirements than from the decrease in latency.<>"",""1558-2183"","""",""10.1109/71.97897"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97897"","""",""Multiprocessor interconnection networks";Delay;Switches;Communication switching;Wire;Performance analysis;Bandwidth;Concurrent computing;Multiprocessing systems;"Parallel processing"","""",""362"",""1"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Optimal parallel initialization algorithms for a class of priority queues,""S. Olariu";" Z. Wen"",""Department of Computer Science, Old Dominion University, Norfolk, VA, USA";" Department of Computer Science, Old Dominion University, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""423"",""429"",""An adaptive parallel algorithm for inducing a priority queue structure on an n-element array is presented. The algorithm is extended to provide optimal parallel construction algorithms for three other heap-like structures useful in implementing double-ended priority queues, namely min-max heaps, deeps, and min-max-pair heaps. It is shown that an n-element array can be made into a heap, a deap, a min-max heap, or a min-max-pair heap in O(log n+(n/p)) time using no more than n/log n processors, in the exclusive-read-exclusive-write parallel random-access machine model.<>"",""1558-2183"","""",""10.1109/71.97899"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97899"","""",""Binary trees";Parallel algorithms;Adaptive arrays;Fault tolerance;Data structures;Software engineering;Sorting;Operating systems;Computer science;"Signal processing"","""",""17"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Orthogonal graphs for the construction of a class of interconnection networks,""I. D. Scherson"",""Department of Information and Computer Science, University of California, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""3"",""19"",""A graph theoretical representation for a class of interconnection networks is suggested. The idea is based on a definition of orthogonal binary vectors and leads to a construction rule for a class of orthogonal graphs. An orthogonal graph is first defined as a set of 2/sup m/ nodes, which in turn are linked by 2/sup m-n/ edges for every link model defined in an integer set Q*. The degree and diameter of an orthogonal graph are determined in terms of the parameters n, m, and the number of link modes defined in Q*. Routing in orthogonal graphs is shown to reduce to the node covering problem in bipartite graphs. The proposed theory is applied to describe a number of well-known interconnection networks such as the binary m-cube and spanning-bus meshes. Multidimensional access (MDA) memories are also shown as examples of orthogonal shared memory multiprocessing systems. Finally, orthogonal graphs are applied to the construction of multistage interconnection networks. Connectivity and placement rules are given and shown to yield a number of well-known networks.<>"",""1558-2183"","""",""10.1109/71.80185"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80185"","""",""Multiprocessor interconnection networks";Multidimensional systems;Hypercubes;Routing;Multiprocessing systems;Bipartite graph;Computer architecture;Tree graphs;Image processing;"Concurrent computing"","""",""31"","""",""52"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Parallel implementation of multiple model tracking algorithms,""A. Averbuch"; S. Itzikowitz;" T. Kapon"",""School of Mathematical Sciences, Tel-Aviv University, Tel-Aviv, Israel"; School of Mathematical Sciences, Tel-Aviv University, Tel-Aviv, Israel;" School of Mathematical Sciences, Tel-Aviv University, Tel-Aviv, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""242"",""252"",""The implementations of the Viterbi algorithm (VA) and the interacting multiple model (IMM) algorithm on a shared-bus and shared-memory multiple-input multiple-data (MIMD) multiprocessor are discussed. The computational complexity as well as the speedup and efficiency are examined in detail. It is shown that the computational complexity of the parallel implementation of these algorithms is about the same in both memory space and processing time categories. Efficiency with P processors is about 1-1/P for small P and is expected to be relatively high for large P, especially when many filters and large state and measurement vectors are considered.<>"",""1558-2183"","""",""10.1109/71.89069"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89069"","""",""Target tracking";Radar tracking;Filters;Equations;Noise measurement;Time measurement;Viterbi algorithm;Computational complexity;White noise;"Bayesian methods"","""",""13"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Parallel simulated annealing using speculative computation,""E. E. Witte"; R. D. Chamberlain;" M. A. Franklin"",""Computer and Communications Research Center, Washington University, Saint Louis, MO, USA"; Computer and Communications Research Center, Washington University, Saint Louis, MO, USA;" Computer and Communications Research Center, Washington University, Saint Louis, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""483"",""494"",""A parallel simulated annealing algorithm that is problem-independent, maintains the serial decision sequence, and obtains speedup which can exceed log/sub 2/P on P processors is discussed. The algorithm achieves parallelism by using the concurrency technique of speculative computation. Implementation of the parallel algorithm on a hypercube multiprocessor and application to a task assignment problem are described. The simulated annealing solutions are shown to be, on average, 28% better than the solutions produced by a random task assignment algorithm and 2% better than the solutions produced by a heuristic.<>"",""1558-2183"","""",""10.1109/71.97904"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97904"","""",""Computational modeling";Simulated annealing;Concurrent computing;Parallel algorithms;Cost function;Hypercubes;Parallel processing;Temperature distribution;Temperature control;"Data structures"","""",""82"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Partitioning and mapping nested loops on multiprocessor systems,""Jang-Ping Sheu";" Tsu-Huei Tai"",""Department of Electrical Engineering, National Central University, Chungli, Taiwan";" Department of Electrical Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""430"",""439"",""A method for executing nested loops with constant loop-carried dependencies in parallel on message-passing multiprocessor systems to reduce communication overhead is presented. In the partitioning phase, the nested loop is divided into blocks that reduce the interblock communication, without regard to the machine topology. The execution ordering of the iterations is defined by a given time function based on L. Lamport's (1974) hyperplane method. The iterations are then partitioned into blocks so that the execution ordering is not disturbed, and the amount of interblock communication is minimized. In the mapping phase, the partitioned blocks are mapped onto a fixed-size multiprocessor system in such a manner that the blocks that have to exchange data frequently are allocated to the same processor or neighboring processors. A heuristic mapping algorithm for hypercube machines is proposed.<>"",""1558-2183"","""",""10.1109/71.97900"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97900"","""",""Multiprocessing systems";Partitioning algorithms;Parallel processing;Topology;Concurrent computing;Hypercubes;Systolic arrays;Magnetic heads;High performance computing;"Heuristic algorithms"","""",""30"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Performance of shared memory in a parallel computer,""K. Donovan"",""Department of Computer Science, New York University, New York, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""253"",""256"",""A method for analyzing the lengths of memory queues when the network is conflict-free is described. An algorithm based on this method is shown to efficiently determine the upper and lower bounds of the queue length. Analysis indicates that the strategy of using hashing to spread data across memory modules is a good one. Results show that if the size of the system is increased while maintaining a constant ratio of numbers of processors to memories, then, asymptotically, the slowdown in performance from conflicts at the memory modules is Theta (log m/log log m). For m and n less than 100000 and lambda between 0.25 and 4.0, the graphical data confirm this growth rate.<>"",""1558-2183"","""",""10.1109/71.89070"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89070"","""",""Concurrent computing";Probability distribution;Computer science;Application software;Computer networks;Hardware;Differential equations;"Queueing analysis"","""",""1"","""",""3"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Performance of synchronous parallel algorithms with regular structures,""S. Madala";" J. B. Sinclair"",""Coherent Systems, Houston, TX, USA";" Department of Electrical and Computer Engineering, Computer and Information Technology Institute, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""105"",""116"",""New methods are presented for bounding and approximating the mean execution time of partitioning algorithm, and these methods are compared to previous approaches. Distribution-driven and program-driven simulations show that two of the methods are usually accurate to within 10% and give good estimates even when certain independence assumptions are violated. Asymptotic approximations and upper bounds are derived for the average execution time of multiphase algorithms when there is no contention for processes in the parallel phase. In addition, the authors bound the average execution time under static and dynamic scheduling policies and determine the optimum number of parallel tasks to be created to minimize the execution time bounds with constant scheduling overhead.<>"",""1558-2183"","""",""10.1109/71.80193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80193"","""",""Parallel algorithms";Partitioning algorithms;Concurrent computing;Performance analysis;Dynamic scheduling;Delay effects;Upper bound;Processor scheduling;Parallel processing;"Communication channels"","""",""60"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Properties and performance of folded hypercubes,""A. El-Amawy";" S. Latifi"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Electrical Engineering, University of Nevada, Las Vegas, NV, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""31"",""42"",""A new hypercube-type structure, the folded hypercube (FHC), which is basically a standard hypercube with some extra links established between its nodes, is proposed and analyzed. The hardware overhead is almost 1/n, n being the dimensionality of the hypercube, which is negligible for large n. For this new design, optimal routing algorithms are developed and proven to be remarkably more efficient than those of the conventional n-cube. For one-to-one communication, each node can reach any other node in the network in at most (n/2) hops (each hop corresponds to the traversal of a single link), as opposed to n hops in the standard hypercube. One-to-all communication (broadcasting) can also be performed in only (n/2) steps, yielding a 50% improvement in broadcasting time over that of the standard hypercube. All routing algorithms are simple and easy to implement. Correctness proofs for the algorithms are given. For the proposed architecture, communication parameters such as average distance, message traffic density, and communication time delay are derived. In addition, some fault tolerance capabilities of this architecture are quantified and compared to those of the standard cube. It is shown that this structure offers substantial improvement over existing hypercube-type networks in terms of the above-mentioned network parameters.<>"",""1558-2183"","""",""10.1109/71.80187"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80187"","""",""Hypercubes";Hardware;Computer networks;Fault tolerance;Communication standards;Broadcasting;Routing;Distributed computing;Algorithm design and analysis;"Telecommunication traffic"","""",""326"",""1"",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Removal of redundant dependences in DOACROSS loops with constant dependences,""V. P. Krothapalli";" P. Sadayappan"",""Department of Computer Science, University of Wisconsin Oshkosh, Oshkosh, WI, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""281"",""289"",""An efficient algorithm to remove redundant dependences in simple loops with constant dependences is presented. Dependences constrain the parallel execution of programs and are typically enforced by synchronization instructions. The synchronization instructions represent a significant part of the overhead in the parallel execution of a program. Some program dependences are redundant because they are covered by other dependences. It is shown that unlike with single loops, in the case of nested loops, a particular dependence may be redundant at some iterations but not redundant at others, so that the redundancy of a dependence may not be uniform over the entire iteration space. A sufficient condition for the uniformity of redundancy in a doubly nested loop is developed.<>"",""1558-2183"","""",""10.1109/71.86104"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86104"","""",""Sufficient conditions";Message passing;Parallel processing;Computer science;"Integrated circuit testing"","""",""14"",""1"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Specifying graceful degradation,""M. P. Herlihy";" J. M. Wing"",""Cambridge Research Laboratory, Digital Equipment Corporation, Cambridge, MA, USA";" School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""1"",""93"",""104"",""A description is given of the relaxation lattice method, a new approach to specifying graceful degradation for a large class of programs. A relaxation lattice is a lattice of specifications parameterized by a set of constraints, where the stronger the set of constraints, the more restrictive the specification. While a program is able to satisfy its strongest set of constraints, it satisfies its preferred specification, but if changes to the environment force it to satisfy a weaker set, then it will permit additional weakly consistent computations which are undesired but tolerated. The use of relaxation lattices is illustrated by specifications for programs that tolerate (1) faults, such as site crashes and network partitions, (2) timing anomalies, such as attempting to read a value too soon after it was written, (3) synchronization conflicts, such as choosing the oldest unlocked item from a queue, and (4) security breaches, such as acquiring unauthorized capabilities.<>"",""1558-2183"","""",""10.1109/71.80192"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80192"","""",""Degradation";Lattices;Displays;Timing;Security;Distributed computing;Computer crashes;Concurrent computing;Fault tolerance;"Formal specifications"","""",""31"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Synthesizing nested loop algorithms using nonlinear transformation method,""J. . -P. Sheu";" C. . -Y. Chang"",""Department of Electrical Engineering, National Central University, Chungli, Taiwan";" Department of Electrical Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""304"",""317"",""FOR-loops are the main source of parallelism in programs. A nonlinear transformation algorithm for parallelizing the execution of FOR-loop models is proposed. It is shown that by the mapping of nonlinear transformation, iterations of FOR-loops can be executed in a parallel form. The algorithm is useful in exploiting the parallelism of FOR-loops with one or more partitions on the innermost loop. Algorithms to partition and map the nested FOR-loops onto fixed size systolic arrays are discussed. Based on the time and space mapping schemes, all the iterations of FOR-loops can be correctly executed on the array processors in a parallel form.<>"",""1558-2183"","""",""10.1109/71.86106"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86106"","""",""Partitioning algorithms";Parallel processing;Systolic arrays;Very large scale integration;Algorithm design and analysis;Matrix decomposition;Discrete Fourier transforms;Data analysis;High level languages;"Councils"","""",""7"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"The effect of scheduling discipline on spin overhead in shared memory parallel systems,""J. Zahorjan"; E. D. Lazowska;" D. L. Eager"",""Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA"; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA;" Department of Computational Science, University of Saskatchewan, Saskatoon, SAS, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""180"",""198"",""Spinning, or busy waiting, is commonly employed in parallel processors when threads of execution must wait for some event, such as synchronization with another thread. Because spinning is purely overhead, it is detrimental to both user response time and system throughput. The effects of two environmental factors, multiprogramming and data-dependent execution times, on spinning are discussed, and it is shown how the choice of scheduling discipline can be used to reduce the amount of spinning in each case.<>"",""1558-2183"","""",""10.1109/71.89064"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89064"","""",""Spinning";Application software;Delay;Processor scheduling;Environmental factors;Hardware;Parallel processing;Marine technology;"Throughput"","""",""44"",""6"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"The I test: an improved dependence test for automatic parallelization and vectorization,""X. Kong"; D. Klappholz;" K. Psarris"",""Sun Microsystems, Inc., Mountain View, CA, USA"; Department of Electrical Engineering and Computer Science, Stevens Institute of Technology, Hoboken, NJ, USA;" Department of Electrical Engineering and Computer Science, Stevens Institute of Technology, Hoboken, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""3"",""342"",""349"",""The I test is a subscript dependence test which extends both the range of applicability and the accuracy of the GCD and Banerjee tests (U. Banerjee, 1976), standard subscript dependence tests used to determine whether loops may be parallelized/vectorized. It is shown that the I test is useful when, in the event that a positive result must be reported, a definitive positive is of more use than a tentative positive and when insufficient loop iterations are known for the Banerjee test to apply.<>"",""1558-2183"","""",""10.1109/71.86109"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=86109"","""",""Automatic testing";Equations;System testing;Data analysis;Helium;Sun;Computer science;Costs;"Performance evaluation"","""",""65"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Uniform approach for solving some classical problems on a linear array,""D. R. O'Hallaron"",""School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""2"",""236"",""241"",""It is shown that a number of classical problems from linear algebra and graph theory, including instances of the algebraic path problem, matrix multiplication, matrix triangularization, and matrix transpose, can be solved using the same basic recurrence. A simple mapping of the recurrence onto a unidirectional linear array is discussed. Qualitative advantages to programming linear arrays using this approach include uniformity of design, simplicity of programming, and scalability to larger problems. The major disadvantage is that the resulting algorithms are not necessarily optimal.<>"",""1558-2183"","""",""10.1109/71.89068"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=89068"","""",""Linear algebra";Graph theory;Matrices;Parallel algorithms;Linear programming;Scalability;Ear;Process design;Algorithm design and analysis;"Research and development"","""",""16"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Using the dual path property of omega networks to obtain conflict-free message routing,""P. J. Bernhard";" D. J. Rosenkrantz"",""Department of Computer Science, Clemson University, Clemson, SC, USA";" Department of Computer Science, State University of New York, Albany, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1991"",""2"",""4"",""503"",""507"",""A strategy for dealing with communication conflicts that occur in omega networks is presented. The strategy operates by implementing the dual path property of omega networks, which allows the source and destination processors to reverse roles for some of the messages that are being transmitted. For certain message patterns, such a reversal produces a modified message pattern for which the network routes are disjoint. For a circuit switching mode in which the network links and switches are bidirectional, the disjoint set of routes for modified message pattern can be used to achieve conflict-free message transmission for the original message pattern. This strategy is investigated, and an efficient algorithm to determine whether it can be successfully applied to a given message pattern is presented.<>"",""1558-2183"","""",""10.1109/71.97906"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=97906"","""",""Routing";Switches;Switching circuits;Multiprocessor interconnection networks;Computer science;Multiprocessing systems;Added delay;Polynomials;"Wire"","""",""4"",""2"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
