"A Cloud Reservation System for Big Data Applications,""D. C. Marinescu"; A. Paya;" J. P. Morrison"",""Computer Science Department, University of Central Florida, Orlando, FL"; Computer Science Department, University of Central Florida, Orlando, FL;" Computer Science Department, University College Cork, Cork, Ireland"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""606"",""618"",""Emerging Big Data applications increasingly require resources beyond those available from a single server and may be expressed as a complex workflow of many components and dependency relationships-each component potentially requiring its own specific, and perhaps specialized, resources for its execution. Efficiently supporting this type of Big Data application is a challenging resource management problem for existing cloud environments. In response, we propose a two-stage protocol for solving this resource management problem. We exploit spatial locality in the first stage by dynamically forming rack-level coalitions of servers to execute a workflow component. These coalitions only exist for the duration of the execution of their assigned component and are subsequently disbanded, allowing their resources to take part in future coalitions. The second stage creates a package of these coalitions, designed to support all the components in the complete workflow. To minimize the communication and housekeeping overhead needed to form this package of coalitions, the technique of combinatorial auctions is adapted from market-based resource allocation. This technique has a considerably lower overhead for resource aggregation than the traditional hierarchically organized models. We analyze two strategies for coalition formation: the first, history-based uses information from past auctions to pre-form coalitions in anticipation of predicted demand";" the second one is a just-in-time-that builds coalitions only when support for specific workflow components is requested."",""1558-2183"","""",""10.1109/TPDS.2016.2594783"",""US National Science Foundation CCR(grant numbers:1525943)"; Simulation of Quantum Many-Body Systems Feasible on the Cloud(grant numbers:H2020 EU); Irish Centre for Cloud Computing and Commerce;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7523396"",""Big data applications";cloud resource management;hierarchical organization;coalition formation;"combinatorial auctions"",""Cloud computing";Resource management;Servers;Big data;Organizations;Computers;"Google"","""",""15"","""",""39"",""IEEE"",""27 Jul 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LazyCtrl: A Scalable Hybrid Network Control Plane Design for Cloud Data Centers,""K. Zheng"; L. Wang; B. Yang; Y. Sun;" S. Uhlig"",""Huawei Technologies, Beijing, China"; SnT, University of Luxembourg, Luxembourg; IBM Research, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China;" Queen Mary University of London, London, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""115"",""127"",""The advent of software defined networking enables flexible, reliable and feature-rich control planes for data center networks. However, the tight coupling of centralized control and complete visibility leads to a wide range of issues among which scalability has risen to prominence due to the excessive workload on the central controller. By analyzing the traffic patterns from a couple of production data centers, we observe that data center traffic is usually highly skewed and thus edge switches can be clustered into a set of communication-intensive groups according to traffic locality. Motivated by this observation, we present LazyCtrl, a novel hybrid control plane design for data center networks where network control is carried out by distributed control mechanisms inside independent groups of switches while complemented with a global controller. LazyCtrl aims at bringing laziness to the global controller by dynamically devolving most of the control tasks to independent switch groups to process frequent intra-group events near the datapath while handling rare inter-group or other specified events by the controller. We implement LazyCtrl and build a prototype based on Open vSwitch and Floodlight. Trace-driven experiments on our prototype show that an effective switch grouping is easy to maintain in multi-tenant clouds and the central controller can be significantly shielded by staying “lazy”, with its workload reduced by up to 82 percent."",""1558-2183"","""",""10.1109/TPDS.2016.2558512"",""National Basic Research Program of China(grant numbers:2012CB315802)"; Natural Science Foundation of China(grant numbers:61520106005,61379133);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460089"",""Software defined networks";network control;data center;"cloud computing"",""Cloud computing";Scalability;Distributed databases;Decentralized control;"Centralized control"","""",""12"","""",""38"",""IEEE"",""27 Apr 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Leader Set Selection for Low-Latency Geo-Replicated State Machine,""S. Liu";" M. Vukolić"",""College of Computer Science, National University of Defense Technology, Changsha, China";" IBM Research-Zurich, Rueschlikon, Switzerland"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2017"",""2017"",""28"",""7"",""1933"",""1946"",""Modern planetary scale distributed systems largely rely on a State Machine Replication protocol to keep their service reliable, yet it comes with a specific challenge: latency, bounded by the speed of light. In particular, clients of a single-leader protocol, such as Paxos, must communicate with the leader which must in turn communicate with other replicas: inappropriate selection of a leader may result in unnecessary round-trips across the globe. To cope with this limitation, several all-leader and leaderless alternatives have been proposed recently. Unfortunately, none of them fits all circumstances. In this article we argue that the “right” choice of the number of leaders depends on a given replica configuration and the workload. Then we present ${\mathsf {Droopy}}$  and  ${\mathsf {Dripple}}$ , two sister approaches built upon state machine replication protocols. ${\mathsf {Droopy}}$  dynamically reconfigures the set of leaders. Whereas, ${\mathsf {Dripple}}$  coordinates state partitions wisely, so that each partition can be reconfigured (by ${\mathsf {Droopy}}$ ) separately. Our experimental evaluation on Amazon EC2 shows that,  ${\mathsf {Droopy}}$  and ${\mathsf {Dripple}}$  reduce latency under imbalanced or localized workloads, compared to their native protocol. When most requests are non-commutative, our approaches do not affect the performance of their native protocol and both outperform a state-of-the-art leaderless protocol."",""1558-2183"","""",""10.1109/TPDS.2016.2636148"",""EU H2020(grant numbers:643964)"; Swiss Secretariat for Education, Research and Innovation(grant numbers:15.0025); National Key Research and Development Program(grant numbers:2016YFB1000101); China Scholarship Council;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7774985"",""State machine replication";geo-replication;latency optimization;"state-partitioning"",""Protocols";Gold;Indexes;Computer crashes;Reliability;Delays;"Commutation"","""",""11"","""",""31"",""IEEE"",""6 Dec 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Leaky Buffer: A Novel Abstraction for Relieving Memory Pressure from Cluster Data Processing Frameworks,""Z. Liu";" T. S. E. Ng"",""Computer Science Department, Rice University, Houston, TX";" Computer Science Department, Rice University, Houston, TX"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""128"",""140"",""The shift to the in-memory data processing paradigm has had a major influence on the development of cluster data processing frameworks. Numerous frameworks from the industry, open source community and academia are adopting the in-memory paradigm to achieve functionalities and performance breakthroughs. However, despite the advantages of these in-memory frameworks, in practice they are susceptible to memory-pressure related performance collapse and failures. The contributions of this paper are twofold. First, we conduct a detailed diagnosis of the memory pressure problem and identify three preconditions for the performance collapse. These preconditions not only explain the problem but also shed light on the possible solution strategies. Second, we propose a novel programming abstraction called the leaky bufferthat eliminates one of the preconditions, thereby addressing the underlying problem. We have implemented a leaky buffer enabled hashtable in Spark, and we believe it is also able to substitute the hashtable that performs similar hash aggregation operations in any other programs or data processing frameworks. Experiments on a range of memory intensive aggregation operations show that the leaky buffer abstraction can drastically reduce the occurrence of memoryrelated failures, improve performance by up to 507 percent and reduce memory usage by up to 87.5 percent."",""1558-2183"","""",""10.1109/TPDS.2016.2546909"",""NSF(grant numbers:CNS1422925,CNS1305379,CNS1162270)"; IBM; Microsoft; Rice University Computer Science Graduate Fellowship;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7442158"",""C.2.4.b Distributed applications";C.2.4 distributed systems;C.2 communication/networking and information technology;C computer systems organization;C.4.a design studies;C.4 performance of systems;C computer systems organization;D.1.0 general;D.1 programming techniques;D software/software engineering;D.2.10.a design concepts;D.2.10 design;D.2 software engineering;D software/software engineering;E.0 general;"E data"",""Data processing";Sparks;Random access memory;Memory management;Industries;Programming;"Servers"","""",""9"","""",""41"",""IEEE"",""25 Mar 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Leveraging Adaptive I/O to Optimize Collective Data Shuffling Patterns for Big Data Analytics,""B. Nicolae"; C. H. A. Costa; C. Misale; K. Katrinis;" Y. Park"",""IBM Research, Dublin, Ireland"; IBM Thomas J. Watson Research Center, Yorktown Heights, NY; University of Torino, Torino, Italy; IBM Research, Dublin, Ireland;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2017"",""2017"",""28"",""6"",""1663"",""1674"",""Big data analytics is an indispensable tool in transforming science, engineering, medicine, health-care, finance and ultimately business itself. With the explosion of data sizes and need for shorter time-to-solution, in-memory platforms such as Apache Spark gain increasing popularity. In this context, data shuffling, a particularly difficult transformation pattern, introduces important challenges. Specifically, data shuffling is a key component of complex computations that has a major impact on the overall performance and scalability. Thus, speeding up data shuffling is a critical goal. To this end, state-of-the-art solutions often rely on overlapping the data transfers with the shuffling phase. However, they employ simple mechanisms to decide how much data and where to fetch it from, which leads to sub-optimal performance and excessive auxiliary memory utilization for the purpose of prefetching. The latter aspect is a growing concern, given evidence that memory per computation unit is continuously decreasing while interconnect bandwidth is increasing. This paper contributes a novel shuffle data transfer strategy that addresses the two aforementioned dimensions by dynamically adapting the prefetching to the computation. We implemented this novel strategy in Spark, a popular inmemory data analytics framework. To demonstrate the benefits of our proposal, we run extensive experiments on an HPC cluster with large core count per node. Compared with the default Spark shuffle strategy, our proposal shows: up to 40 percent better performance with 50 percent less memory utilization for buffering and excellent weak scalability."",""1558-2183"","""",""10.1109/TPDS.2016.2627558"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7740885"",""Distributed systems";big data analytics;Spark;data shuffling;scalable I/O;memory efficient concurrent data transfers;I/O load balancing;"elastic buffering"",""Sparks";Memory management;Data transfer;Big data;Context;Scalability;"Explosions"","""",""19"","""",""31"",""IEEE"",""10 Nov 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Leveraging Time Prediction and Error Compensation to Enhance the Scalability of Parallel Multi-Core Simulations,""X. Zhu"; J. Wu;" T. Li"",""College of Computer Science and Engineering, Anhui University of Science and Technology, China"; Suzhou Institute for Advanced Study, University of Science and Technology of China, Hefei, China;" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2017"",""2017"",""28"",""9"",""2553"",""2566"",""Due to synchronization overhead, it is challenging to apply the parallel simulation technique of multi-core processors at larger scales. Although the use of lax synchronization schemes could reduce overhead and balance the load between synchronous points, it introduces timing error and deteriorates simulation accuracy. Through observing the propagation paths of errors, we find that these paths always concentrate on some pivotal events. Based on the observation, we design a delay-calibration mechanism to alleviate errors. We decouple the timing and functional processes of the pivotal events, leveraging prediction technique of delays to connect two categories of the processes. Errors are traced throughout the timing processes of the pivotal events, and are deducted from the predicted delays before the delays are consumed by the functional processes. Therefore, through cleaning the errors at the successive pivot events, the mechanism decreases the simulated time deviations efficiently. Since the prediction and error deduction processes do not have any constraint on synchronizations, our approach largely maintains the scalability of lax synchronization schemes. Furthermore, our proposal is orthogonal to other parallel simulation techniques and can be used in conjunction with them. Experimental results show that error compensation improves the accuracy of lax synchronized simulations by 68 percent and achieves 97.8 percent accuracy when combined with an enhanced lax synchronization."",""1558-2183"","""",""10.1109/TPDS.2016.2612633"",""National Natural Science Foundation of China(grant numbers:61272132)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7574321"",""Multi-core architecture modeling";parallel simulation;synchronization;"timing error"",""Synchronization";Delays;Multicore processing;Error compensation;"Load modeling"","""",""1"","""",""24"",""IEEE"",""22 Sep 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lightweight Virtual Memory Support for Zero-Copy Sharing of Pointer-Rich Data Structures in Heterogeneous Embedded SoCs,""P. Vogel"; A. Marongiu;" L. Benini"",""Integrated Systems Laboratory, ETH Zurich, Zurich, Switzerland"; Electrical, Electronic, and Information Engineering Department of the University of Bologna, Bologna, Italy;" Electrical, Electronic, and Information Engineering Department of the University of Bologna, Bologna, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2017"",""2017"",""28"",""7"",""1947"",""1959"",""While high-end heterogeneous systems are increasingly supporting heterogeneous uniform memory access (hUMA), their low-power counterparts still lack basic features like virtual memory support for accelerators. Instead of simply passing pointers, explicit data management involving copies is needed which hampers programmability and performance. In this work, we evaluate a mixed hardware/software solution for lightweight virtual memory support for many-core accelerators in heterogeneous embedded systems-on-chip. Based on an input/output translation lookaside buffer managed by a host kernel-level driver, and compiler extensions protecting the accelerator's accesses to shared data, our solution is non-intrusive to the architecture of the accelerator cores, and enables zero-copy sharing of pointer-rich data structures."",""1558-2183"","""",""10.1109/TPDS.2016.2645219"",""EU 7th Framework Programme(grant numbers:FP7-611016)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7797491"",""Heterogeneous embedded systems on chip";programmable many-core accelerators;shared virtual memory;pointer-rich data structures;"graph processing"",""Data structures";Memory management;Support vector machines;Hardware;Acceleration;"Software"","""",""8"","""",""50"",""IEEE"",""26 Dec 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Limitations of Highly-Available Eventually-Consistent Data Stores,""H. Attiya"; F. Ellen;" A. Morrison"",""Computer Science Department, Technion—Israel Institute of Technology, Haifa, Israel"; Department of Computer Science, University of Toronto, Toronto, Canada;" Computer Science Department, Technion—Israel Institute of Technology, Haifa, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""141"",""155"",""Modern replicated data stores aim to provide high availability, by immediately responding to client requests, often by implementing objects that expose concurrency. Such objects, for example, multi-valued registers (MVRs), do not have sequential specifications. This paper explores a recent model for replicated data stores that can be used to precisely specify causalconsistency for such objects, and liveness properties like eventual consistency, without revealing details of the underlying implementation. The model is used to prove the following results: 1) An eventually consistent data store implementing MVRs cannot satisfy a consistency model strictly stronger than observable causal consistency (OCC). OCC is a model somewhat stronger than causal consistency, which captures executions in which client observations can use causality to infer concurrency of operations. This result holds under certain assumptions about the data store. 2) Under the same assumptions, an eventually consistent and causally consistent replicated data store must send messages of size linear in the size of the system: Ifs objects, each Ω(lg k)-bit in size, are supported by n replicas, then there is an execution in which an Ω(min{n, s}lg k)-bit message is sent."",""1558-2183"","""",""10.1109/TPDS.2016.2556669"",""Israel Science Foundation(grant numbers:1227/10,1749/14)"; Yad HaNadiv Foundation; Israel Science Foundation(grant numbers:1227/10,1749/14); Yad HaNadiv Foundation; Natural Science and Engineering Research Council of Canada;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7457259"",""Replicated data store";causal consistency;"eventual consistency"",""Data models";Distributed databases;Concurrent computing;Registers;Delays;Safety;"Computer science"","""",""22"","""",""31"",""IEEE"",""20 Apr 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Live VM Migration Under Time-Constraints in Share-Nothing IaaS-Clouds,""K. Tsakalozos"; V. Verroios; M. Roussopoulos;" A. Delis"",""Canonical Ltd, London, United Kindom"; Stanford University, Stanford, CA; University of Athens, Athens, Greece;" University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2017"",""2017"",""28"",""8"",""2285"",""2298"",""Live VMmigration helps attain both cloud-wide load balancing and operational consolidation while the migrating VMs remain accessible to users. To avoid periods of high-load for the involved resources, IaaS-cloud operators assign specific time windows for such migrations to occur in an orderly manner. Moreover, providers typically rely on share-nothing architectures to attain scalability. In this paper, we focus on the real-time scheduling of live VM migrations in large share-nothing IaaS clouds, such that migrations are completed on time and without adversely affecting agreed-upon SLAs. We propose a scalable, distributed network of brokers that oversees the progress of all on-going migration operations within the context of a provider. Brokers make use of an underlying special purpose file system, termed MigrateFS, that is capable of both replicating and keeping in sync virtual disks while the hypervisor livemigrates VMs (i.e., RAM and CPU state). By limiting the resources consumed during migration, brokers implement policies to reduce SLA violations while seeking to complete all migration tasks on time. We evaluate two such policies, one based on task prioritization and a second that considers the financial implications set by migration deadline requirements. Using our MigrateFS prototype operating on a real cloud, we demonstrate the feasibility of performing migrations within time windows. By simulating large clouds, we assess the effectiveness of our proposed broker policies in a share-nothing configuration";" we also demonstrate that our approach stresses 24 percent less an already saturated network if compared to an unsupervised set up."",""1558-2183"","""",""10.1109/TPDS.2017.2658572"",""EU"; FP7; ERC(grant numbers:279237);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7833184"",""Distributed systems";cloud computing;IaaS  clouds;"virtual machine migration"",""Cloud computing";Synchronization;Resource management;Load management;Scalability;Real-time systems;"Random access memory"","""",""53"","""",""42"",""IEEE"",""25 Jan 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Load Balancing at the Edge of Chaos: How Self-Organized Criticality Can Lead to Energy-Efficient Computing,""J. L. J. Jiménez Laredo"; F. Guinand; D. Olivier;" P. Bouvry"",""Normandie Univ, LITIS, Le Havre, France"; Normandie Univ, UNIHAVRE, UNIROUEN, INSA Rouen, LITIS, Le Havre, France; Normandie Univ, LITIS, Le Havre, France;" CSC/SnT, University of Luxembourg, Luxembourg City, Luxembourg"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2017"",""2017"",""28"",""2"",""517"",""529"",""This paper investigates a self-organized critical approach for dynamically load-balancing computational workloads. The proposed model is based on the Bak-Tang-Wiesenfeld sandpile: a cellular automaton that works in a critical regime at the edge of chaos. In analogy to grains of sand, tasks arrive and pile up on the different processing elements or sites of the system. When a pile exceeds a certain threshold, it collapses and initiates an avalanche of migrating tasks, i.e., producing load-balancing. We show that the frequency of such avalanches is in power-law relation with their sizes, a scale-invariant fingerprint of self-organized criticality that emerges without any tuning of parameters. Such an emergent pattern has organic properties such as the self-organization of tasks into resources or the self-optimization of the computing performance. The conducted experimentation also reveals that the system has a critical attractor in the point in which the arrival rate of tasks equals the processing power of the system. Taking advantage of this fact, we hypothesize that the processing elements can be turned on and off depending on the state of the workload as to maximize the utilization of resources. An interesting side effect is that the overall energy consumption of the system is minimized without compromising the quality of service."",""1558-2183"","""",""10.1109/TPDS.2016.2582160"",""Upper Normandy Region GRR-MRT PROTEC project"; TERA-MRT; Luxembourg INTER/CNRS/11/03 Green@ Cloud project;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7494682"",""Energy efficiency";nonlinear dynamical systems;distributed computing;"scheduling algorithms"",""Chaos";Load modeling;Automata;Quality of service;Energy consumption;Complex systems;"Scheduling"","""",""16"","""",""34"",""IEEE"",""20 Jun 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Managing Battery Aging for High Energy Availability in Green Datacenters,""L. Liu"; H. Sun; C. Li; T. Li; J. Xin;" N. Zheng"",""School of Electrical and Information Engineering, Xi'an Jiaotong University, Xi'an, China"; School of Electrical and Information Engineering, Xi'an Jiaotong University, Xi'an, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL; School of Electrical and Information Engineering, Xi'an Jiaotong University, Xi'an, China;" School of Electrical and Information Engineering, Xi'an Jiaotong University, Xi'an, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2017"",""2017"",""28"",""12"",""3521"",""3536"",""Energy storage devices (ESD), such as UPS batteries, have been repurposed in datacenter as a promising tuning knob for peak power shaving and power cost reducing. However, batteries progressively aging due to irregular usage patterns, which result in less effective capacity and even pose serious threat to server availability. Nevertheless, prior proposals largely ignore the aging issues of battery which may lead to low energy availability for datacenter servers. To fill this critical void, we thoroughly investigate battery aging on a heavily instrumented prototype system over an observation period of ten months. We propose Battery Anti-Aging Treatment Plus (BAAT-P), a novel power delivery architecture included aging management algorithms from the perspective of computing system to hide, reduce, mitigate and plan the battery aging effects for high energy availability in datacenter. Our techniques exploit diverse battery aging mechanisms and dynamic aging management algorithms to provide system-level availability guarantee for datacenter. We evaluate the BAAT-P design with a real prototype. Compared with a battery powered datacenter without aging management policies, the results show that BAAT-P can extend battery lifetime by 72 percent, reduce battery cost by 33 percent and effectively improve energy availability for datacenter servers while maintaining workload performance for the performance critical workloads."",""1558-2183"","""",""10.1109/TPDS.2017.2712778"",""NSF(grant numbers:1423090,1320100,1117261)"; NSFC(grant numbers:61602368,61502302); National Key Research and Development Program of China(grant numbers:2016YFB0200501); China Postdoctoral Science Foundation(grant numbers:168236);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942036"",""Green datacenters";battery aging management;power management;"availability"",""Batteries";Aging;Servers;Green products;Computer architecture;"Heuristic algorithms"","""",""18"","""",""68"",""IEEE"",""7 Jun 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Managing Resource Limitation of Best-Effort HTM,""M. Mohamedin"; R. Palmieri; A. Hassan;" B. Ravindran"",""University of Alexandria, Alexandria, Egypt"; Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA; University of Alexandria, Alexandria, Egypt;" Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2017"",""2017"",""28"",""8"",""2299"",""2313"",""The first release of hardware transactional memory (HTM) as commodity processor posed the question of how to efficiently handle its best-effort nature. In this paper we present Part-HTM, a hybrid transactional memory protocol that solves the problem of transactions aborted due to the resource limitations (space/time) of current best-effort HTM. The basic idea of Part-HTM is to partition those transactions into multiple sub-transactions, which can likely be committed in hardware. Due to the eager nature of HTM, we designed a low-overhead software framework to preserve transaction's correctness (with and without opacity) and isolation. Part-HTM is effective: our evaluation study confirms that its performance is the best in all tested cases, except for those where HTM cannot be outperformed. However, in such a workload, Part-HTM still performs better than all other software and hybrid competitors."",""1558-2183"","""",""10.1109/TPDS.2017.2668415"",""Air Force Office of Scientific Research (AFOSR)(grant numbers:FA9550-14-1-0187)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7852519"",""Transactional memory";hardware transactions;"concurrency"",""Hardware";Software;Protocols;Synchronization;Memory management;Instruments;"Proposals"","""",""3"","""",""38"",""IEEE"",""13 Feb 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Measuring Scale-Up and Scale-Out Hadoop with Remote and Local File Systems and Selecting the Best Platform,""Z. Li";" H. Shen"",""Department of Computer Science, University of Virginia, Charlottesville, VA";" Department of Computer Science, University of Virginia, Charlottesville, VA"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2017"",""2017"",""28"",""11"",""3201"",""3214"",""MapReduce is a popular computing model for parallel data processing on large-scale datasets, which can vary from gigabytes to terabytes and petabytes. Though Hadoop MapReduce normally uses Hadoop Distributed File System (HDFS) local file system, it can be configured to use a remote file system. Then, an interesting question is raised: for a given application, which is the best running platform among the different combinations of scale-up and scale-out Hadoop with remote and local file systems. However, there has been no previous research on how different types of applications (e.g., CPU-intensive, data-intensive) with different characteristics (e.g., input data size) can benefit from the different platforms. Thus, in this paper, we conduct a comprehensive performance measurement of different applications on scale-up and scale-out clusters configured with HDFS and a remote file system (i.e., OFS), respectively. We identify and study how different job characteristics (e.g., input data size, the number of file reads/writes, and the amount of computations) affect the performance of different applications on the different platforms. Based on the measurement results, we also propose a performance prediction model to help users select the best platforms that lead to the minimum latency. Our evaluation using a Facebook workload trace demonstrates the effectiveness of our prediction model. This study is expected to provide a guidance for users to choose the best platform to run different applications with different characteristics in the environment that provides both remote and local storage, such as HPC cluster and cloud environment."",""1558-2183"","""",""10.1109/TPDS.2017.2712635"",""U.S. NSF(grant numbers:ACI-1719397,CNS-1733596)"; Microsoft Research(grant numbers:8300751);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7940040"",""MapReduce";Hadoop;scale-up;scale-out;remote file system;local file system;"job characteristics"",""Random access memory";Predictive models;File systems;Distributed databases;Program processors;Computational modeling;"Facebook"","""",""17"","""",""46"",""IEEE"",""6 Jun 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Minimizing Delay in Network Function Virtualization with Shared Pipelines,""O. Rottenstreich"; I. Keslassy; Y. Revah;" A. Kadosh"",""Princeton University, Princeton, NJ"; Department of Electrical Engineering, Technion, Haifa, Israel; Marvell Israel, Yokneam, Israel;" Marvell Israel, Yokneam, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""156"",""169"",""Pipelines are widely used to increase throughput in multi-core chips by parallelizing packet processing while relying on virtualization. Typically, each packet type is served by a dedicated pipeline with several cores, each implementing a network service. However, with the increase in the number of packet types and their number of required services, there are not enough cores for pipelines. In this paper, we study pipeline sharing, such that a single pipeline can be used to serve several packet types. Pipeline sharing decreases the needed total number of cores, but typically increases pipeline lengths and therefore packet delays. We consider two novel optimization problems of allocating cores between different packet types such that the average or the worst-case delay is minimized. We study the two problems and suggest optimal algorithms that apply under different assumptions on the input. We also present greedy algorithms for the general case. Last, we examine our solutions on synthetic examples as well as on real-life applications and demonstrate that they often achieve close-to-optimal delays."",""1558-2183"","""",""10.1109/TPDS.2016.2556670"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7457328"",""Network function virtualization";multicore optimization;"network processors"",""Pipelines";Delays;Multicore processing;Pipeline processing;Virtualization;"Program processors"","""",""20"","""",""19"",""IEEE"",""20 Apr 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mitigating Service Variability in MapReduce Clusters via Task Cloning: A Competitive Analysis,""H. Xu"; W. C. Lau; Z. Yang; G. de Veciana;" H. Hou"",""College of Computer Science and Technology, Dongguan University of Technology, Dongguan, China"; Department of Information Engineering, The Chinese University of Hong Kong, Shatin, Hong Kong; Department of Information Engineering, The Chinese University of Hong Kong, Shatin, Hong Kong; Department of Electrical and Computer Engineering, The University of Texas, Austin, TX;" College of Electronic Engineering, Dongguan University of Technology, Dongguan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Sep 2017"",""2017"",""28"",""10"",""2866"",""2880"",""Measurement traces from real-world production environment show that the execution time of tasks within a MapReduce job varies widely due to the variability in machine service capacity. This variability issue makes efficient job scheduling over large-scale MapReduce clusters extremely challenging. To tackle this problem, we adopt the task cloning approach to mitigate the effect of machine variability and design corresponding scheduling algorithms so as to minimize the overall job flowtime in different scenarios. For offline scheduling where all jobs arrive at the same time, we design an $O(1)$ -competitive algorithm, which gives priorities to jobs with small effective workload. We then extend this offline algorithm to yield the so-called Smallest Remaining Effective Workload based $\beta$ -fraction Sharing plus Cloning algorithm (SREW+C($\beta$ )) for the online case. We also show that SREW+C($\beta$ ) is  $(1+ 2\beta + \epsilon)$ -speed  $O(\frac{1}{\beta \epsilon })$ -competitive with respect to the sum of job flowtime within a cluster. We demonstrate via trace-driven simulations that SREW+C( $\beta$ ) can significantly reduce the overall job flowtime by cutting down the elapsed time of small jobs substantially. In particular, SREW+C($\beta$ ) reduces the total job flowtime by 14, 10 and 11 percent respectively when comparing to Mantri, Dolly and Grass."",""1558-2183"","""",""10.1109/TPDS.2017.2689767"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890998"",""MapReduce";job scheduling;cloning;job flowtime;"competitive performance ratio"",""Cloning";Redundancy;Algorithm design and analysis;Scheduling;Electronic mail;"Scheduling algorithms"","""",""3"","""",""38"",""IEEE"",""31 Mar 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
