"A Bi-layered Parallel Training Architecture for Large-Scale Convolutional Neural Networks,""J. Chen"; K. Li; K. Bilal; x. zhou; K. Li;" P. S. Yu"",""National Supercomputing Center in Changsha, Hunan, Changsha, China"; National Supercomputing Center in Changsha, Hunan, Changsha, China; Qatar University, Doha, Qatar; National Supercomputing Center in Changsha, Hunan, Changsha, China; Department of Computer Science, State University of New York, New Paltz, NY, USA;" Department of Computer Science, University of Illinois at Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""965"",""976"",""Benefitting from large-scale training datasets and the complex training network, Convolutional Neural Networks (CNNs) are widely applied in various fields with high accuracy. However, the training process of CNNs is very time-consuming, where large amounts of training samples and iterative operations are required to obtain high-quality weight parameters. In this paper, we focus on the time-consuming training process of large-scale CNNs and propose a Bi-layered Parallel Training (BPT-CNN) architecture in distributed computing environments. BPT-CNN consists of two main components: (a) an outer-layer parallel training for multiple CNN subnetworks on separate data subsets, and (b) an inner-layer parallel training for each subnetwork. In the outer-layer parallelism, we address critical issues of distributed and parallel computing, including data communication, synchronization, and workload balance. A heterogeneous-aware Incremental Data Partitioning and Allocation (IDPA) strategy is proposed, where large-scale training datasets are partitioned and allocated to the computing nodes in batches according to their computing power. To minimize the synchronization waiting during the global weight update process, an Asynchronous Global Weight Update (AGWU) strategy is proposed. In the inner-layer parallelism, we further accelerate the training process for each CNN subnetwork on each computer, where computation steps of convolutional layer and the local weight training are parallelized based on task-parallelism. We introduce task decomposition and scheduling strategies with the objectives of thread-level load balancing and minimum waiting time for critical paths. Extensive experimental results indicate that the proposed BPT-CNN effectively improves the training performance of CNNs while maintaining the accuracy."",""1558-2183"","""",""10.1109/TPDS.2018.2877359"",""National Key R&D Program of China(grant numbers:2016YFB0200201)"; National Outstanding Youth Science Program of National Natural Science Foundation of China(grant numbers:61625202); International Postdoctoral Exchange Fellowship Program(grant numbers:2018024); China Postdoctoral Science Foundation(grant numbers:2018T110829); National Science Foundation(grant numbers:IIS-1526499,IIS-1763325,CNS-1626432); NSFC(grant numbers:61672313);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502141"",""Big data";bi-layered parallel computing;convolutional neural networks;deep learning;"distributed computing"",""Training";Computer architecture;Computational modeling;Parallel processing;Task analysis;Distributed computing;"Acceleration"","""",""132"","""",""26"",""IEEE"",""21 Oct 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Hierarchical Hybrid Memory Management in OS for Tiered Memory Systems,""L. Liu"; S. Yang; L. Peng;" X. Li"",""SKLCA, Sys-Inventor Lab, Haidian District, Beijing, China"; SKLCA, Sys-Inventor Lab, Haidian District, Beijing, China; Division of Electrical & Computer Engineering, Louisiana State University, Baton Rouge, LA, USA;" SKLCA, Sys-Inventor Lab, Haidian District, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Sep 2019"",""2019"",""30"",""10"",""2223"",""2236"",""The emerging hybrid DRAM-NVM architecture is challenging the existing memory management mechanism at the level of the architecture and operating system. In this paper, we introduce Memos, a memory management framework which can hierarchically schedule memory resources over the entire memory hierarchy including cache, channels, and main memory comprising DRAM and NVM simultaneously. Powered by our newly designed kernel-level monitoring module that samples the memory patterns by combining TLB monitoring with page walks, and page migration engine, Memos can dynamically optimize the data placement in the memory hierarchy in response to the memory access pattern, current resource utilization, and memory medium features. Our experimental results show that Memos can achieve high memory utilization, improving system throughput by around 20.0 percent"; reduce the memory energy consumption by up to 82.5 percent;" and improve the NVM lifetime by up to 34X."",""1558-2183"","""",""10.1109/TPDS.2019.2908175"",""National Key Research and Development Plan of China(grant numbers:2017YFB1001602)"; NSF(grant numbers:61502452);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8676386"",""Memory";DRAM;NVM;operating system;"scheduling"",""Random access memory";Memory management;Nonvolatile memory;Bandwidth;Monitoring;Operating systems;"Throughput"","""",""30"","""",""83"",""IEEE"",""29 Mar 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"High-Performance Tucker Factorization on Heterogeneous Platforms,""S. Oh"; N. Park; J. -G. Jang; L. Sael;" U. Kang"",""Department of Computer Science and Engineering, Seoul National University, Seoul, Republic of Korea"; Computer Science Department, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Computer Science and Engineering, Seoul National University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Seoul National University, Seoul, Republic of Korea;" Department of Computer Science and Engineering, Seoul National University, Seoul, Republic of Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Sep 2019"",""2019"",""30"",""10"",""2237"",""2248"",""Given large-scale multi-dimensional data (e.g., (user, movie, time";" rating) for movie recommendations), how can we extract latent concepts/relations of such data? Tensor factorization has been widely used to solve such problems with multi-dimensional data, which are modeled as tensors. However, most tensor factorization algorithms exhibit limited scalability and speed since they require huge memory and heavy computational costs while updating factor matrices. In this paper, we propose GTA, a general framework for Tucker factorization on heterogeneous platforms. GTA performs alternating least squares with a row-wise update rule in a fully parallel way, which significantly reduces memory requirements for updating factor matrices. Furthermore, GTA provides two algorithms: GTA-PART for partially observable tensors and GTA-FULL for fully observable tensors, both of which accelerate the update process using GPUs and CPUs. Experimental results show that GTA exhibits 5.6~44.6× speed-up for large-scale tensors compared to the state-of-the-art. In addition, GTA scales near linearly with the number of GPUs and computing nodes used for experiments."",""1558-2183"","""",""10.1109/TPDS.2019.2908639"",""National Research Foundation of Korea"; Ministry of Science, ICT and Future Planning(grant numbers:NRF-2016M3C4A7952587); ICT; Seoul National University provides research facilities; The Institute of Engineering Research; Seoul National University provided research facilities;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8678477"",""Tensor analysis";tucker factorization;heterogeneous computing;GPGPU;"OpenCL"",""Memory management";Computer science;Graphics processing units;Motion pictures;Scalability;"Heterogeneous networks"","""",""18"","""",""42"",""IEEE"",""31 Mar 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"HitGraph: High-throughput Graph Processing Framework on FPGA,""S. Zhou"; R. Kannan; V. K. Prasanna; G. Seetharaman;" Q. Wu"",""Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA"; US Army Research Lab, Los Angeles, CA, USA; Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA; US Naval Research Laboratory, Washington, DC, USA;" Air Force Research Laboratory, Rome, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Sep 2019"",""2019"",""30"",""10"",""2249"",""2264"",""This paper presents, HitGraph, an FPGA framework to accelerate graph processing based on the edge-centric paradigm. HitGraph takes in an edge-centric graph algorithm and hardware resource constraints, determines design parameters and then generates a Register Transfer Level (RTL) FPGA design. This makes accelerator design for various graph analytics transparent and user-friendly by masking internal details of the accelerator design process. HitGraph enables increased data reuse and parallelism through novel algorithmic optimizations, including (1) an optimized data layout that reduces non-sequential external memory accesses, (2) an efficient update merging and filtering scheme to reduce the data communication between the FPGA and external memory, and (3) a partition skipping scheme to reduce redundant edge traversals for non-stationary graph algorithms. Based on our design methodology, we accelerate Sparse Matrix Vector Multiplication (SpMV), PageRank (PR), Single Source Shortest Path (SSSP), and Weakly Connected Component (WCC). Experimental results show that HitGraph sustains a high throughput of 2076 Million Traversed Edges Per Second (MTEPS) for SpMV, 2225 MTEPS for PR, 2916 MTEPS for SSSP, and 3493 MTEPS for WCC, respectively. Compared with highly-optimized multi-core implementations, HitGraph achieves up to 37.9× speedup. Compared with state-of-the-art FPGA frameworks, HitGraph achieves up to 50.7× throughput improvement."",""1558-2183"","""",""10.1109/TPDS.2019.2910068"",""Intel Strategic Research Alliance funding"; U.S. National Science Foundation(grant numbers:ACI-1339756,CNS-1643351); Air Force Research Laboratory(grant numbers:FA8750-18-2-0034);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8685122"",""FPGA framework";graph processing;"energy-efficient acceleration"",""Field programmable gate arrays";Acceleration;Optimization;Sparse matrices;Throughput;Program processors;"Memory management"","""",""56"","""",""51"",""IEEE"",""11 Apr 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"HSDC: A Highly Scalable Data Center Network Architecture for Greater Incremental Scalability,""Z. Zhang"; Y. Deng; G. Min; J. Xie; L. T. Yang;" Y. Zhou"",""Department of Computer Science, Jinan University, Guangzhou, China"; the State Key Laboratory of Computer Architecture, Chinese Academy of Sciences, Beijing, China; College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter, United Kingdom; Department of Computer Science, Jinan University, Guangzhou, China; Department of Computer Science, St. Francis Xavier University, Antigonish, NS, Canada;" Department of Computer Science, Jinan University, Guangzhou, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""1105"",""1119"",""As the volume of data keeps growing rapidly, more and more storage devices, servers and network devices are continuously added into data centers to store, manage and analyze the data. The industry experience indicates that, instead of a huge number of servers added at a time, the data center network also expands gradually by adding a small number of servers from time to time. As a result, how to achieve an incremental scalability is becoming a very important challenge in designing modern data center network architectures in order to maintain the topological properties unchanged when the size of data centers grows. In this paper, we propose a new type of data center network architecture named HSDC (High Scalability Data Center Network Architecture) based on the hypercube network. The HSDC is constructed by using $m$m-port switches and 2-port servers. The fault-tolerant routing algorithm designed in this paper for HSDC can be executed on any vertex and is able to construct a path between any pair of vertices. In order to achieve an incremental scalability, we further propose three types of incomplete HSDC structures that allow gradually adding servers into the structures, while maintaining all the topological properties. The simulation experiments and performance results demonstrate that the throughput of HSDC is comparable to that of Fat-Tree, BCube and DCell. Furthermore, the analysis results indicate that HSDC strikes a good balance among diameter, bisection width, incremental scalability, cost and energy consumption in contrast to the state-of-the-art data center network architectures."",""1558-2183"","""",""10.1109/TPDS.2018.2874659"",""National Natural Science Foundation of China(grant numbers:61872165,61572232)"; Key Laboratory of Computer System and Architecture; Institute of Computing Technology, Chinese Academy of Sciences(grant numbers:CARCH201705);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8485759"",""Data center";interconnection network;network topology;hypercube;incremental scalability;"routing algorithm"",""Servers";Data centers;Hypercubes;Scalability;Network architecture;"Switches"","""",""31"","""",""42"",""IEEE"",""7 Oct 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"HyConv: Accelerating Multi-Phase CNN Computation by Fine-Grained Policy Selection,""X. Li"; G. Zhang; Z. Wang;" W. Zheng"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Jan 2019"",""2019"",""30"",""2"",""388"",""399"",""Existing GPU-based approaches cannot yet meet the performance requirement for training very large convolutional neural networks (CNNs), where convolutional layers (Conv-layers) dominate the training time. In this paper, we find that no single convolution policy can always perform the fastest across all the computing phases. Then, we propose an approach called HyConv to accelerating multi-phase CNN computation by fine-grained policy selection. HyConv encapsulates existing convolution policies into a set of modules, and selects the fastest policy (a.k.a., winner policy) via one-round runtime measurement for computing each phase. Furthermore, HyConv uses a winner database to record the current winner policies, avoiding duplicate measurement later for the same parameter configuration. Our experimental results indicate that over all the used real-world CNN networks, HyConv consistently outperforms existing approaches on either a single GPU or four GPUs, with speedups of up to 3.3× and up to 1.6× over cuDNN-MM respectively. Such improvement can be explained by our result that HyConv delivers obviously better performance for most of single Conv-layers. Furthermore, HyConv has the ability to work with any parameter configuration and thus keeps better usability."",""1558-2183"","""",""10.1109/TPDS.2018.2864299"",""National Grand Fundamental Research 973 Program of China(grant numbers:2014CB340402)"; National Natural Science Foundation of China(grant numbers:61672315);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428450"",""Convolution policy";convolutional neural network;deep learning;general-purpose GPU;"parallel computing"",""Convolution";Usability;Kernel;Training;Graphics processing units;Acceleration;"Convolutional neural networks"","""",""5"","""",""40"",""IEEE"",""7 Aug 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Hytrace: A Hybrid Approach to Performance Bug Diagnosis in Production Cloud Infrastructures,""T. Dai"; D. Dean; P. Wang; X. Gu;" S. Lu"",""North Carolina State University, Raleigh, NC, USA"; InsightFinder Inc, Raleigh, NC, USA; North Carolina State University, Raleigh, NC, USA; North Carolina State University, Raleigh, NC, USA;" University of Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""107"",""118"",""Server applications running inside production cloud infrastructures are prone to various performance problems (e.g., software hang, performance slowdown). When those problems occur, developers often have little clue to diagnose those problems. In this paper, we present Hytrace, a novel hybrid approach to diagnosing performance problems in production cloud infrastructures. Hytrace combines rule-based static analysis and runtime inference techniques to achieve higher bug localization accuracy than pure-static and pure-dynamic approaches for performance bugs. Hytrace does not require source code and can be applied to both compiled and interpreted programs such as C/C++ and Java. We conduct experiments using real performance bugs from seven commonly used server applications in production cloud infrastructures. The results show that our approach can significantly improve the performance bug diagnosis accuracy compared to existing diagnosis techniques."",""1558-2183"","""",""10.1109/TPDS.2018.2858800"",""National Science Foundation(grant numbers:CNS1513942,CNS1149445)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417446"",""Static analysis";dynamic analysis;reliability, availability, and serviceability;debugging aids;"performance"",""Computer bugs";Production;Static analysis;Runtime;Sockets;Servers;"Tools"","""",""5"","""",""47"",""IEEE"",""23 Jul 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Improving Cache Performance for Large-Scale Photo Stores via Heuristic Prefetching Scheme,""K. Zhou"; S. Sun; H. Wang; P. Huang; X. He; R. Lan; W. Li; W. Liu;" T. Yang"",""Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China"; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China; Temple University, Philadelphia, PA, USA; Tencent Inc, Shenzhen, China; Tencent Inc, Shenzhen, China; Temple University, Philadelphia, PA, USA;" Huanghuai University, Zhumadian, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2019"",""2019"",""30"",""9"",""2033"",""2045"",""Photo service providers are facing critical challenges of dealing with the huge amount of photo storage, typically in a magnitude of billions of photos, while ensuring national-wide or world-wide satisfactory user experiences. Distributed photo caching architecture is widely deployed to meet high performance expectations, where efficient still mysterious caching policies play essential roles. In this work, we present a comprehensive study on internet-scale photo caching algorithms in the case of QQPhoto from Tencent Inc., the largest social network service company in China. We unveil that even advanced cache algorithms can only perform at a similar level as simple baseline algorithms and there still exists a large performance gap between these cache algorithms and the theoretically optimal algorithm due to the complicated access behaviors in such a large multi-tenant environment. We then expound the reasons behind this phenomenon via extensively investigating the characteristics of QQPhoto workloads. Finally, in order to realistically further improve QQPhoto cache efficiency, we propose to incorporate a prefetcher in the cache stack based on the observed immediacy feature that is unique to the QQPhoto workload. The prefetcher proactively prefetches selected photos into cache before they are requested for the first time to eliminate compulsory misses and promote hit ratios. Our extensive evaluation results show that with appropriate prefetching we improve the cache hit ratio by up to 7.4 percent, while reducing the average access latency by 6.9 percent at a marginal cost of 4.14 percent backend network traffic compared to the original system that performs no prefetching."",""1558-2183"","""",""10.1109/TPDS.2019.2902392"",""National Natural Science Foundation of China(grant numbers:61821003)"; National Key Research and Development Program of China(grant numbers:2016YFB0800402); National Science Foundation(grant numbers:CCF-1717660,CNS-1702474,CCF1813081);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8658007"",""Caching algorithm";distributed storage;photo storage;"cloud computing"",""Prefetching";Servers;Data centers;Social networking (online);Cloud computing;Sun;"Prediction algorithms"","""",""8"","""",""45"",""IEEE"",""4 Mar 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Improving Efficiency of Parallel Vertex-Centric Algorithms for Irregular Graphs,""M. M. Ozdal"",""Computer Engineering Department, Bilkent University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Sep 2019"",""2019"",""30"",""10"",""2265"",""2282"",""Memory access is known to be the main bottleneck for shared-memory parallel graph applications especially for large and irregular graphs. Propagation blocking (PB) idea was proposed recently to improve the parallel performance of PageRank and sparse matrix and vector multiplication operations. The idea is based on separating parallel computation into two phases, binning and accumulation, such that random memory accesses are replaced with contiguous accesses. In this paper, we propose an algorithm that allows execution of these two phases concurrently. We propose several improvements to increase parallel throughput, reduce memory overhead, and improve work efficiency. Our experimental results show that our proposed algorithms improve shared-memory parallel throughput by a factor of up to 2× compared to the original PB algorithms. We also show that the memory overhead can be reduced significantly (from 170 percent down to less than 5 percent) without significant degradation of performance. Finally, we demonstrate that our concurrent execution model allows asynchronous parallel execution, leading to significant work efficiency in addition to throughput improvements."",""1558-2183"","""",""10.1109/TPDS.2019.2906166"",""TUBITAK 2232 Program(grant numbers:116C079)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669966"",""Parallel algorithms";graph algorithms;sparse matrix vector multiplication (SpMV);sparse matrix sparse vector multiplication (SpMSpV);"high performance computing"",""Throughput";Memory management;Random access memory;Instruction sets;Sparse matrices;Computational modeling;"Indexes"","""",""3"","""",""46"",""IEEE"",""19 Mar 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Improving Restore Performance in Deduplication Systems via a Cost-Efficient Rewriting Scheme,""J. Wu"; Y. Hua; P. Zuo;" Y. Sun"",""Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China"; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China;" Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""119"",""132"",""In chunk-based deduplication systems, logically consecutive chunks are physically scattered in different containers after deduplication, which results in the serious fragmentation problem. The fragmentation significantly reduces the restore performance due to reading the scattered chunks from different containers. Existing work aims to rewrite the fragmented duplicate chunks into new containers to improve the restore performance, which however produces the redundancy among containers, decreasing the deduplication ratio and resulting in redundant chunks in containers retrieved to restore the backup, which wastes limited disk bandwidth and decreases restore speed. To improve the restore performance while ensuring the high deduplication ratio, this paper proposes a cost-efficient submodular maximization rewriting scheme (SMR). SMR first formulates the defragmentation as an optimization problem of selecting suitable containers, and then builds a submodular maximization model to address this problem by selecting containers with more distinct referenced chunks. Moveover, this paper further leverages the grouped form, i.e., GSMR, to reduce the fragmented chunks caused by the accumulated differences among backup versions. We implement SMR in the deduplication system, which is evaluated via three real-world datasets. Experimental results demonstrate that SMR is superior to the state-of-the-art work in terms of the restore performance as well as deduplication ratio, and GSMR further improves the restore performance. We have released the source code of SMR in Github for public use."",""1558-2183"","""",""10.1109/TPDS.2018.2852642"",""National Key Research and Development Program of China(grant numbers:2016YFB1000202)"; National Natural Science Foundation of China(grant numbers:61772212);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8402122"",""Data deduplication";restore performance;"rewriting scheme"",""Containers";Redundancy;Bandwidth;Indexes;Linux;Layout;"Sun"","""",""10"","""",""32"",""IEEE"",""3 Jul 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Improving the Performance and Energy Efficiency of GPGPU Computing through Integrated Adaptive Cache Management,""K. Y. Kim"; J. Park;" W. Baek"",""School of Electrical and Computer Engineering, UNIST, Ulsan, Republic of Korea"; School of Electrical and Computer Engineering, UNIST, Ulsan, Republic of Korea;" School of Electrical and Computer Engineering, UNIST, Ulsan, Republic of Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2019"",""2019"",""30"",""3"",""630"",""645"",""Hardware caches are widely employed in GPGPUs to achieve higher performance and energy efficiency. Incorporating hardware caches in GPGPUs, however, does not immediately guarantee enhanced performance and energy efficiency due to high cache contention and thrashing. To address the inefficiency of GPGPU caches, various adaptive techniques (e.g., warp limiting) have been proposed. However, relatively little work has been done in the context of creating an architectural framework that tightly integrates adaptive cache management techniques and investigating their effectiveness and interaction. To bridge this gap, we propose IACM, integrated adaptive cache management for high-performance and energy-efficient GPGPU computing. IACM integrates the state-of-the-art adaptive cache management techniques (i.e., cache indexing, bypassing, and warp limiting) in a unified architectural framework. Our quantitative evaluation demonstrates that IACM significantly improves the performance and energy efficiency of various GPGPU workloads over the baseline architecture (i.e., 98.1 and 61.9 percent on average, respectively), achieves considerably higher performance than the state-of-the-art technique (i.e., 361.4 percent at maximum and 7.7 percent on average), and delivers significant performance and energy-efficiency gains over the baseline GPGPU architecture enhanced with advanced architectural technologies."",""1558-2183"","""",""10.1109/TPDS.2018.2868658"",""National Research Foundation of Korea(grant numbers:NRF-2016M3C4A7952587)"; National Research Foundation of Korea(grant numbers:NRF-2018R1C1B6005961); Korea government (MSIP)(grant numbers:R0190-16-2012);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8454288"",""Integrated adaptive cache management";GPGPU computing;high performance;"energy efficiency"",""Computer architecture";Indexing;Limiting;Instruction sets;Hardware;Pathology;"Interference"","""","""","""",""31"",""IEEE"",""2 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Integrating Coflow and Circuit Scheduling for Optical Networks,""H. Wang"; X. Yu; H. Xu; J. Fan; C. Qiao;" L. Huang"",""School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China"; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China; Department of Computer Science and Engineering, State University of New York, Buffalo, NY, USA; Department of Computer Science and Engineering, State University of New York, Buffalo, NY, USA;" School of Computer Science and Technology, University of Science and Technology of China, Hefei, Anhui, China"",""IEEE Transactions on Parallel and Distributed Systems"",""14 May 2019"",""2019"",""30"",""6"",""1346"",""1358"",""There are more and more structured traffic flows (a.k.a coflow) in today's data center networks. Completing a coflow is extremely important for various applications, e.g., MapReduce. To reduce the coflow completion time or CCT, one may increase the link capacity by applying advanced optical circuit switches in data center networks. Due to special features of optical circuit switches, both traffic scheduling and circuit scheduling will influence the CCT. However, previous solutions have some significant limitations: they consider either coflow scheduling, or circuit scheduling for only one optical circuit switch, which are both insufficient. In this paper, we study the integrated coflow and circuit scheduling (GCCS) problem with the objective to minimize the CCT, and prove its NP-hardness. We present an integrated algorithm which includes two steps, coflow scheduling and circuit scheduling, respectively. We also analyze that the proposed algorithm can achieve the approximation ratio O(h) in most practical situations, where h is the maximum number of ports among all lightpaths. Through large-scale simulations, we demonstrate that the integrated solution can significantly reduce the CCT by about 43-70 percent compared with the state-of-the-art coflow scheduler for optical networks."",""1558-2183"","""",""10.1109/TPDS.2018.2889251"",""National Natural Science Foundation of China(grant numbers:61822210,U1709217,61472383,61728207,61472385)"; Anhui Initiative in Quantum Information Technologies(grant numbers:AHY150300); US National Science Foundation(grant numbers:CNS-1626374);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8587213"",""Optical networks";coflow scheduling;circuit scheduling;"approximation"",""Optical switches";Optical fiber networks;Optical buffering;Scheduling;"Optical packet switching"","""",""12"","""",""36"",""IEEE"",""23 Dec 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Integrating Concurrency Control in n-Tier Application Scaling Management in the Cloud,""Q. Wang"; H. Chen; S. Zhang; L. Hu;" B. Palanisamy"",""Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, LA, USA"; Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, LA, USA; Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, LA, USA; Computing and Information Sciences, Florida International University, Miami, FL, USA;" School of Information Sciences, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2019"",""2019"",""30"",""4"",""855"",""869"",""Scaling complex distributed systems such as e-commerce is an importance practice to simultaneously achieve high performance and high resource efficiency in the cloud. Most previous research focuses on hardware resource scaling to handle runtime workload variation. Through extensive experiments using a representative n-tier web application benchmark (RUBBoS), we demonstrate that scaling an n-tier system by adding or removing VMs without appropriately re-allocating soft resources (e.g., server threads and connections) may lead to significant performance degradation resulting from implicit change of request processing concurrency in the system, causing either over- or under-utilization of the critical hardware resource in the system. We build a concurrency-aware model that determines a near optimal soft resource allocation of each tier by combining some operational queuing laws and the fine-grained online measurement data of the system. We then develop a dynamic concurrency management (DCM) framework that integrates the concurrency-aware model to intelligently reallocate soft resources in the system during the system scaling process. We compare DCM with Amazon EC2-AutoScale, the state-of-the-art hardware only scaling management solution using six real-world bursty workload traces. The experimental results show that DCM achieves significantly shorter tail latency and higher throughput compared to Amazon EC2-AutoScale under all the workload traces."",""1558-2183"","""",""10.1109/TPDS.2018.2871086"",""US National Science Foundation(grant numbers:*****)"; Division of Computer and Network Systems(grant numbers:1566443); Louisiana Board of Regents(grant numbers:LEQSF(2015-18)-RD-A-11);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8468089"",""Scalability";soft resources;configuration;web application;parallel processing;"cloud computing"",""Servers";Concurrent computing;Throughput;Hardware;Resource management;Databases;"Benchmark testing"","""",""12"","""",""42"",""IEEE"",""19 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Intra-Task Priority Assignment in Real-Time Scheduling of DAG Tasks on Multi-Cores,""Q. He"; x. jiang; N. Guan;" Z. Guo"",""Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong"; Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong; Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong;" Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Sep 2019"",""2019"",""30"",""10"",""2283"",""2295"",""Real-time scheduling and analysis of parallel tasks modeled as directed acyclic graphs (DAG) have been intensively studied in recent years. However, no existing work has explored the execution order of eligible vertices within a DAG task. In this paper, we show that this intra-task vertex execution order has a large impact on system schedulability and propose to control the execution order by vertex-level priority assignment. We develop analysis techniques to bound the worst-case response time for the proposed scheduling strategy and design heuristics for proper priority assignment to improve system schedulability as much as possible. We further extend the proposed approach to the general setting of multiple recurrent DAG tasks. Experiments with both realistic parallel benchmark applications and randomly generated workload show that our method consistently outperforms state-of-the-art methods with different task graph structures and parameter configurations."",""1558-2183"","""",""10.1109/TPDS.2019.2910525"",""Council of Hong Kong(grant numbers:GRF 15204917,GRF 15213818)"; NSF(grant numbers:CNS-1850851); NSFC(grant numbers:61532007,61672140); Ministry of Education Joint Foundation for Equipment Pre-Research(grant numbers:6141A020333); Fundamental Research Funds for the Central Universities(grant numbers:N172304025);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8686234"",""Intra-task priority assignment";response time analysis;parallel real-time tasks;"multi-cores"",""Task analysis";Time factors;Real-time systems;Scheduling algorithms;Runtime;Heuristic algorithms;"Dynamic scheduling"","""",""39"","""",""33"",""IEEE"",""11 Apr 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
