"A comparative study of topological properties of hypercubes and star graphs,""K. Day";" A. Tripathi"",""Computer Science Department, University of Bahrain, Isa Town, Bahrain";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""31"",""38"",""Undertakes a comparative study of two important interconnection network topologies: the star graph and the hypercube, from the graph theory point of view. Topological properties are derived for the star graph and are compared with the corresponding properties of the hypercube. Among other results, the authors determine necessary and sufficient conditions for shortest path routing and characterize maximum-sized families of parallel paths between any two nodes of the star graph. These parallel paths are proven of minimum length within a small additive constant. They also define greedy and asymptotically balanced spanning trees to support broadcasting and personalized communication on the star graph. These results confirm the already claimed topological superiority of the star graph over the hypercube.<>"",""1558-2183"","""",""10.1109/71.262586"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262586"","""",""Hypercubes";Tree graphs;Routing;Broadcasting;Concurrent computing;Computer science;Multiprocessor interconnection networks;Network topology;Graph theory;"Additives"","""",""174"",""2"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"MAGIC: a multiattribute declustering mechanism for multiprocessor database machines,""S. Ghandeharizadeh";" D. J. DeWitt"",""Department of Computer Science, University of Southern California, Los Angeles, CA, USA";" Computer Science Department, University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""5"",""509"",""524"",""During the past decade, parallel database systems have gained increased popularity due to their high performance, scalability, and availability characteristics. With the predicted future database sizes and complexity of queries, the scalability of these systems to hundreds and thousands of processors is essential for satisfying the projected demand. Several studies have repeatedly demonstrated that both the performance and scalability of a parallel database system are contingent on the physical layout of the data across the processors of the system. If the data are not declustered appropriately, the execution of an operation might waste system resources, reducing the overall processing capability of the system. With earlier, single-attribute partitioning mechanisms such as those found in the Tandem, Teradata, Gamma, and Bubba parallel database systems, range selections on any attribute other than the partitioning attribute must be sent to all processors containing tuples of the relation, while range selections on the partitioning attribute can be directed to only a subset of the processors. Although using all the processors for an operation is reasonable for resource intensive operations, directing a query with minimal resource requirements to processors that contain no relevant tuples wastes CPU cycles, communication bandwidth, and I/O bandwidth. As a solution, this paper describes a new partitioning strategy, multiattribute grid declustering (MAGIC), which can use two or more attributes of a relation to decluster its tuples across multiple processors and disks. In addition, MAGIC declustering, unlike other multiattribute partitioning mechanisms that have been proposed, is able to support range selections as well as exact match selections on each of the partitioning attributes. This capability enables a greater variety of selection operations to be directed to a restricted subset of the processors in the system. Finally, MAGIC partitions each relation based on the resource requirements of the queries that constitute the workload for the relation and the processing capacity of the system in order to ensure that the proper number of processors are used to execute queries that reference the relation.<>"",""1558-2183"","""",""10.1109/71.282561"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=282561"","""",""Database machines";Database systems;Scalability;Bandwidth;Computer science;Availability;Stock markets;Volcanoes;Disk drives;"Prototypes"","""",""14"",""5"",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Massively parallel algorithms for trace-driven cache simulations,""D. M. Nicol"; A. G. Greenberg;" B. D. Lubachevsky"",""Department of Computer Science, College of William and Mary, Williamsburg, VA, USA"; AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA;" AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""849"",""859"",""Considers the use of massively parallel architectures to execute a trace-driven simulation of a single cache set. A method is presented for the least-recently-used (LRU) policy, which, regardless of the set size C, runs in time O(log N) using N processors on the EREW (exclusive read, exclusive write) parallel model. A simpler LRU simulation algorithm is given that runs in O(C log N) time using N/log N processors. We present timings of this algorithm's implementation on the MasPar MP-1, a machine with 16384 processors. A broad class of reference-based line replacement policies are considered, which includes LRU as well as the least-frequently-used (LFU) and random replacement policies. A simulation method is presented for any such policy that, on any trace of length N directed to a C line set, runs in O(C log N) time with high probability using N processors on the EREW model. The algorithms are simple, have very little space overhead, and are well suited for SIMD implementation.<>"",""1558-2183"","""",""10.1109/71.298211"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298211"","""",""Parallel algorithms";Computational modeling;Microprocessors;Timing;Computer architecture;Reduced instruction set computing;NASA;Permission;Conferences;"Councils"","""",""23"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Memory bandwidth analysis of hierarchical multiprocessors using model decomposition and steady-state flow analysis,""S. M. Mahmud";" L. T. Samaratunga"",""Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA";" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""5"",""553"",""560"",""For memory bandwidth analysis, researchers generally discard requests that are not accepted during a memory cycle. This assumption simplifies the analysis and produces negligible discrepancies with actual results for a system with a non-hierarchical interconnection network. However, the assumption, """"the requests that are not occupied during a memory cycle are discarded,"""" cannot be used for a multiprocessor system with a hierarchical interconnection network (HIN), because the error introduced assumption can be several orders of magnitude higher than the actual bandwidth. An improved analytical model to determine the bandwidth of a HIN-based system is presented.<>"",""1558-2183"","""",""10.1109/71.282567"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=282567"","""",""Bandwidth";Steady-state;Analytical models;Performance analysis;Hierarchical systems;Multiprocessor interconnection networks;Computational modeling;"Multiprocessing systems"","""",""1"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Multiclass replicated data management: exploiting replication to improve efficiency,""P. Triantafillou";" D. J. Taylor"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada";" Department of Computer Science, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""2"",""121"",""138"",""Research efforts in replication-control protocols primarily use replication as a means of increasing availability in distributed systems. It is well-known, however, that replication can reduce the costs of accessing remotely-stored data in distributed systems. We contribute a classification of replicas and a replication-control protocol which introduce the availability benefits of replication and, at the same time, exploit replication to improve performance, by reducing response time. Each replica class has different consistency requirements. Metareplicas keep track of up-to-date replicas for recently-accessed objects and help exploit data-reference localities. Thus they allow many transaction operations to execute synchronously at only a single (and often local) replica. Pseudoreplicas are nonpermanent replicas that facilitate """"localized execution"""" of transaction operations. True replicas are ordinary, permanent replicas as used in other replication schemes. For many commonly occurring replication scenarios, the protocol outperforms both replication-control protocols in the literature and nonreplicated systems, while offering the availability benefits of replication.<>"",""1558-2183"","""",""10.1109/71.265941"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265941"","""",""Access protocols";Costs;Distributed computing;Availability;Delay;Concurrency control;Computational modeling;Councils;Scholarships;"Computer science"","""",""9"",""2"",""28"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"New model and algorithms for leader election in synchronous fiber-optic networks,""H. Abu-Amara";" V. Gummadi"",""Department of Electrical Engineering, Texas A and M University, College Station, TX, USA";" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""891"",""896"",""We improve on I. Cidon, I. Gopal and S. Kutten's leader election algorithm (Proc. 7th ACM Symp. Principles Distrib. Computing, Toronto, Ont., Canada. Aug. 1988) by presenting an algorithm that uses only O(/spl radic/n log D + f) time units to run on synchronous networks of degree f and diameter D, where f/spl ges/3. When f is 2, the algorithm uses only O(log D) time units.<>"",""1558-2183"","""",""10.1109/71.298218"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298218"","""",""Nominations and elections";Intelligent networks;Optical fiber networks;Petri nets;Permission;Distributed algorithms;Clocks;Concurrent computing;Conferences;"Distributed databases"","""",""1"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"On loop transformations for generalized cycle shrinking,""Weijia Shang"; M. T. O'Keefe;" J. A. B. Fortes"",""Department of Computer Engineerng, Santa Clara University, Santa Clara, CA, USA"; Department of Electrical Engineering, University of Minnesota, Minneapolis, MN, USA;" Department of Electrical Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""2"",""193"",""204"",""This paper describes several loop transformation techniques for extracting parallelism from nested loop structures. Nested loops can then be scheduled to run in parallel so that execution time is minimized. One technique is called selective cycle shrinking, and the other is called true dependence cycle shrinking. It is shown how selective shrinking is related to linear scheduling of nested loops and how true dependence shrinking is related to conflict-free mappings of higher dimensional algorithms into lower dimensional processor arrays. Methods are proposed in this paper to find the selective and true dependence shrinkings with minimum total execution time by applying the techniques of finding optimal linear schedules and optimal and conflict-free mappings proposed by W. Shang and A.B. Fortes.<>"",""1558-2183"","""",""10.1109/71.265946"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265946"","""",""Processor scheduling";Parallel processing;Optimizing compilers;Program processors;Contracts;Signal processing;Image processing;"Image segmentation"","""",""15"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"On parallelizing the EM algorithm for PET image reconstruction,""Chung-Ming Chen";" Soo-Young Lee"",""School of Electrical Engineering, Cornell University, NY, USA";" School of Electrical Engineering, Cornell University, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""860"",""873"",""The expectation maximization (EM) algorithm is one of the most suitable iterative methods for positron emission tomography (PET) image reconstruction";" however, it requires a long computation time and an enormous amount of memory space. To overcome these problems, we present two classes of highly efficient parallelization schemes: homogeneous and inhomogeneous partitionings. The essential difference between these two classes is that the inhomogeneous partitioning schemes may partially overlap the communication with computation by deliberate exploitation of the inherent data access pattern with a multiple-ring communication pattern. In theory, the inhomogeneous partitioning schemes may outperform the homogeneous partitioning schemes. However, the latter require a simpler communication pattern. In an attempt to estimate the achievable performance and to analyze the performance degradation factors without actual implementation, we have derived efficiency prediction formulas for closely estimating the performance for the proposed parallelization schemes. We propose new integration and broadcasting algorithms for hypercube, ring, and n-D mesh topologies, which are more efficient than the conventional algorithms when the link setup time is relatively negligible. The concept of the proposed task and data partitioning schemes, the integration and broadcasting algorithms, and the efficiency estimation methods can be applied to many other problems that are rich in data parallelism, but without balanced exclusive partitioning.<>"",""1558-2183"","""",""10.1109/71.298213"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298213"","""",""Positron emission tomography";Image reconstruction;Partitioning algorithms;Iterative algorithms;Broadcasting;Iterative methods;Performance analysis;Degradation;Hypercubes;"Topology"","""",""19"",""3"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"On probabilistic diagnosis of multiprocessor systems using multiple syndromes,""Sunggu Lee";" K. G. Shin"",""Department of Electronic and Electrical Engineering, Pohang University of Science and Technology, Pohang, South Korea";" Real-Time Computing Laboratory, Division of Computer Science and Engineering, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""630"",""638"",""This paper addresses the distributed self-diagnosis of a multiprocessor/multicomputer system based on fault syndromes formed by comparison testing. The authors show that by using multiple fault syndromes, it is possible to achieve significantly better diagnosis than by using a single fault syndrome, even when the amount of time devoted to testing is the same. They derive a multiple syndrome diagnosis algorithm that in terms of the level of diagnostic accuracy achieved, is globally suboptimal, but optimal among all diagnosis algorithms of a certain type to be defined. The diagnosis algorithm produces good results, even with sparse interconnection networks and interprocessor tests with low fault coverage. It is also proven that the diagnosis algorithm produces 100% correct diagnosis as N, the number of nodes in the system, approaches /spl infin/, provided that the interconnection network has connectivity greater than or equal to 2 and that the number of syndromes produced grows faster than log N. This solution and another multiple syndrome diagnosis solution by Fussell and Rangarajan (1989) are comparatively evaluated, both analytically and with simulations.<>"",""1558-2183"","""",""10.1109/71.285608"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285608"","""",""Multiprocessing systems";Circuit faults;Fault diagnosis;Circuit testing;Automatic testing;Multiprocessor interconnection networks;Built-in self-test;Upper bound;System testing;"Analytical models"","""",""7"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"On the performance of synchronized programs in distributed networks with random processing times and transmission delays,""S. Rajsbaum";" M. Sidi"",""Instituto de Matematicas, UNAM, Ciudad Universitaria, Mexico";" Department of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""939"",""950"",""A synchronizer is a compiler that transforms a program designed to run in a synchronous network into a program that runs in an asynchronous network. The behavior of a simple synchronizer, which also represents a basic mechanism for distributed computing and for the analysis of marked graphs, was studied by S. Even and S. Rajsbaum (1990) under the assumption that message transmission delays and processing times are constant. We study the behavior of the simple synchronizer when processing times and transmission delays are random. The main performance measure is the rate of a network, i.e., the average number of computational steps executed by a processor in the network per unit time. We analyze the effect of the topology and the probability distributions of the random variables on the behavior of the network. For random variables with exponential distribution, we provide tight (i.e., attainable) bounds and study the effect of a bottleneck processor on the rate.<>"",""1558-2183"","""",""10.1109/71.308532"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308532"","""",""Intelligent networks";Synchronization;Clocks;Program processors;Distributed computing;Computer networks;Random variables;Delay effects;Time measurement;"Network topology"","""",""13"","""",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Operationally enhanced folded hypercubes,""J. Kim";" K. G. Shin"",""Dept. of Comput. Sci. & Eng., Pohang Inst. of Sci. & Technol., South Korea";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""12"",""1310"",""1316"",""Recently, several variations of the hypercube have been proposed to enhance its performance and reliability. The folded hypercube is one of these variations, in which an extra link is added to each node providing a direct connection to the node located farthest from it. In this paper, we propose a new operation mode of the folded hypercube to enhance its performance and fault-tolerance. There are (/sub ksup n+1/) regular k-cubes within a folded hypercube of dimension n, denoted by FQ/sub n/. We introduce another type of hypercube, called the twisted hypercube, to improve the performance and fault tolerance of the folded hypercube. The problems of finding a subcube of given size in an FQ/sub n/ and routing messages within the subcube are addressed for the proposed operation mode. The advantages of the proposed operation mode over the regular-hypercube operation mode are analyzed in terms of dependability and robustness. The proposed operation mode is shown to make significant improvements over the regular-hypercube operation mode in both dependability and robustness. Because the new operation mode can be applied to only an (n-1)-subcube level for a given FQ/sub n/, we present general form of folded hypercube, thus enhancing the availability of subcubes of any dimension m<n.<<ETX>>"",""1558-2183"","""",""10.1109/71.334904"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=334904"","""",""Hypercubes";Fault tolerance;Robustness;Multiprocessor interconnection networks;Computer science;Performance analysis;Routing;Computer architecture;Fault tolerant systems;"Multiprocessing systems"","""",""11"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Optimal NODUP all-to-all broadcast schemes in distributed computing systems,""M. . -S. Chen"; P. S. Yu;" K. . -L. Wu"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""12"",""1275"",""1285"",""Broadcast, referring to a process of information dissemination in a distributed system whereby a message originating from a certain node is sent to all other nodes in the system, is a very important issue in distributed computing. All-to-all broadcast means the process by which every node broadcasts its certain piece of information to all other nodes. In this paper, we first develop the optimal all-to-all broadcast scheme for the case of one-port communication, which means that each node can only send out one message in one communication step, and then, extend our results to the case of multi-port communication, i.e., k-port communication, meaning that each node can send out k messages in one communication step. We prove that the proposed schemes are optimal for the model considered in the sense that they not only require the minimal number of communication steps, but also incur the minimal number of messages.<>"",""1558-2183"","""",""10.1109/71.334901"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=334901"","""",""Broadcasting";Distributed computing;Availability;Protocols;High performance computing;Costs;Clocks;Synchronization;"Message passing"","""",""6"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Optimal processor assignment for a class of pipelined computations,""A. N. Choudhary"; B. Narahari; D. M. Nicol;" R. Simha"",""Department of Electrical and Computer Engineering, Syracuse University, Syracuse, NY, USA"; Department of Electrical Engineering and Computer Science, George Washington University, Washington D.C., DC, USA; Department of Computer Science, College of William and Mary, Williamsburg, VA, USA;" Department of Computer Science, College of William and Mary, Williamsburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""4"",""439"",""445"",""The availability of large-scale multitasked parallel architectures introduces the following processor assignment problem. We are given a long sequence of data sets, each of which is to undergo processing by a collection of tasks whose intertask data dependencies form a series-parallel partial order. Each individual task is potentially parallelizable, with a known experimentally determined execution signature. Recognizing that data sets can be pipelined through the task structure, the problem is to find a """"good"""" assignment of processors to tasks. Two objectives interest us: minimal response time per data set, given a throughput requirement, and maximal throughput, given a response time requirement. Our approach is to decompose a series-parallel task system into its essential """"serial"""" and """"parallel"""" components"; our problem admits the independent solution and recomposition of each such component. We provide algorithms for the series analysis, and use an algorithm due to Krishnamurti and Ma for the parallel analysis. For a p processor system and a series-parallel precedence graph with n constituent tasks, we give a O(np/sup 2/) algorithm that finds the optimal assignment (over a broad class of assignments) for the response time optimization problem;" we find the assignment optimizing the constrained throughput in O(np/sup 2/ log p) time. These techniques are applied to a task system in computer vision.<>"",""1558-2183"","""",""10.1109/71.273050"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=273050"","""",""Delay";Concurrent computing;Throughput;Computer networks;Very large scale integration;Fault tolerance;Independent component analysis;Algorithm design and analysis;Constraint optimization;"Parallel architectures"","""",""38"","""",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Optimal sequencing and arrangement in distributed single-level tree networks with communication delays,""V. Bharadwaj"; D. Ghose;" V. Mani"",""Department of Aerospace Engineering, Indian Institute of Science, Bangalore, India"; Department of Aerospace Engineering, Indian Institute of Science, Bangalore, India;" Department of Aerospace Engineering, Indian Institute of Science, Bangalore, India"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""9"",""968"",""976"",""The problem of obtaining optimal processing time in a distributed computing system consisting of (N+1) processors and N communication links, arranged in a single-level tree architecture, is considered. It is shown that optimality can be achieved through a hierarchy of steps involving optimal load distribution, load sequencing, and processor-link arrangement. Closed-form expressions for optimal processing time is derived for a general case of networks with different processor speeds and different communication link speeds. Using these closed-form expressions, the paper analytically proves a number of significant results that in earlier studies were only conjectured from computational results. In addition, it also extends these results to a more general framework. The above analysis is carried out for the cases in which the root processor may or may not be equipped with a front-end processor. Illustrative examples are given for all cases considered.<>"",""1558-2183"","""",""10.1109/71.308534"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=308534"","""",""Intelligent networks";Closed-form solution;Intelligent sensors;Distributed computing;Delay effects;Computer architecture;Computer networks;Distributed processing;"Signal processing"","""",""68"",""2"",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Optimal VLSI networks for multidimensional transforms,""H. M. Alnuweiri"",""Department of Electrical Engineering, University of British Columbia, Vancouver, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""763"",""769"",""This paper presents a new class of AT/sup 2/-optimal networks for computing the multidimensional discrete Fourier transform. Although optimal networks have been proposed previously, the networks proposed in this paper are based on a new methodology for mapping large K-shuffle networks, K/spl ges/2, onto smaller area networks that maintain the optimality of the DFT network. Such networks are used to perform the index-rotation operations needed by the multidimensional computation. The resulting networks have simple regular layouts, and can be easily partitioned among several chips in order to reduce the number of input-output pins per chip.<>"",""1558-2183"","""",""10.1109/71.296321"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296321"","""",""Very large scale integration";Multidimensional systems;Discrete Fourier transforms;Computer networks;Concurrent computing;Computer architecture;Fourier transforms;Pins;Discrete transforms;"Parallel processing"","""",""3"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Parallel algorithms for the longest common subsequence problem,""Mi Lu";" Hua Lin"",""Department of Electrical Engineering, Texas A and M University, College Station, TX, USA";" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""835"",""848"",""A subsequence of a given string is any string obtained by deleting none or some symbols from the given string. A longest common subsequence (LCS) of two strings is a common subsequence of both that is as long as any other common subsequences. The problem is to find the LCS of two given strings. The bound on the complexity of this problem under the decision tree model is known to be mn if the number of distinct symbols that can appear in strings is infinite, where m and n are the lengths of the two strings, respectively, and m/spl les/n. In this paper, we propose two parallel algorithms far this problem on the CREW-PRAM model. One takes O(log/sup 2/ m + log n) time with mn/log m processors, which is faster than all the existing algorithms on the same model. The other takes O(log/sup 2/ m log log m) time with mn/(log/sup 2/ m log log m) processors when log/sup 2/ m log log m > log n, or otherwise O(log n) time with mn/log n processors, which is optimal in the sense that the time/spl times/processors bound matches the complexity bound of the problem. Both algorithms exploit nice properties of the LCS problem that are discovered in this paper.<>"",""1558-2183"","""",""10.1109/71.298210"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298210"","""",""Parallel algorithms";Decision trees;Phase change random access memory;Genetic engineering;Data compression;Error correction;Pattern recognition;Parallel processing;Algorithm design and analysis;"Read-write memory"","""",""39"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Parallel architecture for fast transforms with trigonometric kernel,""F. Arguello"; J. D. Bruguera; R. Doallo;" E. L. Zapata"",""Departamento de Electróica, Facultad de Física, Universidad Santiago de Compostela, Santiago de Compostela, Spain"; Departamento de Electróica, Facultad de Física, Universidad Santiago de Compostela, Santiago de Compostela, Spain; Departamento de Electróica, Facultad de Física, Universidad Santiago de Compostela, Santiago de Compostela, Spain;" Departamento de Arquitectura de Computadores, Universidad de Málaga, Malaga, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""10"",""1091"",""1099"",""We present an unified parallel architecture for four of the most important fast orthogonal transforms with trigonometric kernel: Complex Valued Fourier (CFFT), Real Valued Fourier (RFFT), Hartley (FHT), and Cosine (FCT). Out of these, only the CFFT has a data flow coinciding with the one generated by the successive doubling method, which can be transformed on a constant geometry flow using perfect unshuffle or shuffle permutations. The other three require some type of hardware modification to guarantee the constant geometry of the successive doubling method. We have defined a generalized processing section (PS), based on a circular CORDIC rotator, for the four transforms. This PS section permits the evaluation of the CFFT and FCT transforms in n data recirculations and the RFFT and FHT transforms in n-1 data recirculations, with n being the number of stages of a transform of length N=r/sup n/. Also, the efficiency of the partitioned parallel architecture is optimum because there is no cycle loss in the systolic computation of all the butterflies for each of the four transforms.<>"",""1558-2183"","""",""10.1109/71.313124"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=313124"","""",""Parallel architectures";Kernel;Fast Fourier transforms;Signal processing algorithms;Partitioning algorithms;Parallel processing;Geometry;Discrete transforms;Discrete Fourier transforms;"Algorithm design and analysis"","""",""10"",""2"",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Parallel dynamic programming,""S. . -H. S. Huang"; Hongfei Liu;" V. Viswanathan"",""Department of Computer Science, University of Houston, Houston, TX, USA"; Department of Computer Science, University of Houston, Houston, TX, USA;" Department of Computer Science, University of Houston, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""326"",""328"",""Recurrence formulations for various problems, such as finding an optimal order of matrix multiplication, finding an optimal binary search tree, and optimal triangulation of polygons, assume a similar form. A. Gibbons and W. Rytter (1988) gave a CREW PRAM algorithm to solve such dynamic programming problems. The algorithm uses O(n/sup 6//log n) processors and runs in O(log/sup 2/ n) time. In this article, a modified algorithm is presented that reduces the processor requirement to O(n/sup 6//log /sup 5/n) while maintaining the same time complexity of O(log/sup 2/ n).<>"",""1558-2183"","""",""10.1109/71.277784"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277784"","""",""Dynamic programming";Concurrent computing;Parallel processing;Very large scale integration;Binary search trees;Phase change random access memory;Labeling;Conferences;Computer architecture;"Histograms"","""",""14"","""",""5"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Partitioned encoding schemes for algorithm-based fault tolerance in massively parallel systems,""J. Rexford";" N. K. Jha"",""Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""649"",""653"",""Considers the applicability of algorithm based fault tolerance (ABET) to massively parallel scientific computation. Existing ABET schemes can provide effective fault tolerance at a low cost For computation on matrices of moderate size";" however, the methods do not scale well to floating-point operations on large systems. This short note proposes the use of a partitioned linear encoding scheme to provide scalability. Matrix algorithms employing this scheme are presented and compared to current ABET schemes. It is shown that the partitioned scheme provides scalable linear codes with improved numerical properties with only a small increase in hardware and time overhead.<>"",""1558-2183"","""",""10.1109/71.285610"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285610"","""",""Encoding";Partitioning algorithms;Fault tolerant systems;Signal processing algorithms;Fault detection;Error correction codes;Fault tolerance;Matrix decomposition;Linear code;"Hardware"","""",""15"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Partitioning message patterns for bundled omega networks,""P. J. Bernhard";" D. J. Rosenkrantz"",""Harris Space Systems Corporation, Rockledge, FL, USA";" Department of Computer Science, State University of New York, Albany, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""4"",""353"",""363"",""Considers a strategy for dealing with communication conflicts in omega networks. Specifically, the authors consider the problem of partitioning a set of conflicting messages into a minimum number of subsets, called rounds, each free of communication conflicts. In addition to standard omega networks, they consider this problem for a more general class of networks called bundled omega networks, where interconnection links in the network are replaced by bundles of wires. Although the partitioning problem has previously been considered in the literature, its computational complexity has remained open. The authors show that for a number of cases, the problem is NP-complete, but for certain special cases, it is solvable in polynomial time. In addition, they present a class of distributed, on-line heuristics for the problem. Finally, they give a lower bound of /spl Omega/(log N) on the performance ratio for one of these heuristics.<>"",""1558-2183"","""",""10.1109/71.273044"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=273044"","""",""Routing";Hypercubes;Wires;Computational complexity;Polynomials;Telephony;Communication switching;Computer science;Sorting;"Circuits"","""",""3"","""",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
