"1998 Index IEEE Transactions on Parallel And Distributed Systems - Author Index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1269"",""1273"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1998.737701"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737701"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A basic-cycle calculation technique for efficient dynamic data redistribution,""Yeh-Ching Chung"; Ching-Hsien Hsu;" Sheng-Wen Bai"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""359"",""377"",""Array redistribution is usually required to enhance algorithm performance in many parallel programs on distributed memory multicomputers. Since it is performed at run-time, there is a performance trade-off between the efficiency of the new data decomposition for a subsequent phase of an algorithm and the cost of redistributing data among processors. In this paper, we present a basic-cycle calculation technique to efficiently perform BLOCK-CYCLIC(S) to BLOCK-CYCLIC(t) redistribution. The main idea of the basic-cycle calculation technique is, first, to develop closed forms for computing source/destination processors of some specific array elements in a basic-cycle, which is defined as icm(s,t)/gcd(s,t). These closed forms are then used to efficiently determine the communication sets of a basic-cycle. From the source/destination processor/data sets of a basic-cycle, we can efficiently perform a BLOCK-CYCLIC(s) to BLOCK-CYCLIC(t) redistribution. To evaluate the performance of the basic-cycle calculation technique, we have implemented this technique on an IBM SP2 parallel machine, along with the PITFALLS method and the multiphase method. The cost models for these three methods are also presented. The experimental results show that the basic-cycle calculation technique outperforms the PITFALLS method and the multiphase method for most test samples."",""1558-2183"","""",""10.1109/71.667897"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667897"","""",""Phased arrays";Runtime;Parallel programming;Costs;Parallel machines;Testing;Program processors;Programming profession;"Algorithm design and analysis"","""",""20"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Efficient fault-tolerant multicast scheme for hypercube multicomputers,""Ge-Ming Chiu";" Kai-Shung Chen"",""The Department of Electrical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan";" Vanguard International Semiconductor Corporation, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""10"",""952"",""962"",""This paper presents a fault-tolerant multicast scheme for hypercube multicomputers. The method is based on the routing capability information that is stored in each node. In comparison with the previous schemes, this information is able to capture the fault status more precisely. Two multicast algorithms are presented in the paper. These algorithms multicast messages in an attempt to minimize derouting so that time optimality can be achieved. Moreover, the routing capability information is used to guide derouting in an efficient manner when such needs arise. The amount of traffic incurred is addressed in the paper. The hardware design for the algorithms is also discussed. Extensive simulation has been conducted to evaluate the performance of the scheme. The results show the effectiveness of the proposed algorithms."",""1558-2183"","""",""10.1109/71.730525"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730525"","""",""Fault tolerance";Hypercubes;Multicast algorithms;Routing;Algorithm design and analysis;Multicast communication;Communication switching;Computer Society;Traffic control;"Hardware"","""",""8"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Efficient sparse LU factorization with partial pivoting on distributed memory architectures,""Cong Fu"; Xiangmin Jiao;" Tao Yang"",""Siemens Pyramid Information Systems, San Jose, CA, USA"; Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA;" Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""109"",""125"",""A sparse LU factorization based on Gaussian elimination with partial pivoting (GEPP) is important to many scientific applications, but it is still an open problem to develop a high performance GEPP code on distributed memory machines. The main difficulty is that partial pivoting operations dynamically change computation and nonzero fill-in structures during the elimination process. This paper presents an approach called S* for parallelizing this problem on distributed memory machines. The S* approach adopts static symbolic factorization to avoid run-time control overhead, incorporates 2D L/U supemode partitioning and amalgamation strategies to improve caching performance, and exploits irregular task parallelism embedded in sparse LU using asynchronous computation scheduling. The paper discusses and compares the algorithms using 1D and 2D data mapping schemes, and presents experimental studies on Cray-T3D and T3E. The performance results for a set of nonsymmetric benchmark matrices are very encouraging, and S* has achieved up to 6.878 GFLOPS on 128 T3E nodes. To the best of our knowledge, this is the highest performance ever achieved for this challenging problem and the previous record was 2.583 GFLOPS on shared memory machines."",""1558-2183"","""",""10.1109/71.663864"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663864"","""",""Memory architecture";Sparse matrices;Parallel processing;Concurrent computing;Symmetric matrices;Numerical stability;Processor scheduling;Equations;Data structures;"Runtime"","""",""14"","""",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Embedding torus on the star graph,""D. K. Saikia"; R. Badrinath;" R. K. Sen"",""Department of Computer Science, Tezpur University, Tezpur, India"; Department of Computer Science and Engineering, Indian Institute of Technology, Kharagpur, India;" Department of Computer Science, Rutgers University, Camden, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""650"",""663"",""In this paper, we present a scheme for efficient embedding of torus of any dimension on a star graph. The dilation of the embedding is four. The expansion is small. Congestion depends upon the routing scheme used. With one routing scheme, the congestion is bound by a small constant (/spl ap/2) with an increase in expansion cost. For a second routing scheme, the congestion is O(n), for an n-star, with bounded expansion."",""1558-2183"","""",""10.1109/71.707542"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707542"","""",""Peer to peer computing";Routing;Multiprocessor interconnection networks;Costs;Parallel processing;Computational modeling;Concurrent computing;Buildings;Computer networks;"Hypercubes"","""",""8"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Fast and processor efficient parallel matrix multiplication algorithms on a linear array with a reconfigurable pipelined bus system,""Keqin Li"; Yi Pan;" Si Qing Zheng"",""Department of Mathematics and Computer Science, State University of New York, New Paltz, NY, USA"; Department of Computer Science, University of Dayton, Dayton, OH, USA;" Department of Computer Science, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""705"",""720"",""We present efficient parallel matrix multiplication algorithms for linear arrays with reconfigurable pipelined bus systems (LARPBS). Such systems are able to support a large volume of parallel communication of various patterns in constant time. An LARPBS can also be reconfigured into many independent subsystems and, thus, is able to support parallel implementations of divide-and-conquer computations like Strassen's algorithm. The main contributions of the paper are as follows. We develop five matrix multiplication algorithms with varying degrees of parallelism on the LARPBS computing model";" namely, MM/sub 1/, MM/sub 2/, MM/sub 3/, and compound algorithms C/sub 1/(/spl epsiv/)and C/sub 2/(/spl delta/). Algorithm C/sub 1/(/spl epsiv/) has adjustable time complexity in sublinear level. Algorithm C/sub 2/(/spl delta/) implies that it is feasible to achieve sublogarithmic time using /spl sigma/(N/sup 3/) processors for matrix multiplication on a realistic system. Algorithms MM/sub 3/, C/sub 1/(/spl epsiv/), and C/sub 2/(/spl delta/) all have o(/spl Nscr//sup 3/) cost and, hence, are very processor efficient. Algorithms MM/sub 1/, MM/sub 3/, and C/sub 1/(/spl epsiv/) are general-purpose matrix multiplication algorithms, where the array elements are in any ring. Algorithms MM/sub 2/ and C/sub 2/(/spl delta/) are applicable to array elements that are integers of bounded magnitude, or floating-point values of bounded precision and magnitude, or Boolean values. Extension of algorithms MM/sub 2/ and C/sub 2/(/spl delta/) to unbounded integers and reals are also discussed."",""1558-2183"","""",""10.1109/71.706044"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706044"","""",""Costs";Concurrent computing;Optical arrays;Parallel algorithms;Parallel processing;Power engineering and energy;Eigenvalues and eigenfunctions;Polynomials;Graph theory;"Tree graphs"","""",""64"",""1"",""50"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Fast compaction in hypercubes,""Nian-Feng Tzeng";" Hsing-Lung Chen"",""Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA";" Department of Electronic Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""1"",""50"",""56"",""Compaction relocates active subcubes in a fragmented hypercube so as to produce a contiguous free region and eliminate the adverse impact of fragmentation on performance. The overhead of compaction is often contributed primarily by task migration, which makes use of disjoint paths for transmitting migrated data. Since task migration usually involves transmitting a large amount of data, the time required for migration with single paths is long, making compaction an undesirably lengthy process. This paper considers fast compaction through the use of all disjoint paths in existence for migration simultaneously from a source subcube to its target subcube, effectively reducing the size of data transmitted over a path and shortening the migration time. This approach leads to considerable savings in the compaction time for hypercubes which support circuit switching or wormhole routing, when compared with that using single migration paths."",""1558-2183"","""",""10.1109/71.655243"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655243"","""",""Compaction";Hypercubes;Costs;Switching circuits;Routing;Scattering;Delay;Timing;Real time systems;"Resumes"","""",""10"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Fault diagnosis in a Benes interconnection network,""S. Das";" A. Chaudhuri"",""Department of Computer Science and Technology, Bengal Engineering College슠(Deemed University), Howrah, India";" Department of Computer Science and Engineering, Jadavpur University, Calcutta, India"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""700"",""703"",""Benes network, being a back-to-back connection of two Baseline networks, the method for fault diagnosis for the class of nonredundant networks, as elucidated in our previous work, can be directly mapped on the two nonredundant networks. The individual results from these two networks can be combined to construct a comprehensive algorithm for the Benes network to diagnose single fault."",""1558-2183"","""",""10.1109/71.707550"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707550"","""",""Fault diagnosis";Intelligent networks;Multiprocessor interconnection networks;Fault detection;"Joining processes"","""",""1"","""",""7"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Fault-tolerant real-time communication in distributed computing systems,""Qin Zheng";" K. G. Shin"",""Argon Networks, Littleton, MA, USA";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""5"",""470"",""480"",""The delivery delay in a point-to-point packet switching network is difficult to control due to the contention among randomly-arriving packets at each node and multihops a packet must travel between its source and destination. Despite this difficulty, there are an increasing number of applications that require packets to be delivered reliably within prespecified delay bounds. This paper shows how this can be achieved by using real-time channels which make """"soft"""" reservation of network resources to ensure the timely delivery of real-time packets. We first present theoretical results and detailed procedures for the establishment of real-time channels and then show how the basic real-time channels can be enhanced to be fault-tolerant using the multiple disjoint paths between a pair of communicating nodes. The contribution of the former is a tighter schedulability condition which makes more efficient use of network resources than any other existing approaches, and that of the latter is a significant improvement in fault tolerance over the basic real-time channel, which is inherently susceptible to component failures."",""1558-2183"","""",""10.1109/71.679217"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=679217"","""",""Fault tolerant systems";Real time systems;Distributed computing;Circuits;Processor scheduling;Bandwidth;Fault tolerance;Packet switching;Delay;"Intelligent networks"","""",""10"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Finding a k-tree core and a k-tree center of a tree network in parallel,""Biing-Feng Wang"",""Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""186"",""191"",""A k-tree core of a tree network is a subtree with exactly k leaves that minimizes the total distance from vertices to the subtree. A k-tree center of a tree network is a subtree with exactly k leaves that minimizes the distance from the farthest vertex to the subtree. In this paper, two efficient parallel algorithms are proposed for finding a k-tree core and a k-tree center of a tree network, respectively. Both the proposed algorithms perform on the EREW PRAM in O(log n log n) time using O(n) work (time-processor product). Besides being efficient on the EREW PRAM, in the sequential case, our algorithm for finding a k-tree core of a tree network improves the two algorithms previously proposed."",""1558-2183"","""",""10.1109/71.663884"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663884"","""",""Intelligent networks";Phase change random access memory;Parallel algorithms;"Joining processes"","""",""14"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Gossiping on meshes and tori,""B. H. H. Juurlink"; J. F. Sibeyn;" P. S. Rao"",""Heinz Nixdorf Institute, Paderborn University, Paderborn, Germany"; Max Planck Institut für Informatik, Saarbruecken, Germany;" Dow Jones Markets"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""513"",""525"",""Algorithms for performing gossiping on one- and higher-dimensional meshes are presented. As a routing model, the practically important wormhole routing is assumed. We especially focus on the trade-off between the start-up time and the transmission time. For one-dimensional arrays and rings, we give a novel lower bound and an asymptotically optimal gossiping algorithm for all choices of the parameters involved. For two-dimensional meshes and tori, a simple algorithm composed of one-dimensional phases is presented. For an important range of packet and mesh sizes, it gives clear improvements upon previously developed algorithms. The algorithm is analyzed theoretically and the achieved improvements are also convincingly demonstrated by simulations, as well as an implementation on the Paragon. On the Paragon, our algorithm even outperforms the gossiping routine provided in the NX message-passing library. For higher-dimensional meshes, we give algorithms which are based on an interesting generalization of the notion of a diagonal. These algorithms are analyzed theoretically, as well as by simulation."",""1558-2183"","""",""10.1109/71.689439"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689439"","""",""Routing";Algorithm design and analysis;Analytical models;Concurrent computing;Costs;Computer Society;Libraries;Computational modeling;Global communication;"Mesh networks"","""",""18"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Hyper-systolic parallel computing,""T. Lippert"; A. Seyfried; A. Bode;" K. Schilling"",""HLRZ, Julich, Germany"; Department of Physics, University of Wuppertal, Wuppertal, Germany; Department of Physics, Humboldt University of Berlin, Berlin, Germany;" HLRZ, Julich, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""97"",""108"",""We introduce a new class of parallel algorithms for the exact computation of systems with pairwise mutual interactions of n elements, so called n/sup 2/-problems. Hitherto, practical conventional parallelization strategies could achieve a complexity of O(np) with respect to the inter-processor communication, p being the number of processors. Our new approach can reduce the inter-processor communication complexity to a number O(np). In the framework of Additive Number Theory, the determination of the optimal communication pattern can be formulated as h-range minimization problem that can be solved numerically. Based on a complexity model, the scaling behavior of the new algorithm is numerically tested on the connection machine CM5. As a real life example, we have implemented a fast code for globular cluster n-body simulations, a generic n/sup 2/-problem, on the CRAY T3D, with striking success. Our parallel method promises to be useful in various scientific and engineering fields like polymer chain computations, protein folding, signal processing, and, in particular, for parallel level-3 BLAS."",""1558-2183"","""",""10.1109/71.663861"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663861"","""",""Parallel processing";Concurrent computing;Parallel algorithms;Complexity theory;Clustering algorithms;Signal processing algorithms;Testing;Computational modeling;Polymers;"Protein engineering"","""",""9"","""",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Improved compressions of cube-connected cycles networks,""R. Klasing"",""Department of Computer Science, University of Warwick, Coventry, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""803"",""812"",""We present a new technique for the embedding of large cube-connected cycles networks (CCC) into smaller ones, a problem that arises when algorithms designed for an architecture of an ideal size are to be executed on an existing architecture of a fixed size. Using the new embedding strategy, we show that the CCC of dimension I can be embedded into the CCC of dimension k with dilation 1 and optimum load for any k, l/spl isin/ N, k/spl ges/8, such 5/3+c/sub k/<1/k/spl les/2, c/sub k/=3.2(2/3k)/4k+3, thus improving known results. Our embedding technique also leads to improved dilation-1 embeddings in the case 3/2<1/k/spl les/5/3+C/sub k/."",""1558-2183"","""",""10.1109/71.706051"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706051"","""",""Algorithm design and analysis";Parallel architectures;Multiprocessor interconnection networks;Computational modeling;Parallel algorithms;Hypercubes;Computer networks;Concurrent computing;Embedded computing;"Computer simulation"","""",""4"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Interprocedural partial redundancy elimination with application to distributed memory compilation,""G. Agrawal"",""Department of Computer and Information Sciences, University of Delaware, Newark, DE, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""609"",""625"",""Partial Redundancy Elimination (PRE) is a general scheme for suppressing partial redundancies which encompasses traditional optimizations like loop invariant code motion and redundant code elimination. In this paper, we address the problem of performing this optimization interprocedurally. We present an Interprocedural Partial Redundancy Elimination (IPRE) scheme based upon a new, concise, full program representation. Our method is applicable to arbitrary recursive programs. We use interprocedural partial redundancy elimination for placement of communication and communication preprocessing statements while compiling for distributed memory parallel machines. We have implemented our scheme as an extension to the Fortran D compilation system. We present experimental results from two codes compiled using our system to demonstrate the useful of IPRE in distributed memory compilation."",""1558-2183"","""",""10.1109/71.707537"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707537"","""",""Runtime";Optimizing compilers;Data analysis;Parallel machines;Flow graphs;Performance analysis;Communication system control;Pattern recognition;"Safety"","""",""4"",""2"",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Job scheduling in mesh multicomputers,""D. Das Sharma";" D. K. Pradhan"",""Systems Technology Division, Hewlett Packard Company, Cupertino, CA, USA";" Department of Computer Science, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""1"",""57"",""70"",""A new approach for dynamic job scheduling in mesh-connected multiprocessor systems, which supports a multiuser environment, is proposed in this paper. Our approach combines a submesh reservation policy with a priority-based scheduling policy to obtain high performance in terms of high throughput, high utilization, and low turn-around times for jobs. This high performance is achieved at the expense of scheduling jobs in a strictly fair, FCFS fashion";" in fact, the algorithm is parameterized to allow trade-offs between performance and (short-term) POPS fairness. The proposed scheduler can be used with any submesh allocation policy. A fast and efficient implementation of the proposed scheduler has also been presented. The performance of the proposed scheme has been compared with the FCFS policy, the only existing scheduling strategy for meshes, to demonstrate the effectiveness of the proposed approach. Simulation results indicate that our scheduling strategy outperforms the FCFS policy significantly. Specifically, our strategy significantly reduces the average waiting delay of jobs over the FCFS policy. The fast implementation of the proposed scheduler results in low allocation and deallocation time overhead, as well as low space overhead."",""1558-2183"","""",""10.1109/71.655244"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655244"","""",""Processor scheduling";Delay;Dynamic scheduling;Multiprocessing systems;Throughput;Scheduling algorithm;Operating systems;Resource management;Fault tolerance;"Scalability"","""",""19"",""2"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Low expansion packings and embeddings of hypercubes into star graphs: a performance-oriented approach,""M. Moraes de Azevedo"; N. Bagherzadeh;" S. Latifi"",""NonStop System Software Division, Parallele Systems Group, Tandem Computers, Inc.orporated, Cupertino, CA, USA"; Department of Electrical and Computer Engineering, University of California, Irvine, CA, USA;" Department of Electrical and Computer Engineering, University of Nevada, Las Vegas, NV, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""3"",""261"",""274"",""We discuss the problem of packing hypercubes into an n-dimensional star graph S(n), which consists of embedding a disjoint union of hypercubes U into S(n) with load one. Hypercubes in U have from [n/2] to (n+1)/spl middot/[log/sub 2/ n]-2([lod/sub 2/n]+1)+2 dimensions, i.e., they can be as large as any hypercube which can be embedded with dilation at most four into S(n). We show that U can be embedded into S(n) with optimal expansion, which contrasts with the growing expansion ratios of previously known techniques. We employ several performance metrics to show that, with our techniques, a star graph can efficiently execute heterogeneous workloads containing hypercube, mesh, and star graph algorithms. The characterization of our packings includes some important metrics which have not been addressed by previous research (namely, average dilation, average congestion, and congestion). Our packings consistently produce small average congestion and average dilation, which indicates that the induced communication slowdown is also small. We consider several combinations of node mapping functions and routing algorithms in S(n), and obtain their corresponding performance metrics using either mathematical analysis or computer simulation."",""1558-2183"","""",""10.1109/71.674318"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=674318"","""",""Hypercubes";Concurrent computing;Multiprocessor interconnection networks;Computer networks;Embedded computing;Measurement;Routing;Application software;Pervasive computing;"Distributed computing"","""",""6"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Macro-star networks: efficient low-degree alternatives to star graphs,""Chi-Hsiang Yeh";" E. A. Varvarigos"",""Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA";" Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""10"",""987"",""1003"",""We propose a new class of interconnection networks, called macro-star networks, which belong to the class of Cayley graphs and use the star graph as a basic building module. A macro-star network can have node degree that is considerably smaller than that of a star graph of the same size, and diameter that is sublogarithmic and asymptotically within a factor of 1.25 from a universal lower bound (given its node degree). We show that algorithms developed for star graphs can be emulated on suitably constructed macro-stars with asymptotically optimal slowdown. This enables us to obtain through emulation a variety of efficient algorithms for the macro-star network, thus proving its versatility. Basic communication tasks, such as the multimode broadcast and the total exchange, can be executed in macro-star networks in asymptotically optimal time under both the single-port and the all-port communication models. Moreover, no interconnection network with similar node degree can perform these communication tasks in time that is better by more than a constant factor than that required in a macro-star network. We show that macro-star networks can embed trees, meshes, hypercubes, as well as star, bubble-sort, and complete transposition graphs with constant dilation. We introduce several variants of the macro-star network that provide more flexibility in scaling up the number of nodes. We also discuss implementation issues and compare the new topology with the star graph and other popular topologies."",""1558-2183"","""",""10.1109/71.730528"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730528"","""",""Hypercubes";Network topology;Emulation;Multiprocessor interconnection networks;Broadcasting;Tree graphs;Parallel architectures;Routing;Algorithm design and analysis;"Parallel processing"","""",""27"","""",""53"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Managing statistical behavior of large data sets in shared-nothing architectures,""I. Rigoutsos";" A. Delis"",""Bioinformatics and Pattern Discovery Group, T.J. Watson Research Center, IBM, Yorktown Heights, NY, USA";" Department of Computer and Information Science, Polytechnic University, Brooklyn, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""11"",""1073"",""1087"",""Increasingly larger data sets are being stored in networked architectures. Many of the available data structures are not easily amenable to parallel realizations. Hashing schemes show promise in that respect for the simple reason that the underlying data structure can be decomposed and spread among the set of cooperating nodes with minimal communication and maintenance requirements. In all cases, storage utilization and load balancing are issues that need to be addressed. One can identify two basic approaches to tackle the problem. One way is to address it as part of the design of the data structure that is used to store and retrieve the data. The other is to maintain the data structure intact but address the problem separately. The method that we present here falls in the latter category and is applicable whenever a hash table is the preferred data structure. Intrinsically attached to the used hash table is a hashing function that allows one to partition a possibly unbounded set of data items into a finite set of groups";" the hashing function provides the partitioning by assigning each data item to one of the groups. In general, the hashing function cannot guarantee that the various groups will have the same cardinality on average, for all possible data item distributions. In this paper, we propose a two-stage methodology that uses the knowledge of the hashing function to reorganize the group assignments so that the resulting groups have similar expected cardinalities. The method is generally applicable and independent of the used hashing function. We show the power of the methodology using both synthetic and real-world databases. The derived quasi-uniform storage occupancy and associated load-balancing gains are significant."",""1558-2183"","""",""10.1109/71.735955"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735955"","""",""Data structures";Load management;Databases;Intelligent networks;Information retrieval;Workstations;Educational institutions;"Quantization"","""",""1"",""1"",""49"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Minimization of communication cost through caching in mobile environments,""A. Prasad Sistla"; O. Wolfson;" Yixiu Huang"",""Electrical Engineering and Computer Science Department, University of Illinois, Chicago, IL, USA"; Electrical Engineering and Computer Science Department, University of Illinois, Chicago, IL, USA;" Electrical Engineering and Computer Science Department, University of Illinois, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""378"",""390"",""Users of mobile computers will soon have online access to a large number of databases via wireless networks. Because of limited bandwidth, wireless communication is more expensive than wire communication. In this paper, we present and analyze various static and dynamic data allocation methods. The objective is to optimize the communication cost between a mobile computer and the stationary computer that stores the online database. Analysis is performed in two cost models. One is connection (or time) based, as in cellular telephones, where the user is charged per minute of connection. The other is message based, as in packet radio networks, where the user is charged per message. Our analysis addresses both the average case and the worst case for determining the best allocation method."",""1558-2183"","""",""10.1109/71.667898"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667898"","""",""Mobile communication";Mobile computing;Databases;Computer networks;Wireless networks;Bandwidth;Wireless communication;Wire;Cost function;"Data analysis"","""",""25"",""1"",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Modeled and measured instruction fetching performance for superscalar microprocessors,""S. Wallace";" N. Bagherzadeh"",""Department of Electrical and Computer Engineering, University of California, Irvine, Irvine, CA, USA";" Department of Electrical and Computer Engineering, University of California, Irvine, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""570"",""578"",""Instruction fetching is critical to the performance of a superscalar microprocessor. We develop a mathematical model for three different cache techniques and evaluate its performance both in theory and in simulation using the SPEC95 suite of benchmarks. In all the techniques, the fetching performance is dramatically lower than ideal expectations. To help remedy the situation, we also evaluate its performance using prefetching. Nevertheless, fetching performance is fundamentally limited by control transfers. To solve this problem, we introduce a new fetching mechanism called a dual branch target buffer. The dual branch target buffer enables fetching performance to leap beyond the limitation imposed by conventional methods and achieve a high instruction fetching rate."",""1558-2183"","""",""10.1109/71.689444"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689444"","""",""Microprocessors";Hardware;Prefetching;Decoding;Software performance;Mathematical model;Performance analysis;Concurrent computing;"Pipelines"","""",""20"",""6"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
