"Efficient Node Admission and Certificateless Secure Communication in Short-Lived MANETs,""N. Saxena"; G. Tsudik;" J. H. Yi"",""Department of Computer and Information Science, Polytechnic University, Brooklyn, NY, USA"; Department of Computer Science, University of California, Irvine, Irvine, CA, USA;" School of Computing, Soongsil University, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2009"",""2009"",""20"",""2"",""158"",""170"",""Decentralized node admission is an essential and fundamental security service in mobile ad hoc networks (MANETs). It is needed to securely cope with dynamic membership and topology as well as to bootstrap other important security primitives (such as key management) and services (such as secure routing) without the assistance of any centralized trusted authority. An ideal admission technique must involve minimal interaction among MANET nodes, since connectivity can be unstable. Also, since MANETs are often composed of weak or resource-limited devices, admission must be efficient in terms of computation and communication. Most previously proposed admission protocols are prohibitively expensive and require heavy interaction among MANET nodes. In this paper, we focus on a common type of MANET that is formed on a temporary basis, and present a secure, efficient, and a fully noninteractive admission technique geared for this type of a network. Our admission protocol is based on secret sharing techniques using bivariate polynomials. We also present a new scheme that allows any pair of MANET nodes to efficiently establish an on-the-fly secure communication channel."",""1558-2183"","""",""10.1109/TPDS.2008.77"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4522544"",""Security";distributed access control;authentication;cryptographic protocols;ad hoc networks;mobile network protocols.;Access controls;Authentication;"Distributed networks"",""Mobile ad hoc networks";Cryptography;Cryptographic protocols;Mobile communication;Network topology;Routing;Access protocols;Ad hoc networks;Admission control;"Polynomials"","""",""33"","""",""55"",""IEEE"",""16 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Enforcing Minimum-Cost Multicast Routing against Selfish Information Flows,""Z. Li";" C. Williamson"",""Department of Computer Science, University of Calgary, Calgary, AB, Canada";" Department of Computer Science, University of Calgary, Calgary, AB, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jul 2009"",""2009"",""20"",""9"",""1299"",""1308"",""We study multicast in a noncooperative environment where information flows selfishly route themselves through the cheapest paths available. The main challenge is to enforce such selfish multicast flows to stabilize at a socially optimal operating point incurring minimum total edge cost, through appropriate cost allocation and other economic measures, with replicable and encodable properties of information flows considered. We show that known cost allocation schemes are not sufficient. We provide a shadow-price-based cost allocation for networks without capacity limits and show that it enforces minimum-cost multicast. This improves previous result where a 2-approximate multicast flow is enforced. For capacitated networks, computing cost allocation by ignoring edge capacities will not yield correct results. We show that an edge tax scheme can be combined with a cost allocation to strictly enforce optimal multicast flows in this more realistic case. If taxes are not desirable, they can be returned to flows while maintaining weak enforcement of the optimal flow. We relate the taxes to VCG payment schemes and discuss an efficient primal-dual algorithm that simultaneously computes the taxes, the cost allocation, and the optimal multicast flow, with potential of fully distributed implementations."",""1558-2183"","""",""10.1109/TPDS.2008.229"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4653484"",""Communication/networking";multicast;graph algorithms.;Communication/Networking and Information Technology;Multicast;Linear programming;"Graph algorithms"",""Routing";Cost function;Environmental economics;Finance;Multicast algorithms;Streaming media;Delay;Network coding;Unicast;"Game theory"","""","""","""",""32"",""IEEE"",""17 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Enhancing Availability of Grid Computational Services to Ubiquitous Computing Applications,""N. Roy";" S. K. Das"",""Mobile and Pervasive Computing Group (MPC), Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA";" Center of Research in Wireless Mobility and Networking (CReWMan), Department of Electrical and Computer Engineering, University of Texas, Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jun 2009"",""2009"",""20"",""7"",""953"",""967"",""The grid is an integrated infrastructure that can play the dual roles of a coordinated resource consumer as well as a donator in distributed computing environments. The enormous growth in the use of mobile and embedded devices in ubiquitous computing environment and their interaction with human beings produces a huge amount of data that need to be processed efficiently anytime anywhere. However, such devices often have limited resources in terms of CPU, storage, battery power, and communication bandwidth. Thus, there is a need to transfer ubiquitous computing application services to more powerful computational resources. In this paper, we investigate the use of the grid as a candidate for provisioning computational services to applications in ubiquitous computing environments. In particular, we present a competitive model that describes the possible interaction between the competing resources in the grid infrastructure as service providers and ubiquitous applications as subscribers. The competition takes place in terms of quality of service (QoS) and cost offered by different grid service providers (GSPs). We also investigate the job allocation of different GSPs by exploiting the noncooperativeness among the strategies. We present the equilibrium behavior of our model facing global competition under stochastic demand and estimate guaranteed QoS assurance level by efficiently satisfying the requirement of ubiquitous application. We have also performed extensive experiments over distributed parallel computing cluster (DPCC) and studied overall job execution performance of different GSPs under a wide range of QoS parameters using different strategies. Our model and performance evaluation results can serve as a valuable reference for designing appropriate strategies in a practical grid environment."",""1558-2183"","""",""10.1109/TPDS.2009.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4760138"",""Ubiquitous computing";grid computing;pervasive devices;price elasticity;stochastic demand;Nash-Equilibrium;Mahalanobis distance;"game theory."",""Availability";Grid computing;Pervasive computing;Ubiquitous computing;Quality of service;Distributed computing;Mobile computing;Humans;Batteries;"Mobile communication"","""",""11"","""",""40"",""IEEE"",""23 Jan 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Enhancing the Schedulability of Real-Time Heterogeneous Networks of Workstations (NOWs),""N. Auluck";" D. P. Agrawal"",""Department of Computer Science, Quincy University, Quincy, IL, USA";" Department of Computer Science, University of Cincinnati, Cincinnati, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2009"",""2009"",""20"",""11"",""1586"",""1599"",""This paper proposes a Real-Time Duplication-Based Algorithm (RT-DBA) for scheduling precedence-related periodic tasks with hard deadlines on networks of workstations (NOWs). We have utilized selective subtask duplication that enables some tasks to have earlier start times, which enables additional tasks (and, hence, task sets) to finish before their deadlines, thereby increasing the schedulability of a real-time application. We strongly believe that duplication can be used as a tool for obtaining a better quality of service (QoS) from the real-time heterogeneous system, and this is our major contribution. We have taken both the computation and the communication heterogeneities into account while modeling such a system. Both data and control dependencies between the tasks have also been considered. Our algorithm exhibits scalability, fully exploits the underlying parallelism, and is capable of scheduling an application, even if the available number of processors is less than the required number of processors. Based on extensive simulation studies, we observe that RT-DBA offers an enhanced success ratio as compared to other scheduling schemes when communication is a dominant factor."",""1558-2183"","""",""10.1109/TPDS.2008.247"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4689553"",""Favorite predecessor";heterogeneous network of workstations;periodic tasks;precedence constraints;real-time scheduling;subtask compaction;subtask duplication.;Workstations;Schedule and organizational issues;Real-Time Scheduling;Precedence Constraints;Subtask Duplication;Subtask Compaction;"Favorite Predecessor"",""Workstations";Processor scheduling;Scheduling algorithm;Real time systems;Signal processing algorithms;Quality of service;Scalability;Microprocessors;Microcontrollers;"Digital signal processing"","""",""3"","""",""44"",""IEEE"",""25 Nov 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Eventual Clusterer: A Modular Approach to Designing Hierarchical Consensus Protocols in MANETs,""W. Wu"; J. Cao;" M. Raynal"",""Department of Computer Science, Sun Yat-sen University, Guangzhou, China"; Department of Computing, Hong Kong Polytechnic University, Kowloon, Hong Kong, China;" IRISA, Université de Rennes 1, Rennes Cedex, France"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Apr 2009"",""2009"",""20"",""6"",""753"",""765"",""This paper proposes a modular approach to the design of hierarchical consensus protocols for the mobile ad hoc network with a static and known set of hosts. A two-layer hierarchy is imposed on the network by grouping mobile hosts into clusters, each with a clusterhead. The messages from and to the hosts in the same cluster are merged/unmerged by the clusterhead so as to reduce the message cost and improve the scalability. The proposed modular approach separates the concerns of clustering hosts from achieving consensus. A clustering function, called eventual clusterer (denoted as diamC), is designed for constructing and maintaining the two-layer hierarchy. Similar to unreliable failure detectors, diamC greatly facilitates the design of hierarchical protocols by providing the fault-tolerant clustering function transparently. We propose an implementation of diamC based on the failure detector diamS. Using diamC, we design a new hierarchical consensus protocol. As shown by the performance evaluation results, the proposed consensus protocol can save both message cost and time cost. Our proposed modular design is therefore effective and can lead to efficient solutions to achieving consensus in mobile ad hoc networks."",""1558-2183"","""",""10.1109/TPDS.2008.266"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4738452"",""Consensus";mobile ad hoc network;mobile computing;distributed algorithm;failure detector;"fault tolerance."",""Protocols";Mobile ad hoc networks;Costs;Detectors;Fault tolerance;Scalability;Fault detection;Distributed computing;Wireless communication;"Mobile communication"","""",""13"","""",""43"",""IEEE"",""6 Jan 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Fat H-Tree: A Cost-Efficient Tree-Based On-Chip Network,""H. Matsutani"; M. Koibuchi; Y. Yamada; D. F. Hsu;" H. Amano"",""Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan"; Infrastructure Systems Research Division, National Institute of Information, Chiyoda, Tokyo, Japan; Toshiba Corporation, Kawasaki, Japan; Department of Computer and Information Sciences, Fordham University, New York, NY, USA;" Department of Information and Computer Science, Faculty of Science and Technology, Keio University, Yokohama, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2009"",""2009"",""20"",""8"",""1126"",""1141"",""The topological explorations of on-chip networks are important for efficiently using their enormous wire resources for low-latency and high-throughput communications using a modest silicon budget. In this paper, we propose a novel tree-based interconnection network called Fat H-Tree that meets these requirements. A Fat H-Tree provides a torus structure by combining two folded H-Tree networks and is an attractive alternative to tree-based networks such as the Fat Trees in a microarchitecture domain. We introduce its chip layout schemes based on a folding technique for 2D and 3D ICs. Three deadlock-free routing schemes are proposed for Fat H-Tree. We evaluate the performance of Fat H-Tree and other tree-based networks using real application traces. In addition, the network logic area, wire resource, and energy consumption of Fat H-Tree are compared with other topologies, based on a typical implementation of on-chip routers synthesized with a 90-nm standard cell library. The results show that (1) a Fat H-Tree outperforms a Fat Tree with two upward and four downward connections in terms of the throughput and average hop count, (2) a Fat H-Tree requires 19.8 percent-27.8 percent smaller network logic area than the Fat Tree, (3) a Fat H-Tree consumes slightly less energy than the Fat Tree does, and (4) a Fat H-Tree uses slightly more wire resources than the Fat Tree, but the current process technology can provide sufficient wire resources for implementing Fat-H-Tree-based on-chip networks."",""1558-2183"","""",""10.1109/TPDS.2008.233"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4657353"",""Interconnection networks";on-chip networks;network topology;tree;routing algorithm.;On-chip interconnection networks;"Network topology"",""Network-on-a-chip";Wire;Logic;Silicon;Multiprocessor interconnection networks;Microarchitecture;System recovery;Routing;Energy consumption;"Network topology"","""",""18"",""1"",""38"",""IEEE"",""24 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Fault-Aware Runtime Strategies for High-Performance Computing,""Y. Li"; Z. Lan; P. Gujrati;" X. -H. Sun"",""Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2009"",""2009"",""20"",""4"",""460"",""473"",""As the scale of parallel systems continues to grow, fault management of these systems is becoming a critical challenge. While existing research mainly focuses on developing or improving fault tolerance techniques, a number of key issues remain open. In this paper, we propose runtime strategies for spare node allocation and job rescheduling in response to failure prediction. These strategies, together with failure predictor and fault tolerance techniques, construct a runtime system called FARS (Fault-Aware Runtime System). In particular, we propose a 0-1 knapsack model and demonstrate its flexibility and effectiveness for reallocating running jobs to avoid failures. Experiments, by means of synthetic data and real traces from production systems, show that FARS has the potential to significantly improve system productivity (i.e., performance and reliability)."",""1558-2183"","""",""10.1109/TPDS.2008.128"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4569836"",""Scheduling";Fault-tolerance;Parallel systems;Performance;Scheduling;Fault-tolerance;Parallel systems;"Performance"",""Runtime";Fault tolerant systems;Computer Society;Fault tolerance;Production systems;Productivity;Large-scale systems;Resource management;Concurrent computing;"Sun"","""",""20"","""",""48"",""IEEE"",""18 Jul 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Fei Teng 64 Stream Processing System: Architecture, Compiler, and Programming,""X. Yang"; X. Yan; Z. Xing; Y. Deng; J. Jiang; J. Du;" Y. Zhang"",""National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China"; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China;" National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2009"",""2009"",""20"",""8"",""1142"",""1157"",""The stream architecture is a novel microprocessor architecture with wide application potential. It is critical to study how to use the stream architecture to accelerate scientific computing programs. However, existing stream processors and stream programming languages are not designed for scientific computing. To address this issue, we design and implement a 64-bit stream processor, Fei Teng 64 (FT64), which has a peak performance of 16 Gflops. FT64 supports two kinds of communications, message passing and stream communications, based on which, an interconnection architecture is designed for a FT64-based high-performance computer. This high-performance computer contains multiple modules, with each module containing eight FT64s. We also design a novel stream programming language, stream Fortran 95 (SF95), together with the compiler SF95 compiler, so as to facilitate the development of scientific applications. We test nine typical scientific application kernels on our FT64 platform to evaluate this design. The results demonstrate the effectiveness and efficiency of FT64 and its compiler for scientific computing."",""1558-2183"","""",""10.1109/TPDS.2008.170"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4633351"",""Microprocessors";computer languages;compilers;programming.;SIMD processors;"Compilers"",""Program processors";Computer architecture;Scientific computing;Computer languages;Application software;Microprocessors;Acceleration;Message passing;LAN interconnection;"Testing"","""",""7"",""1"",""39"",""IEEE"",""26 Sep 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Firewall Policy Queries,""A. X. Liu";" M. G. Gouda"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA";" Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Apr 2009"",""2009"",""20"",""6"",""766"",""777"",""Firewalls are crucial elements in network security, and have been widely deployed in most businesses and institutions for securing private networks. The function of a firewall is to examine each incoming and outgoing packet and decide whether to accept or to discard the packet based on its policy. Due to the lack of tools for analyzing firewall policies, most firewalls on the Internet have been plagued with policy errors. A firewall policy error either creates security holes that will allow malicious traffic to sneak into a private network or blocks legitimate traffic and disrupts normal business processes, which in turn could lead to irreparable, if not tragic, consequences. Because a firewall may have a large number of rules and the rules often conflict, understanding and analyzing the function of a firewall has been known to be notoriously difficult. An effective way to assist firewall administrators to understand and analyze the function of their firewalls is by issuing queries. An example of a firewall query is """"Which computers in the private network can receive packets from a known malicious host in the outside Internet?rdquo Two problems need to be solved in order to make firewall queries practically useful: how to describe a firewall query and how to process a firewall query. In this paper, we first introduce a simple and effective SQL-like query language, called the Structured Firewall Query Language (SFQL), for describing firewall queries. Second, we give a theorem, called the Firewall Query Theorem, as the foundation for developing firewall query processing algorithms. Third, we present an efficient firewall query processing algorithm, which uses decision diagrams as its core data structure. Fourth, we propose methods for optimizing firewall query results. Finally, we present methods for performing the union, intersect, and minus operations on firewall query results. Our experimental results show that our firewall query processing algorithm is very efficient: it takes less than 10 milliseconds to process a query over a firewall that has up to 10,000 rules."",""1558-2183"","""",""10.1109/TPDS.2008.263"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4731249"",""Network security";firewall queries;firewall testing;"firewall correctness."",""Telecommunication traffic";Query processing;IP networks;Database languages;Network interfaces;Internet;Computer networks;Data structures;Optimization methods;"Testing"","""",""40"","""",""47"",""IEEE"",""31 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Flexible Deterministic Packet Marking: An IP Traceback System to Find the Real Source of Attacks,""Y. Xiang"; W. Zhou;" M. Guo"",""School of Management and Information Systems and the Centre of Intelligent and Networked Systems, Central Queensland University, Rockhampton, QLD, Australia"; School of Information Technology, Faculty of Science and Technology, Deakin University, Melbourne, Australia;" Department of Computer Science and Engineering, Shanghai Jiaotong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2009"",""2009"",""20"",""4"",""567"",""580"",""IP traceback is the enabling technology to control Internet crime. In this paper we present a novel and practical IP traceback system called Flexible Deterministic Packet Marking (FDPM) which provides a defense system with the ability to find out the real sources of attacking packets that traverse through the network. While a number of other traceback schemes exist, FDPM provides innovative features to trace the source of IP packets and can obtain better tracing capability than others. In particular, FDPM adopts a flexible mark length strategy to make it compatible to different network environments"; it also adaptively changes its marking rate according to the load of the participating router by a flexible flow-based marking scheme. Evaluations on both simulation and real system implementation demonstrate that FDPM requires a moderately small number of packets to complete the traceback process;" add little additional load to routers and can trace a large number of sources in one traceback process with low false positive rates. The built-in overload prevention mechanism makes this system capable of achieving a satisfactory traceback result even when the router is heavily loaded. It has been used to not only trace DDoS attacking packets but also enhance filtering attacking traffic."",""1558-2183"","""",""10.1109/TPDS.2008.132"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4585371"",""Communication/Networking and Information Technology";Performance of Systems;Communication/Networking and Information Technology;"Performance of Systems"",""Internet";Protocols;Security;Legislation;Control systems;Information filtering;Information filters;Law enforcement;Terrorism;"Encoding"","""",""106"",""2"",""48"",""IEEE"",""1 Aug 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"FT²EI: A Dynamic Fault-Tolerant Routing Methodology for Fat Trees with Exclusion Intervals,""C. Gomez Requena"; M. E. Gomez Requena; P. J. Lopez Rodriguez;" J. F. Duato Marin"",""Department of Computer Engineering (DISCA), Universidad Politécnica de Valencia, Valencia, Spain"; Department of Computer Engineering (DISCA), Universidad Politécnica de Valencia, Valencia, Spain; Department of Computer Engineering (DISCA), Universidad Politécnica de Valencia, Valencia, Spain;" Department of Computer Engineering (DISCA), Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Apr 2009"",""2009"",""20"",""6"",""802"",""817"",""Fault tolerance in the interconnection network of large clusters of PCs is an issue of growing importance, since their increasing size also increases the failure probability. The fat-tree topology is usually used in these machines since it has become very popular among high-speed interconnect manufacturers. This paper proposes a new distributed fault-tolerant routing methodology for fat trees. Unlike other previous proposals, it does not require additional network hardware, and its memory requirements, switch hardware, and routing delay scales up with the network size. Indeed, it nullifies only the strictly necessary paths, allowing adaptive routing through the healthy paths. The methodology is based on enhancing the interval routing scheme with exclusion intervals. Exclusion intervals are associated to each switch output port and represent the nodes that are unreachable from this port after a fault. We propose a methodology to identify the links where the exclusion intervals must be updated after a fault, the values to write on them, and a very efficient mechanism to distribute the required information through the network without stopping the system activity. Our methodology can tolerate a high number of network failures with a low degradation in performance. Moreover, it can achieve zero packet losing during the updating period."",""1558-2183"","""",""10.1109/TPDS.2008.130"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4585369"",""Fault tolerance";fat trees;adaptive routing;dynamic fault model;memory-effective routing.;Network Architecture and Design;Fault tolerance;Fat-trees;Adaptive routing;Dynamic fault model;"Memory-effective routing"",""Fault tolerance";Routing;Switches;Hardware;Multiprocessor interconnection networks;Personal communication networks;Network topology;Manufacturing;Proposals;"Fault diagnosis"","""",""6"","""",""34"",""IEEE"",""1 Aug 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"FTPA: Supporting Fault-Tolerant Parallel Computing through Parallel Recomputing,""X. Yang"; Y. Du; P. Wang; H. Fu;" J. Jia"",""National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China"; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China; National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China;" National Laboratory of Paralleling and Distributed Processing, School of Computer, National University of Defense Technology, Changsha, Hunan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1471"",""1486"",""As the size of large-scale computer systems increases, their mean-time-between-failures are becoming significantly shorter than the execution time of many current scientific applications. To complete the execution of scientific applications, they must tolerate hardware failures. Conventional rollback-recovery protocols redo the computation of the crashed process since the last checkpoint on a single processor. As a result, the recovery time of all protocols is no less than the time between the last checkpoint and the crash. In this paper, we propose a new application-level fault-tolerant approach for parallel applications called the fault-tolerant parallel algorithm (FTPA), which provides fast self-recovery. When fail-stop failures occur and are detected, all surviving processes recompute the workload of failed processes in parallel. FTPA, however, requires the user to be involved in fault tolerance. In order to ease the FTPA implementation, we developed get it fault-tolerant (GiFT), a source-to-source precompiler tool to automate the FTPA implementation. We evaluate the performance of FTPA with parallel matrix multiplication and five kernels of NAS Parallel Benchmarks on a cluster system with 1,024 CPUs. The experimental results show that the performance of FTPA is better than the performance of the traditional checkpointing approach."",""1558-2183"","""",""10.1109/TPDS.2008.231"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4653486"",""Fault tolerance";fault-tolerant parallel algorithm;fast self-recovery;parallel recomputing.;Fault-tolerance;Reliability;Operating Systems;Software/Software Engineering;"Concurrent Programming"",""Fault tolerance";Parallel processing;Application software;Protocols;Computer crashes;Large-scale systems;Hardware;Parallel algorithms;Kernel;"Checkpointing"","""",""7"","""",""27"",""IEEE"",""17 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Full-Information Lookups for Peer-to-Peer Overlays,""P. Fonseca"; R. Rodrigues; A. Gupta;" B. Liskov"",""Kaiserlautern and Saarbruücken, Max Planck Institute of Software Systems, Germany"; Kaiserlautern and Saarbruücken, Max Planck Institute of Software Systems, Germany; The Wellcome Trust Centre of Human Genetics, Oxford, UK;" Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jul 2009"",""2009"",""20"",""9"",""1339"",""1351"",""Most peer-to-peer lookup schemes keep a small amount of routing state per node, typically logarithmic in the number of overlay nodes. This design assumes that routing information at each member node must be kept small so that the bookkeeping required to respond to system membership changes is also small, given that aggressive membership dynamics are expected. As a consequence, lookups have high latency as each lookup requires contacting several nodes in sequence. In this paper, we question these assumptions by presenting a peer-to-peer routing algorithm with small lookup paths. Our algorithm, called ldquoOneHop,rdquo maintains full information about the system membership at each node, routing in a single hop whenever that information is up to date and in a small number of hops otherwise. We show how to disseminate information about membership changes quickly enough so that nodes maintain accurate complete membership information. We also present analytic bandwidth requirements for our scheme that demonstrate that it could be deployed in systems with hundreds of thousands of nodes and high churn. We validate our analytic model using a simulated environment and a real implementation. Our results confirm that OneHop is able to achieve high efficiency, usually reaching the correct node directly 99 percent of the time."",""1558-2183"","""",""10.1109/TPDS.2008.222"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4641918"",""Distributed systems";peer to peer;network topology;routing protocol;distributed data structures.;Distributed applications;Network topology;Routing protocols;"Distributed data structures"",""Peer to peer computing";Delay;Bandwidth;Analytical models;Algorithm design and analysis;Predictive models;Network topology;Routing protocols;Data structures;"Buildings"","""",""47"","""",""28"",""IEEE"",""10 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Garbage Collector Scheduling in Dynamic, Multiprocessor Real-Time Systems,""H. Cho"; B. Ravindran;" C. Na"",""Department of Computer and Information Science, Korea University, South Korea"; Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA;" Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Apr 2009"",""2009"",""20"",""6"",""845"",""856"",""We consider garbage collection (GC) in dynamic, multiprocessor real-time systems. We consider the time-based, concurrent GC approach and focus on real-time scheduling to obtain mutator timing assurances, despite memory allocation and garbage collection. We present a scheduling algorithm called GCMUA. The algorithm considers mutator activities that are subject to time/utility function time constraints, stochastic execution-time and memory demands, and overloads. We establish that GCMUA probabilistically lower bounds each mutator activity's accrued utility, lower bounds the system-wide total accrued utility, and upper bounds the timing assurances' sensitivity to variations in mutator execution-time and memory demand estimates. Our simulation experiments validate our analytical results and confirm GCMUA's effectiveness."",""1558-2183"","""",""10.1109/TPDS.2009.20"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4770095"",""Real time";garbage collection;time/utility functions;scheduling;"multiprocessors."",""Dynamic scheduling";Real time systems;Radar tracking;Time factors;Decoding;Timing;Memory management;Runtime;Dynamic programming;"Scheduling algorithm"","""",""2"","""",""34"",""IEEE"",""2 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Group-Based Trust Management Scheme for Clustered Wireless Sensor Networks,""R. A. Shaikh"; H. Jameel; B. J. d'Auriol; H. Lee; S. Lee;" Y. -J. Song"",""Department of Computer Engineering, Kyung Hee University, Yongin si, Gyeonggi, South Korea"; Department of Computer Engineering, Kyung Hee University, Yongin si, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin si, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin si, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin si, Gyeonggi, South Korea;" Department of Computer Engineering, Kyung Hee University, Yongin si, Gyeonggi, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2009"",""2009"",""20"",""11"",""1698"",""1712"",""Traditional trust management schemes developed for wired and wireless ad hoc networks are not well suited for sensor networks due to their higher consumption of resources such as memory and power. In this work, we propose a new lightweight group-based trust management scheme (GTMS) for wireless sensor networks, which employs clustering. Our approach reduces the cost of trust evaluation. Also, theoretical as well as simulation results show that our scheme demands less memory, energy, and communication overheads as compared to the current state-of-the-art trust management schemes and it is more suitable for large-scale sensor networks. Furthermore, GTMS also enables us to detect and prevent malicious, selfish, and faulty nodes."",""1558-2183"","""",""10.1109/TPDS.2008.258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4721432"",""Trust evaluation";trust modeling;trust management;security;"sensor networks."",""Wireless sensor networks";Peer to peer computing;Memory management;Routing;Knowledge management;Computer network management;Energy management;Costs;Large-scale systems;"Fault detection"","""",""257"",""1"",""42"",""IEEE"",""22 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
