"A distributed deadlock resolution algorithm for the AND model,""J. R. Gonzalez de Mendivil"; F. Farina; J. R. Garitagotia; C. F. Alastruey;" J. M. Bernabeu-Auban"",""Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain"; Department de Matemáticas e Informática, University Pública de Navarra, Pamplona, Spain; NA; Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain;" Department de Sistemas Informáticos y Computación, University Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""433"",""447"",""Previous proposals for Distributed Deadlock Detection/Resolution algorithms for the AND model have the main disadvantage of resolving false deadlocks, that is, nonexisting or currently being resolved deadlocks. This paper provides an algorithm free of false deadlock resolutions, A simple specification for a safe deadlock resolution algorithm is introduced, and the new distributed solution is developed in a hierarchical fashion from its abstract specification. The algorithm is probe-based, uses node priorities, and coordinates the actions of resolvers so that false deadlocks are not resolved. The solution is formally proven correct by using the input-output Automata Model. Finally, a study about the liveness of the algorithm is provided."",""1558-2183"","""",""10.1109/71.770131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770131"","""",""System recovery";Automata;Abortion;Computer Society;Resource management;Safety;Proposals;Fault detection;Fault tolerance;"Measurement"","""",""20"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Hydrodynamic load balancing,""Chi-Chung Hui";" S. T. Chanson"",""Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China";" Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""11"",""1118"",""1137"",""This paper presents a hydrodynamic framework to solving the dynamic load balancing problem in heterogeneous distributed systems. In this approach, each processor is viewed as a liquid cylinder where the cross-sectional area corresponds to the capacity of the processor, the communication links are modeled as liquid channels between the cylinders, the workload is represented by liquid, and the load balancing algorithm manages the flow of the liquid. It is proven that all algorithms under this framework converge geometrically to the state of equilibrium, in which the heights of the liquid columns are the same in all the cylinders. In this way, each processor obtains an amount of workload proportional to its capacity. A hydrodynamic algorithm is presented and its performance is evaluated. The algorithm is applied to solve several practical applications to demonstrate the applicability of the framework."",""1558-2183"","""",""10.1109/71.809572"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809572"","""",""Hydrodynamics";Load management;Local area networks;Optimal scheduling;Fluid flow;Processor scheduling;Hardware;Computer Society;Convergence;"Joining processes"","""",""50"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Hypergraph-partitioning-based decomposition for parallel sparse-matrix vector multiplication,""U. V. Catalyurek";" C. Aykanat"",""Computer Engineering Department, Bilkent University, Ankara, Turkey";" Computer Engineering Department, Bilkent University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""7"",""673"",""693"",""In this work, we show that the standard graph-partitioning-based decomposition of sparse matrices does not reflect the actual communication volume requirement for parallel matrix-vector multiplication. We propose two computational hypergraph models which avoid this crucial deficiency of the graph model. The proposed models reduce the decomposition problem to the well-known hypergraph partitioning problem. The recently proposed successful multilevel framework is exploited to develop a multilevel hypergraph partitioning tool PaToH for the experimental verification of our proposed hypergraph models. Experimental results on a wide range of realistic sparse test matrices confirm the validity of the proposed hypergraph models. In the decomposition of the test matrices, the hypergraph models using PaToH and hMeTiS result in up to 63 percent less communication volume (30 to 38 percent less on the average) than the graph model using MeTiS, while PaToH is only 1.3-2.3 times slower than MeTiS on the average."",""1558-2183"","""",""10.1109/71.780863"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780863"","""",""Vectors";Matrix decomposition;Sparse matrices;Concurrent computing;Computational modeling;Testing;Communication standards;Parallel processing;Linear systems;"Equations"","""",""319"",""2"",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Integrated range comparison for data-parallel compilation systems,""Xian-He Sun"; M. Pantano;" T. Fahringer"",""Department of Computer Science, Louisiana State University, Baton Rouge, LA, USA"; Department of Computer Science, University of Illinois, Urbana-Champaign, IL, USA;" Institute for Software Technology and Parallel Systems, University of Technology, Vienna, Vienna, Austria"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""448"",""458"",""A major difficulty in restructuring compilation, and in parallel programming in general, is how to compare parallel performance over a range of system and problem sizes. Execution time varies with system and problem size and an initially fast implementation may become slow when system and problem size scale up. This paper introduces the concept of range comparison. Unlike conventional execution time comparison in which performance is compared for a particular system and problem size, range comparison compares the performance of programs over a range of ensemble and problem sizes via scalability and performance crossing point analysis. A novel algorithm is developed to predict the crossing point automatically. The correctness of the algorithm is proven and a methodology is developed to integrate range comparison into restructuring compilations for data-parallel programming. A preliminary prototype of the methodology is implemented and tested under Vienna Fortran Compilation System. Experimental results demonstrate that range comparison is feasible and effective. It is an important asset for program evaluation, restructuring compilation, and parallel programming."",""1558-2183"","""",""10.1109/71.770134"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770134"","""",""Scalability";Performance analysis;Parallel processing;Parallel programming;Sun;Parallel machines;Memory architecture;Message passing;Software prototyping;"Prototypes"","""",""7"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Isomorphism of degree four Cayley graph and wrapped butterfly and their optimal permutation routing algorithm,""D. S. L. Wei"; F. P. Muga;" K. Naik"",""Department of Computer and Information Science, Fordham University, Bronx, NY, USA"; Department of Mathematics, Ateneo de Manila University, Manila, Philippines;" School of Computer Science, Carleton University, Ottawa, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1290"",""1298"",""In this paper, we first show that the degree four Cayley graph proposed in a paper appearing in the January 1996 issue of IEEE Transactions on Parallel and Distributed Systems is indeed isomorphic to the wrapped butterfly. The isomorphism was first reported by Muga and Wei in the proceedings of PDPTA '96. The isomorphism is shown by using an edge-preserving bijective mapping. Due to the isomorphism, algorithms for the degree four Cayley graph can be easily developed in terms of wrapped butterfly and topological properties of one network can be easily derived in terms of the other. Next, we present the first optimal oblivious one-to-one permutation routing scheme for these networks in terms of the wrapped butterfly. Our algorithm runs in time O(/spl radic/N), where N is the network size."",""1558-2183"","""",""10.1109/71.819950"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819950"","""",""Routing";Multiprocessor interconnection networks;Hypercubes;Availability;"Algorithm design and analysis"","""",""8"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Leader election problem on networks in which processor identity numbers are not distinct,""M. Yamashita";" T. Kameda"",""Department of Computer Science and Communication Engineering, Kyushu University, Fukuoka, Japan";" School of Computing Science, Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""9"",""878"",""887"",""In the networks considered in this paper, processors do not have distinct identity numbers. On such a network, we discuss the leader election problem and the problem of counting the number of processors having the same identity number. As the communication mode, we consider port-to-port, broadcast-to-port, port-to-mail box, and broadcast-to-mailbox. For each of the above communication modes, we present: an algorithm for counting the number of processors with the same identity number"; an algorithm for solving the leader election problem;" and a graph theoretical characterization of the solvable class for the leader election problem."",""1558-2183"","""",""10.1109/71.798313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798313"","""",""Nominations and elections";"Intelligent networks"","""",""47"",""1"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Locality analysis for parallel C programs,""Yingchun Zhu";" L. J. Hendren"",""School of Computer Science, McGill University Montréal, Montreal, QUE, Canada";" School of Computer Science, McGill University Montréal, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""2"",""99"",""114"",""Many parallel architectures support a memory model where some memory accesses are local and, thus, inexpensive, while other memory accesses are remote and potentially quite expensive. In the case of memory references via pointers, it is often difficult to determine if the memory reference is guaranteed to be local and, thus, can be handled via an inexpensive memory operation. Determining which memory accesses are local can be done by the programmer, the compiler, or a combination of both. The overall goal is to minimize the work required by the programmer and have the compiler automate the process as much as possible. This paper reports on compiler techniques for determining when indirect memory references are local. The locality analysis has been implemented for a parallel dialect of C called EARTH-C, and it uses an algorithm inspired by type inference algorithms for fast points-to analysis. The algorithm statically estimates when an indirect reference via a pointer can be safely assumed to be a local access. The locality inference algorithm is also used to guide the automatic specialization of functions in order to take advantage of locality specific to particular calling contexts. In addition to these purely static techniques, we also suggest fine-grain and coarse-grain dynamic techniques. In this case, dynamic locality checks are inserted into the program and specialized code for the local case is inserted. In the fine-grain case, the checks are put around single memory references, while in the coarse-grain case the checks are put around larger program segments. The static locality analysis and automatic specialization has been implemented in the EARTH-C compiler, which produces low-level threaded code for the EARTH multithreaded architecture. Experimental results are presented for a set of benchmarks that operate on irregular, dynamically allocated data structures. Overall, the techniques give moderate to significant speedups, with the combination of static and dynamic techniques giving the best performance overall."",""1558-2183"","""",""10.1109/71.752778"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=752778"","""",""Programming profession";Program processors;Inference algorithms;Parallel architectures;Earth;Data structures;Algorithm design and analysis;Parallel processing;Parallel programming;"Computer languages"","""",""6"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Minimizing the maximum delay for reaching consensus in quorum-based mutual exclusion schemes,""T. Tsuchiya"; M. Yamaguchi;" T. Kikuno"",""Department of Informatics and Mathematical Science, Osaka University, Toyonaka, Osaka, Japan"; Sumitomo Corporation, Japan;" Department of Informatics and Mathematical Science, Osaka University, Toyonaka, Osaka, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""4"",""337"",""345"",""The use of quorums is a well-known approach to achieving mutual exclusion in distributed computing systems. This approach works based on a coterie, a special set of node groups where any pair of the node groups shares at least one common node. Each node group in a coterie is called a quorum. Mutual exclusion is ensured by imposing that a node gets consensus from all nodes in at least one of the quorums before it enters a critical section. In a quorum-based mutual exclusion scheme, the delay for reaching consensus depends critically on the coterie adopted and, thus, it is important to find a coterie with small delay. Fu (1997) introduced two related measures called max-delay and mean-delay. The former measure represents the largest delay among all nodes, while the latter is the arithmetic mean of the delays. She proposed polynomial-time algorithms for finding max-delay and mean-delay optimal coteries when the network topology is a tree or a ring. In this paper, we first propose a polynomial-time algorithm for finding max-delay optimal coteries and, then, modify the algorithm so as to reduce the mean-delay of generated coteries. Unlike the previous algorithms, the proposed algorithms can be applied to systems with arbitrary topology."",""1558-2183"","""",""10.1109/71.762814"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762814"","""",""Network topology";Neodymium;Distributed computing;Polynomials;Delay effects;Permission;Arithmetic;Robustness;"Design methodology"","""",""14"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Multidestination message passing in wormhole k-ary n-cube networks with base routing conformed paths,""D. K. Panda"; S. Singal;" R. Kesavan"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"; Silicon Graphics, Inc., Mountain View, CA, USA;" Advanced Clustering Technology Group, Tandem, Inc., Cupertino, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""1"",""76"",""96"",""This paper proposes multidestination message passing on wormhole k-ary n-cube networks using a new base-routing-conformed-path (BRCP) model. This model allows both unicast (single-destination) and multidestination messages to co-exist in a given network without leading to deadlock. The model is illustrated with several common routing schemes (deterministic, as well as adaptive), and the associated deadlock-freedom properties are analyzed. Using this model, a set of new algorithms for popular collective communication operations, broadcast and multicast, are proposed and evaluated. It is shown that the proposed algorithms can considerably reduce the latency of these operations compared to the Umesh (unicast-based multicast) and the Hamiltonian path-based schemes. A very interesting result that is presented shows that a multicast can be implemented with reduced or near-constant latency as the number of processors participating in the multicast increases beyond a certain number. It is also shown that the BRCP model can take advantage of adaptivity in routing schemes to further reduce the latency of these operations. The multidestination mechanism and the BRCP model establish a new foundation to provide fast and scalable collective communication support on wormhole-routed systems."",""1558-2183"","""",""10.1109/71.744844"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744844"","""",""Message passing";Intelligent networks;Routing;Delay;System recovery;Unicast;Broadcasting;Multicast algorithms;Costs;"Multiprocessor interconnection networks"","""",""69"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Multiple multicast with minimized node contention on wormhole k-ary n-cube networks,""R. Kesavan";" D. K. Panda"",""Compaq, Inc., Cupertino, CA, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""4"",""371"",""393"",""This paper presents a new approach to minimize node contention while performing multiple multicast/broadcast on wormhole k-ary n-cube networks with overlapped destination sets. The existing multicast algorithms in the literature deliver poor performance under multiple multicast because these algorithms have been designed with only single multicast in mind. The new algorithms introduced in this paper do not use any global knowledge about the respective destination sets of the concurrent multicasts. Instead, only local information and a source-specific partitioning approach are used. For systems supporting unicast message-passing, a new SPUmesh (Source-Partitioned Umesh) algorithm is proposed and is shown to be superior than the conventional Umesh algorithm for multiple multicast. Two different algorithms, SQHL (Source-Quadrant Hierarchical Leader) and SCHL (Source-Centered Hierarchical Leader), are proposed for systems with multidestination message-passing and shown to be superior than the HL scheme. All of these algorithms perform 1) 5-10 times faster than the existing algorithms under multiple multicast and 2) as fast as existing algorithms under single multicast. Furthermore, the SCHL scheme demonstrates that the latency of multiple multicast can, in fact, be reduced as the degree of multicast increases beyond a certain number. Thus, these algorithms demonstrate significant potential to be used for designing fast and scalable collective communication libraries on current and future generation wormhole systems."",""1558-2183"","""",""10.1109/71.762817"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762817"","""",""Multicast algorithms";Broadcasting;Partitioning algorithms;Algorithm design and analysis;Routing;Unicast;Delay;Libraries;"Message passing"","""",""13"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"On parallelizing the multiprocessor scheduling problem,""I. Ahmad";" Yu-Kwong Kwok"",""Department of Computer Sciences, Hong Kong University of Science and Technology, Clear Water Bay, China";" Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""4"",""414"",""431"",""Existing heuristics for scheduling a node and edge weighted directed task graph to multiple processors can produce satisfactory solutions but incur high time complexities, which tend to exacerbate in more realistic environments with relaxed assumptions. Consequently, these heuristics do not scale well and cannot handle problems of moderate sizes. A natural approach to reducing complexity, while aiming for a similar or potentially better solution, is to parallelize the scheduling algorithm. This can be done by partitioning the task graphs and concurrently generating partial schedules for the partitioned parts, which are then concatenated to obtain the final schedule. The problem, however, is nontrivial as there exists dependencies among the nodes of a task graph which must be preserved for generating a valid schedule. Moreover, the time clock for scheduling is global for all the processors (that are executing the parallel scheduling algorithm), making the inherent parallelism invisible. In this paper, we introduce a parallel algorithm that is guided by a systematic partitioning of the task graph to perform scheduling using multiple processors. The algorithm schedules both the tasks and messages, and is suitable for graphs with arbitrary computation and communication costs, and is applicable to systems with arbitrary network topologies using homogeneous or heterogeneous processors. We have implemented the algorithm on the Intel Paragon and compared it with three closely related algorithms. The experimental results indicate that our algorithm yields higher quality solutions while using an order of magnitude smaller scheduling times. The algorithm also exhibits an interesting trade-off between the solution quality and speedup while scaling well with the problem size."",""1558-2183"","""",""10.1109/71.762819"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762819"","""",""Processor scheduling";Scheduling algorithm;Partitioning algorithms;Concatenated codes;Clocks;Parallel processing;Parallel algorithms;Computer networks;Computational efficiency;"Network topology"","""",""42"",""2"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"On the sizes of extended Fibonacci cubes,""V. Scarano"",""Dipartimento di Inf. ed Applicazioni, Salerno Univ., Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""7"",""764"",""766"",""Hypercube is a popular interconnection network whose size must be a power of 2. Several interconnection networks have been proposed that do not suffer this limitation. Among them the extended Fibonacci cubes are based on the same sequence of the Fibonacci cubes and share many appealing structural properties. In this paper, we show how Extended Fibonacci Cubes can be seen as (Cartesian) product graphs whose components are hypercubes and Fibonacci Cubes. By exposing this property, we prove a conjecture that there are no distinct Extended Fibonacci Cubes (except the trivial ones) with the same number of nodes. Our result further validates the motivations behind the proposal of this interconnection network as a flexible alternative to hypercubes."",""1558-2183"","""",""10.1109/71.780869"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780869"","""",""Hypercubes";Multiprocessor interconnection networks;Proposals;Parallel architectures;Fault tolerance;Joining processes;"Fault tolerant systems"","""",""4"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Optimal clustering of tree-sweep computations for high-latency parallel environments,""Lixin Gao"; A. L. Rosenberg;" R. K. Sitaraman"",""Department of Computer Science, Smith College, Northampton, MA, USA"; Department of Computer Science, University of Massachusetts, Amherst, MA, USA;" Department of Computer Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""8"",""813"",""824"",""Modern hardware and software systems promote a view of parallel systems in which interprocessor communications are uniform and rather expensive in cost. Such systems demand efficient clustering algorithms that aggregate atomic tasks in a way that diminishes the impact of the high communication costs. We develop here a linear-time algorithm that optimally clusters computations that comprise a sequence of disjoint complete up- and/or down-sweeps on a complete binary tree for such parallel environments. Such computations include, for instance, those that implement broadcast, accumulation, and the parallel-prefix operator";" such environments include, for instance, networks of workstations or BSP-based programming systems. The schedules produced by our clustering are optimal in the sense of having the exact minimum makespan-not just an approximation thereof-accounting for both computation and communication time. We show by simulation that the makespans of the schedules produced by our algorithm are close to half of those produced by the algorithm that yielded the best schedules previously known."",""1558-2183"","""",""10.1109/71.790599"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=790599"","""",""Clustering algorithms";Processor scheduling;Costs;Concurrent computing;Scheduling algorithm;Hardware;Software systems;Aggregates;Binary trees;"Computer networks"","""",""6"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Overload management in real-time control applications using (m, k)-firm guarantee,""P. Ramanathan"",""Department of Electrical and Computer Engineering, University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""549"",""559"",""Tasks in a real-time control application are usually periodic and they have deadline constraints by which each instance of a task is expected to complete its computation, even in the adverse circumstances caused by component failures. Techniques to recover from processor failures often involve a reconfiguration in which all tasks are assigned to fault-free processors. This reconfiguration may result in processor overload where it is no longer possible to meet the deadlines of all tasks. In this paper, we discuss an overload management technique which discards selected task instances in such a way that the performance of the control loops in the system remain satisfactory even after a failure. The technique is based on the rationale that real-time control applications can tolerate occasional misses of the control law updates, especially if the control law is modified to account for these missed updates. The paper devises a scheduling policy which deterministically guarantees when and where the misses will occur. The paper also proposes a methodology for modifying the control law to minimize the deterioration in the control system behavior as a result of these missed control law updates."",""1558-2183"","""",""10.1109/71.774906"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774906"","""",""Control systems";Optimal control;Real time systems;Processor scheduling;Degradation;Fault tolerant systems;Control system synthesis;Feedback control;Multiprocessing systems;"Fault detection"","""",""161"",""1"",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Parallel parsing algorithms for static dictionary compression,""H. Nagumo"; Mi Lu;" K. L. Watson"",""Niigata Seiryo Women''s Junior College, Niigata, Japan"; Department of Electrical Engineering, Texas A and M University, College Station, TX, USA;" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1241"",""1251"",""The data compression based on dictionary techniques works by replacing phrases in the input string with indexes into some dictionary. The dictionary can be static or dynamic. In static dictionary compression, the dictionary contains a predetermined fixed set of entries. In dynamic dictionary compression, the dictionary changes its entries during compression. We present parallel algorithms for two parsing strategies for static dictionary compression. One is the optimal parsing strategy with dictionaries that have the prefix properly, for which our algorithm requires O(L+log n) time and O(n) processors, where n is the number of symbols in the input string, and L is the maximum length of the dictionary entries, while previous results run in O(L+log n) time using O(n/sup 2/) processors or in O(L+log/sup 2/ n) time using O(n) processors. The other is the longest fragment first (LFF) parsing strategy, for which our algorithm requires O(L+log n,) time and O(n log L) processors, while a previous result obtained an O(L log n) time performance on O(n/log n) processors. For both strategies, we derive our parallel algorithms by modifying the on-line algorithms using a pointer doubling technique."",""1558-2183"","""",""10.1109/71.819946"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819946"","""",""Dictionaries";Data compression;Parallel algorithms;Phase change random access memory;Data processing;Control systems;Data communication;Hardware;Impedance matching;"Very large scale integration"","""",""1"",""2"",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Performance-based path determination for interprocessor communication in distributed computing systems,""JunSeong Kim";" D. J. Lilja"",""Department of Electrical and Computer Engineering, Minnesota Supercomputing Institute, University of Minnesota, Minneapolis, MN, USA";" Department of Electrical and Computer Engineering, Minnesota Supercomputing Institute, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""316"",""327"",""The different types of messages used by a parallel application program executing in a distributed computing system can each have unique characteristics so that no single communication network can produce the lowest latency for all messages. For instance, short control messages may be sent with the lowest overhead on one type of network, such as Ethernet, while bulk data transfers may be better suited to a different type of network, such as Fibre Channel or HIPPI. This work investigates how to exploit multiple heterogeneous communication networks that interconnect the same set of processing nodes using a set of techniques we call performance-based path determination (PBPD). The performance-based path selection (PBPS) technique selects the best (lowest latency) network among several for each individual message to reduce the communication overhead of parallel programs. The performance-based path aggregation (PBPA) technique, on the other hand, aggregates multiple networks into a single virtual network to increase the available bandwidth. We test the PBPD techniques on a cluster of SGI multiprocessors interconnected with Ethernet, Fibre Channel, and HiPPI networks using a custom communication library built on top of the TCP/IP protocol layers. We find that PBPS can reduce communication overhead in applications compared to using either network alone, while aggregating networks into a single virtual network can reduce communication latency for bandwidth-limited applications. The performance of the PBPD techniques depends on the mix of message sizes in the application program and the relative overheads of the networks, as demonstrated in our analytical models."",""1558-2183"","""",""10.1109/71.755832"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755832"","""",""Delay";Communication networks;Ethernet networks;Optical fiber communication;Distributed computing;Communication system control;Aggregates;Bandwidth;Optical fiber testing;"Libraries"","""",""6"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Periodically regular chordal rings,""B. Parhami";" Ding-Ming Kwai"",""Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA";" Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""658"",""672"",""Chordal rings have been proposed in the past as networks that combine the simple routing framework of rings with the lower diameter, wider bisection, and higher resilience of other architectures. Virtually all proposed chordal ring networks are node-symmetric, i.e., all nodes have the same in/out degree and interconnection pattern. Unfortunately, such regular chordal rings are not scalable. In this paper, periodically regular chordal (PRC) ring networks are proposed as a compromise for combining low node degree with small diameter. By varying the PRC ring parameters, one can obtain architectures with significantly different characteristics (e.g., from linear to logarithmic diameter), while maintaining an elegant framework for computation and communication. In particular, a very simple and efficient routing algorithm works for the entire spectrum of PRC rings thus obtained. This flexibility has important implications for key system attributes such as architectural satiability, software portability, and fault tolerance. Our discussion is centered on unidirectional PRC rings with in/out-degree of 2. We explore the basic structure, topological properties, optimization of parameters, VLSI layout, and scalability of such networks, develop packet and wormhole routing algorithms for them, and briefly compare them to competing fixed-degree architectures such as symmetric chordal rings, meshes, tori, and cube-connected cycles."",""1558-2183"","""",""10.1109/71.774913"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774913"","""",""Routing";Partial response channels;Multiprocessor interconnection networks;Computer architecture;Scalability;Resilience;Fault tolerant systems;Very large scale integration;Fault tolerance;"Parallel architectures"","""",""18"",""2"",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Permutation realizability and fault tolerance property of the inside-out routing algorithm,""Seung-Woo Seo"; Tse-Yun Feng;" Hyoung-Il Lee"",""School of Electrical Engineering, Seoul National University, Seoul, South Korea"; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA;" School of Electrical Engineering, Seoul National University, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""9"",""946"",""957"",""In this paper, we analyze ways of realizing permutations in a class of 2log/sub 2/N- or (2log/sub 2/N-1)-stage rearrangeable networks. The analysis is based on the newly developed inside-out routing algorithm and we derive the upper and lower bounds on the number of possible realizations of a permutation. It is shown that the algorithm can provide us with comparable degrees of freedom in realizing a given permutation as the well-known looping algorithm, while it can be more generally applied to a class of 2log/sub 2/N- or (2log/sub 2/N-1)-stage rearrangeable networks. In finding a set of complete assignments for the center-stage cycles, alternate realizations of a permutation can be obtained by changing the initial position, changing the assigning direction, or even interchanging the first-level decompositions of the permutation. We also show that these numerable alternate realizations can be utilized to make the networks tolerate some sets of faults, i.e., control faults of SEs including stuck-at-straight and stuck-at-cross. Various cases of single control faults at the center stages and other stages are examined through examples. These new approaches originate from routing outward from center stages to outer stages";" therefore, the center stages and two half networks may be treated separately."",""1558-2183"","""",""10.1109/71.798318"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798318"","""",""Fault tolerance";Routing;Algorithm design and analysis;Communication switching;Fault tolerant systems;Multiprocessor interconnection networks;Bandwidth;Computer networks;Switches;"Feedback"","""",""11"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
