"A class of multistage conference switching networks for group communication,""Y. Yang";" J. Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" East Isle Technologies, Inc., Setauket, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""228"",""243"",""There is a growing demand for network support for group applications, in which messages from one or more sender(s) are delivered to a large number of receivers. Here, we propose a network architecture for supporting a fundamental type of group communication, conferencing. A conference refers to a group of members in a network who communicate with each other within the group. We consider adopting a class of multistage networks, such as a baseline, an omega, or an indirect binary cube network, composed of switch modules with fan-in and fan-out capability for a conference network which supports multiple disjoint conferences. The key issue in designing a conference network is to determine the multiplicity of routing conflicts, which is the maximum number of conflict parties competing a single interstage link when multiple disjoint conferences simultaneously present in the network. Our results show that, for a network of size n /spl times/ n, the multiplicities of routing conflicts are small constants (between 2 and 4) for an omega network or an indirect binary cube network";" while it can be as large as /spl radic/n/q + 1 for a baseline network, where q is the minimum allowable conference size. Thus, our design for conference networks is based on an omega network or an indirect binary cube network. We also develop fast self-routing algorithms for setting up routing paths in the newly designed conference networks. As can be seen, such an n /spl times/ n conference network has O(logn) routing time and communication delay and O(nlogn) hardware cost. The conference networks are superior to existing designs in terms of routing complexity, communication delay and hardware cost. The conference network proposed is rearrangeably nonblocking in general, and is strictly nonblocking under some conference service policy. It can be used in applications that require efficient or real-time group communication."",""1558-2183"","""",""10.1109/TPDS.2004.1264808"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264808"","""",""Communication switching";Routing;Application software;Switches;Hardware;Costs;Collaboration;Computer Society;Computer architecture;"Algorithm design and analysis"","""",""12"","""",""22"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Hazard pointers: safe memory reclamation for lock-free objects,""M. M. Michael"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""491"",""504"",""Lock-free objects offer significant performance and reliability advantages over conventional lock-based objects. However, the lack of an efficient portable lock-free method for the reclamation of the memory occupied by dynamic nodes removed from such objects is a major obstacle to their wide use in practice. We present hazard pointers, a memory management methodology that allows memory reclamation for arbitrary reuse. It is very efficient, as demonstrated by our experimental results. It is suitable for user-level applications - as well as system programs - without dependence on special kernel or scheduler support. It is wait-free. It requires only single-word reads and writes for memory access in its core operations. It allows reclaimed memory to be returned to the operating system. In addition, it offers a lock-free solution for the ABA problem using only practical single-word instructions. Our experimental results on a multiprocessor system show that the new methodology offers equal and, more often, significantly better performance than other memory management methods, in addition to its qualitative advantages regarding memory reclamation and independence of special hardware support. We also show that lock-free implementations of important object types, using hazard pointers, offer comparable performance to that of efficient lock-based implementations under no contention and no multiprogramming, and outperform them by significant margins under moderate multiprogramming and/or contention, in addition to guaranteeing continuous progress and availability, even in the presence of thread failures and arbitrary delays."",""1558-2183"","""",""10.1109/TPDS.2004.8"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291819"",""Lock-free";synchronization;concurrent programming;memory management;multiprogramming;"dynamic data structures."",""Hazards";Memory management;Kernel;Read-write memory;Operating systems;Multiprocessing systems;Quality management;Hardware;"Availability"","""",""297"",""87"",""30"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Improving scheduling of tasks in a heterogeneous environment,""Rashmi Bajaj";" D. P. Agrawal"",""France Telecom Research and Development, CA, USA";" Center for Distributed and Mobile Computing, ECECS Department, University of Cincinnati, Cincinnati, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2004"",""2004"",""15"",""2"",""107"",""118"",""Optimal scheduling of parallel tasks with some precedence relationship, onto a parallel machine is known to be NP-complete. The complexity of the problem increases when task scheduling is to be done in a heterogeneous environment, where the processors in the network may not be identical and take different amounts of time to execute the same task. We introduce a task duplication-based scheduling algorithm for network of heterogeneous systems (TANH), with complexity O(V/sup 2/), which provides optimal results for applications represented by directed acyclic graphs (DAGs), provided a simple set of conditions on task computation and network communication time could be satisfied. The performance of the algorithm is illustrated by comparing the scheduling time with an existing """"best imaginary level scheduling (BIL)"""" scheme for heterogeneous systems. The scalability for a higher or lower number of processors, as per their availability is also discussed. We have shown to provide substantial improvement over existing work on the task duplication-based scheduling algorithm (TDS)."",""1558-2183"","""",""10.1109/TPDS.2004.1264795"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264795"","""",""Optimal scheduling";Processor scheduling;Scheduling algorithm;Computational efficiency;Parallel machines;Computer networks;Scalability;Availability;Cost function;"Parallel processing"","""",""204"",""1"",""29"",""IEEE"",""28 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Interprocedural probabilistic pointer analysis,""Peng-Sheng Chen"; Yuan-Shin Hwang; R. D. . -C. Ju;" J. K. Lee"",""Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"; Department of Computer Science, National Taiwan Ocean University, Keelung, Taiwan; Microprocessor Research Laboratory, Intel Corporation, Santa Clara, CA, USA;" Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Aug 2004"",""2004"",""15"",""10"",""893"",""907"",""When performing aggressive optimizations and parallelization to exploit features of advanced architectures, optimizing and parallelizing compilers need to quantitatively assess the profitability of any transformations in order to achieve high performance. Useful optimizations and parallelization can be performed if it is known that certain points-to relationships would hold with high or low probabilities. For instance, if the probabilities are low, a compiler could transform programs to perform data speculation or partition iterations into threads in speculative multithreading, or it would avoid conducting code specialization. Consequently, it is essential for compilers to incorporate pointer analysis techniques that can estimate the possibility for every points-to relationship that it would hold during the execution. However, conventional pointer analysis techniques do not provide such quantitative descriptions and, thus, hinder compilers from more aggressive optimizations, such as thread partitioning in speculative multithreading, data speculations, code specialization, etc. We address this issue by proposing a probabilistic points-to analysis technique to compute the probability of every points-to relationship at each program point. A context-sensitive interprocedural algorithm has been implemented based on the iterative data flow analysis framework, and has been incorporated into SUIF and MachSUIF. Experimental results show this technique can estimate the probabilities of points-to relationships in benchmark programs with reasonable small errors, about 4.6 percent on average. Furthermore, the current implementation cannot disambiguate heap and array elements. The errors are further significantly reduced when the future implementation incorporates techniques to disambiguate heap and array elements."",""1558-2183"","""",""10.1109/TPDS.2004.56"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1327594"",""Multithreading";speculation;interprocedural program analysis;points-to analysis;compilers;"optimization."",""Optimizing compilers";Profitability;Program processors;Multithreading;Computer architecture;Hardware;Partitioning algorithms;Iterative algorithms;"Data analysis"","""",""19"",""1"",""33"",""IEEE"",""30 Aug 2004"","""","""",""IEEE"",""IEEE Journals""";;;
"Interprocessor communication with limited memory,""A. Pinar";" B. Hendrickson"",""Computational Research Division of Lawrence, Berkeley National Laboratory, Berkeley, CA, USA";" Discrete Algorithms and Math Department, Sandia National Laboratories, Albuquerque, NM, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""606"",""616"",""Many parallel applications require periodic redistribution of workloads and associated data. In a distributed memory computer, this redistribution can be difficult if limited memory is available for receiving messages. We propose a model for optimizing the exchange of messages under such circumstances which we call the minimum phase remapping problem. We first show that the problem is NP-complete, and then analyze several methodologies for addressing it. First, we show how the problem can be phrased as an instance of multicommodity flow. Next, we study a continuous approximation to the problem. We show that this continuous approximation has a solution which requires at most two more phases than the optimal discrete solution, but the question of how to consistently obtain a good discrete solution from the continuous problem remains open. We also devise a simple and practical approximation algorithm for the problem with a bound of 1.5 times the optimal number of phases. We also present an empirical study of variations of our algorithms which indicate that our approaches are quite practical."",""1558-2183"","""",""10.1109/TPDS.2004.22"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302101"",""Interprocessor communication";dynamic load balancing;data migration;scheduling;NP-completeness;"approximation algorithms."",""Computational modeling";Distributed computing;Protocols;Computer Society;Application software;Approximation algorithms;Load management;Processor scheduling;Dynamic scheduling;"Scheduling algorithm"","""",""11"",""1"",""10"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Issues and challenges in the performance analysis of real disk arrays,""E. Varki"; A. Merchant; J. Xu;" X. Qiu"",""Computer Science Department, University of New Hampshire, Durham, NC, USA"; Storage Systems Department, Hewlett Packard Laboratories, Palo Alto, CA, USA; Falconstor Software, Inc., Melville, NY, USA;" Falconstor Software, Inc., Melville, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""559"",""574"",""The performance modeling and analysis of disk arrays is challenging due to the presence of multiple disks, large array caches, and sophisticated array controllers. Moreover, storage manufacturers may not reveal the internal algorithms implemented in their devices, so real disk arrays are effectively black-boxes. We use standard performance techniques to develop an integrated performance model that incorporates some of the complexities of real disk arrays. We show how measurement data and baseline performance models can be used to extract information about the various features implemented in a disk array. In this process, we identify areas for future research in the performance analysis of real disk arrays."",""1558-2183"","""",""10.1109/TPDS.2004.9"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291824"",""RAID";analytical performance model;array cache;parallel I/O;enterprise storage systems;I/O performance evaluation;"disk array."",""Performance analysis";Adaptive arrays;Analytical models;Throughput;Parallel processing;System performance;Delay;Computational modeling;Optical arrays;"Standards development"","""",""59"",""3"",""43"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";
"k-Coteries for tolerating network 2-partition,""T. Harada";" M. Yamashita"",""Graduate School of Management, Hiroshima University, Naka, Hiroshima, Japan";" Department of Computer Science and Communication Engineering, Kyushu University, Fukuoka, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""666"",""672"",""A network partition, which makes it impossible for some pairs of processes to communicate with each other, is one of the most serious network failures. Although the notion of k-coterie is introduced to design a k-mutual exclusion algorithm that is robust against network failures, the number of processes allowed to simultaneously access the critical section may fatally decrease once network partition occurs. We discuss how to construct a k-coterie such that the k-mutual exclusion algorithm adopting it is robust against a network 2-partition. To this end, we introduce the notion of complemental k-coterie, and show that complemental k-coteries meet our requirements. We then give methods for constructing complemental k-coteries, and show a necessary and sufficient condition for a k-coterie to be complemental."",""1558-2183"","""",""10.1109/TPDS.2004.23"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302106"",""Distributed systems";complemental;k-coteries;k-semicoteries;k-mutual exclusion problem;network 2-partition;nondominatedness;"quorums."",""Access protocols";Robustness;Computer Society;Partitioning algorithms;Algorithm design and analysis;"Sufficient conditions"","""",""6"","""",""17"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Localization from connectivity in sensor networks,""Y. Shang"; W. Rumi; Y. Zhang;" M. Fromherz"",""Department of Computer Science, EBW 201, University of Missouri, Columbia, Columbia, MO, USA"; NA; Palo Alto Research Center, Palo Alto, CA, USA;" Palo Alto Research Center, Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Oct 2004"",""2004"",""15"",""11"",""961"",""974"",""We propose an approach that uses connectivity information - who is within communications range of whom - to derive the locations of nodes in a network. The approach can take advantage of additional information, such as estimated distances between neighbors or known positions for certain anchor nodes, if it is available. It is based on multidimensional scaling (MDS), an efficient data analysis technique that takes O(n/sup 3/) time for a network of n nodes. Unlike previous approaches, MDS takes full advantage of connectivity or distance information between nodes that have yet to be localized. Two methods are presented: a simple method that builds a global map using MDS and a more complicated one that builds small local maps and then patches them together to form a global map. Furthermore, least-squares optimization can be incorporated into the methods to further improve the solutions at the expense of additional computation. Through simulation studies on uniform as well as irregular networks, we show that the methods achieve more accurate solutions than previous methods, especially when there are few anchor nodes. They can even yield good relative maps when no anchor nodes are available."",""1558-2183"","""",""10.1109/TPDS.2004.67"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339247"",""Wireless sensor networks";optimization;"position estimation."",""Intelligent networks";Acoustic sensors;Temperature sensors;Multidimensional systems;Data analysis;Vehicles;Optimization methods;Computational modeling;Actuators;"Ad hoc networks"","""",""418"",""3"",""27"",""IEEE"",""4 Oct 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Mapping and load-balancing iterative computations,""A. Legrand"; H. Renard; Y. Robert;" F. Vivien"",""LIP, UMR CNRS-INRIA-UCBL, École Normale Supérieure de Lyon, France"; LIP, UMR CNRS-INRIA-UCBL, École Normale Supérieure de Lyon, France; LIP, UMR CNRS-INRIA-UCBL, École Normale Supérieure de Lyon, France;" LIP, UMR CNRS-INRIA-UCBL, École Normale Supérieure de Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""546"",""558"",""We consider the mapping of iterative algorithms onto heterogeneous clusters. The application data is partitioned over the processors, which are arranged along a virtual ring. At each iteration, independent calculations are carried out in parallel, and some communications take place between consecutive processors in the ring. The aim is to determine how to slice the application data into chunks, and to assign these chunks to the processors, so that the total execution time is minimized. One major difficulty is to embed a processor ring into a network that typically is not fully connected, so that some communication links have to be shared by several processor pairs. We establish a complexity result that assesses the difficulty of this problem, and we design a practical heuristic that provides efficient mapping, routing, link- sharing, and data distribution schemes."",""1558-2183"","""",""10.1109/TPDS.2004.10"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291823"",""Scheduling";load-balancing;iterative computations;"heterogeneous clusters."",""Iterative algorithms";Signal processing algorithms;Bandwidth;Routing;Clustering algorithms;Partitioning algorithms;Convolution;Image processing;Resource management;"Communication networks"","""",""39"","""",""36"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";;;;
"Measuring the robustness of a resource allocation,""S. Ali"; A. A. Maciejewski; H. J. Siegel;" Jong-Kook Kim"",""Department of Electrical and Computer Engineering, University of Missouri, Rolla, Rolla, MO, USA"; Department of Electrical and Computer Engineering, Colorado State University, Fort Collins, CO, USA; Department of Electrical and Computer Engineering and the Department of Computer Science, Colorado State University, Fort Collins, CO, USA;" School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""630"",""641"",""Parallel and distributed systems may operate in an environment that undergoes unpredictable changes causing certain system performance features to degrade. Such systems need robustness to guarantee limited degradation despite fluctuations in the behavior of its component parts or environment. This research investigates the robustness of an allocation of resources to tasks in parallel and distributed systems. The main contributions are 1) a mathematical description of a metric for the robustness of a resource allocation with respect to desired system performance features against multiple perturbations in multiple system and environmental conditions, and 2) a procedure for deriving a robustness metric for an arbitrary system. For illustration, this procedure is employed to derive robustness metrics for three example distributed systems. Such a metric can help researchers evaluate a given resource allocation for robustness against uncertainties in specified perturbation parameters."",""1558-2183"","""",""10.1109/TPDS.2004.24"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302103"",""Robustness";robustness metric;resource allocation;resource management systems;"parallel and distributed systems."",""Robustness";Resource management;System performance;Degradation;Throughput;Fluctuations;Uncertainty;Parameter estimation;"Distributed computing"","""",""137"","""",""22"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;
"Minimal cost replication of dynamic Web contents under flat update delivery,""Xueyan Tang";" S. T. Chanson"",""School of Computer Engineering, Nanyang Technological University, Singapore";" Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""431"",""439"",""Dynamic Web contents are generated by running application programs on base data which often change frequently. Geographically replicating the applications that construct these contents (including the programs and the related data they access) is an effective approach to improve their access latency. To maintain the freshness of an object replica, the new version of the object either has to be fetched from remote servers or be reconstructed locally when the origin copy is updated. We present a theoretical study on geographical replication of dynamic Web contents with the objective of minimizing the consistency management costs in terms of update transfers and object reconstruction. The dependencies among dynamic objects and base data are modeled as a directed acyclic graph. We formulate the minimum cost replication problem under a flat framework of update delivery. The problem is solved by first transforming it into a minimum cut problem in a flow network. A polynomial-time algorithm is then proposed to compute the optimal replication strategy which designates where each object should be replicated and how to keep the replicas up-to-date."",""1558-2183"","""",""10.1109/TPDS.2004.1278100"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278100"","""",""Costs";Content management;Delay;Network servers;Web server;Polynomials;Algorithm design and analysis;Web services;Web and internet services;"Mirrors"","""",""14"",""1"",""29"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Minimum and maximum utilization bounds for multiprocessor rate monotonic scheduling,""J. M. Lopez"; J. L. Diaz;" D. F. Garcia"",""Departamento de Informática, Universidad de Oviedo, Gijon, Spain"; Departamento de Informática, Universidad de Oviedo, Gijon, Spain;" Departamento de Informática, Universidad de Oviedo, Gijon, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""642"",""653"",""The utilization bound for real-time rate monotonic (RM) scheduling on uniprocessors is extended to multiprocessors with partitioning-based scheduling. This allows fast schedulability tests to be performed on multiprocessors and quantifies the influence of key parameters, such as the number of processors and task sizes on the schedulability of the system. The multiprocessor utilization bound is a function of the allocation algorithm, so among all the allocation algorithms there exists at least one allocation algorithm providing the minimum multiprocessor utilization bound, and one allocation algorithm providing the maximum multiprocessor utilization bound. We prove that the multiprocessor utilization bound associated with the allocation heuristic worst fit (WF) coincides with that minimum if we use Liu and Layland's bound (LLB) as the uniprocessor schedulability condition. In addition, we present a class of allocation algorithms sharing the same multiprocessor utilization bound which coincides with the aforementioned maximum using LLB. The heuristics first fit decreasing (FFD) and best fit decreasing (BFD) belong to this class. Thus, not even an optimal allocation algorithm can guarantee a higher multiprocessor utilization bound than that of FFD and BFD using LLB. Finally, the pessimism of the multiprocessor utilization bounds is estimated through extensive simulations."",""1558-2183"","""",""10.1109/TPDS.2004.25"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302104"",""Real-time systems";multiprocessors;Rate Monotonic scheduling;allocation;"utilization bounds."",""Processor scheduling";Scheduling algorithm;Partitioning algorithms;System testing;Performance evaluation;Real time systems;"Simulated annealing"","""",""38"","""",""20"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Multistage-based switching fabrics for scalable routers,""N. . -F. Tzeng"",""Center for Advanced Computer Studies, University of Louisiana, Lafayette, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Mar 2004"",""2004"",""15"",""4"",""304"",""318"",""Rapidly growing demand for high-speed networks has prompted the investigation into scalable routers that are capable of forwarding data at the aggregate rate of multiterabits per second. Such a router contains many line cards (LCs) for admitting external links of various speeds. Those LCs are interconnected by a switching fabric to provide paths for packets to travel from arrival LCs to their respective departure LCs. The switching fabric employed in a router dictates the scalability and the overall performance of the router. It is thus crucial for future multiterabit routers to incorporate scalable switching fabrics capable of interconnecting large numbers of LCs. This work considers switching fabrics with distributed packet routing to achieve high scalability and low costs. Our fabrics are based on a multistage structure with different recirculation designs, where adjacent stages are interconnected according to the indirect n-cube connection style. They all compare favorably with an earlier multistage-based counterpart according to extensive simulation, in terms of performance measures of interest and hardware complexity. When queues are incorporated in the output ports of switching elements (SEs), the total number of stages required in our proposed fabrics to achieve a given performance level can be reduced substantially. The performance of those fabrics with output queues is evaluated under different """"speedups"""" of the queues, where the speedup is the operating clock rate ratio of that at the SE core to that over external links. It is found via our simulation results that a small speedup of two is adequate for buffered switching fabrics comprising 4/spl times/8 SEs to deliver better performance than their nonbuffered counterparts with 50 percent more stages of SEs, when the fabric size is 256. The buffered switching fabrics under different traffic patterns are evaluated and discussed as well. Being scalable and of low costs, the proposed switching fabrics are ideally suitable for routers with large numbers of LCs."",""1558-2183"","""",""10.1109/TPDS.2004.1271180"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271180"","""",""Fabrics";Packet switching;Scalability;Costs;High-speed networks;Aggregates;Routing;Hardware;Clocks;"Traffic control"","""",""8"","""",""34"",""IEEE"",""8 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"On generalized max-min rate allocation and distributed convergence algorithm for packet networks,""Y. T. Hou"; S. S. Panwar;" H. H. . -Y. Tzeng"",""Virginia Polytechnic Institute and State University, Blacksburg, VA, US"; Department of Electrical and Computer Engineering, Six Metrotech Center, Polytechnic University, Brooklyn, NY, USA;" Networks Division, Nokia, Mountain View, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""401"",""416"",""We consider the fundamental problem of bandwidth allocation among flows in a packet-switched network. The classical max-min rate allocation has been widely regarded as a fair rate allocation policy. But, for a flow with a minimum rate requirement and a peak rate constraint, the classical max-min policy no longer suffices to determine rate allocation since it is not capable of supporting either the minimum rate or the peak rate constraint from a flow. We generalize the theory of the classical max-min rate allocation with the support of both the minimum rate and peak rate constraints for each flow. Additionally, to achieve generalized max-min rate allocation in a fully distributed packet network, we present a distributed algorithm that uses a feedback-based flow control mechanism. Our design not only offers a fresh perspective on flow marking technique, but also advances the state-of-the-art flow marking technique favored by other researchers. We provide proof that such a distributed algorithm, through asynchronous iterations, will always converge to the generalized max-min rate allocation under any network configuration and any set of link distances. We use simulation results to demonstrate the fast convergence property of the distributed algorithm."",""1558-2183"","""",""10.1109/TPDS.2004.1278098"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278098"","""",""Convergence";Bandwidth;Distributed algorithms;Algorithm design and analysis;Channel allocation;Constraint theory;Centralized control;Quality of service;Upper bound;"Modems"","""",""8"","""",""20"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Optimal scheduling algorithms in WDM optical interconnects with limited range wavelength conversion capability,""Zhenghao Zhang";" Yuanyuan Yang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA";" Department of Electrical and Computer Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Oct 2004"",""2004"",""15"",""11"",""1012"",""1026"",""Optical communication is a promising candidate for many emerging networking and parallel/distributed computing applications because of its huge bandwidth. Wavelength division multiplexing (WDM) is a technique that can better utilize the optical bandwidth by dividing the bandwidth of a fiber into multiple wavelength channels. In this paper, we study optimal scheduling algorithms to resolve output contentions in bufferless time slotted WDM optical interconnects with wavelength conversion ability. We consider the general case of limited range wavelength conversion with arbitrary conversion capability, as limited range wavelength conversion is easier to implement and more cost effective than full range wavelength conversion, and it also includes full range wavelength conversion as a special case. We first consider the conversion scheme in which each wavelength can be converted to multiple wavelengths in an interval of wavelengths and the intervals for different wavelengths are """"ordered"""". We show that the problem of maximizing network throughput can be formalized as finding a maximum matching in a bipartite graph. We then give an optimal scheduling algorithm called the first available algorithm that runs in O(k) time, where k is the number of wavelengths per fiber. We also study the case where the connection requests have different priorities. We formalize the problem as finding an optimal matching in a weighted bipartite graph and give a scheduling algorithm called the downwards expanding algorithm that runs in O(kD + Nklog(Nk)) time where N is the number of input fibers of the interconnect and D is the conversion degree. Finally, we consider the circular symmetrical wavelength conversion scheme and give optimal scheduling algorithms for nonprioritized scheduling in O(Dk) time and prioritized scheduling in O(k/sup 2/+Nklog(Nk)) time."",""1558-2183"","""",""10.1109/TPDS.2004.68"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339251"",""Wavelength-division-multiplexing (WDM)";optical interconnects;scheduling;wavelength conversion;limited range wavelength conversion;bipartite graphs;bipartite matching;"matroid."",""Optimal scheduling";Scheduling algorithm;Wavelength division multiplexing;Optical interconnections;Optical wavelength conversion;Bandwidth;Wavelength conversion;Optical fiber communication;Optical buffering;"Bipartite graph"","""",""19"","""",""25"",""IEEE"",""4 Oct 2004"","""","""",""IEEE"",""IEEE Journals""";;;;
"Optimizing download time of embedded multimedia objects for Web browsing,""T. Loukopoulos";" I. Ahmad"",""Department of Computer Science, Hong Kong, University of Science and Technology, Hong Kong, China";" Department of Computer and Engineering, University of Texas, Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Aug 2004"",""2004"",""15"",""10"",""934"",""945"",""Notoriously high delays in accessing Web pages loaded with massive multimedia objects are highly undesirable. Inspired by the requirements of news agencies and other information providers to include multimedia content in their pages, this paper proposes a new solution to the problem of minimizing the Web response time. We consider an environment that consists of a central multimedia repository and various sites physically dispersed. Our approach is based on simultaneous downloading of some of the embedded multimedia objects from the repository, and the rest from the regional servers. We propose a cost model to formalize the relative benefits of the proposed scheme, and design an algorithm that replicates multimedia objects so as to take advantage of concurrency in data transferring. An extensive simulation study evaluates the performance of the proposed replication policy under storage and processing capacity constraints, as well as with various network transfer rates. Comparisons are carried out with alternative schemes."",""1558-2183"","""",""10.1109/TPDS.2004.57"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1327597"",""Parallel downloads";replica placement;multimedia repository;Web;"Internet."",""Web server";HTML;Statistics;Delay;Web pages;Concurrent computing;Internet;Uniform resource locators;Streaming media;"Costs"","""",""3"",""2"",""25"",""IEEE"",""30 Aug 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Optimizing graph algorithms for improved cache performance,""J. . -S. Park"; M. Penner;" V. K. Prasanna"",""Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA"; Department of Electrical Engineering, University of Southern California, Los Angeles, CA, USA;" Department of Electrical Engineering, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""9"",""769"",""782"",""We develop algorithmic optimizations to improve the cache performance of four fundamental graph algorithms. We present a cache-oblivious implementation of the Floyd-Warshall algorithm for the fundamental graph problem of all-pairs shortest paths by relaxing some dependencies in the iterative version. We show that this implementation achieves the lower bound on processor-memory traffic of /spl Omega/(N/sup 3///spl radic/C), where N and C are the problem size and cache size, respectively. Experimental results show that this cache-oblivious implementation shows more than six times the improvement in real execution time over that of the iterative implementation with the usual row major data layout, on three state-of-the-art architectures. Second, we address Dijkstra's algorithm for the single-source shortest paths problem and Prim's algorithm for minimum spanning tree problem. For these algorithms, we demonstrate up to two times the improvement in real execution time by using a simple cache-friendly graph representation, namely adjacency arrays. Finally, we address the matching algorithm for bipartite graphs. We show performance improvements of two to three times in real execution time by using the technique of making the algorithm initially work on subproblems to generate a suboptimal solution and, then, solving the whole problem using the suboptimal solution as a starting point. Experimental results are shown for the Pentium III, UltraSPARC III, Alpha 21264, and MIPS R12000 machines."",""1558-2183"","""",""10.1109/TPDS.2004.44"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333649"",""Cache-friendly algorithms";cache-oblivious algorithms;graph algorithms;shortest path;minimum spanning trees;graph matching;data layout optimizations;"algorithm performance."",""Signal processing algorithms";Clustering algorithms;Iterative algorithms;Shortest path problem;Tree graphs;Routing protocols;Computer networks;Bipartite graph;"Application software"","""",""47"",""2"",""37"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";;;
