"1996 Index IEEE Transactions on Parallel and Distributed Systems vol. 7,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1"",""11"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1996.553313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553313"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A broadcast algorithm for all-port wormhole-routed torus networks,""Yih-Jia Tsai";" P. K. McKinley"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""876"",""885"",""A new approach to broadcast in wormhole-routed two- and three-dimensional torus networks is proposed. The underlying network is assumed to support only deterministic, dimension-ordered unicast routing. The approach extends the graph theoretical concept of dominating nodes by accounting for the relative distance-insensitivity of the wormhole routing switching strategy. The proposed algorithm also takes advantage of an all-port communication architecture, which allows each node to simultaneously transmit messages on different outgoing channels. The resulting broadcast operation is based on a tree structure that uses multiple levels of extended dominating nodes(EDNs). Performance results are presented that confirm the advantage of this method over other approaches."",""1558-2183"","""",""10.1109/71.532118"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532118"","""",""Broadcasting";Unicast;Routing;Concurrent computing;Network topology;Communication switching;Tree data structures;Computer networks;Distributed computing;"Message passing"","""",""31"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Exact bounds on running ASCEND/DESCEND and FAN-IN algorithms on synchronous multiple bus networks,""A. Ali";" R. Vaidyanathan"",""Cirrus Logic, Inc., Fremont, CA, USA";" Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""783"",""790"",""We consider the problem of running ASCEND/DESCEND and FAN-IN algorithms on synchronous multiple bus networks with a restricted number of buses. Exact lower bounds on the time are derived. We present a method that runs FAN-IN algorithms optimally and ASCEND/DESCEND algorithms in one step beyond the lower bound."",""1558-2183"","""",""10.1109/71.532110"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532110"","""",""Parallel processing";Scheduling algorithm;Hypercubes;Very large scale integration;Parallel algorithms;Processor scheduling;Delay;Optical fiber communication;Communications technology;"Algorithm design and analysis"","""",""5"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Fast parallel sorting under LogP: experience with the CM-5,""A. C. Dusseau"; D. E. Culler; K. E. Schauser;" R. P. Martin"",""Computer Science Division, University of California, Berkeley, CA, USA"; Computer Science Division, University of California, Berkeley, CA, USA; University of California, Santa Barbara, USA;" Computer Science Division, University of California, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""791"",""805"",""In this paper, we analyze four parallel sorting algorithms (bitonic, column, radix, and sample sort) with the LogP model. LogP characterizes the performance of modern parallel machines with a small set of parameters: the communication latency (L), overhead (o), bandwidth (g), and the number of processors (P). We develop implementations of these algorithms in Split-C, a parallel extension to C, and compare the performance predicted by LogP to actual performance on a CM-5 of 32 to 512 processors for a range of problem sizes. We evaluate the robustness of the algorithms by varying the distribution and ordering of the key values. We also briefly examine the sensitivity of the algorithms to the communication parameters. We show that the LogP model is a valuable guide in the development of parallel algorithms and a good predictor of implementation performance. The model encourages the use of data layouts which minimize communication and balanced communication schedules which avoid contention. With an empirical model of local processor performance, LogP predictions closely match observed execution times on uniformly distributed keys across a broad range of problem and machine sizes. We find that communication performance is oblivious to the distribution of the key values, whereas the local processor performance is not";" some communication phases are sensitive to the ordering of keys due to contention. Finally, our analysis shows that overhead is the most critical communication parameter in the sorting algorithms."",""1558-2183"","""",""10.1109/71.532111"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532111"","""",""Sorting";Predictive models;Algorithm design and analysis;Parallel algorithms;Processor scheduling;Context modeling;Network topology;Parallel machines;Delay;"Bandwidth"","""",""61"",""9"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";
"Fault-tolerant wormhole routing in meshes without virtual channels,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""3 Feb 2009"",""1996"",""7"",""6"",""620"",""636"",""Previous methods of making wormhole-routed meshes fault tolerant have been based on adding virtual channels to the networks. This paper proposes an alternative method, one based on the turn model for designing wormhole routing algorithms. The turn model produces routing algorithms that are deadlock free, very adaptive, minimal or nonminimal, and livelock free for direct networks--whether or not they contain virtual channels. This paper illustrates how to modify the routing algorithms produced by the turn model to handle dynamic faults. This paper first describes how to modify the negative-first routing algorithm, which the turn model produces for n-dimensional meshes without virtual channels, to make it one-fault tolerant. Simulations of the one-fault-tolerant routing algorithm and other minimal and nonminimal routing algorithms in a two-dimensional mesh indicate that misrouting increases communication latencies significantly at high throughputs. The conclusion is that misrouting should be used only for increasing the degree of fault tolerance, never for just increasing adaptiveness. Finally , the paper describes how to modify the negative-first routing algorithm to make it (n - 1)-fault tolerant for n-dimensional meshes without virtual channels."",""1558-2183"","""",""10.1109/TPDS.1996.4772741"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4772741"",""Wormhole routing, fault-tolerant routing, adaptive routing, dynamic faults, mesh networks"",""Fault tolerance";Routing;Glass;Concurrent computing;Network topology;Switching circuits;Algorithm design and analysis;System recovery;Delay;"Throughput"","""",""66"","""",""22"",""IEEE"",""3 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"File migration and file replication: a symbiotic relationship,""R. T. Hurley";" Soon Aun Yeap"",""Yeap are with the Computer Studies Program, Trent University, Peterborough, ONT, Canada";" Yeap are with the Computer Studies Program, Trent University, Peterborough, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""578"",""586"",""Much of the past research on file migration and file replication has examined these two resource management strategies in isolation or in an environment where they do not work together. We establish through simulation that these two strategies can be utilized simultaneously to potentially provide significant performance benefits over a system without file migration or replication. File replication can be viewed as a natural extension to file migration, and thus, we derive a dynamic file replication policy based on an established file migration heuristic: a file is migrated (or replicated) whenever a reduction in total mean response time of the file requests currently in the affected storage sites can be achieved. Through our performance model, we use simulation to establish the conditions under which our file migration/replication policies are beneficial in a distributed file system."",""1558-2183"","""",""10.1109/71.506696"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506696"","""",""Symbiosis";Costs;Concurrency control;Maintenance;"Degradation"","""",""28"",""11"",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"File-access characteristics of parallel scientific workloads,""N. Nieuwejaar"; D. Kotz; A. Purakayastha; C. Sclatter Ellis;" M. L. Best"",""Department of Computer Science 6211 Sudikoff Laboratory, Dartmouth College, Hanover, NH, USA"; Department of Computer Science 6211 Sudikoff Laboratory, Dartmouth College, Hanover, NH, USA; Department of Computer Science Lewine Science Research Center, Duke University, Durham, NC, USA; Department of Computer Science Lewine Science Research Center, Duke University, Durham, NC, USA;" Media Labovatory, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1075"",""1089"",""Phenomenal improvements in the computational performance of multiprocessors have not been matched by comparable gains in I/O system performance. This imbalance has resulted in I/O becoming a significant bottleneck for many scientific applications. One key to overcoming this bottleneck is improving the performance of multiprocessor file systems. The design of a high-performance multiprocessor file system requires a comprehensive understanding of the expected workload. Unfortunately, until recently, no general workload studies of multiprocessor file systems have been conducted. The goal of the CHARISMA project was to remedy this problem by characterizing the behavior of several production workloads, on different machines, at the level of individual reads and writes. The first set of results from the CHARISMA project describe the workloads observed on an Intel iPSC/860 and a Thinking Machines CM-5. This paper is intended to compare and contrast these two workloads for an understanding of their essential similarities and differences, isolating common trends and platform-dependent variances. Using this comparison, we are able to gain more insight into the general principles that should guide multiprocessor file-system design."",""1558-2183"","""",""10.1109/71.539739"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539739"","""",""File systems";Application software;Concurrent computing;Computer Society;Performance gain;Production;Student members;System performance;Scientific computing;"Supercomputers"","""",""105"",""1"",""46"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Folded Petersen cube networks: new competitors for the hypercubes,""S. Ohring";" S. K. Das"",""Department of Computer Sciences, University of North Texas, TX, USA";" Department of Computer Sciences, University of North Texas, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""151"",""168"",""We introduce and analyze a new interconnection topology, called the k-dimensional folded Petersen (FP/sub k/) network, which is constructed by iteratively applying the Cartesian product operation on the well-known Petersen graph. Since the number of nodes in FP/sub k/ is restricted to a power of ten, for better scalability we propose a generalization, the folded Petersen cube network FPQ/sub n,k/=Q/sub n//spl times/FP/sub k/, which is a product of the n-dimensional binary hypercube (Q/sub n/) and FP/sub k/. The FPQ/sub n,k/ topology provides regularity, node- and edge-symmetry, optimal connectivity (and therefore maximal fault-tolerance), logarithmic diameter, modularity, and permits simple self-routing and broadcasting algorithms. With the same node-degree and connectivity, FPQ/sub n,k/ has smaller diameter and accommodates more nodes than Q/sub n+3k/, and its packing density is higher compared to several other product networks. This paper also emphasizes the versatility of the folded Petersen cube networks as a multicomputer interconnection topology by providing embeddings of many computationally important structures such as rings, multi-dimensional meshes, hypercubes, complete binary trees, tree machines, meshes of trees, and pyramids. The dilation and edge-congestion of all such embeddings are at most two."",""1558-2183"","""",""10.1109/71.485505"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485505"","""",""Hypercubes";Network topology;Tree graphs;Binary trees;Fault tolerance;Broadcasting;Multiprocessor interconnection networks;Routing;Scalability;"Positron emission tomography"","""",""50"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Generalized multiprocessor scheduling and applications to matrix computations,""G. N. S. Prasanna";" B. R. Musicus"",""AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA";" BBN Laboratories, Inc., Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""650"",""664"",""The paper considerably extends the multiprocessor scheduling techniques of G.N.S. Prasanna and B.R. Musicus (1995"; 1991) and applies it to matrix arithmetic compilation. Using optimal control theory in the special case where the speedup function of each task is p/sup /spl alpha// (where p is the amount of processing power applied to the task), closed form solution for task graphs formed from parallel and series connections was derived by G.N.S. Prasanna and B.R. Musicus (1995;" 1991). The paper extends these results for arbitrary DAGS. The optimality conditions impose nonlinear constraints on the flow of processing power from predecessors to successors, and on the finishing times of siblings. The paper presents a fast algorithm for determining and solving these nonlinear equations. The algorithm utilizes the structure of the finishing time equations to efficiently run a conjugate gradient minimization, leading to the optimal solution. The algorithm has been tested on a variety of DAGs commonly encountered in matrix arithmetic. The results show that if the p/sup /spl alpha// speedup assumption holds, the schedules produced are superior to heuristic approaches. The algorithm has been applied to compiling matrix arithmetic (K.P. Belkhale and P. Banerjee, 1993), for the MIT Alewife machine, a distributed shared memory multiprocessor. While matrix arithmetic tasks do not exactly satisfy the p/sup /spl alpha// speedup assumptions, the algorithm can be applied as a good heuristic. The results show that the schedules produced by our algorithm are faster than alternative heuristic techniques."",""1558-2183"","""",""10.1109/71.506703"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506703"","""",""Processor scheduling";Computer applications;Arithmetic;Finishing;Nonlinear equations;Optimal control;Closed-form solution;Minimization methods;Testing;"Scheduling algorithm"","""",""19"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Globally consistent event ordering in one-directional distributed environments,""P. Ammann"; S. Jajodia;" P. G. Frankl"",""Center for Secure Information Depavtment of Information and Softsoare Systems Engineering, George Mason University, Fairfax, VA, USA"; Center for Secure Information Depavtment of Information and Softsoare Systems Engineering, George Mason University, Fairfax, VA, USA;" Computer Science Department, Polytechnic University, Brooklyn, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""665"",""670"",""We consider communication structures for event ordering algorithms in distributed environments where information flows only in one direction. Example applications are multilevel security and hierarchically decomposed databases. Although the most general one directional communication structure is a partial order, partial orders do not enjoy the property of being consistently ordered, a formalization of the notion that local ordering decisions are ensured to be globally consistent. Our main result is that the crown free property is necessary and sufficient for a communication structure to be consistently ordered. We discuss the computational complexity of detecting crowns and sketch typical applications."",""1558-2183"","""",""10.1109/71.506704"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506704"","""",""Distributed databases";Clocks;Computer Society;Application software;Multilevel systems;Computational complexity;Data security;Computer networks;Distributed computing;"Counting circuits"","""",""7"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Graph isomorphism and identification matrices: parallel algorithms,""Lin Chen"",""FRL, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""308"",""319"",""In this paper, we explore some properties of identification matrices and exhibit some uses of identification matrices in studying the graph isomorphism problem, a famous open problem. We show that, given two graphs in the form of a certain identification matrix, isomorphism can be tested efficiently in parallel if at least one matrix satisfies the circular 1s property, and more efficiently in parallel if at least one matrix satisfies the consecutive 1s property. Graphs which have identification matrices satisfying the consecutive 1s property include, among others, proper interval graphs and doubly convex bipartite graphs. The result presented here substantially broadens the class of graphs for which there are known efficient parallel isomorphism testing algorithms."",""1558-2183"","""",""10.1109/71.491584"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491584"","""",""Parallel algorithms";Testing;Transmission line matrix methods;Bipartite graph;Phase change random access memory;Polynomials;"Algorithm design and analysis"","""",""19"","""",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Impact of memory contention on dynamic scheduling on NUMA multiprocessors,""D. Durand"; T. Montaut; L. Kervella;" W. Jalby"",""Computer and lnformation Science Department, University of Pennsylvania, Philadelphia, PA, USA"; Institut de Recherches in Informa tique et Systèmes Aléatoires, Rennes, France; Institut de Recherches in Informa tique et Systèmes Aléatoires, Rennes, France;" Laboratoire MASI, Université de Versailles Saint Quentin en Yvelines, Versailles, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""11"",""1201"",""1214"",""Self-scheduling is a method for task scheduling in parallel programs, in which each processor acquires a new block of tasks for execution whenever it becomes idle. To get the best performance, the block size must be chosen to balance the scheduling overhead against the load imbalance. To determine the best block size, a better understanding of the role of load imbalance in self-scheduling performance is needed. In this paper we study the effect of memory contention on task duration distributions and, hence, load balancing in self-scheduling on a Nonuniform Memory Access (NUMA) machine. Experimental studies on a BBN TC2000 are used to reveal the strengths and weaknesses of analytical performance models to predict running time and optimal block size. The models are shown to be very accurate for small block sizes. However, the models fail when the block size is large due to a previously unrecognized source of load imbalance. We extend the analytical models to address this failure. The implications for the construction of compilers and runtime systems are discussed."",""1558-2183"","""",""10.1109/71.544359"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=544359"","""",""Dynamic scheduling";Processor scheduling;Analytical models;Load management;Performance analysis;Predictive models;Scalability;Multiprocessor interconnection networks;Programming profession;"Shape"","""",""11"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Issues in the design of high performance SIMD architectures,""J. D. Allen";" D. E. Schimmel"",""School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA";" School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""818"",""829"",""In this paper, we consider the design of high performance SIMD architectures. We examine three mechanisms by which the performance of this class of machines may be improved, and which have been largely unexplored by the SIMD community. The mechanisms are pipelined instruction broadcast, pipelining of the PE architecture, and the introduction of a novel memory hierarchy in the PE address space which we denote the direct only data cache, (dod-cache). For each of the performance improvements, we develop analytical models of the potential speedup, and apply those models to real program traces obtained on a MasPar MP-2 system. In addition, we consider the impact of all improvements taken together."",""1558-2183"","""",""10.1109/71.532113"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532113"","""",""Broadcasting";Clocks;Pipeline processing;Delay;Analytical models;Integrated circuit packaging;Packaging machines;Integrated circuit technology;"Microprocessors"","""",""24"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Leader election in the presence of link failures,""G. Singh"",""Department of Computing and Information Sciences, Kansas State University, Manhattan, KS, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""231"",""236"",""We study the problem of leader election in the presence of intermittent link failures. We assume that up to N/2-1 links incident on each node may fail during the execution of the protocol. We present a message optimal algorithm with message complexity O(N/sup 2/)."",""1558-2183"","""",""10.1109/71.491576"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491576"","""",""Nominations and elections";Protocols;Distributed algorithms;Algorithm design and analysis;Distributed computing;"Electronic mail"","""",""53"",""3"",""7"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Localizing failures in distributed synchronization,""M. Choy";" A. K. Singh"",""Department of Computer Science, Hong Kong University of Science and Technology, Hong Kong, China";" Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""7"",""705"",""716"",""The fault-tolerance of distributed algorithms is investigated in asynchronous message passing systems with undetectable process failures. Two specific synchronization problems are considered, the dining philosophers problem and the binary committee coordination problem. The abstraction of a bounded doorway is introduced as a general mechanism for achieving individual progress and good failure locality. Using it as a building block, optimal fault-tolerant algorithms are constructed for the two problems."",""1558-2183"","""",""10.1109/71.508250"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=508250"","""",""Distributed computing";Fault tolerant systems;Distributed algorithms;Fault tolerance;Electronic switching systems;Computer science;Message passing;Algorithm design and analysis;"Fault detection"","""",""6"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Loop transformations for fault detection in regular loops on massively parallel systems,""Chun Gong"; R. Melhem;" R. Gupta"",""Massachusetts Language Laboratory, Chelmsford, MA, USA"; University of Pittsburgh, Pittsburgh, PA, USA;" University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1238"",""1249"",""Distributed-memory systems can incorporate thousands of processors at a reasonable cost. However, with an increasing number of processors in a system, fault detection and fault tolerance become critical issues. By replicating the computation on more than one processor and comparing the results produced by these processors, errors can be detected. During the execution of a program, due to data dependencies, typically not all of the processors in a multiprocessor system are busy at all times. Therefore processor schedules contain idle time slots and it is the goal of this work to exploit these idle time slots to schedule duplicated computation for the purpose of fault detection. We propose a compiler-assisted approach to fault detection in regular loops on distributed-memory systems. This approach achieves fault detection by duplicating the execution of statement instances. After carefully analyzing the data dependencies of a regular loop, selected instances of loop statements are duplicated in a way that ensures the desired fault coverage. We first present duplication strategies for fault detection and show that these strategies use idle processor times for executing replicated statements, whenever possible. Next, we present loop transformations to implement these fault-detection strategies. Also, a general framework for selecting appropriate loop transformations is developed. Experimental results performed on the CRAY-T3D show that the overhead of adding the fault detection capability is usually less than 25%, and is less than 10% when communication overhead is reduced by grouping messages."",""1558-2183"","""",""10.1109/71.553273"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553273"","""",""Fault detection";Costs;Redundancy;Multiprocessing systems;Program processors;Scalability;Fault tolerant systems;Hardware;VLIW;"Postal services"","""",""24"",""1"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Low-cost checkpointing and failure recovery in mobile computing systems,""R. Prakash";" M. Singhal"",""Department of Cornputer Science, University of Rochester, Rochester, NY, USA";" Department of Computer and lnfoumation Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1035"",""1048"",""A mobile computing system consists of mobile and stationary nodes, connected to each other by a communication network. The presence of mobile nodes in the system places constraints on the permissible energy consumption and available communication bandwidth. To minimize the lost computation during recovery from node failures, periodic collection of a consistent snapshot of the system (checkpoint) is required. Locating mobile nodes contributes to the checkpointing and recovery costs. Synchronous snapshot collection algorithms, designed for static networks, either force every node in the system to take a new local snapshot, or block the underlying computation during snapshot collection. Hence, they are not suitable for mobile computing systems. If nodes take their local checkpoints independently in an uncoordinated manner, each node may have to store multiple local checkpoints in stable storage. This is not suitable for mobile nodes as they have small memory. This paper presents a synchronous snapshot collection algorithm for mobile systems that neither forces every node to take a local snapshot, nor blocks the underlying computation during snapshot collection. If a node initiates snapshot collection, local snapshots of only those nodes that have directly or transitively affected the initiator since their last snapshots need to be taken. We prove that the global snapshot collection terminates within a finite time of its invocation and the collected global snapshot is consistent. We also propose a minimal rollback/recovery algorithm in which the computation at a node is rolled back only if it depends on operations that have been undone due to the failure of node(s). Both the algorithms have low communication and storage overheads and meet the low energy consumption and low bandwidth constraints of mobile computing systems."",""1558-2183"","""",""10.1109/71.539735"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539735"","""",""Checkpointing";Mobile computing;Computer networks;Energy consumption;Mobile communication;Bandwidth;Communication networks;Costs;Algorithm design and analysis;"Energy storage"","""",""105"",""5"",""28"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"MAD kernels: an experimental testbed to study multiprocessor memory system behavior,""A. K. Nanda";" L. M. Ni"",""Transarc Corporation, Pittsburg, PA, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""207"",""217"",""On large-scale multiprocessors, access to common memory is one of the key performance limiting factors. The shared-memory performance depends not only on the characteristics of the memory hierarchy itself, but also upon the characteristics of the memory address streams and the interaction between the two. We present a technique for multiprocessor workload construction and a family of artificial kernels, called MAD-kernels, to systematically investigate the behavior of the memory hierarchy. The measured performance is independent of any particular application or algorithm. The proposed methodology is demonstrated on two commercial shared-memory systems."",""1558-2183"","""",""10.1109/71.485509"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485509"","""",""Kernel";System testing;Large-scale systems;Particle measurements;Multiprocessor interconnection networks;Performance analysis;Hardware;Degradation;Bandwidth;"Memory architecture"","""","""","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Matrix partitioning on a virtual shared memory parallel machine,""B. Charny"",""Audre, Inc., San Diego, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""4"",""343"",""355"",""The general problem considered in the paper is partitioning of a matrix operation between processors of a parallel system in an optimum load-balanced way without potential memory contention. The considered parallel system is defined by several features the main of which is availability of a virtual shared memory divided into segments. If partitioning of a matrix operation causes parallel access to the same memory segment with writing data to the segment by at least one processor, then contention between processors arises which implies performance degradation. To eliminate such situation, a restriction is imposed on a class of possible partitionings, so that no two processors would write data to the same segment. On the resulting class of contention-free partitionings, a load-balanced optimum partitioning is defined as satisfying independent minimax criteria. The main result of the paper is an algorithm for finding the optimum partitioning by means of analytical solution of respective minimax problems. The paper also discusses implementation and performance issues related to the algorithm, on the basis of experience at Kendall Square Research Corporation, where the partitioning algorithm was used for creating high-performance parallel matrix libraries."",""1558-2183"","""",""10.1109/71.494629"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494629"","""",""Parallel machines";Partitioning algorithms;Minimax techniques;Electronic mail;Arithmetic;Matrix decomposition;Availability;Writing;Degradation;"Algorithm design and analysis"","""",""2"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Mesh-connected trees: a bridge between grids and meshes of trees,""K. Efe";" A. Fernandez"",""Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA";" Departmento de Arquitectura y Tecnología de Computadores, Universidad Politécnica de Madrid, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1281"",""1291"",""The grid and the mesh of trees (or MOT) are among the best-known parallel architectures in the literature. Both of them enjoy efficient VLSI layouts, simplicity of topology, and a large number of parallel algorithms that can efficiently execute on them. One drawback of these architectures is that algorithms that perform best on one of them do not perform very well on the other. Thus there is a gap between the algorithmic capabilities of these two architectures. We propose a new class of parallel architectures, called the mesh-connected trees (or MCT) that can execute grid algorithms as efficiently as the grid, and MOT algorithms as efficiently as the MOT, up to a constant amount of slowdown. In particular, the MCT topology contains the MOT as a subgraph and emulates the grid via embedding with dilation 3 and congestion two. This significant amount of computational versatility offered by the MCT comes at no additional VLSI area cost over these earlier networks. Many topological, routing, and embedding properties analyzed here suggest that the MCT architecture is also a serious competitor for the hypercube. In fact, while the MCT is much simpler and cheaper than the hypercube, for all the algorithms we developed, the running time complexity on the MCT matches those of well known hypercube algorithms. We also present an interesting variant of the MCT architecture that admits both the MOT and the torus as its subgraphs. While most of the discussion in this paper is focused on the MCT architecture itself, these analyses can be easily extended to the variant of the MCT presented here."",""1558-2183"","""",""10.1109/71.553283"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553283"","""",""Bridges";Hypercubes;Parallel architectures;Very large scale integration;Parallel algorithms;Network topology;Computer networks;Costs;Routing;"Computer architecture"","""",""18"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Multiskewing-a novel technique for optimal parallel memory access,""A. Deb"",""Department of Computer Science, Memorial University of Newfoundland, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""595"",""604"",""The disparity between the processing speed and the data access rates presents a serious bottleneck in pipelined/vector processors. The memory bank conflict in interleaved system can be alleviated by skewing, for scientific computations performing functions on varieties of submatrices. So far uniskewing involving periodic and linear functions have been studied. Several difficulties encountered in such schemes are that they require a prime number of memory modules, may create wasted memory space, or addressing functions and the alignment network become complex. We present a new technique, termed multiskewing, which applies multiple functions on different sections of the array. Each of these functions may be as simple as a linear shift. We show that some of the advantages are that it does not require a prime number of memory, memory utilization factor is 100%, maintains the logical structure of the array, and allows optimal memory access of a large class of submatrices."",""1558-2183"","""",""10.1109/71.506698"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506698"","""",""Logic arrays";Bandwidth;Computer architecture;Concurrent computing;Computer science;Vectors;Arithmetic;Decoding;Hardware;"Standards organizations"","""",""16"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
